skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_sv_antal_m_betyg_tcv1,skolverket_sv_andel_sankt_tcv1,skolverket_sv_andel_lika_tcv1,skolverket_sv_andel_hojt_tcv1,skolverket_ma_antal_m_betyg_tcv1,skolverket_ma_andel_sankt_tcv1,skolverket_ma_andel_lika_tcv1,skolverket_ma_andel_hojt_tcv1,skolverket_en_antal_m_betyg_tcv1,skolverket_en_andel_sankt_tcv1,skolverket_en_andel_lika_tcv1,skolverket_en_andel_hojt_tcv1,skolverket_sva_antal_m_betyg_tcv1,skolverket_sva_andel_sankt_tcv1,skolverket_sva_andel_lika_tcv1,skolverket_sva_andel_hojt_tcv1,year
Ahlafors Fria skola,71387206,Ale,1440,Enskild,Ahlafors Fria Skola Ekonomisk förening,7696142343,.,.,.,.,.,.,.,.,45,"15,6","82,2","2,2",.,.,.,.,2018
Aroseniusskolan,48529699,Ale,1440,Kommunal,Ale,2120001439,.,.,.,.,.,.,.,.,128,"5,5","68,8","25,8",.,.,.,.,2018
Bohusskolan,11043800,Ale,1440,Kommunal,Ale,2120001439,52,"17,3","42,3","40,4",.,.,.,.,.,.,.,.,.,.,.,.,2018
Da Vinciskolan,61084420,Ale,1440,Kommunal,Ale,2120001439,101,"20,8","54,5","24,8",.,.,.,.,117,"16,2","68,4","15,4",.,.,.,.,2018
Gustav Adolfsskolan,74064638,Alingsås,1489,Kommunal,Alingsås,2120001553,82,"18,3","65,9","15,9",.,.,.,.,81,"21,0","70,4","8,6",.,.,.,.,2018
Nolhagaskolan,84581048,Alingsås,1489,Kommunal,Alingsås,2120001553,96,"5,2","70,8","24,0",.,.,.,.,109,"16,5","71,6","11,9",.,.,.,.,2018
Sollebrunns skola F-9,76908037,Alingsås,1489,Kommunal,Alingsås,2120001553,17,"5,9","70,6","23,5",.,.,.,.,31,"9,7","80,6","9,7",.,.,.,.,2018
Vittra Gerdsken,98272016,Alingsås,1489,Enskild,Vittraskolorna AB,5564586716,44,"9,1","81,8","9,1",.,.,.,.,45,"37,8","55,6","6,7",.,.,.,.,2018
Östlyckeskolan 7-9,63399058,Alingsås,1489,Kommunal,Alingsås,2120001553,95,"14,7","66,3","18,9",.,.,.,.,106,"10,4","74,5","15,1",.,.,.,.,2018
Hagaskolan,67183147,Alvesta,0764,Kommunal,Alvesta,2120000639,78,"11,5","52,6","35,9",.,.,.,.,108,"14,8","78,7","6,5",26,.,"80,8","19,2",2018
