skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_sv_antal_m_betyg_tcv1,skolverket_sv_andel_sankt_tcv1,skolverket_sv_andel_lika_tcv1,skolverket_sv_andel_hojt_tcv1,skolverket_ma_antal_m_betyg_tcv1,skolverket_ma_andel_sankt_tcv1,skolverket_ma_andel_lika_tcv1,skolverket_ma_andel_hojt_tcv1,skolverket_en_antal_m_betyg_tcv1,skolverket_en_andel_sankt_tcv1,skolverket_en_andel_lika_tcv1,skolverket_en_andel_hojt_tcv1,skolverket_sva_antal_m_betyg_tcv1,skolverket_sva_andel_sankt_tcv1,skolverket_sva_andel_lika_tcv1,skolverket_sva_andel_hojt_tcv1,year
Mohedaskolan,69699568,Alvesta,0764,Kommunal,Alvesta,2120000639,38,"2,6","78,9","18,4",.,.,.,.,45,"8,9","75,6","15,6",.,.,.,.,2018
Vislandaskolan,88176175,Alvesta,0764,Kommunal,Alvesta,2120000639,64,"9,4","79,7","10,9",.,.,.,.,70,"17,1","72,9","10,0",.,.,.,.,2018
Furulidskolan,88669294,Aneby,0604,Kommunal,Aneby,2120000498,.,.,.,.,.,.,.,.,70,"20,0","70,0","10,0",.,.,.,.,2018
Gäddgårdsskolan 5-9,65483259,Arboga,1984,Kommunal,Arboga,2120002122,66,"12,1","60,6","27,3",.,.,.,.,71,"12,7","67,6","19,7",.,.,.,.,2018
Stureskolan,13854755,Arboga,1984,Kommunal,Arboga,2120002122,65,"6,2","47,7","46,2",.,.,.,.,71,"2,8","67,6","29,6",.,.,.,.,2018
Kyrkholmsskolan,96277636,Arjeplog,2506,Kommunal,Arjeplog,2120002668,27,.,"92,6","7,4",.,.,.,.,25,"24,0","68,0","8,0",.,.,.,.,2018
Fridhemsskolan,48373752,Arvidsjaur,2505,Kommunal,Arvidsjaur,2120002650,50,"4,0","62,0","34,0",.,.,.,.,50,"8,0","76,0","16,0",.,.,.,.,2018
Centralskolan,60318692,Arvika,1784,Kommunal,Arvika,2120001892,111,"9,0","64,0","27,0",.,.,.,.,124,"24,2","66,9","8,9",16,"6,3","68,8","25,0",2018
"Estetiska skolan, högstadiet",99375199,Arvika,1784,Enskild,Estetiska Skolan Arvika,8740020212,46,"17,4","47,8","34,8",.,.,.,.,47,"19,1","76,6","4,3",.,.,.,.,2018
Kyrkebyskolan 7-9,64771195,Arvika,1784,Kommunal,Arvika,2120001892,67,"6,0","67,2","26,9",.,.,.,.,77,"5,2","81,8","13,0",.,.,.,.,2018
Sjöängsskolan,15766661,Askersund,1882,Kommunal,Askersund,2120001983,79,"7,6","60,8","31,6",.,.,.,.,87,"21,8","67,8","10,3",.,.,.,.,2018
Domarhagsskolan,87516620,Avesta,2084,Kommunal,Avesta,2120002262,19,"5,3","47,4","47,4",.,.,.,.,97,"14,4","77,3","8,2",.,.,.,.,2018
Johan Olovsskolan,48240990,Avesta,2084,Kommunal,Avesta,2120002262,20,"40,0","45,0","15,0",.,.,.,.,21,"28,6","61,9","9,5",.,.,.,.,2018
Åvestadalskolan,30454178,Avesta,2084,Kommunal,Avesta,2120002262,59,"22,0","71,2","6,8",.,.,.,.,74,"32,4","64,9","2,7",.,.,.,.,2018
Bengtsgården,28484259,Bengtsfors,1460,Kommunal,Bengtsfors,2120001470,70,"5,7","67,1","27,1",.,.,.,.,75,"6,7","86,7","6,7",.,.,.,.,2018
Myrvikens skola,56709330,Berg,2326,Kommunal,Berg,2120002502,32,"15,6","53,1","31,3",.,.,.,.,33,"3,0","81,8","15,2",.,.,.,.,2018
Castorskolan,81730469,Bjurholm,2403,Kommunal,Bjurholm,2120002833,24,"25,0","70,8","4,2",.,.,.,.,26,.,"100,0",.,.,.,.,.,2018
Ekeby skola åk 4-9,61795800,Bjuv,1260,Kommunal,Bjuv,2120001041,41,"4,9","43,9","51,2",.,.,.,.,49,"8,2","46,9","44,9",.,.,.,.,2018
Jens Billeskolan  7 - 9,63778499,Bjuv,1260,Kommunal,Bjuv,2120001041,28,"10,7","53,6","35,7",.,.,.,.,40,"5,0","72,5","22,5",.,.,.,.,2018
Varagårdsskolan Bjuv Östra   7 - 9,45883916,Bjuv,1260,Kommunal,Bjuv,2120001041,64,"15,6","57,8","26,6",.,.,.,.,69,"10,1","82,6","7,2",.,.,.,.,2018
Brönjaskolan,60633912,Boden,2582,Kommunal,Boden,2120002767,73,"9,6","54,8","35,6",.,.,.,.,81,"7,4","66,7","25,9",.,.,.,.,2018
Fria Emilia,98998541,Boden,2582,Enskild,Friskola Fria Emilia Boden ekonomisk förening,7696083455,.,.,.,.,.,.,.,.,28,"32,1","57,1","10,7",.,.,.,.,2018
Norrskenet Boden,40708452,Boden,2582,Enskild,Norrskenets Friskola Boden AB,5590455050,48,"4,2","64,6","31,3",.,.,.,.,46,"4,3","93,5","2,2",.,.,.,.,2018
Stureskolan,83862028,Boden,2582,Kommunal,Boden,2120002767,107,"16,8","54,2","29,0",.,.,.,.,121,"7,4","68,6","24,0",18,.,"72,2","27,8",2018
Bollebygdskolan 7-9,60372258,Bollebygd,1443,Kommunal,Bollebygd,2120002973,94,"6,4","72,3","21,3",.,.,.,.,95,"23,2","54,7","22,1",.,.,.,.,2018
Alirskolan 7-9,65024773,Bollnäs,2183,Kommunal,Bollnäs,2120002361,55,"12,7","67,3","20,0",.,.,.,.,82,"19,5","65,9","14,6",31,.,"67,7","32,3",2018
Arbråskolan F-9,75662206,Bollnäs,2183,Kommunal,Bollnäs,2120002361,27,.,"51,9","48,1",.,.,.,.,37,.,"100,0",.,.,.,.,.,2018
Friskolan Lust & Lära,91187921,Bollnäs,2183,Enskild,Friskolan Lust & Lära i Bollnäs AB,5567748149,117,"3,4","51,3","45,3",.,.,.,.,127,"9,4","63,0","27,6",.,.,.,.,2018
Kilafors skola F-9,41793797,Bollnäs,2183,Kommunal,Bollnäs,2120002361,31,"9,7","71,0","19,4",.,.,.,.,32,"9,4","75,0","15,6",.,.,.,.,2018
Slottsskolan,80852248,Borgholm,0885,Kommunal,Borgholm,2120000795,53,"15,1","62,3","22,6",.,.,.,.,66,"4,5","83,3","12,1",.,.,.,.,2018
Åkerboskolan,82520504,Borgholm,0885,Kommunal,Borgholm,2120000795,18,.,"77,8","22,2",.,.,.,.,19,.,"100,0",.,.,.,.,.,2018
Domnarvets skola,91219337,Borlänge,2081,Kommunal,Borlänge,2120002239,56,"17,9","57,1","25,0",.,.,.,.,.,.,.,.,18,.,"50,0","50,0",2018
Forssaklackskolan,84601215,Borlänge,2081,Kommunal,Borlänge,2120002239,116,"12,9","44,0","43,1",.,.,.,.,147,"15,6","73,5","10,9",28,"14,3","60,7","25,0",2018
Gylle skola 7-9,11406792,Borlänge,2081,Kommunal,Borlänge,2120002239,97,"4,1","79,4","16,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Kunskapsskolan Borlänge,70510891,Borlänge,2081,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,70,"12,9","60,0","27,1",.,.,.,.,73,"23,3","75,3","1,4",.,.,.,.,2018
Maserskolan,56442130,Borlänge,2081,Kommunal,Borlänge,2120002239,76,"7,9","65,8","26,3",.,.,.,.,.,.,.,.,35,"5,7","94,3",.,2018
Ornäs skola,33944118,Borlänge,2081,Kommunal,Borlänge,2120002239,40,"15,0","62,5","22,5",.,.,.,.,54,"5,6","77,8","16,7",.,.,.,.,2018
Bodaskolan 7-9,67454907,Borås,1490,Kommunal,Borås,2120001561,101,"6,9","50,5","42,6",.,.,.,.,129,"8,5","81,4","10,1",26,.,"84,6","15,4",2018
Borås Kristna skola,64720166,Borås,1490,Enskild,Stiftelsen Anden O Ordet,8645015697,.,.,.,.,.,.,.,.,16,"25,0","75,0",.,.,.,.,.,2018
Dalsjöskolan 7-9,60557814,Borås,1490,Kommunal,Borås,2120001561,97,"12,4","67,0","20,6",.,.,.,.,105,"9,5","79,0","11,4",.,.,.,.,2018
Daltorpskolan 7-9,97706771,Borås,1490,Kommunal,Borås,2120001561,.,.,.,.,.,.,.,.,150,"12,7","68,7","18,7",.,.,.,.,2018
Engelbrektskolan 7-9,86215855,Borås,1490,Kommunal,Borås,2120001561,93,"23,7","57,0","19,4",.,.,.,.,93,"9,7","69,9","20,4",.,.,.,.,2018
Fristadskolan 7-9,86708639,Borås,1490,Kommunal,Borås,2120001561,105,"7,6","69,5","22,9",.,.,.,.,113,"4,4","84,1","11,5",.,.,.,.,2018
Internationella Engelska Skolan Borås,58354320,Borås,1490,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,.,.,.,.,.,.,.,.,62,.,"96,8","3,2",.,.,.,.,2018
Kunskapsskolan Borås,10257640,Borås,1490,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,116,"11,2","67,2","21,6",.,.,.,.,116,"19,8","73,3","6,9",.,.,.,.,2018
Malmen Montessori,10132939,Borås,1490,Enskild,Malmen Montessori,8645012132,24,"4,2","66,7","29,2",.,.,.,.,25,"20,0","64,0","16,0",.,.,.,.,2018
Sandgärdskolan,98081621,Borås,1490,Kommunal,Borås,2120001561,106,"10,4","45,3","44,3",.,.,.,.,112,"14,3","75,0","10,7",.,.,.,.,2018
Särlaskolan 7-9,23108037,Borås,1490,Kommunal,Borås,2120001561,50,"2,0","62,0","36,0",.,.,.,.,45,"11,1","75,6","13,3",.,.,.,.,2018
Viskaforsskolan 7-9,50756758,Borås,1490,Kommunal,Borås,2120001561,55,"27,3","65,5","7,3",.,.,.,.,66,"30,3","69,7",.,.,.,.,.,2018
Björkhaga Skola,43238662,Botkyrka,0127,Kommunal,Botkyrka,2120002882,40,"7,5","75,0","17,5",.,.,.,.,44,"22,7","65,9","11,4",.,.,.,.,2018
Botkyrka Friskola F-9,80378022,Botkyrka,0127,Enskild,JPK Education AB,5564944063,.,.,.,.,.,.,.,.,33,"3,0","87,9","9,1",.,.,.,.,2018
Broängsskolan,38661388,Botkyrka,0127,Kommunal,Botkyrka,2120002882,77,"1,3","72,7","26,0",.,.,.,.,79,"25,3","60,8","13,9",.,.,.,.,2018
Brunnaskolan,53426548,Botkyrka,0127,Kommunal,Botkyrka,2120002882,18,.,"61,1","38,9",.,.,.,.,46,.,"52,2","47,8",27,"7,4","51,9","40,7",2018
Falkbergsskolan,85558618,Botkyrka,0127,Kommunal,Botkyrka,2120002882,82,"1,2","32,9","65,9",.,.,.,.,89,"5,6","64,0","30,3",.,.,.,.,2018
Fittjaskolan Botkyrka Norra,40631085,Botkyrka,0127,Kommunal,Botkyrka,2120002882,.,.,.,.,.,.,.,.,55,"25,5","65,5","9,1",53,"3,8","60,4","35,8",2018
Grindtorpsskolan,57228484,Botkyrka,0127,Kommunal,Botkyrka,2120002882,.,.,.,.,.,.,.,.,37,"2,7","62,2","35,1",29,"6,9","75,9","17,2",2018
Hammerstaskolan,25918983,Botkyrka,0127,Kommunal,Botkyrka,2120002882,.,.,.,.,.,.,.,.,33,"27,3","69,7","3,0",23,"4,3","43,5","52,2",2018
Karsby International School,67742754,Botkyrka,0127,Kommunal,Botkyrka,2120002882,21,.,"33,3","66,7",.,.,.,.,52,"7,7","84,6","7,7",28,"3,6","60,7","35,7",2018
Kunskapsskolan Tumba,84411355,Botkyrka,0127,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,47,"6,4","68,1","25,5",.,.,.,.,55,"1,8","89,1","9,1",.,.,.,.,2018
Kvarnhagsskolan,56417100,Botkyrka,0127,Kommunal,Botkyrka,2120002882,.,.,.,.,.,.,.,.,.,.,.,.,27,"3,7","29,6","66,7",2018
Malmsjö skola,86985859,Botkyrka,0127,Kommunal,Botkyrka,2120002882,48,"10,4","54,2","35,4",.,.,.,.,.,.,.,.,.,.,.,.,2018
Storvretskolan,18534178,Botkyrka,0127,Kommunal,Botkyrka,2120002882,.,.,.,.,.,.,.,.,33,"36,4","54,5","9,1",28,"3,6","64,3","32,1",2018
Stenbockskolan MH,71843145,Boxholm,0560,Kommunal,Boxholm,2120000407,40,"20,0","75,0","5,0",.,.,.,.,40,"15,0","70,0","15,0",.,.,.,.,2018
Dalaskolan Södra,79707757,Bromölla,1272,Kommunal,Bromölla,2120000894,32,"6,3","53,1","40,6",.,.,.,.,38,.,"60,5","39,5",.,.,.,.,2018
Humleskolan,18195751,Bromölla,1272,Kommunal,Bromölla,2120000894,86,"8,1","64,0","27,9",.,.,.,.,91,"7,7","76,9","15,4",.,.,.,.,2018
Bräcke skola,63287550,Bräcke,2305,Kommunal,Bräcke,2120002460,21,"4,8","57,1","38,1",.,.,.,.,26,"7,7","88,5","3,8",.,.,.,.,2018
Gällö skola,34671510,Bräcke,2305,Kommunal,Bräcke,2120002460,29,"13,8","72,4","13,8",.,.,.,.,32,"31,3","62,5","6,3",.,.,.,.,2018
Dalslundskolan 7-9,58712142,Burlöv,1231,Kommunal,Burlöv,2120001025,75,"32,0","48,0","20,0",.,.,.,.,86,"9,3","87,2","3,5",.,.,.,.,2018
Vårboskolan,95748172,Burlöv,1231,Kommunal,Burlöv,2120001025,26,"11,5","57,7","30,8",.,.,.,.,67,"23,9","50,7","25,4",45,"6,7","55,6","37,8",2018
Förslövs skola 7-9,94453321,Båstad,1278,Kommunal,Båstad,2120000944,46,"26,1","56,5","17,4",.,.,.,.,53,"13,2","73,6","13,2",.,.,.,.,2018
Strandängsskolan 7-9,16148785,Båstad,1278,Kommunal,Båstad,2120000944,69,"18,8","69,6","11,6",.,.,.,.,74,"23,0","64,9","12,2",.,.,.,.,2018
Hagaskolan,93081338,Dals-Ed,1438,Kommunal,Dals-Ed,2120001413,50,"10,0","60,0","30,0",.,.,.,.,.,.,.,.,.,.,.,.,2018
Viktor Rydbergs Samskola,13493243,Danderyd,0162,Enskild,Stiftelsen Viktor Rydbergs Skola,8120005650,.,.,.,.,.,.,.,.,165,"15,2","77,6","7,3",.,.,.,.,2018
Stora Vallaskolan,96969231,Degerfors,1862,Kommunal,Degerfors,2120001934,80,"8,8","62,5","28,8",.,.,.,.,66,"12,1","69,7","18,2",.,.,.,.,2018
Strandenskolan 4-9,17181067,Dorotea,2425,Kommunal,Dorotea,2120002809,20,"5,0","60,0","35,0",.,.,.,.,23,"8,7","69,6","21,7",.,.,.,.,2018
Gunnarsbyskolan F-9,69352527,Eda,1730,Kommunal,Eda,2120001769,39,"5,1","76,9","17,9",.,.,.,.,42,"9,5","81,0","9,5",.,.,.,.,2018
Hierneskolan F-9,55674136,Eda,1730,Kommunal,Eda,2120001769,26,"7,7","57,7","34,6",.,.,.,.,30,"6,7","80,0","13,3",.,.,.,.,2018
Birkaskolan,27595656,Ekerö,0125,Enskild,"Mälaröarnas Montessori, Ek. För.",7696032353,30,.,"56,7","43,3",.,.,.,.,30,.,"76,7","23,3",.,.,.,.,2018
Tappströmsskolan,52217632,Ekerö,0125,Kommunal,Ekerö,2120000050,154,"6,5","45,5","48,1",.,.,.,.,.,.,.,.,.,.,.,.,2018
Träkvista skola,66475520,Ekerö,0125,Kommunal,Ekerö,2120000050,53,"1,9","71,7","26,4",.,.,.,.,49,"12,2","83,7","4,1",.,.,.,.,2018
Uppgårdskolan,95057356,Ekerö,0125,Kommunal,Ekerö,2120000050,99,"32,3","46,5","21,2",.,.,.,.,.,.,.,.,.,.,.,.,2018
Furulundsskolan,48108874,Eksjö,0686,Kommunal,Eksjö,2120000589,32,"12,5","50,0","37,5",.,.,.,.,31,.,"71,0","29,0",.,.,.,.,2018
Prästängsskolan A,48457931,Eksjö,0686,Kommunal,Eksjö,2120000589,69,"8,7","47,8","43,5",.,.,.,.,71,"14,1","67,6","18,3",.,.,.,.,2018
Prästängsskolan B,98124174,Eksjö,0686,Kommunal,Eksjö,2120000589,62,"8,1","48,4","43,5",.,.,.,.,71,"7,0","84,5","8,5",.,.,.,.,2018
Bjurbäcksskolan 7-9,37716305,Emmaboda,0862,Kommunal,Emmaboda,2120000738,83,"12,0","72,3","15,7",.,.,.,.,91,"20,9","73,6","5,5",.,.,.,.,2018
Bergvretenskolan,56521117,Enköping,0381,Kommunal,Enköping,2120000282,50,"22,0","64,0","14,0",.,.,.,.,42,"2,4","78,6","19,0",.,.,.,.,2018
Entréskolan Enköping,97000303,Enköping,0381,Enskild,AmiSgo AB,5568148117,38,"5,3","47,4","47,4",.,.,.,.,37,"2,7","45,9","51,4",.,.,.,.,2018
Fjärdhundraskolan,94821900,Enköping,0381,Kommunal,Enköping,2120000282,20,.,"55,0","45,0",.,.,.,.,24,"12,5","79,2","8,3",.,.,.,.,2018
Korsängsskolan,96757645,Enköping,0381,Kommunal,Enköping,2120000282,46,"10,9","65,2","23,9",.,.,.,.,55,"9,1","70,9","20,0",.,.,.,.,2018
Kunskapsskolan Enköping,67723630,Enköping,0381,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,81,"7,4","65,4","27,2",.,.,.,.,85,"18,8","60,0","21,2",.,.,.,.,2018
Robinson Vårfru,83519502,Enköping,0381,Enskild,Aktiebolaget Fria Skolor i Enköping,5568086085,19,"15,8","73,7","10,5",.,.,.,.,22,"27,3","59,1","13,6",.,.,.,.,2018
S:t Iliansskolan,34699165,Enköping,0381,Kommunal,Enköping,2120000282,100,"10,0","69,0","21,0",.,.,.,.,127,"16,5","68,5","15,0",26,"3,8","46,2","50,0",2018
Örsundsbroskolan,98587494,Enköping,0381,Kommunal,Enköping,2120000282,39,"15,4","71,8","12,8",.,.,.,.,42,"11,9","73,8","14,3",.,.,.,.,2018
"British Junior Secondary, Eskilstuna",50048111,Eskilstuna,0484,Enskild,British Schools AB,5567516389,34,"5,9","79,4","14,7",.,.,.,.,43,"18,6","74,4","7,0",.,.,.,.,2018
Djurgårdsskolan 4-9,54605092,Eskilstuna,0484,Kommunal,Eskilstuna,2120000357,100,"5,0","57,0","38,0",.,.,.,.,106,"8,5","70,8","20,8",.,.,.,.,2018
"Entréskolan, Eskilstuna",10443922,Eskilstuna,0484,Enskild,AmiSgo AB,5568148117,34,"8,8","52,9","38,2",.,.,.,.,32,"9,4","75,0","15,6",.,.,.,.,2018
Faktoriet 7-9,64275635,Eskilstuna,0484,Kommunal,Eskilstuna,2120000357,82,"12,2","47,6","40,2",.,.,.,.,89,"23,6","71,9","4,5",.,.,.,.,2018
Gökstensskolan 7-9,40577236,Eskilstuna,0484,Kommunal,Eskilstuna,2120000357,134,"15,7","50,0","34,3",.,.,.,.,140,"10,7","82,1","7,1",.,.,.,.,2018
Internationella Engelska Skolan Eskilstuna,36759013,Eskilstuna,0484,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,150,"8,0","45,3","46,7",.,.,.,.,182,"8,8","64,8","26,4",.,.,.,.,2018
Skiftingehus F-9,65025285,Eskilstuna,0484,Kommunal,Eskilstuna,2120000357,36,"11,1","44,4","44,4",.,.,.,.,72,"9,7","75,0","15,3",36,.,"83,3","16,7",2018
Skogstorpsskolan F-9,30622727,Eskilstuna,0484,Kommunal,Eskilstuna,2120000357,116,"21,6","49,1","29,3",.,.,.,.,122,"14,8","70,5","14,8",.,.,.,.,2018
Stålforsskolan 7-9,14327803,Eskilstuna,0484,Kommunal,Eskilstuna,2120000357,121,"13,2","43,0","43,8",.,.,.,.,191,"23,6","64,9","11,5",72,"4,2","58,3","37,5",2018
Tegelviken F-9,78673553,Eskilstuna,0484,Kommunal,Eskilstuna,2120000357,50,"20,0","68,0","12,0",.,.,.,.,50,"12,0","74,0","14,0",.,.,.,.,2018
Årbyskolan F-9,63315515,Eskilstuna,0484,Kommunal,Eskilstuna,2120000357,55,"27,3","45,5","27,3",.,.,.,.,88,"28,4","62,5","9,1",36,.,"69,4","30,6",2018
Ekenässkolan,83526311,Eslöv,1285,Kommunal,Eslöv,2120001173,96,"10,4","68,8","20,8",.,.,.,.,109,"13,8","80,7","5,5",18,"5,6","61,1","33,3",2018
Källebergsskolan,26645758,Eslöv,1285,Kommunal,Eslöv,2120001173,58,"15,5","58,6","25,9",.,.,.,.,76,"21,1","57,9","21,1",22,"27,3","40,9","31,8",2018
Norrevångsskolan 7-9,37995642,Eslöv,1285,Kommunal,Eslöv,2120001173,65,"7,7","76,9","15,4",.,.,.,.,91,"12,1","76,9","11,0",23,"4,3","87,0","8,7",2018
Ölyckeskolan,96788188,Eslöv,1285,Kommunal,Eslöv,2120001173,63,"7,9","77,8","14,3",.,.,.,.,57,"8,8","63,2","28,1",.,.,.,.,2018
Nossebro skola år 6-9,26531220,Essunga,1445,Kommunal,Essunga,2120002916,.,.,.,.,.,.,.,.,57,"14,0","82,5","3,5",.,.,.,.,2018
Lindgårdsskolan 7-9,95382478,Fagersta,1982,Enskild,Västanfors-Västervåla Församling,2520040524,.,.,.,.,.,.,.,.,16,"43,8","50,0","6,3",.,.,.,.,2018
Risbroskolan,88657987,Fagersta,1982,Kommunal,Fagersta,2120002106,97,"29,9","34,0","36,1",.,.,.,.,132,"20,5","50,8","28,8",18,"16,7","44,4","38,9",2018
Apelskolan 2,58501067,Falkenberg,1382,Kommunal,Falkenberg,2120001231,43,"11,6","69,8","18,6",.,.,.,.,45,"2,2","91,1","6,7",.,.,.,.,2018
Falkenbergs Montessoriskola,78647439,Falkenberg,1382,Kommunal,Falkenberg,2120001231,16,.,"62,5","37,5",.,.,.,.,17,"17,6","82,4",.,.,.,.,.,2018
Skogstorpsskolan 1,34104887,Falkenberg,1382,Kommunal,Falkenberg,2120001231,57,"22,8","54,4","22,8",.,.,.,.,71,"2,8","77,5","19,7",.,.,.,.,2018
Söderskolan,59144575,Falkenberg,1382,Kommunal,Falkenberg,2120001231,56,"8,9","64,3","26,8",.,.,.,.,63,"20,6","76,2","3,2",.,.,.,.,2018
Tullbroskolan 1,56615270,Falkenberg,1382,Kommunal,Falkenberg,2120001231,21,.,"42,9","57,1",.,.,.,.,23,.,"69,6","30,4",.,.,.,.,2018
Tullbroskolan 2,59799831,Falkenberg,1382,Kommunal,Falkenberg,2120001231,61,"6,6","49,2","44,3",.,.,.,.,83,"9,6","78,3","12,0",24,"16,7","45,8","37,5",2018
Tångaskolan 6-9,98733120,Falkenberg,1382,Kommunal,Falkenberg,2120001231,50,"24,0","62,0","14,0",.,.,.,.,71,"22,5","74,6","2,8",28,"14,3","67,9","17,9",2018
Vesterhavsskolan,35136963,Falkenberg,1382,Enskild,Vesterhavet AB,5567870398,62,"1,6","59,7","38,7",.,.,.,.,62,"9,7","64,5","25,8",.,.,.,.,2018
Centralskolan 6-9,17911537,Falköping,1499,Kommunal,Falköping,2120001744,66,"24,2","59,1","16,7",.,.,.,.,78,"24,4","70,5","5,1",.,.,.,.,2018
Flobyskolan 7-9,54765026,Falköping,1499,Kommunal,Falköping,2120001744,34,"2,9","29,4","67,6",.,.,.,.,40,"10,0","62,5","27,5",.,.,.,.,2018
Gudhemsskolan,48695990,Falköping,1499,Kommunal,Falköping,2120001744,18,"11,1","55,6","33,3",.,.,.,.,23,"21,7","78,3",.,.,.,.,.,2018
Kinnarpsskolan,15357005,Falköping,1499,Kommunal,Falköping,2120001744,32,"3,1","75,0","21,9",.,.,.,.,37,"8,1","78,4","13,5",.,.,.,.,2018
Kyrkerörsskolan AC,39777812,Falköping,1499,Kommunal,Falköping,2120001744,31,"22,6","71,0","6,5",.,.,.,.,41,"9,8","90,2",.,.,.,.,.,2018
Kyrkerörsskolan BD,39933770,Falköping,1499,Kommunal,Falköping,2120001744,32,"15,6","62,5","21,9",.,.,.,.,46,"17,4","78,3","4,3",.,.,.,.,2018
Stenstorpsskolan B,43269172,Falköping,1499,Kommunal,Falköping,2120001744,44,"25,0","59,1","15,9",.,.,.,.,50,"20,0","78,0","2,0",.,.,.,.,2018
Thoren Framtid i Falköping,48252217,Falköping,1499,Enskild,Thoren Framtid AB,5567497051,15,"20,0","46,7","33,3",.,.,.,.,18,.,"88,9","11,1",.,.,.,.,2018
Vartoftaskolan,93035626,Falköping,1499,Kommunal,Falköping,2120001744,28,"42,9","42,9","14,3",.,.,.,.,28,"35,7","53,6","10,7",.,.,.,.,2018
Bjursåsskolan 7-9,55126250,Falun,2080,Kommunal,Falun,2120002221,47,"2,1","80,9","17,0",.,.,.,.,47,"6,4","85,1","8,5",.,.,.,.,2018
Britsarvsskolan,17033155,Falun,2080,Kommunal,Falun,2120002221,55,"3,6","69,1","27,3",.,.,.,.,61,"19,7","68,9","11,5",.,.,.,.,2018
Erlaskolan Falun,41444691,Falun,2080,Enskild,Lärande i Sverige AB,5565715892,38,"13,2","55,3","31,6",.,.,.,.,38,"10,5","42,1","47,4",.,.,.,.,2018
Friskolan Mosaik,65494903,Falun,2080,Enskild,Friskolan Mosaik i Falun ekonomisk förening,7696149751,20,"15,0","65,0","20,0",.,.,.,.,21,.,"81,0","19,0",.,.,.,.,2018
Hälsinggårdsskolan 7-9,28599917,Falun,2080,Kommunal,Falun,2120002221,115,"14,8","54,8","30,4",.,.,.,.,115,"19,1","75,7","5,2",.,.,.,.,2018
Internationella Engelska Skolan Falun,34401115,Falun,2080,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,42,"21,4","50,0","28,6",.,.,.,.,48,"12,5","77,1","10,4",.,.,.,.,2018
