skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_sv_tcv25,skolverket_andel_sv_tcv25,skolverket_and_uppn_alla_amnen_sv_tcv25,skolverket_and_behorig_sv_tcv25,skolverket_gmv_sv_tcv25,skolverket_antal_f_sv_tcv25,skolverket_andel_f_sv_tcv25,skolverket_and_uppn_alla_amnen_f_sv_tcv25,skolverket_and_behorig_f_sv_tcv25,skolverket_gmv_f_sv_tcv25,skolverket_antal_f_utl_tcv25,skolverket_andel_f_utl_tcv25,skolverket_and_uppn_alla_amnen_f_utl_tcv25,skolverket_and_behorig_f_utl_tcv25,skolverket_gmv_f_utl_tcv25,year
Arvika,Centralskolan 1,Kommunal,Arvika,60318692,124,"84,9","79,0","91,1","207,6",..,..,..,..,..,..,..,..,~100,"165,5",2013
Arvika,Järvenskolan,Kommunal,Arvika,96316449,20,"100,0","90,0",~100,"231,8",.,.,.,.,.,.,.,.,.,.,2013
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,47,"79,7","51,1","85,1","186,7",..,..,..,..,..,..,..,..,..,..,2013
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,100,"96,2","68,0","81,0","200,2",..,..,.,.,..,..,..,.,..,..,2013
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,72,"77,4","70,8","80,6","204,4",..,..,..,..,..,..,..,..,..,"173,1",2013
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,19,"82,6","100,0","100,0","240,8",..,..,.,.,.,..,..,..,..,..,2013
Avesta,Åvestadalskolan,Kommunal,Avesta,62023955,67,"97,1","85,1",~100,"221,2",..,..,.,.,.,..,..,..,..,..,2013
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,76,"82,6","76,3","90,8","216,8",..,..,..,..,..,..,..,..,..,"171,7",2013
Berg,Myrvikens skola,Kommunal,Berg,56709330,26,"100,0","100,0","100,0","231,9",.,.,.,.,.,.,.,.,.,.,2013
Berg,Svenstavik åk 1-9,Kommunal,Berg,24753562,36,"80,0","77,8","80,6","204,2",..,..,.,.,.,..,..,..,..,..,2013
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,17,"68,0","82,4",~100,"208,8",..,..,..,..,..,..,..,..,..,..,2013
Bjuv,Ekeby skola,Kommunal,Bjuv,47546433,29,"96,7","69,0",~100,"197,4",..,..,.,.,.,..,..,..,..,..,2013
Bjuv,Jens Billeskolan,Kommunal,Bjuv,19344516,31,"70,5","64,5",~100,"198,1",..,..,..,..,..,..,..,..,..,..,2013
Bjuv,Varagårdsskolan Bjuv Östra,Kommunal,Bjuv,43688189,48,"72,7","68,8",~100,"195,6",..,..,..,..,..,..,..,..,..,..,2013
Boden,Bodens alternativa skola BAS,Kommunal,Boden,19570579,..,..,.,..,..,..,..,.,.,.,.,.,.,.,.,2013
Boden,Brönjaskolan,Kommunal,Boden,60633912,45,"95,7","100,0","100,0","241,2",..,..,.,.,.,..,..,..,..,..,2013
Boden,Harads skola,Kommunal,Boden,82094905,21,"100,0","85,7",~100,"223,0",.,.,.,.,.,.,.,.,.,.,2013
Boden,Stureskolan 1,Kommunal,Boden,75627171,73,"88,0","84,9","89,0","222,2",..,..,..,..,..,..,..,..,..,..,2013
Boden,Stureskolan 2,Kommunal,Boden,89885803,51,"89,5","90,2",~100,"223,9",..,..,..,..,..,..,..,..,..,..,2013
Boden,Älvskolan,Kommunal,Boden,29649408,11,"100,0",..,..,"177,3",.,.,.,.,.,.,.,.,.,.,2013
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,82,"92,1","84,1",~100,"215,3",..,..,..,..,..,..,..,..,..,..,2013
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,34,"100,0","76,5","85,3","204,3",.,.,.,.,.,.,.,.,.,.,2013
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,67,"72,8","55,2","71,6","191,4",..,..,..,..,..,..,..,..,..,"126,8",2013
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,46,"100,0","80,4","84,8","207,4",.,.,.,.,.,.,.,.,.,.,2013
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,74,"93,7","75,7","93,2","212,4",..,..,..,..,..,..,..,..,..,..,2013
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,19,"90,5","84,2",~100,"215,7",..,..,.,.,.,..,..,..,..,..,2013
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,58,"79,5","77,6","84,5","210,2",..,..,..,..,..,..,..,..,..,..,2013
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,115,"83,9","83,5","87,8","212,8",..,..,..,..,..,..,..,..,~100,"218,3",2013
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,50,"38,5","74,0",~100,"222,7",29,"22,3","65,5",~100,"196,1",51,"39,2","27,5","47,1","148,9",2013
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,30,"81,1","80,0",~100,"208,9",..,..,..,..,..,..,..,..,..,..,2013
Borås,Bodaskolan,Kommunal,Borås,67454907,56,"42,7","83,9",~100,"226,4",35,"26,7","54,3","77,1","185,1",40,"30,5","47,5","70,0","176,0",2013
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,90,"94,7","72,2","81,1","209,7",..,..,.,.,..,..,..,..,..,..,2013
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,91,"69,5","72,5","84,6","199,7",18,"13,7","66,7",~100,"184,0",22,"16,8",..,"77,3","201,5",2013
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,99,"82,5","87,9","92,9","227,3",..,..,"92,3","100,0","235,6",..,..,..,..,..,2013
Borås,Erikslundskolan,Kommunal,Borås,50870189,34,"54,0","73,5",~100,"185,4",..,..,"77,3",~100,"209,3",..,..,..,..,..,2013
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,85,"91,4","81,2","92,9","209,6",..,..,..,..,..,..,..,..,..,..,2013
Borås,Sandgärdskolan,Kommunal,Borås,98081621,107,"95,5","85,0",~100,"224,0",..,..,..,..,..,..,..,..,..,..,2013
Borås,Särlaskolan 7-9,Kommunal,Borås,23108037,32,"50,0","90,6",~100,"233,8",16,"25,0","68,8",~100,"205,6",16,"25,0",..,..,"148,3",2013
Borås,Viskaforsskolan 6-9,Kommunal,Borås,50756758,61,"93,8","67,2","85,2","194,8",..,..,..,..,..,..,..,.,..,..,2013
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,31,"43,1","77,4","80,6","206,0",24,"33,3","66,7","79,2","199,7",17,"23,6",..,..,"134,4",2013
Botkyrka,Björkhaga Skola 1GR,Kommunal,Botkyrka,30755074,..,..,.,.,..,..,..,.,.,.,.,.,.,.,.,2013
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,85,"81,7","89,4",~100,"224,9",..,..,"93,3",~100,"232,7",..,..,..,..,..,2013
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,..,..,..,..,..,39,"68,4","61,5","76,9","187,7",..,..,..,~100,"197,0",2013
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,45,"83,3","91,1",~100,"200,8",..,..,..,..,..,..,..,..,..,..,2013
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,..,.,..,..,..,..,.,..,..,.,.,.,.,.,2013
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,..,..,..,..,..,30,"47,6","66,7","83,3","205,9",30,"47,6","46,7","56,7","159,0",2013
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,10,"16,9",..,..,"126,5",13,"22,0",..,~100,"184,8",36,"61,0","27,8","41,7","133,0",2013
Botkyrka,Grindtorpsskolan 1GR,Kommunal,Botkyrka,90361689,..,..,.,.,..,..,..,.,..,..,.,.,.,.,.,2013
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,..,..,..,..,..,29,"61,7","69,0","82,8","210,3",..,..,..,..,"202,8",2013
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,..,..,..,..,..,..,..,"73,1",~100,"207,0",35,"53,8","40,0","57,1","160,2",2013
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,..,..,..,..,..,27,"67,5","70,4","81,5","199,4",..,..,..,..,..,2013
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,26,"81,3","65,4",~100,"216,7",..,..,..,..,..,..,..,..,..,..,2013
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,2013
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,62,"77,5","93,5",~100,"233,5",..,..,..,~100,"214,4",..,..,..,..,..,2013
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,27,"37,0","40,7","81,5","194,6",32,"43,8","62,5",~100,"206,7",14,"19,2",..,..,"140,6",2013
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,67,"94,4","70,1","92,5","193,3",..,..,..,..,..,..,..,..,..,..,2013
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,38,"84,4","65,8","84,2","191,6",..,..,..,..,..,..,..,.,.,..,2013
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,90,"96,8","85,6",~100,"213,2",..,..,.,.,.,..,..,..,..,..,2013
Burlöv,Stora Dalslundskolan,Kommunal,Burlöv,58712142,65,"92,9","80,0","86,2","219,8",..,..,..,..,..,..,..,..,..,..,2013
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,33,"37,5","63,6","84,8","194,4",36,"40,9","77,8","83,3","204,0",19,"21,6","57,9",~100,"187,4",2013
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,50,"82,0","98,0","100,0","230,5",..,..,..,..,..,..,..,..,..,..,2013
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,45,"83,3","82,2",~100,"217,4",..,..,..,..,..,..,..,..,..,..,2013
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,45,"90,0","71,1",~100,"224,5",..,..,.,.,.,..,..,..,..,..,2013
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,130,"90,9","93,8","100,0","253,0",..,..,..,..,..,..,..,..,..,"205,5",2013
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,125,"89,3","92,0","100,0","244,5",..,..,..,..,..,..,..,..,..,..,2013
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,82,"84,5","72,0","86,6","204,2",..,..,..,..,..,..,..,..,..,"139,3",2013
Dorotea,Strandenskolan,Kommunal,Dorotea,56595678,20,"90,9","80,0",~100,"215,3",..,..,.,.,.,..,..,..,..,..,2013
Eda,Gunnarsbyskolan 7-9,Kommunal,Eda,95519589,27,"75,0","81,5",~100,"219,5",..,..,.,..,..,..,..,..,..,..,2013
Eda,Hierneskolan,Kommunal,Eda,85815904,28,"73,7","85,7",~100,"218,5",..,..,..,..,..,..,..,..,..,..,2013
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,43,"93,5","88,4",~100,"228,3",..,..,..,..,..,..,..,..,..,..,2013
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,56,"87,5","89,3","89,3","229,9",..,..,..,..,..,..,..,..,..,..,2013
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,28,"93,3","85,7",~100,"236,0",..,..,..,..,..,..,..,..,..,..,2013
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,74,"98,7","85,1",~100,"217,9",..,..,.,.,.,..,..,..,..,..,2013
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,27,"90,0","70,4","81,5","198,5",..,..,..,..,..,..,..,..,..,..,2013
Eksjö,Prästängsskolan,Kommunal,Eksjö,48457931,102,"87,2","73,5","91,2","207,7",..,..,..,..,..,..,..,..,..,"204,3",2013
Emmaboda,Bjurbäcksskolan 13-16 år,Kommunal,Emmaboda,37716305,70,"89,7","71,4","90,0","208,9",..,..,..,..,..,..,..,..,..,..,2013
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,63,"95,5","76,2",~100,"213,3",..,..,..,..,..,..,..,.,..,..,2013
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,31,"96,9","80,6",~100,"198,7",..,..,.,.,.,..,..,..,..,..,2013
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,53,"93,0","71,7","88,7","197,0",..,..,..,..,..,..,..,..,..,..,2013
Enköping,S:t Iliansskolan,Kommunal,Enköping,83592480,58,"76,3","89,7",~100,"223,8",..,..,..,..,..,..,..,..,..,"179,3",2013
Enköping,Västerledsskolan,Kommunal,Enköping,76759877,92,"77,3","85,9","92,4","197,0",..,..,..,..,..,..,..,..,"61,1","172,5",2013
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,44,"95,7","79,5","84,1","207,3",..,..,.,..,..,..,..,..,..,..,2013
Eskilstuna,Djurgårdsskolan hög 1,Kommunal,Eskilstuna,34148803,49,"87,5","79,6",~100,"209,4",..,..,..,..,..,..,..,..,..,..,2013
Eskilstuna,Djurgårdsskolan hög 2,Kommunal,Eskilstuna,54605092,72,"81,8","87,5",~100,"223,7",..,..,..,..,..,..,..,..,..,"195,3",2013
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,85,"91,4","75,3","85,9","192,6",..,..,..,..,..,..,..,..,..,..,2013
Eskilstuna,Skiftingehus hög A- och B-lag,Kommunal,Eskilstuna,73348838,34,"59,6","79,4",~100,"195,1",..,..,..,..,..,..,..,..,..,"132,7",2013
Eskilstuna,Skiftingehus hög E-lag,Kommunal,Eskilstuna,47926452,..,..,..,..,..,..,..,..,..,..,19,"65,5","68,4",~100,"215,7",2013
Eskilstuna,Skogstorpsskolan hög 6-9 AB,Kommunal,Eskilstuna,80168622,56,"94,9","71,4","82,1","203,8",..,..,..,..,..,..,..,..,..,..,2013
Eskilstuna,Skogstorpsskolan hög 7-9 CD,Kommunal,Eskilstuna,25219509,54,"93,1","70,4","90,7","191,6",..,..,..,..,..,..,..,.,..,..,2013
Eskilstuna,Stålforsskolan arbetslag A,Kommunal,Eskilstuna,73039560,30,"49,2","76,7",~100,"215,2",12,"19,7",..,~100,"195,2",19,"31,1",..,"73,7","174,7",2013
Eskilstuna,Stålforsskolan arbetslag B,Kommunal,Eskilstuna,18528290,41,"66,1","75,6","87,8","211,6",..,..,..,..,..,..,..,..,..,"149,6",2013
Eskilstuna,Stålforsskolan arbetslag C,Kommunal,Eskilstuna,76124360,31,"50,0","54,8","71,0","208,3",13,"21,0",..,"100,0","215,4",18,"29,0",..,"72,2","197,6",2013
Eskilstuna,Stålforsskolan arbetslag D,Kommunal,Eskilstuna,62261827,43,"69,4","95,3",~100,"244,5",..,..,..,..,..,..,..,..,..,"185,9",2013
Eskilstuna,Stålforsskolan Faktoriet,Kommunal,Eskilstuna,64275635,44,"74,6","72,7","79,5","177,0",..,..,..,..,..,..,..,..,..,"110,8",2013
Eskilstuna,Tegelviken Byn,Kommunal,Eskilstuna,78673553,13,"86,7","100,0","100,0","259,2",..,..,..,..,..,..,..,.,.,.,2013
Eskilstuna,Tegelviken Sundet,Kommunal,Eskilstuna,83485208,15,"100,0","86,7",~100,"211,5",.,.,.,.,.,.,.,.,.,.,2013
Eskilstuna,Tegelviken Viken,Kommunal,Eskilstuna,10967899,12,"100,0","91,7",~100,"218,3",.,.,.,.,.,.,.,.,.,.,2013
Eskilstuna,Årbyskolan hög,Kommunal,Eskilstuna,60791109,48,"57,8","66,7","81,3","200,5",12,"14,5",..,..,"138,1",23,"27,7",..,"43,5","143,4",2013
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,81,"80,2","84,0","88,9","226,3",10,"9,9",..,..,"220,5",10,"9,9",..,..,"147,8",2013
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,52,"78,8","75,0","90,4","208,3",..,..,..,..,..,..,..,..,..,..,2013
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,72,"71,3","72,2","91,7","210,3",19,"18,8","89,5","100,0","221,3",10,"9,9",..,..,"204,3",2013
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,49,"92,5","73,5","85,7","201,4",..,..,.,.,.,..,..,..,..,..,2013
Essunga,Nossebro skola år 0-9,Kommunal,Essunga,57353499,54,"96,4","70,4","87,0","198,2",..,..,.,.,.,..,..,..,..,..,2013
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,89,"74,2","73,0","91,0","199,7",11,"9,2",..,~100,"215,2",20,"16,7",..,..,"124,5",2013
Falkenberg,Apelskolan 1,Kommunal,Falkenberg,31158776,67,"91,8","88,1","89,6","217,4",..,..,..,..,..,..,..,..,..,..,2013
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,15,"88,2","93,3","100,0","242,2",..,..,..,..,..,..,..,.,.,.,2013
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,45,"76,3","86,7",~100,"219,9",..,..,..,..,"209,3",..,..,..,..,..,2013
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,45,"95,7","71,1","84,4","200,4",..,..,.,.,.,..,..,..,..,..,2013
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,60,"76,9","78,3",~100,"215,9",..,..,..,..,..,..,..,..,..,..,2013
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,26,"44,1","73,1",~100,"221,1",..,..,..,..,..,26,"44,1",..,..,"110,2",2013
Falköping,Flobyskolan,Kommunal,Falköping,19044601,35,"97,2","94,3",~100,"224,4",..,..,.,.,.,..,..,.,.,..,2013
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,34,"97,1","73,5",~100,"208,2",..,..,.,.,.,..,..,.,.,..,2013
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,31,"86,1","77,4",~100,"203,9",..,..,.,.,.,..,..,.,..,..,2013
Falköping,Kyrkerörsskolan A + C,Kommunal,Falköping,20272897,53,"88,3","88,7",~100,"217,7",..,..,..,..,..,..,..,..,..,..,2013
Falköping,Kyrkerörsskolan B + D + E,Kommunal,Falköping,78444521,41,"78,8","80,5",~100,"212,7",..,..,..,..,..,..,..,..,..,..,2013
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,32,"86,5","87,5",~100,"201,9",..,..,.,.,.,..,..,..,..,..,2013
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,30,"100,0","80,0",~100,"203,3",.,.,.,.,.,.,.,.,.,.,2013
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,67,"100,0","85,1",~100,"212,9",.,.,.,.,.,.,.,.,.,.,2013
Falun,Britsarvsskolan,Kommunal,Falun,17033155,88,"80,0","87,5","93,2","208,2",..,..,..,..,..,..,..,..,..,"139,7",2013
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,99,"81,8","85,9","92,9","210,3",..,..,..,..,..,..,..,..,"61,1","154,7",2013
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,18,"90,0","88,9",~100,"239,7",..,..,..,..,..,..,..,..,..,..,2013
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,77,"96,3","84,4","90,9","201,2",..,..,.,.,.,..,..,..,..,..,2013
Falun,Västra Skolan,Kommunal,Falun,27153243,69,"88,5","81,2","92,8","202,2",..,..,..,..,..,..,..,..,..,..,2013
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,78,"89,7","85,9","91,0","202,7",..,..,..,..,..,..,..,..,..,..,2013
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,23,"95,8","65,2","73,9","217,2",..,..,.,..,..,..,..,.,.,.,2013
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,77,"84,6","70,1","80,5","193,0",..,..,..,..,..,..,..,..,..,..,2013
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,93,"93,0","79,6","89,2","197,8",..,..,..,..,..,..,..,..,..,..,2013
Flen,Bruksskolan,Kommunal,Flen,59846075,31,"93,9","90,3",~100,"217,8",..,..,.,..,..,..,..,.,.,.,2013
Flen,Malmaskolan,Kommunal,Flen,41621337,59,"89,4","72,9","89,8","216,8",..,..,.,.,.,..,..,..,..,..,2013
Flen,Stenhammarskolan,Kommunal,Flen,81546814,64,"63,4","64,1","84,4","196,8",14,"13,9",..,~100,"197,1",23,"22,8",..,"60,9","161,0",2013
Forshaga,Dejeskolan MH-stadiet,Kommunal,Forshaga,43553761,40,"93,0","67,5",~100,"198,0",..,..,.,.,.,..,..,..,..,..,2013
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,82,"95,3","82,9","92,7","212,6",..,..,.,..,..,..,..,..,..,..,2013
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,56,"88,9","71,4","85,7","193,4",..,..,..,..,..,..,..,..,..,..,2013
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,47,"88,7","78,7",~100,"221,5",..,..,..,..,..,..,..,..,..,..,2013
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,29,"87,9","93,1",~100,"224,1",..,..,..,..,..,..,..,..,..,..,2013
Gislaved,Lundåkerskolans högstadium,Kommunal,Gislaved,47236914,92,"64,3","82,6","91,3","211,5",25,"17,5","84,0",~100,"209,5",26,"18,2",..,"46,2","155,4",2013
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,67,"74,4","68,7","80,6","190,3",..,..,"73,3",~100,"218,8",..,..,..,..,..,2013
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,70,"77,8","74,3","82,9","202,2",..,..,"71,4",~100,"198,3",..,..,..,..,..,2013
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,37,"94,9","67,6","86,5","208,0",..,..,.,..,..,..,..,.,.,.,2013
Gnesta,Frejaskolan 6-9,Kommunal,Gnesta,71986467,72,"91,1","72,2","87,5","202,5",..,..,.,.,..,..,..,..,..,..,2013
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,53,"65,4","83,0","88,7","207,6",..,..,"80,0",~100,"202,4",..,..,..,..,..,2013
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,30,"63,8","80,0","80,0","200,8",..,..,"90,9",~100,"228,6",..,..,..,..,..,2013
Gotland,Fårösundsskolan,Kommunal,Gotland,68188627,27,"96,4","88,9",~100,"221,4",..,..,.,.,.,..,..,..,..,..,2013
Gotland,Högby skola,Kommunal,Gotland,94163432,62,"100,0","75,8","80,6","201,6",.,.,.,.,.,.,.,.,.,.,2013
Gotland,Klinteskolan,Kommunal,Gotland,24429776,37,"90,2","75,7","83,8","199,6",..,..,..,..,..,..,..,..,..,..,2013
Gotland,Romaskolan,Kommunal,Gotland,60700608,38,"92,7","84,2",~100,"202,9",..,..,.,.,.,..,..,..,..,..,2013
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,166,"87,8","83,7","90,4","222,7",..,..,..,..,..,..,..,"52,6","52,6","175,9",2013
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,16,"100,0","75,0",~100,"202,2",.,.,.,.,.,.,.,.,.,.,2013
Gotland,Södervärnsskolans 7-9,Kommunal,Gotland,80013231,104,"96,3","82,7","89,4","212,3",..,..,..,..,..,..,..,..,..,..,2013
Grums,Jättestenskolan 6-9,Kommunal,Grums,16891307,66,"84,6","83,3","89,4","210,6",.,.,.,.,.,12,"15,4",..,..,"205,0",2013
Grästorp,Centralskolan 4-9 Norr,Kommunal,Grästorp,24376988,34,"97,1","73,5",~100,"193,4",..,..,.,.,.,..,..,..,..,..,2013
Grästorp,Centralskolan Söder 4-9,Kommunal,Grästorp,31381375,16,"88,9","87,5",~100,"203,3",..,..,.,.,.,..,..,..,..,..,2013
Gullspång,Gullstensskolan åk 7-9,Kommunal,Gullspång,89624871,44,"78,6","72,7","86,4","202,3",..,..,.,..,..,..,..,..,..,..,2013
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,28,"87,5","100,0","100,0","232,1",..,..,.,.,.,..,..,..,..,..,2013
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,21,"95,5","81,0",~100,"211,9",..,..,.,.,.,..,..,..,..,..,2013
Gällivare,Sjöparksskolan MH,Kommunal,Gällivare,24426745,39,"90,7","89,7",~100,"227,6",..,..,.,.,.,..,..,..,..,..,2013
