skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_sv_tcv25,skolverket_andel_sv_tcv25,skolverket_and_uppn_alla_amnen_sv_tcv25,skolverket_and_behorig_sv_tcv25,skolverket_gmv_sv_tcv25,skolverket_antal_f_sv_tcv25,skolverket_andel_f_sv_tcv25,skolverket_and_uppn_alla_amnen_f_sv_tcv25,skolverket_and_behorig_f_sv_tcv25,skolverket_gmv_f_sv_tcv25,skolverket_antal_f_utl_tcv25,skolverket_andel_f_utl_tcv25,skolverket_and_uppn_alla_amnen_f_utl_tcv25,skolverket_and_behorig_f_utl_tcv25,skolverket_gmv_f_utl_tcv25,year
Ale,Aroseniusskolan,Kommunal,Ale,48529699,103,"97,2","60,2","81,6","196,4",..,..,..,..,..,..,..,..,..,..,2013
Ale,Bohusskolan 7-9,Kommunal,Ale,70878576,46,"75,4","60,9","80,4","193,3",..,..,..,~100,"174,2",..,..,.,.,..,2013
Ale,Himlaskolan,Kommunal,Ale,54807007,56,"87,5","71,4","89,3","211,7",..,..,..,..,..,..,..,.,.,.,2013
Ale,Kyrkbyskolan,Kommunal,Ale,54087001,37,"59,7","48,6","75,7","182,8",14,"22,6","78,6",~100,"213,2",11,"17,7",..,..,"187,7",2013
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,78,"94,0","88,5",~100,"225,1",..,..,..,..,..,..,..,..,..,..,2013
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,71,"88,8","85,9",~100,"223,1",..,..,..,..,..,..,..,..,..,..,2013
Alingsås,Sollebrunns skola 6-9,Kommunal,Alingsås,76908037,45,"95,7","91,1",~100,"230,0",..,..,..,..,..,..,..,..,..,..,2013
Alingsås,Östlyckeskolan,Kommunal,Alingsås,63889771,104,"74,8","82,7","93,3","218,3",..,..,..,..,..,..,..,..,"53,6","174,5",2013
Alvesta,Grönkullaskolan,Kommunal,Alvesta,94191518,72,"75,0","76,4","88,9","214,0",10,"10,4",..,..,"196,8",14,"14,6",..,..,"93,8",2013
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,34,"91,9","79,4","85,3","214,7",..,..,..,..,..,..,..,.,.,..,2013
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,50,"87,7","86,0","90,0","214,7",..,..,..,..,..,..,..,..,..,..,2013
Aneby,Furulidskolan,Kommunal,Aneby,88669294,54,"80,6","94,4",~100,"227,5",..,..,..,..,..,..,..,..,..,..,2013
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,64,"86,5","84,4","92,2","218,2",..,..,..,..,..,..,..,..,..,..,2013
Arboga,Stureskolan,Kommunal,Arboga,13854755,67,"95,7","74,6","91,0","214,2",..,..,..,..,..,..,..,..,..,..,2013
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,15,"93,8","66,7",~100,"200,0",..,..,.,.,.,..,..,.,..,..,2013
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,52,"92,9","86,5",~100,"218,4",..,..,.,.,.,..,..,..,..,..,2013
