skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ekonomisk förening,71387206,45,"93,3",~100,"241,4",2018
Ale,Aroseniusskolan,Kommunal,Ale,48529699,136,"75,0","80,9","226,2",2018
Ale,Bohusskolan,Kommunal,Ale,11043800,72,"83,3","93,1","232,8",2018
Ale,Da Vinciskolan,Kommunal,Ale,61084420,136,"73,5","82,4","213,4",2018
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,100,"70,0","75,0","216,2",2018
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,114,"89,5","94,7","242,5",2018
Alingsås,Sollebrunns skola F-9,Kommunal,Alingsås,76908037,41,"90,2",~100,"241,7",2018
Alingsås,Östlyckeskolan 7-9,Kommunal,Alingsås,63399058,132,"71,2","83,3","216,0",2018
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,51,"82,4",~100,"241,1",2018
Alingsås,Linnéskolan,Enskild,Alingsås Waldorfskoleförening,32478204,..,..,..,..,2018
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,47,"87,2",~100,"244,3",2018
Alvesta,Hagaskolan,Kommunal,Alvesta,67183147,125,"54,4","66,4","183,7",2018
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,48,"54,2","77,1","198,6",2018
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,75,"65,3","70,7","195,4",2018
Aneby,Furulidskolan,Kommunal,Aneby,88669294,81,"76,5","85,2","205,9",2018
Aneby,Oasens skola,Enskild,Oasen Utbildningscenter AB,48000763,..,.,.,..,2018
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,80,"73,8","85,0","220,6",2018
Arboga,Stureskolan,Kommunal,Arboga,13854755,76,"85,5","90,8","237,7",2018
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,37,"67,6","75,7","201,2",2018
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,52,"86,5","90,4","226,3",2018
Arvika,Centralskolan,Kommunal,Arvika,60318692,146,"71,2","80,1","203,3",2018
Arvika,Kyrkebyskolan 7-9,Kommunal,Arvika,64771195,81,"84,0","91,4","228,3",2018
Arvika,"Estetiska skolan, högstadiet",Enskild,Estetiska Skolan Arvika,99375199,51,"90,2",~100,"250,8",2018
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,97,"77,3","89,7","224,3",2018
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,108,"62,0","72,2","217,1",2018
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,30,"43,3","53,3","176,3",2018
Avesta,Åvestadalskolan,Kommunal,Avesta,30454178,89,"49,4","61,8","188,9",2018
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,87,"66,7","75,9","224,2",2018
Berg,Myrvikens skola,Kommunal,Berg,56709330,33,"81,8","84,8","230,7",2018
Berg,Svenstavik åk 7-9,Kommunal,Berg,39932052,48,"72,9","75,0","218,9",2018
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,28,"71,4","71,4","207,9",2018
Bjuv,Ekeby skola åk 4-9,Kommunal,Bjuv,61795800,51,"78,4","82,4","208,5",2018
Bjuv,Jens Billeskolan  7 - 9,Kommunal,Bjuv,63778499,45,"60,0","71,1","209,3",2018
Bjuv,Varagårdsskolan Bjuv Östra   7 - 9,Kommunal,Bjuv,45883916,83,"65,1","83,1","212,7",2018
Boden,Brönjaskolan,Kommunal,Boden,60633912,99,"77,8","79,8","228,8",2018
Boden,Stureskolan,Kommunal,Boden,83862028,144,"67,4","80,6","210,2",2018
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden ekonomisk förening,98998541,29,"93,1",~100,"252,5",2018
Boden,Norrskenet Boden,Enskild,Norrskenets Friskola Boden AB,40708452,52,"71,2","84,6","232,7",2018
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,104,"86,5","93,3","247,7",2018
Bollnäs,Alirskolan 7-9,Kommunal,Bollnäs,65024773,102,"51,0","66,7","176,5",2018
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,43,"48,8","60,5","199,6",2018
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,38,"47,4","76,3","184,1",2018
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,128,"96,1","96,1","234,7",2018
Bollnäs,Edenskolan,Enskild,Stiftelsen Bollnäs Bibelcenter,69498258,..,..,..,..,2018
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,69,"66,7","84,1","218,8",2018
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,19,"94,7",~100,"255,3",2018
Borlänge,Lanternan,Enskild,Adventum Specialpedagogik AB,59137023,..,.,..,..,2018
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,88,"68,2","77,3","217,4",2018
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,184,"56,0","79,9","199,9",2018
Borlänge,Gylle skola 7-9,Kommunal,Borlänge,11406792,121,"64,5","76,0","204,3",2018
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,129,"49,6","69,0","196,6",2018
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,60,"61,7","71,7","192,1",2018
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige Aktiebolag,70510891,75,"88,0","93,3","248,5",2018
Borlänge,Immanuelskolan,Enskild,Stiftelsen Immanuel,24147931,..,..,..,..,2018
Borås,Bodaskolan 7-9,Kommunal,Borås,67454907,162,"57,4","69,1","207,5",2018
Borås,Dalsjöskolan 7-9,Kommunal,Borås,60557814,121,"72,7","78,5","225,0",2018
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,175,"58,9","78,3","211,1",2018
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,103,"89,3","91,3","249,9",2018
Borås,Erikslundskolan 7-9,Kommunal,Borås,73269899,73,"72,6","84,9","226,4",2018
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,126,"77,8","84,9","229,2",2018
Borås,Sandgärdskolan,Kommunal,Borås,98081621,119,"89,9","94,1","242,6",2018
Borås,Särlaskolan 7-9,Kommunal,Borås,23108037,70,"57,1","72,9","206,0",2018
Borås,Viskaforsskolan 7-9,Kommunal,Borås,50756758,77,"53,2","66,2","199,6",2018
Borås,Internationella Engelska Skolan Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,62,"93,5",~100,"288,3",2018
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige Aktiebolag,10257640,120,"90,0",~100,"254,7",2018
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,30,"80,0",~100,"239,8",2018
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,17,"76,5",~100,"226,2",2018
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,51,"64,7","76,5","218,6",2018
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,83,"96,4",~100,"243,8",2018
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,50,"72,0","84,0","220,7",2018
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,102,"81,4","91,2","238,2",2018
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,.,..,..,2018
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,69,"43,5","65,2","168,4",2018
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,47,"27,7","61,7","153,1",2018
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,36,"66,7","80,6","204,0",2018
Botkyrka,Hammerstaskolan 1GR,Kommunal,Botkyrka,54270895,..,.,.,..,2018
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,63,"39,7","71,4","179,9",2018
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,33,"63,6","84,8","224,2",2018
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,54,"85,2","88,9","229,4",2018
Botkyrka,Rikstens skola/Trampolinen,Kommunal,Botkyrka,76849293,..,.,..,..,2018
Botkyrka,Storvretskolan,Kommunal,Botkyrka,18534178,50,"36,0","62,0","184,9",2018
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,..,..,2018
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,83,"92,8",~100,"266,0",2018
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,73,"67,1","80,8","220,1",2018
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ekonomisk Förening,29524966,19,"63,2",~100,"208,4",2018
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,37,"64,9","83,8","231,3",2018
Botkyrka,Kunskapsskolan Tumba,Enskild,Kunskapsskolan i Sverige Aktiebolag,84411355,65,"83,1",~100,"244,3",2018
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,Sverigefinska Skolan i Botkyrka Aktiebolag,57850353,10,"100,0","100,0","251,8",2018
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,48,"64,6","77,1","210,4",2018
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,44,"75,0","84,1","221,1",2018
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,101,"70,3","78,2","211,1",2018
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,34,"55,9","67,6","188,8",2018
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,35,"68,6","77,1","199,9",2018
Bräcke,Kälarne skola,Kommunal,Bräcke,82223639,..,..,..,..,2018
Burlöv,Dalslundskolan 7-9,Kommunal,Burlöv,58712142,93,"84,9","84,9","239,0",2018
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,81,"43,2","64,2","185,7",2018
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,57,"91,2",~100,"241,0",2018
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,82,"79,3","89,0","234,7",2018
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,54,"75,9","81,5","221,3",2018
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,198,"95,5",~100,"273,7",2018
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,141,"87,9","92,2","261,2",2018
Danderyd,British International School,Enskild,Stiftelsen Borgen 2 - British International School Stockholm,66620411,10,.,.,.,2018
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,177,"93,8","97,2","281,3",2018
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,100,"70,0","85,0","206,1",2018
Dorotea,Strandenskolan 4-9,Kommunal,Dorotea,17181067,27,"70,4","77,8","203,1",2018
Eda,Gunnarsbyskolan F-9,Kommunal,Eda,69352527,51,"70,6","80,4","209,1",2018
Eda,Hierneskolan F-9,Kommunal,Eda,55674136,31,"54,8","77,4","211,3",2018
Ekerö,Drottningholmskolan,Enskild,"Drottningholmskolan, Mälaröarnas Waldorfskola",28231215,13,"100,0","100,0","301,2",2018
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,181,"82,3","87,8","256,3",2018
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,55,"90,9",~100,"250,5",2018
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,112,"76,8","88,4","227,1",2018
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,32,"93,8",~100,"280,0",2018
Eksjö,Broarps skola,Enskild,Attendo Individ och familj AB,30452569,11,..,..,..,2018
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,42,"61,9","69,0","208,2",2018
Eksjö,Prästängsskolan A,Kommunal,Eksjö,48457931,84,"76,2","82,1","232,6",2018
Eksjö,Prästängsskolan B,Kommunal,Eksjö,98124174,80,"81,3","85,0","232,7",2018
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,111,"57,7","72,1","189,6",2018
Enköping,Robinson Vårfru,Enskild,Aktiebolaget Fria Skolor i Enköping,83519502,27,"74,1",~100,"229,0",2018
Enköping,Entréskolan Enköping,Enskild,AmiSgo AB,97000303,44,"79,5","88,6","206,9",2018
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,55,"78,2","85,5","211,1",2018
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,30,"70,0","70,0","200,3",2018
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,63,"66,7","90,5","214,1",2018
Enköping,S:t Iliansskolan,Kommunal,Enköping,34699165,142,"60,6","79,6","206,7",2018
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,45,"82,2","88,9","212,7",2018
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,67723630,86,"93,0",~100,"255,6",2018
Enköping,Bergtallens skola,Enskild,Villberga Familjecenter Aktiebolag,73178642,..,..,..,..,2018
Eskilstuna,"Entréskolan, Eskilstuna",Enskild,AmiSgo AB,10443922,41,"61,0","75,6","200,9",2018
Eskilstuna,"British Junior Secondary, Eskilstuna",Enskild,British Schools AB,50048111,44,"86,4",~100,"254,1",2018
Eskilstuna,Djurgårdsskolan 4-9,Kommunal,Eskilstuna,54605092,124,"79,8","87,1","233,7",2018
Eskilstuna,Faktoriet 7-9,Kommunal,Eskilstuna,64275635,91,"89,0","94,5","237,9",2018
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,152,"83,6","91,4","240,9",2018
Eskilstuna,Skiftingehus F-9,Kommunal,Eskilstuna,65025285,80,"66,3","77,5","212,2",2018
Eskilstuna,Skogstorpsskolan F-9,Kommunal,Eskilstuna,30622727,145,"71,0","80,7","207,9",2018
Eskilstuna,Stålforsskolan 7-9,Kommunal,Eskilstuna,14327803,242,"50,8","62,0","185,1",2018
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,54,"85,2",~100,"247,0",2018
Eskilstuna,Årbyskolan F-9,Kommunal,Eskilstuna,63315515,102,"52,9","65,7","201,6",2018
Eskilstuna,Internationella Engelska Skolan Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,186,"88,7","97,3","265,3",2018
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,119,"78,2","85,7","238,2",2018
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,88,"67,0","83,0","222,9",2018
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,106,"60,4","67,9","194,6",2018
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,73,"80,8","86,3","229,2",2018
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,64,"82,8","84,4","230,8",2018
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,151,"57,0","76,2","204,4",2018
Fagersta,Lindgårdsskolan 7-9,Enskild,Västanfors-Västervåla Församling,95382478,20,"65,0","70,0","232,2",2018
Falkenberg,Apelskolan 2,Kommunal,Falkenberg,58501067,53,"69,8","73,6","218,0",2018
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,18,"66,7",~100,"251,4",2018
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,78,"67,9","80,8","202,6",2018
Falkenberg,Söderskolan,Kommunal,Falkenberg,59144575,67,"50,7","79,1","210,7",2018
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,35,"62,9","77,1","200,9",2018
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,87,"78,2","89,7","214,6",2018
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,98733120,94,"59,6","72,3","202,9",2018
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,62,"90,3",~100,"246,5",2018
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,83,"77,1","83,1","228,9",2018
Falköping,Flobyskolan 7-9,Kommunal,Falköping,54765026,44,"59,1","79,5","206,0",2018
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,26,"73,1","76,9","215,2",2018
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,39,"79,5",~100,"225,3",2018
