skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,year
Falköping,Kyrkerörsskolan AC,Kommunal,Falköping,39777812,41,"58,5","68,3","190,6",2018
Falköping,Kyrkerörsskolan BD,Kommunal,Falköping,39933770,53,"49,1","58,5","177,1",2018
Falköping,Stenstorpsskolan B,Kommunal,Falköping,43269172,53,"83,0","86,8","220,8",2018
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,28,"89,3",~100,"235,6",2018
Falköping,Thoren Framtid i Falköping,Enskild,Thoren Framtid AB,48252217,20,..,"60,0","167,1",2018
Falköping,Vårkullens skolveckohem,Enskild,Vårkullen AB,43911053,..,..,..,..,2018
Falun,Backafors Resursskola,Enskild,Attendo Närsjögläntans HVB-hem AB,27560810,..,.,..,..,2018
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,49,"93,9",~100,"246,8",2018
Falun,Britsarvsskolan,Kommunal,Falun,17033155,71,"83,1","87,3","240,8",2018
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,134,"75,4","83,6","215,0",2018
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,22,"90,9",~100,"262,0",2018
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,75,"85,3","88,0","216,8",2018
Falun,Västra Skolan,Kommunal,Falun,27153243,102,"68,6","73,5","206,3",2018
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun ekonomisk förening,65494903,23,"91,3",~100,"266,7",2018
Falun,Internationella Engelska Skolan Falun,Enskild,Internationella Engelska Skolan i Sverige AB,34401115,50,"90,0",~100,"275,7",2018
Falun,Erlaskolan Falun,Enskild,Lärande i Sverige AB,41444691,38,"86,8",~100,"223,6",2018
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor och Skolor AB,72625090,52,"98,1","100,0","259,1",2018
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,88,"78,4","84,1","219,2",2018
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,21,"76,2",~100,"218,0",2018
Finspång,Grosvadskolan Syd,Kommunal,Finspång,40732962,110,"76,4","80,9","225,2",2018
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,112,"70,5","82,1","213,2",2018
Flen,Europaskolan Malma,Enskild,Europaskolan Grundskola AB,38215460,40,"57,5","67,5","210,6",2018
Flen,Stenhammarskolan 7-9,Kommunal,Flen,81546814,111,"59,5","82,0","205,8",2018
Flen,Flens kristna skola,Enskild,Flens Kristna Skola AB,52287808,13,"100,0","100,0","271,9",2018
Forshaga,Dejeskolan H-stadiet,Kommunal,Forshaga,48228294,43,"62,8","72,1","206,4",2018
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,101,"85,1","95,0","228,4",2018
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,66,"69,7","72,7","211,8",2018
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,48,"83,3",~100,"219,8",2018
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,46,"63,0","78,3","223,9",2018
Gislaved,Lundåkerskolan,Kommunal,Gislaved,47236914,138,"59,4","74,6","198,0",2018
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,90,"80,0","83,3","222,0",2018
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,92,"68,5","79,3","207,7",2018
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,41,"51,2","70,7","190,6",2018
Gislaved,Montessorifriskolan i Gislaved,Enskild,Montessorifriskolan i Gislaved Ekonomiska förening,93436580,10,..,"100,0","243,3",2018
Gnesta,Frejaskolan 7-9,Kommunal,Gnesta,71986467,116,"69,0","80,2","208,7",2018
Gnesta,Gnesta Waldorfskola,Enskild,Gnesta Waldorfskoleförening,35159342,14,"71,4",~100,"250,5",2018
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,78,"67,9","75,6","207,1",2018
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,48,"66,7","75,0","209,2",2018
Gotland,Fårösundsskolan,Kommunal,Gotland,68188627,37,"54,1","56,8","196,6",2018
Gotland,Högbyskolan,Kommunal,Gotland,94163432,69,"78,3","84,1","216,8",2018
Gotland,Klinteskolan,Kommunal,Gotland,24429776,41,"51,2","61,0","189,6",2018
Gotland,Romaskolan,Kommunal,Gotland,60700608,41,"95,1",~100,"239,6",2018
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,191,"83,8","89,5","246,9",2018
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,40,"67,5","77,5","211,1",2018
Gotland,Södervärnsskolan,Kommunal,Gotland,80013231,143,"74,1","80,4","222,4",2018
Gotland,"Guteskolan, grundskola",Enskild,Guteskolan AB,42518434,29,"82,8",~100,"231,9",2018
Gotland,Atheneskolan,Enskild,Pysslingen Förskolor och Skolor AB,52229866,40,"90,0",~100,"241,3",2018
Gotland,Orionskolan,Enskild,Stiftelsen Orionskolan,27928506,11,..,~100,"258,3",2018
Grums,Jättestenskolan,Kommunal,Grums,16891307,77,"68,8","75,3","209,7",2018
Grästorp,Centralskolan 4-9,Kommunal,Grästorp,31381375,56,"80,4","89,3","229,5",2018
Gullspång,Gullstensskolan åk 7-9,Kommunal,Gullspång,89624871,72,"58,3","62,5","180,0",2018
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,27,"81,5",~100,"240,7",2018
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,15,..,"66,7","205,8",2018
Gällivare,Sjöparksskolan LMH,Kommunal,Gällivare,24426745,58,"65,5","74,1","201,2",2018
Gällivare,Tallbackaskolan MH,Kommunal,Gällivare,68699648,33,"90,9",~100,"249,7",2018
Gällivare,Malmens friskola,Enskild,Malmens Friskola AB,37140962,20,"95,0","100,0","279,4",2018
Gävle,Friskolan Lyftet,Enskild,Friskolan Lyftet AB,11476454,12,..,~100,"200,5",2018
Gävle,Trädgårdsskolan GKS,Enskild,Föreningen För Gefle Kristna Skola,87088456,..,..,..,..,2018
Gävle,Bergby Centralskola 1-9,Kommunal,Gävle,55373417,26,"69,2",~100,"227,5",2018
Gävle,Lillhagsskolan,Kommunal,Gävle,51387807,119,"78,2","88,2","217,8",2018
Gävle,Nynässkolan 7-9,Kommunal,Gävle,40944032,160,"65,0","75,6","209,9",2018
Gävle,Sofiedalskolan,Kommunal,Gävle,80177526,162,"77,8","90,1","217,1",2018
Gävle,Stigslunds skola,Kommunal,Gävle,91652716,107,"83,2","90,7","229,1",2018
Gävle,Stora Sätraskolan,Kommunal,Gävle,49779956,82,"48,8","73,2","196,0",2018
Gävle,Vallbacksskolan,Kommunal,Gävle,54990077,140,"49,3","61,4","187,8",2018
Gävle,Internationella Engelska Skolan Gävle,Enskild,Internationella Engelska Skolan i Sverige AB,53952728,174,"73,6","95,4","252,2",2018
Gävle,Kunskapsskolan Gävle,Enskild,Kunskapsskolan i Sverige Aktiebolag,21423670,62,"72,6","83,9","237,7",2018
Gävle,Magelungens grundskola Gävle,Enskild,Magelungen Utveckling AB,64745639,..,..,..,..,2018
Gävle,"Prolympia, Gävle",Enskild,Ulno AB,57578095,103,"81,6","93,2","228,6",2018
Göteborg,Assaredsskolan,Enskild,Assareds Skolkooperativ Ek För.,25852980,24,"70,8","70,8","219,0",2018
Göteborg,Freinetskolan Bild & Form,Enskild,Bild och Form i Göteborg Aktiebolag,31872640,25,"88,0",~100,"222,8",2018
Göteborg,Böskolans friskola,Enskild,Böskolans Friskola Ek.För.,83071620,44,"90,9",~100,"261,6",2018
Göteborg,Ebba Petterssons Grundskola,Enskild,Ebba Petterssons Privatskolas Stiftelse,88247874,103,"95,1","100,0","265,8",2018
Göteborg,Fridaskolan Kvillebäcken,Enskild,Fridaskolorna AB,56328727,74,"93,2",~100,"242,1",2018
Göteborg,Römosseskolan,Enskild,Föreningen Islamiska Skolan i Göteborg,72408586,41,"73,2",~100,"251,8",2018
Göteborg,Prolympia Göteborg,Enskild,Gothenburg Association AB,54367867,83,"95,2",~100,"239,2",2018
Göteborg,Änglagårdskolan,Enskild,Gothenburg Association AB,87427999,72,"84,7","90,3","249,8",2018
Göteborg,Bergsgårdsskolan 4-9,Kommunal,Göteborg,67687325,27,..,..,"138,0",2018
Göteborg,Bergsjöskolan 7-9,Kommunal,Göteborg,35416997,51,"23,5","31,4","133,7",2018
Göteborg,Bergums skola 4-9,Kommunal,Göteborg,98771543,85,"78,8","89,4","219,6",2018
Göteborg,Brunnsboskolan 7-9,Kommunal,Göteborg,13180797,82,"45,1","59,8","194,2",2018
Göteborg,Fiskebäcksskolan 6-9,Kommunal,Göteborg,99641533,52,"88,5",~100,"248,8",2018
Göteborg,Frejaskolan 7-9,Kommunal,Göteborg,51782099,54,"37,0","44,4","168,7",2018
Göteborg,Frölundaskolan 7-9,Kommunal,Göteborg,97820269,78,"52,6","65,4","193,4",2018
Göteborg,Gamlestadsskolan H,Kommunal,Göteborg,90710178,83,"59,0","67,5","195,8",2018
Göteborg,Glöstorpsskolan 7-9,Kommunal,Göteborg,85656343,82,"53,7","62,2","187,8",2018
Göteborg,Guldhedsskolan 7-9,Kommunal,Göteborg,98423378,79,"60,8","70,9","208,4",2018
Göteborg,Gårdstensskolan 4-9,Kommunal,Göteborg,55886598,49,"46,9","46,9","181,5",2018
Göteborg,Hjällboskolan 6-9,Kommunal,Göteborg,63925456,58,"32,8","41,4","174,1",2018
Göteborg,Hovåsskolan 7-9,Kommunal,Göteborg,32603156,101,"62,4","75,2","214,7",2018
Göteborg,Jättestensskolan 2 F-9,Kommunal,Göteborg,55124975,49,"81,6","81,6","217,7",2018
Göteborg,Kannebäcksskolan Döv o Hörsel,Kommunal,Göteborg,56339656,..,..,..,..,2018
Göteborg,Kannebäcksskolan Tal o Språk,Kommunal,Göteborg,55529681,..,.,.,..,2018
Göteborg,Klarebergsskolan 7-9,Kommunal,Göteborg,20429308,112,"72,3","83,0","214,3",2018
Göteborg,Kålltorpsskolan 4-9,Kommunal,Göteborg,16954837,110,"85,5","87,3","239,5",2018
Göteborg,Kärralundsskolan F-9,Kommunal,Göteborg,14037390,78,"94,9",~100,"266,4",2018
Göteborg,Kärraskolan 4-9 och grundsärskola åk 1-9,Kommunal,Göteborg,85930744,79,"65,8","74,7","211,4",2018
Göteborg,Lindåsskolan 4-9,Kommunal,Göteborg,61845870,60,"75,0","81,7","227,5",2018
Göteborg,Lundenskolan F-9,Kommunal,Göteborg,37379026,79,"55,7","65,8","211,8",2018
Göteborg,Lövgärdesskolan 4-9,Kommunal,Göteborg,31928894,50,"26,0","34,0","167,9",2018
Göteborg,Montessoriskolan Elyseum,Kommunal,Göteborg,46489893,18,"83,3",~100,"279,6",2018
Göteborg,Nordhemsskolan 2,Kommunal,Göteborg,32380381,199,"81,4","88,4","245,4",2018
Göteborg,Nordlyckeskolan,Kommunal,Göteborg,93002896,136,"93,4","94,1","251,6",2018
