skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Ale gymnasium,17221836,Ale,1440,2120001439,Ale,Kommunal,"7,2","1,0","6,2","57,7","83,7",.,"17,1","1,0","105,0","83,7",2016
Lärlingsgymnasiet i Ale,93221031,Ale,1440,5567628176,Lärlingsgymnasiet i Sverige AB,Enskild,"17,3","0,9","16,4","40,2","32,3",.,"11,5","0,5","378,0","75,6",2016
Alingsås Yrkesgymnasium,17474377,Alingsås,1489,5567290548,Alingsås Yrkesgymnasium AB,Enskild,"7,8","1,0","6,8","32,8","52,9","1,5","8,8",.,.,"80,9",2016
Alströmergymnasiet sektor 1,74776778,Alingsås,1489,2120001553,Alingsås,Kommunal,"12,8","0,5","12,3","49,2","96,6","2,4","20,4","0,4","586,0","100,0",2016
Alströmergymnasiet sektor 2,18345915,Alingsås,1489,2120001553,Alingsås,Kommunal,"24,1","1,0","23,1","30,7","87,8","2,2","12,3","0,4","662,8","95,7",2016
Alströmergymnasiet sektor 3,68229719,Alingsås,1489,2120001553,Alingsås,Kommunal,"19,2","1,0","18,2","59,4","97,4","1,6","12,0","0,4","547,5","100,0",2016
Alströmergymnasiet sektor 4,61004230,Alingsås,1489,2120001553,Alingsås,Kommunal,"23,0","1,0","22,0","51,8","82,4","1,1","7,9","0,2","1 017,6","97,7",2016
Alströmergymnasiet sektor 5,67768292,Alingsås,1489,2120001553,Alingsås,Kommunal,"5,6","0,5","5,1","73,8","81,7",.,"32,5","0,3","634,6","100,0",2016
Allbo Lärcenter,75459583,Alvesta,0764,2120000639,Alvesta,Kommunal,"8,0","0,3","7,7","70,1","85,1","13,0","16,1","0,3","496,0","61,7",2016
Vasagymnasiet,71262305,Arboga,1984,2120002122,Arboga,Kommunal,"40,3","1,0","39,3","45,5","81,8",.,"9,6",.,.,"84,6",2016
Hornavanskolan,55795961,Arjeplog,2506,2120002668,Arjeplog,Kommunal,"14,8","0,9","13,9","31,9","58,8",.,"8,2","0,5","253,3","69,6",2016
Sandbackaskolan,84947634,Arvidsjaur,2505,2120002650,Arvidsjaur,Kommunal,"29,0","0,7","28,3","51,7","61,2","3,5","9,1","1,0","257,0","81,9",2016
"Estetiska skolan, gymnasiet",23517336,Arvika,1784,8740020212,Estetiska Skolan Arvika,Enskild,"9,1","0,4","8,7","41,0","73,0","0,6","7,5","0,2","325,0","67,7",2016
Solbergagymnasiet,48009865,Arvika,1784,2120001892,Arvika,Kommunal,"32,9","2,0","30,9","45,8","89,8","3,2","11,8","1,0","365,0","88,6",2016
Taserudsgymnasiet 1,97870412,Arvika,1784,2120001892,Arvika,Kommunal,"19,3","0,8","18,5","24,7","74,5","2,7","7,9","0,5","290,0","98,9",2016
Taserudsgymnasiet 2,68564903,Arvika,1784,2120001892,Arvika,Kommunal,"23,6","1,0","22,6","42,7","66,4","2,2","8,5","0,5","386,0","79,7",2016
Taserudsgymnasiet 3,48290232,Arvika,1784,2120001892,Arvika,Kommunal,"8,9",.,"8,9","78,7","86,5",.,"17,1","1,5","101,3","87,6",2016
Karlfeldtgymnasiet ro 1,82840198,Avesta,2084,2120002262,Avesta,Kommunal,"46,1","1,0","45,1","70,8","66,5","1,9","9,6","1,1","399,1","81,2",2016
Karlfeldtgymnasiet ro 2,18208087,Avesta,2084,2120002262,Avesta,Kommunal,"27,9","1,0","26,9","29,5","70,3","2,5","9,1","0,8","294,0","86,8",2016
Karlfeldtgymnasiet ro 3,89982804,Avesta,2084,2120002262,Avesta,Kommunal,"15,9","1,0","14,9","60,1","84,5","4,4","9,9","0,6","255,2","84,8",2016
Strömkullegymnasiet,19464342,Bengtsfors,1460,2120001470,Bengtsfors,Kommunal,"25,9","2,0","23,9","51,1","69,1",.,"8,9","1,0","212,0","76,8",2016
Fjällgymnasiet,60743463,Berg,2326,2120002502,Berg,Kommunal,"15,3","1,0","14,3","47,6","31,5",.,"10,4","0,2","745,0","80,4",2016
Gymnasieutbildningen i Bjuv,70011480,Bjuv,1260,2120001041,Bjuv,Kommunal,"6,0","0,2","5,8","85,1","38,8",.,"9,9","1,0","57,0","51,7",2016
Björknäsgymnasiet sektor 1,32960825,Boden,2582,2120002767,Boden,Kommunal,"22,6",.,"22,6","75,2","95,6","13,3","15,8","1,0","356,0","94,7",2016
Björknäsgymnasiet sektor 2,43609520,Boden,2582,2120002767,Boden,Kommunal,"22,9","1,0","21,9","55,8","92,4","4,6","7,6","1,0","165,0","99,3",2016
Björknäsgymnasiet sektor 3,41416934,Boden,2582,2120002767,Boden,Kommunal,"29,2","1,0","28,2","34,4","82,3","3,5","8,4",.,.,"96,5",2016
Björknäsgymnasiet sektor 4,97968599,Boden,2582,2120002767,Boden,Kommunal,"19,3","1,0","18,3","62,8","100,0","5,5","5,0","1,0","92,0","100,0",2016
Bollebygds gymnasieskola,35225375,Bollebygd,1443,2120002973,Bollebygd,Kommunal,"1,6","0,2","1,4",.,"100,0","28,6","7,1","0,1","200,0","71,4",2016
Friskolan Nytorp,21567982,Bollnäs,2183,5568813561,Friskolan Nytorp AB,Enskild,"6,8","0,4","6,4","33,5","66,0","7,8","7,4",.,.,"3,1",2016
Hälsingegymnasiet,91748148,Bollnäs,2183,5567600886,Hälsingegymnasiet AB,Enskild,"22,1","1,0","21,1","30,4","75,8","3,6","12,9","0,4","677,5","94,0",2016
Naturlära i Hälsingland,49379603,Bollnäs,2183,5568554314,NaturLära i Hälsingland AB,Enskild,"3,8","0,6","3,2","73,4","57,8",.,"5,6",.,.,"93,8",2016
Nytorps Hästgymnasium,80167319,Bollnäs,2183,5569063455,Nytorps Hästgymnasium AB,Enskild,"3,0","0,1","2,9","88,0","60,6",.,"10,3","0,0","3 000,0","82,9",2016
Torsbergsgymnasiet RO3,42218661,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"22,8","1,0","21,8","70,7","68,1",.,"9,3",.,.,"75,5",2016
Torsbergsgymnasiet RO4,73171934,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"31,2","1,0","30,2","69,3","58,6",.,"7,4","2,0","112,0","65,4",2016
Torsbergsgymnasiet RO5,83474173,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"20,9","1,0","19,9","39,6","83,2","3,9","9,8",.,.,"86,2",2016
Ölands Gymnasium 1,91487291,Borgholm,0885,8324016453,Borgholm,Kommunal,"8,9","0,5","8,4","80,2","79,6",.,"13,2","0,5","220,0","72,5",2016
Erikslundsgymnasiet,21866405,Borlänge,2081,2120002239,Borlänge,Kommunal,"20,9","0,3","20,6","34,1","53,6","3,4","7,6","0,3","520,0","86,2",2016
Hagagymnasiet,74434644,Borlänge,2081,2120002239,Borlänge,Kommunal,"50,4","2,5","47,9","61,3","83,4","1,0","11,6","1,5","369,3","89,2",2016
Helixgymnasiet Borlänge,42022406,Borlänge,2081,5566747290,Helixutbildningar AB,Enskild,"20,5","1,7","18,9","41,9","42,4","5,3","14,2","1,0","268,0","27,6",2016
Hushagsgymnasiet,88445871,Borlänge,2081,2120002239,Borlänge,Kommunal,"43,2","0,7","42,5","37,4","68,3","3,7","7,9","0,7","481,4","95,2",2016
Introduktionsprogrammen,19100658,Borlänge,2081,2120002239,Borlänge,Kommunal,"36,5","1,0","35,5","66,2","77,5","8,5","10,1","1,0","359,0","85,9",2016
Soltorgsgymnasiet,65192707,Borlänge,2081,2120002239,Borlänge,Kommunal,"34,3","1,0","33,3","52,9","94,0",.,"14,3","1,0","475,0","97,0",2016
Almåsgymnasiet A,18425335,Borås,1490,2120001561,Borås,Kommunal,"27,2","1,0","26,2","78,4","84,0","2,9","11,1","0,3","881,8","85,7",2016
Almåsgymnasiet B,93281974,Borås,1490,2120001561,Borås,Kommunal,"22,9","1,0","21,9","73,0","88,0","4,6","12,8","0,3","826,5","98,3",2016
Almåsgymnasiet C,23424275,Borås,1490,2120001561,Borås,Kommunal,"22,1","1,0","21,1","57,8","87,7",.,"9,5","0,3","588,2","92,4",2016
Bäckängsgymnasiet A,43634528,Borås,1490,2120001561,Borås,Kommunal,"34,1","1,0","33,1","69,4","98,0",.,"14,5","0,5","958,0","94,1",2016
Bäckängsgymnasiet B,36263479,Borås,1490,2120001561,Borås,Kommunal,"29,5","1,0","28,5","55,6","95,9","1,8","17,7","0,5","1 006,0","75,7",2016
Bäckängsgymnasiet C,56679384,Borås,1490,2120001561,Borås,Kommunal,"21,2","1,0","20,2","54,8","91,3",.,"12,1","0,5","488,0","85,4",2016
Bäckängsgymnasiet D,30538202,Borås,1490,2120001561,Borås,Kommunal,"15,1","1,0","14,1","53,5","98,6","3,6","10,2","0,5","286,0","90,1",2016
Drottning Blankas Gymn. Borås,19150273,Borås,1490,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"10,7","1,0","9,7","76,1","53,3","4,1","12,8","0,2","620,0","41,9",2016
LBS Ljud & Bildskolan Borås,69018222,Borås,1490,5564851649,Ljud & Bildskolan Lbs AB,Enskild,"16,2","1,0","15,2","21,5","43,2","1,7","13,7","0,1","2 080,0","41,6",2016
Praktiska Borås,25624692,Borås,1490,5562575786,Praktiska Sverige AB,Enskild,"12,9","1,0","11,9","37,0","34,5","8,4","11,0","0,2","655,0","64,7",2016
Realgymnasiet Borås,88534520,Borås,1490,5565715892,Lärande i Sverige AB,Enskild,"11,1","1,0","10,1","41,6","43,1","2,0","11,6","0,3","390,0","90,1",2016
Sven Eriksonsgymnasiet A,12889940,Borås,1490,2120001561,Borås,Kommunal,"26,0","1,0","25,0","48,9","70,8",.,"20,9","0,4","1 307,5","72,4",2016
Sven Eriksonsgymnasiet B,16554575,Borås,1490,2120001561,Borås,Kommunal,"26,5","1,0","25,5","35,5","76,0",.,"10,1","0,5","512,0","76,4",2016
Sven Eriksonsgymnasiet C,34076477,Borås,1490,2120001561,Borås,Kommunal,"34,3","1,0","33,3","40,6","76,0",.,"11,2","0,3","1 492,0","81,2",2016
Tullengymnasiet A,14701551,Borås,1490,2120001561,Borås,Kommunal,"2,8","1,0","1,8","100,0","100,0",.,"89,4","1,0","161,0","100,0",2016
Tullengymnasiet B,33201730,Borås,1490,2120001561,Borås,Kommunal,"14,1","1,0","13,1","46,6","84,7","3,8","10,1","1,0","132,0","79,4",2016
Viskastrandsgymnasiet A,25356960,Borås,1490,2120001561,Borås,Kommunal,"25,7","0,7","25,0","21,4","58,4",.,"7,0",.,.,"60,6",2016
Viskastrandsgymnasiet B,64284020,Borås,1490,2120001561,Borås,Kommunal,"25,5","1,0","24,5","39,4","65,7",.,"10,9",.,.,"72,9",2016
Viskastrandsgymnasiet C,98132436,Borås,1490,2120001561,Borås,Kommunal,"27,6","1,0","26,6","18,0","64,7",.,"12,4",.,.,"63,5",2016
Gullviva gymnasiet,53400472,Botkyrka,0127,5567538383,STEG för framtiden Aktiebolag,Enskild,"11,2","0,4","10,8","39,2","87,2",.,"9,1","0,6","163,3","75,1",2016
S:t Botvids gymnasium,97758137,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"39,8","0,5","39,3","63,7","82,2","2,5","13,4","1,0","525,0","85,1",2016
Tullinge gymnasium,26334561,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"46,4",.,"46,4","69,8","97,4","3,0","14,7","1,8","377,8","93,1",2016
Tumba gymnasium,40386043,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"101,2",.,"101,2","47,5","88,8","2,0","12,9","3,0","435,3","81,5",2016
Furubygg,29324709,Bromölla,1272,2220001222,Bromölla,Kommunal,"4,4","0,2","4,3","17,6","52,9",.,"10,1",.,.,"76,5",2016
"Jämtlands Gymn, Bräcke 5A",26864271,Bräcke,2305,2220001636,Bräcke,Kommunal,"12,8","0,8","12,0","33,7","48,1",.,"5,9","0,3","284,0","68,4",2016
"Jämtlands Gymn, Bräcke 5B",64411379,Bräcke,2305,2220001636,Bräcke,Kommunal,"8,5","0,7","7,9","61,1","49,7",.,"8,7","0,1","523,1","76,4",2016
Gymnasieutbildningen i Burlöv,73416853,Burlöv,1231,2120001025,Burlöv,Kommunal,"3,0",.,"3,0","68,1","81,7","27,1","7,8","2,0","11,5","65,1",2016
Akademi Båstad Gymnasium,59483268,Båstad,1278,2120000944,Båstad,Kommunal,"23,1","1,0","22,1","64,8","92,3","2,7","12,1","1,0","267,0","73,3",2016
Apelrydsskolan,33685428,Båstad,1278,8024247234,Stiftelsen Apelrydsskolan,Enskild,"11,3","0,5","10,8","67,1","86,6",.,"11,0","0,3","476,0","90,7",2016
Apelrydsskolan i Båstad,32879845,Båstad,1278,8024778402,Stiftelsen Apelryd International,Enskild,"3,5","0,5","3,0","73,2","100,0",.,"18,8","0,2","373,3","91,6",2016
"Utsikten, Dals-Eds gymnasium",88573795,Dals-Ed,1438,2120001413,Dals-Ed,Kommunal,"20,5","0,8","19,7","61,4","74,6","3,0","6,5","0,8","158,0","92,4",2016
Danderyds Gymnasium Ekonomi,20699742,Danderyd,0162,2120000126,Danderyd,Kommunal,"29,7","1,0","28,7","61,4","97,9",.,"19,1",.,.,"90,2",2016
Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Danderyd,0162,2120000126,Danderyd,Kommunal,"27,5","1,0","26,5","53,6","100,0",.,"15,2",.,.,"99,1",2016
"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Danderyd,0162,2120000126,Danderyd,Kommunal,"33,4","1,0","32,4","50,6","96,9","5,6","10,9","1,0","352,0","97,0",2016
Marina läroverket i Danderyd,82814120,Danderyd,0162,5565160669,Klart Skepp Marinteknik AB,Enskild,"28,3","1,0","27,3","60,8","76,1",.,"16,5","0,3","1 800,0","88,3",2016
