skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Viktor Rydberg gy. Djursholm,45164827,Danderyd,0162,8120005650,Stiftelsen Viktor Rydbergs Skola,Enskild,"34,2","1,0","33,2","44,1","85,6",.,"15,2","0,3","1 530,3","80,6",2016
Möckelngymnasiet Degerfors,10924758,Degerfors,1862,2120001991,Degerfors,Kommunal,"20,6","1,0","19,6","57,4","89,4","10,2","15,0","1,0","293,0","89,4",2016
Eda gymnasieskola,10200794,Eda,1730,2120001769,Eda,Kommunal,"10,5","2,0","8,5","75,3","32,4",.,"8,7","0,5","154,2","74,7",2016
Individuella Gymnasiet,55711881,Ekerö,0125,2120000050,Ekerö,Kommunal,"8,4","1,0","7,4","59,5","81,1","21,6","2,8","0,6","35,0","73,0",2016
Eksjö Gymnasium 1,34153869,Eksjö,0686,2120000589,Eksjö,Kommunal,"27,6","1,0","26,6","63,2","85,0",.,"8,8","1,0","233,0","100,0",2016
Eksjö Gymnasium 2,88259298,Eksjö,0686,2120000589,Eksjö,Kommunal,"16,6","1,0","15,6","39,4","61,1","5,1","4,8","0,8","93,8","81,7",2016
Eksjö Gymnasium 3,73098153,Eksjö,0686,2120000589,Eksjö,Kommunal,"20,5","1,0","19,5","59,1","52,4",.,"12,9","1,0","250,0","68,1",2016
Nifsarpsskolan fri,44240250,Eksjö,0686,5565848537,Eksjö Fordonsutbildning AB,Enskild,"24,5","1,0","23,5","10,2","37,9",.,"8,9",.,.,"74,5",2016
Vilhelm Mobergsgymnasiet,17846181,Emmaboda,0862,2120000738,Emmaboda,Kommunal,"20,8","0,5","20,3","28,6","60,3",.,"12,0","0,5","488,0","81,5",2016
Westerlundska gymnasiet,75082798,Enköping,0381,2120000282,Enköping,Kommunal,"98,1","1,0","97,1","51,4","84,2","4,5","12,2","4,0","296,0","92,8",2016
Grillska Gymnasiet Eskilstuna,23555409,Eskilstuna,0484,8020170794,Stadsmissionens Skolstiftelse,Enskild,"30,0","1,0","29,0","53,1","76,3","3,4","15,6","1,0","451,0","78,9",2016
Interkulturella enheten,87554242,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"8,1","0,3","7,8","77,0","41,9",.,"4,5","1,0","35,0","70,8",2016
Kunskapscompaniets Gymnasium,91333138,Eskilstuna,0484,5561383885,Kunskapscompaniet Gymnasium KCGY AB,Enskild,"9,9","0,5","9,4","41,5","46,8",.,"11,7",.,.,"100,0",2016
"Mikael Elias Gymnasium, Eskilstuna",82060950,Eskilstuna,0484,5565583282,Mikael Elias Gymnasium AB,Enskild,"2,7","0,4","2,3","45,7","54,3",.,"8,7","0,6","33,3","71,7",2016
NTI-gymnasiet Eskilstuna,30341162,Eskilstuna,0484,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"11,4","0,9","10,5","28,1","43,3",.,"13,0",.,.,"46,2",2016
Realgymnasiet Eskilstuna,39936461,Eskilstuna,0484,5565715892,Lärande i Sverige AB,Enskild,"12,2","1,0","11,2","66,9","40,3",.,"10,8","0,3","484,0","77,4",2016
Rekarnegymnasiet 1,72266906,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"59,9","1,0","58,9","54,5","79,6",.,"12,1","0,5","1 420,0","85,6",2016
Rekarnegymnasiet 2,27030026,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"26,1","1,0","25,1","53,0","96,0","6,0","14,1","1,0","354,0","90,4",2016
Rekarnegymnasiet 3,12154972,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"37,0","1,0","36,0","22,6","60,0","2,6","10,6","1,0","381,0","96,1",2016
Rinmangymnasiet RI 1,16950252,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"41,7","0,9","40,8","53,4","90,2","1,7","11,9",.,.,"95,1",2016
Rinmangymnasiet RI 2,34637764,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"69,6","1,0","68,6","65,4","83,5","5,5","10,8","2,0","370,0","95,9",2016
S:t Eskils gymnasium 1,19912478,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"49,0","1,0","48,0","54,5","91,0",.,"10,3",.,.,"91,3",2016
S:t Eskils gymnasium 2,73255276,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"36,8","1,0","35,8","68,2","87,0","5,6","7,9","3,0","94,3","86,2",2016
Bergagymnasiet,15077883,Eslöv,1285,2120001173,Eslöv,Kommunal,"57,5","1,0","56,5","51,8","81,8","3,2","10,3","1,5","389,3","82,1",2016
Nossebro Lärcenter,37677921,Essunga,1445,2120002916,Essunga,Kommunal,"1,1","0,1","1,0","100,0","100,0",.,"3,0",.,.,"100,0",2016
"NVU, Brinellskolan 1",32420077,Fagersta,1982,2220000927,Fagersta,Kommunal,"25,2","1,0","24,2","46,5","81,8","6,6","8,4",.,.,"91,5",2016
"NVU, Brinellskolan 2",48434184,Fagersta,1982,2220000927,Fagersta,Kommunal,"28,4","1,0","27,4","42,8","72,6","2,6","15,9","1,0","435,0","94,5",2016
Drottning Blankas Gymn. Falkenberg,58724424,Falkenberg,1382,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"12,7","1,0","11,7","69,6","60,2",.,"12,5","0,2","730,0","67,0",2016
Falkenbergs Gymnasieskola 1,95684185,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"29,8","1,0","28,8","58,6","92,3","9,3","14,2","2,4","171,4","82,7",2016
Falkenbergs Gymnasieskola 2,51138448,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"17,6","1,0","16,6","63,8","97,5","4,0","12,5","0,5","433,3","79,0",2016
Falkenbergs Gymnasieskola 3,19647256,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"27,8","1,0","26,8","28,6","82,7","2,5","7,1","0,5","422,2","92,7",2016
Falkenbergs Gymnasieskola 4,56421429,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"20,0","1,0","19,0","33,9","83,6","3,5","10,7","0,4","507,5","86,8",2016
Falkenbergs Gymnasieskola 5,39911065,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"17,8","0,6","17,2","37,4","91,4","3,9","13,3","0,9","259,1","81,1",2016
Falkenbergs Gymnasieskola 6,89068742,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"17,9","1,0","16,9","49,9","83,2","9,9","6,6","0,2","622,2","82,1",2016
Ållebergsgymnasiet A,17008320,Falköping,1499,2120001744,Falköping,Kommunal,"23,7","0,8","23,0","42,0","76,2",.,"9,0","0,6","343,3","89,8",2016
Ållebergsgymnasiet B,56737496,Falköping,1499,2120001744,Falköping,Kommunal,"25,2","1,0","24,2","55,0","74,3","3,1","9,1","0,6","365,0","94,5",2016
Ållebergsgymnasiet C,88850910,Falköping,1499,2120001744,Falköping,Kommunal,"16,8","1,0","15,8","54,6","76,5","6,3","15,3","0,2","1 210,0","83,2",2016
Ållebergsgymnasiet D,78317945,Falköping,1499,2120001744,Falköping,Kommunal,"7,1","0,3","6,8","80,5","71,3",.,"8,1","0,2","275,0","82,4",2016
Ållebergsgymnasiet E,93939982,Falköping,1499,2120001744,Falköping,Kommunal,"32,0","1,0","31,0","46,6","80,4","3,2","9,0","0,5","560,0","95,5",2016
Falu Frigymnasium,25720752,Falun,2080,5566112834,Falu Frigymnasium Aktiebolag,Enskild,"25,8","1,0","24,8","56,3","90,9",.,"13,8","0,9","378,9","90,9",2016
Hagströmska gymnasiet Falun,55155562,Falun,2080,5567550461,Hagströmska Gymnasiet AB,Enskild,"64,3","3,7","60,6","40,1","43,2",.,"10,9","1,0","661,0","79,1",2016
Kristinegymnasiet RO1,31533003,Falun,2080,2120002221,Falun,Kommunal,"34,0","1,0","33,0","68,0","100,0","4,5","14,5","0,8","578,3","100,0",2016
Kristinegymnasiet RO2,31429031,Falun,2080,2120002221,Falun,Kommunal,"13,3","0,6","12,7","76,3","92,1","3,9","10,4","0,3","488,9","86,2",2016
Lugnetgymnasiet RO1,23164911,Falun,2080,2120002221,Falun,Kommunal,"39,4","1,0","38,4","39,6","72,2",.,"12,2","1,0","467,0","83,0",2016
Lugnetgymnasiet RO2,24008049,Falun,2080,2120002221,Falun,Kommunal,"21,7","0,9","20,8","23,6","64,5","2,9","7,7","0,5","320,0","100,0",2016
Lugnetgymnasiet RO3,72661886,Falun,2080,2120002221,Falun,Kommunal,"39,9","1,6","38,4","52,1","79,2","2,6","10,7","1,4","292,1","79,7",2016
"Mikael Elias Gymnasium, Falun",19981611,Falun,2080,5565583282,Mikael Elias Gymnasium AB,Enskild,"9,4","0,9","8,5","32,5","81,7",.,"10,3",.,.,"72,8",2016
NTI-gymnasiet Falun,36680097,Falun,2080,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"12,9","1,0","11,9","24,8","53,8",.,"7,8",.,.,"76,9",2016
Spångbergsgymnasiet Re 2,95233730,Filipstad,1782,2120001876,Filipstad,Kommunal,"19,0",.,"19,0","40,3","59,7",.,"9,9","0,3","756,0","71,8",2016
"Spångbergsgymnasiet Re 2, IM",93242695,Filipstad,1782,2120001876,Filipstad,Kommunal,"15,1",.,"15,1","79,7","57,5","3,3","9,4",.,.,"44,2",2016
Spångbergsgymnasiet Re 3,81555202,Filipstad,1782,2120001876,Filipstad,Kommunal,"10,1","1,0","9,1","66,3","88,4",.,"9,5",.,.,"86,2",2016
Curt Nicolin-gymnasiet,95683850,Finspång,0562,5566431044,Curt Nicolin Gymnasiet AB,Enskild,"29,9","0,8","29,1","39,3","24,6",.,"14,6",.,.,"69,2",2016
Nya Bergska väst,17643936,Finspång,0562,2120000423,Finspång,Kommunal,"8,6",.,"8,6","52,0","82,5","16,4","18,6","0,5","318,0","82,5",2016
Nya Bergska Öst,24273261,Finspång,0562,2120000423,Finspång,Kommunal,"20,9","0,6","20,3","53,9","89,4","4,9","10,5","0,5","428,0","100,0",2016
Prins Wilhelm gymnasiet,59455288,Flen,0482,2120000332,Flen,Kommunal,"35,8","1,0","34,8","58,1","68,4",.,"9,9",.,.,"69,4",2016
ForshagaAkademin,82163292,Forshaga,1763,5566205737,ForshagaAkademin AB,Enskild,"24,1","1,0","23,1","46,9","65,9",.,"11,9","0,2","1 375,0","91,3",2016
Gymnasieutbildningen i Gagnef,19599583,Gagnef,2026,2120002155,Gagnef,Kommunal,"4,0","0,3","3,7","86,5","94,6","27,0","14,6","0,5","108,0","94,6",2016
Gislaveds gymnasium Ekonomisk sektor,25679488,Gislaved,0662,2120000514,Gislaved,Kommunal,"25,9","1,0","24,9","33,6","78,5",.,"13,8","0,5","688,0","78,1",2016
Gislaveds gymnasium NEO sektor,25677996,Gislaved,0662,2120000514,Gislaved,Kommunal,"36,6","1,0","35,6","60,7","75,0","2,8","9,5","0,7","498,5","78,1",2016
Gislaveds gymnasium Teknisk sektor,89888648,Gislaved,0662,2120000514,Gislaved,Kommunal,"29,8","1,0","28,8","29,3","78,7","7,6","10,9","0,7","434,7","91,3",2016
Motorsportsgymn. Anderstorp,90003262,Gislaved,0662,5563836757,"Värmdö Tekniska Utbildningar Aktiebolag, Vtu",Enskild,"4,1","1,0","3,1",.,"77,4",.,"23,2",.,.,"77,4",2016
Gnosjöandans kunskapsc. gy,35063170,Gnosjö,0617,2120000506,Gnosjö,Kommunal,"31,9","1,0","30,9","53,3","78,4",.,"10,2",.,.,"96,1",2016
"Guteskolan, gymnasieskolan",31279294,Gotland,0980,5567044267,Guteskolan AB,Enskild,"7,1","0,5","6,6","54,8","75,4",.,"11,0","0,3","292,0","91,0",2016
Guteskolan Södra,81558435,Gotland,0980,5567044267,Guteskolan AB,Enskild,"14,4","0,5","13,9","51,1","69,0",.,"8,5","0,3","476,0","91,4",2016
Wisbygymnasiet Norr,23897040,Gotland,0980,2120000803,Gotland,Kommunal,"76,6","1,0","75,6","45,7","80,8","1,3","9,7",.,.,"83,4",2016
Wisbygymnasiet Söder,29799085,Gotland,0980,2120000803,Gotland,Kommunal,"65,5","1,0","64,5","58,4","91,1","1,6","11,9","2,0","382,5","87,4",2016
Jon Jespersskolan,77172188,Grästorp,1444,2120001595,Grästorp,Kommunal,"0,5","0,5",.,.,.,.,.,.,.,.,2016
Välkommaskolan enhet 1,20666515,Gällivare,2523,2220000760,Gällivare,Kommunal,"15,7","1,0","14,7","52,2","59,0",.,"11,9","0,5","348,0","55,6",2016
Välkommaskolan enhet 2,37906565,Gällivare,2523,2220000760,Gällivare,Kommunal,"12,5","1,0","11,5","76,3","69,6","21,7","11,9","0,5","274,0","73,7",2016
Välkommaskolan enhet 3,23063954,Gällivare,2523,2220000760,Gällivare,Kommunal,"14,1","1,0","13,1","45,9","88,5",.,"11,1","0,8","193,3","69,4",2016
Välkommaskolan enhet 4,67279303,Gällivare,2523,2220000760,Gällivare,Kommunal,"12,8","0,5","12,3","12,2","51,3",.,"11,6",.,.,"75,7",2016
Borgarskolan,21648755,Gävle,2180,2120002338,Gävle,Kommunal,"66,7","1,0","65,7","54,2","81,5","0,8","14,2","1,9","500,5","82,2",2016
Plusgymnasiet Gävle,11111710,Gävle,2180,5565789129,Plusgymnasiet AB,Enskild,"12,5","1,0","11,5","78,2","66,4",.,"11,7","0,6","223,3","76,4",2016
