skolverket_lageskommun_tcv136,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_tot_elever_tcv136,skolverket_ar1_tcv136,skolverket_ar2_tcv136,skolverket_ar3_tcv136,skolverket_andel_kvi_tcv136,skolverket_andel_utl_tcv136,skolverket_andel_forald_eftergymn_utb_tcv136,year
Borås,Almåsgymnasiet A,18425335,Kommunal,Borås,248,91,82,75,72,28,28,2018
Borås,Almåsgymnasiet B,93281974,Kommunal,Borås,262,95,82,85,67,58,27,2018
Borås,Almåsgymnasiet C,23424275,Kommunal,Borås,220,84,77,59,62,21,38,2018
Borås,Björkängsgymnasiet A,14701551,Kommunal,Borås,117,56,47,14,38,100,..,2018
Borås,Björkängsgymnasiet B,33201730,Kommunal,Borås,132,95,27,10,37,61,16,2018
Borås,Bäckängsgymnasiet A,43634528,Kommunal,Borås,502,179,162,161,58,29,77,2018
Borås,Bäckängsgymnasiet B,36263479,Kommunal,Borås,527,180,170,177,77,21,61,2018
Borås,Bäckängsgymnasiet C,56679384,Kommunal,Borås,220,95,69,56,77,15,54,2018
Borås,Bäckängsgymnasiet D,30538202,Kommunal,Borås,170,78,42,50,67,45,49,2018
Borås,Sven Eriksonsgymnasiet A,12889940,Kommunal,Borås,370,141,111,118,25,25,68,2018
Borås,Sven Eriksonsgymnasiet B,16554575,Kommunal,Borås,232,119,53,60,31,65,39,2018
Borås,Sven Eriksonsgymnasiet C,34076477,Kommunal,Borås,513,175,172,166,45,27,52,2018
Borås,Sven Eriksonsgymnasiet D,54896448,Kommunal,Borås,69,24,23,22,65,..,70,2018
Borås,Viskastrandsgymnasiet A,25356960,Kommunal,Borås,232,78,87,67,13,15,28,2018
Borås,Viskastrandsgymnasiet B,64284020,Kommunal,Borås,274,89,92,93,20,20,34,2018
Borås,Viskastrandsgymnasiet C,98132436,Kommunal,Borås,288,105,88,95,6,13,33,2018
Borås,Viskastrandsgymnasiet D,67692516,Kommunal,Borås,54,54,.,.,..,100,..,2018
Botkyrka,Skyttbrinks gymnasium,60096875,Kommunal,Botkyrka,168,93,35,40,39,58,25,2018
Botkyrka,S:t Botvids gymnasium,97758137,Kommunal,Botkyrka,503,181,182,140,44,89,25,2018
Botkyrka,Tullinge gymnasium,26334561,Kommunal,Botkyrka,705,250,225,230,51,32,65,2018
Botkyrka,Tumba gymnasium,40386043,Kommunal,Botkyrka,1 257,477,378,402,49,46,53,2018
Malmö,Bryggeriets Gymnasium,71472793,Enskild,Bryggeriets Bildnings Byrå (Bbb),156,54,53,49,42,44,46,2018
Burlöv,Gymnasieutbildningen i Burlöv,73416853,Kommunal,Burlöv,91,53,33,5,34,89,11,2018
Båstad,Akademi Båstad Gymnasium,59483268,Kommunal,Båstad,217,88,68,61,49,42,41,2018
Helsingborg,Campeon Frigymnasium,41745951,Enskild,Campeon Frigymnasium AB,213,71,70,72,77,13,76,2018
Stockholm,Campus Manilla Gymnasium,48120273,Enskild,Campus Manilla Utbildning AB,248,87,79,82,58,8,88,2018
Kalmar,Calmare Internationella Skola,88466776,Enskild,CIS Kalmar AB,190,52,72,66,56,25,66,2018
Lund,Consensum Gymnasium Lund,69807202,Enskild,Consensum Lund AB,244,82,88,74,62,48,42,2018
Sollentuna,Consensum Gymnasium Sollentuna,68649663,Enskild,Consensum Lund AB,140,52,30,58,71,59,36,2018
Helsingborg,Cultura Gymnasium,83137205,Enskild,Cultura Utbildning AB,166,55,56,55,57,90,48,2018
Finspång,Curt Nicolin-gymnasiet,95683850,Enskild,Curt Nicolin Gymnasiet AB,510,186,174,150,30,13,60,2018
Göteborg,Cybergymnasiet Göteborg,85068812,Enskild,Cybergymnasiet Göteborg AB,257,95,72,90,38,83,33,2018
Malmö,Cybergymnasiet Malmö,69063711,Enskild,Cybergymnasiet Malmö AB,348,129,118,101,43,59,42,2018
Stockholm,Cybergymnasiet Stockholm,94167577,Enskild,Cybergymnasiet Stockholm AB,1 074,382,367,325,41,56,44,2018
Dals-Ed,"Utsikten, Dals-Eds gymnasium",88573795,Kommunal,Dals-Ed,96,42,21,33,38,36,34,2018
Danderyd,Danderyds Gymnasium Ekonomi,20699742,Kommunal,Danderyd,499,198,149,152,43,14,83,2018
Danderyd,Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Kommunal,Danderyd,424,144,139,141,26,25,86,2018
Danderyd,"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Kommunal,Danderyd,344,113,115,116,55,15,77,2018
Lund,Lunds Dans- o Musikalgymnasium,28267726,Enskild,Dans o Musikal i Lund AB,190,60,69,61,86,12,75,2018
Järfälla,Didaktus Jakobsberg,85214294,Enskild,Didaktus Skolor AB,432,185,128,119,61,85,25,2018
Stockholm,Didaktus Liljeholmen,53903798,Enskild,Didaktus Skolor AB,577,248,159,170,60,81,26,2018
Krokom,Dille Gård Naturbruksgymnasium,62490359,Enskild,Dille Gård AB,94,44,22,28,65,..,56,2018
Munkedal,Dinglegymnasiet,97090958,Enskild,Dinglegymnasiet AB,52,27,25,.,79,..,40,2018
Stockholm,Distra Gymnasium,85782695,Enskild,Distra Utbildnings Center AB,196,83,63,50,19,64,18,2018
Göteborg,Donnergymnasiet,78397312,Enskild,Donnergymnasiet AB,568,198,187,183,65,22,75,2018
Borås,Drottning Blankas Gymnasieskola Borås,19150273,Enskild,Drottning Blankas Gymnasieskola AB,163,69,65,29,75,39,36,2018
Falkenberg,Drottning Blankas Gymnasieskola Falkenberg,58724424,Enskild,Drottning Blankas Gymnasieskola AB,148,54,46,48,75,26,34,2018
Göteborg,Drottning Blankas Gymnasieskola Göteborg,36444853,Enskild,Drottning Blankas Gymnasieskola AB,397,155,122,120,91,21,52,2018
Halmstad,Drottning Blankas Gymnasieskola Halmstad,44653962,Enskild,Drottning Blankas Gymnasieskola AB,197,69,63,65,80,41,38,2018
Helsingborg,Drottning Blankas Gymnasieskola Helsingborg Prästgatan,66335258,Enskild,Drottning Blankas Gymnasieskola AB,276,106,91,79,78,31,39,2018
Kungsbacka,Drottning Blankas Gymnasieskola Kungsbacka,64569393,Enskild,Drottning Blankas Gymnasieskola AB,167,78,45,44,82,17,46,2018
Linköping,Drottning Blankas Gymnasieskola Linköping,70412563,Enskild,Drottning Blankas Gymnasieskola AB,68,29,39,.,74,57,31,2018
Lund,Drottning Blankas Gymnasieskola Lund,64648904,Enskild,Drottning Blankas Gymnasieskola AB,249,114,70,65,67,16,53,2018
Malmö,Drottning Blankas Gymnasieskola Malmö Söderport,35894996,Enskild,Drottning Blankas Gymnasieskola AB,302,125,100,77,77,36,44,2018
Stockholm,Drottning Blankas Gymnasieskola Stockholm,97770837,Enskild,Drottning Blankas Gymnasieskola AB,363,149,92,122,73,39,49,2018
Trollhättan,Drottning Blankas Gymnasieskola Trollhättan,25156286,Enskild,Drottning Blankas Gymnasieskola AB,236,82,92,62,87,19,36,2018
Varberg,Drottning Blankas Gymnasieskola Varberg,92442684,Enskild,Drottning Blankas Gymnasieskola AB,218,69,73,76,69,24,40,2018
Göteborg,International IT College of Sweden Gothenburg,72517762,Enskild,Edinit AB,134,97,22,15,38,88,36,2018
Stockholm,International IT College of Sweden Stockholm,35084976,Enskild,Edinit AB,319,115,108,96,44,51,60,2018
Norrtälje,"Ekebyholmsskolan, gy",24194577,Enskild,Ekebyholmsskolan Aktiebolag,42,11,12,19,52,52,64,2018
Ekerö,Individuella Gymnasiet,55711881,Kommunal,Ekerö,32,21,9,2,47,50,..,2018
Eksjö,Eksjö Gymnasium 2,88259298,Kommunal,Eksjö,274,107,94,73,38,23,65,2018
Eksjö,Eksjö Gymnasium 3,73098153,Kommunal,Eksjö,337,131,132,74,59,52,37,2018
Eksjö,Nifsarpsskolan fri,44240250,Enskild,Eksjö Fordonsutbildning AB,235,81,79,75,23,8,30,2018
Oskarshamn,Elajo Technical Edu. Center,22383788,Enskild,Elajo Technical Education Center AB,80,26,28,26,..,..,40,2018
Nyköping,Elteknikbranschens gymnasium,27489137,Enskild,Elteknikbranschens Gymnasium i Nyköping AB,81,27,28,26,..,..,41,2018
Emmaboda,Vilhelm Mobergsgymnasiet,17846181,Kommunal,Emmaboda,223,81,68,74,32,61,28,2018
Upplands Väsby,Väsby Yrkesgymnasium,82372485,Enskild,Energy Maintenance Sweden AB,29,6,17,6,.,100,..,2018
Upplands Väsby,Väsby Yrkesgymnasium (f.d. Peabskolan),54882637,Enskild,Energy Maintenance Sweden AB,115,45,41,29,..,43,23,2018
Enköping,Westerlundska gymnasiet,75082798,Kommunal,Enköping,1 253,541,358,354,41,30,41,2018
Stockholm,"Enskilda gymnasiet, gy",69650864,Enskild,Enskilda Gymnasiet,281,91,93,97,60,12,94,2018
Nyköping,Nyköpings Enskilda Gymnasium,95785055,Enskild,Erastos AB,514,170,174,170,65,13,72,2018
Eskilstuna,Rekarnegymnasiet 1,72266906,Kommunal,Eskilstuna,623,198,223,202,33,28,44,2018
Eskilstuna,Rekarnegymnasiet 2,27030026,Kommunal,Eskilstuna,736,277,223,236,35,44,37,2018
Eskilstuna,Rinmangymnasiet RI 1,16950252,Kommunal,Eskilstuna,684,279,223,182,31,51,44,2018
Eskilstuna,Rinmangymnasiet RI 2,34637764,Kommunal,Eskilstuna,572,216,172,184,57,55,48,2018
Eskilstuna,S:t Eskils gymnasium 1,19912478,Kommunal,Eskilstuna,558,205,184,169,63,47,55,2018
Eskilstuna,S:t Eskils gymnasium 2,73255276,Kommunal,Eskilstuna,368,135,121,112,55,70,20,2018
Eslöv,Bergagymnasiet,15077883,Kommunal,Eslöv,656,322,190,144,39,47,35,2018
Arvika,"Estetiska skolan, gymnasiet",23517336,Enskild,Estetiska Skolan Arvika,49,10,16,23,80,..,51,2018
Strängnäs,Europaskolan Strängnäs,32071849,Enskild,Europaskolan Utbildning AB,450,160,152,138,63,18,75,2018
Falkenberg,Falkenbergs Gymnasieskola 1,95684185,Kommunal,Falkenberg,357,126,111,120,50,53,39,2018
Falkenberg,Falkenbergs Gymnasieskola 2,51138448,Kommunal,Falkenberg,255,109,74,72,68,25,44,2018
Falkenberg,Falkenbergs Gymnasieskola 3,19647256,Kommunal,Falkenberg,188,73,58,57,21,11,38,2018
Falkenberg,Falkenbergs Gymnasieskola 4,56421429,Kommunal,Falkenberg,219,70,73,76,11,18,58,2018
Falkenberg,Falkenbergs Gymnasieskola 5,39911065,Kommunal,Falkenberg,232,80,73,79,58,36,44,2018
Falköping,Ållebergsgymnasiet A,17008320,Kommunal,Falköping,241,93,81,67,32,27,66,2018
Falköping,Ållebergsgymnasiet B,56737496,Kommunal,Falköping,263,99,86,78,47,18,56,2018
Falköping,Ållebergsgymnasiet C,88850910,Kommunal,Falköping,247,92,86,69,40,78,19,2018
Falköping,Ållebergsgymnasiet E,93939982,Kommunal,Falköping,286,94,95,97,63,18,40,2018
Falun,Falu Frigymnasium,25720752,Enskild,Falu Frigymnasium Aktiebolag,398,146,140,112,64,24,61,2018
Falun,Kristinegymnasiet RO1,31533003,Kommunal,Falun,278,91,80,107,65,18,51,2018
Falun,Kristinegymnasiet RO2,31429031,Kommunal,Falun,141,55,39,47,77,35,28,2018
Falun,Kristinegymnasiet RO3,16361868,Kommunal,Falun,265,99,92,74,75,13,51,2018
Falun,Lugnetgymnasiet RO1,23164911,Kommunal,Falun,434,154,127,153,42,16,74,2018
Falun,Lugnetgymnasiet RO2,24008049,Kommunal,Falun,197,74,58,65,12,16,44,2018
Falun,Lugnetgymnasiet RO3,72661886,Kommunal,Falun,371,242,66,63,52,41,37,2018
Filipstad,Spångbergsgymnasiet,19586169,Kommunal,Filipstad,407,139,134,134,39,45,26,2018
Finspång,Bergska gymnasiet Bergska skolan,17643936,Kommunal,Finspång,129,112,12,5,20,75,10,2018
Finspång,Bergska gymnasiet Bildningen,24273261,Kommunal,Finspång,261,91,74,96,48,33,40,2018
Flen,Prins Wilhelm gymnasiet,59455288,Kommunal,Flen,285,120,86,79,44,69,22,2018
Stockholm,Kungstensgymnasiet,75075402,Enskild,Folkuniversitetet Stift Kursverksamheten Vid Stockholms Universitet,435,143,141,151,72,14,75,2018
Helsingborg,Johannes Hedberggymnasiet,20228162,Enskild,Folkuniversitetet Stiftelsen Kurs- Verksamheten Vid Lunds Universitet,306,115,97,94,59,31,69,2018
Malmö,Einar Hansengymnasiet,12926770,Enskild,Folkuniversitetet Stiftelsen Kurs- Verksamheten Vid Lunds Universitet,217,80,69,68,73,80,51,2018
Trollhättan,Folkuniversitetets gymnasium i Trollhättan,28081446,Enskild,Folkuniversitetet Stiftelsen Kursver Ksamheten Vid Göteborgs Universitet,257,89,85,83,75,21,66,2018
Uppsala,Internationella Gymnasiet,32995170,Enskild,Folkuniversitetet Stiftelsen Kursverksamheten Vid Uppsala Universitet,180,76,62,42,46,66,38,2018
Umeå,Umeå Internationella Gymnasium,63993414,Enskild,Folkuniversitetet Uppdrag Norr Aktiebolag,69,22,24,23,68,19,59,2018
Örebro,Proffsgymnasiet,70302356,Enskild,Fordonsutbildningar i Örebro Aktiebolag,71,31,23,17,..,44,20,2018
Forshaga,ForshagaAkademin,82163292,Enskild,ForshagaAkademin AB,263,97,88,78,35,23,40,2018
Göteborg,Framtidsgymnasiet Göteborg,16819383,Enskild,Framtidsgymnasiet i Göteborg Aktiebolag,377,127,149,101,8,96,11,2018
Stockholm,Framtidsgymnasiet Stockholm,14926020,Enskild,Framtidsgymnasiet i Göteborg Aktiebolag,152,55,48,49,..,70,22,2018
Kristianstad,Framtidsgymnasiet Kristianstad,71571158,Enskild,Framtidsgymnasiet i Sverige AB,342,146,121,75,8,75,12,2018
Malmö,Framtidsgymnasiet Malmö,17119840,Enskild,Framtidsgymnasiet i Sverige AB,224,135,61,28,..,79,13,2018
Linköping,Framtidsgymnasiet Linköping,72109637,Enskild,Framtidsgymnasiet Öst AB,124,59,22,43,15,56,15,2018
Nyköping,Framtidsgymnasiet Nyköping,15609112,Enskild,Framtidsgymnasiet Öst AB,147,66,56,25,..,46,16,2018
Karlstad,Fria Läroverken Karlstad,27115998,Enskild,Fria Läroverken i Sverige AB,527,167,206,154,41,11,58,2018
Linköping,Fria Läroverken Linköping,69240218,Enskild,Fria Läroverken i Sverige AB,368,149,100,119,42,27,55,2018
Malmö,Fria Läroverken Malmö,68748767,Enskild,Fria Läroverken i Sverige AB,357,138,120,99,46,62,34,2018
Norrköping,Fria Läroverken Norrköping,69471748,Enskild,Fria Läroverken i Sverige AB,404,141,111,152,50,53,40,2018
Vänersborg,"Fridagymnasiet, Vänersborg",74919147,Enskild,Fridaskolorna AB,224,76,73,75,53,13,72,2018
Bollnäs,Friskolan Nytorp,21567982,Enskild,Friskolan Nytorp AB,69,27,23,19,16,..,26,2018
Höör,Karolinaskolan,21363125,Enskild,"Föreningen Fogdaröd omsorg, vård & utbildning utan personligt ansvar",25,13,5,7,..,.,40,2018
Södertälje,Örjanskolan gym,70543431,Enskild,Föreningen Örjanskolan,66,28,23,15,56,33,70,2018
Gagnef,Gymnasieutbildningen i Gagnef,19599583,Kommunal,Gagnef,17,7,9,1,..,71,..,2018
Östhammar,Wilhelm Haglunds Gymnasium,95069937,Enskild,Gimo UtbildningsAktiebolag,75,28,21,26,..,17,45,2018
Gislaved,Gislaveds gymnasium Ekonomisk sektor,25679488,Kommunal,Gislaved,353,122,114,117,62,31,38,2018
Gislaved,Gislaveds gymnasium NEO sektor,25677996,Kommunal,Gislaved,374,210,84,80,52,64,31,2018
Gislaved,Gislaveds gymnasium Teknisk sektor,89888648,Kommunal,Gislaved,320,144,90,86,17,31,37,2018
Gnesta,Introduktionsprogram Gnesta kommun,35191755,Kommunal,Gnesta,25,16,9,.,..,56,..,2018
Gnosjö,Gnosjöandans kunskapsc. gy,35063170,Kommunal,Gnosjö,256,104,69,83,48,52,32,2018
Helsingborg,G.O. Kompetens Transportgymnasium,86310217,Enskild,G.O. Kompetens Transportgymnasium AB,147,65,46,36,20,14,16,2018
Gotland,Wisbygymnasiet,36782335,Kommunal,Gotland,1 510,667,422,421,45,13,47,2018
Gullspång,Introduktionsprogrammet Språkintroduktion,42892954,Kommunal,Gullspång,18,18,.,.,..,83,.,2018
Gotland,Gutegymnasiet,31279294,Enskild,Guteskolan AB,272,130,68,74,44,36,33,2018
Kalmar,Fria Läroverken i Kalmar,40634612,Enskild,Gymnasieskolor i Syd AB,183,59,65,59,42,29,43,2018
Karlshamn,Fria Läroverken i Karlshamn,42573391,Enskild,Gymnasieskolor i Syd AB,107,33,48,26,50,16,45,2018
Ystad,Fria Läroverken i Ystad,31380193,Enskild,Gymnasieskolor i Syd AB,130,56,50,24,47,21,35,2018
Gävle,Borgarskolan,21648755,Kommunal,Gävle,879,339,310,230,42,28,47,2018
Gävle,Polhemsskolan,90551279,Kommunal,Gävle,1 526,838,365,323,37,35,42,2018
Gävle,Vasaskolan,54965510,Kommunal,Gävle,1 021,327,327,367,67,32,65,2018
Göteborg,Angeredsgymnasiet 1,72998905,Kommunal,Göteborg,231,118,62,51,55,94,16,2018
Göteborg,Angeredsgymnasiet 2,84835666,Kommunal,Göteborg,222,96,77,49,41,71,28,2018
Göteborg,Angeredsgymnasiet 3,24685151,Kommunal,Göteborg,284,283,1,.,33,100,6,2018
Göteborg,Angeredsgymnasiet 4,25872338,Kommunal,Göteborg,103,38,22,43,49,82,36,2018
Göteborg,Angeredsgymnasiet 5,54164490,Kommunal,Göteborg,179,113,34,32,49,95,26,2018
Göteborg,Bernadottegymnasiet,92194545,Kommunal,Göteborg,248,96,88,64,38,14,65,2018
Göteborg,Bräckegymnasiet 1,88153340,Kommunal,Göteborg,213,88,63,62,7,40,28,2018
Göteborg,Bräckegymnasiet 2,94353434,Kommunal,Göteborg,194,70,77,47,6,34,37,2018
Göteborg,Bräckegymnasiet 4,84978846,Kommunal,Göteborg,184,115,39,30,28,61,15,2018
Göteborg,Bräckegymnasiet 5,11179442,Kommunal,Göteborg,127,78,25,24,9,99,..,2018
Göteborg,Burgårdens Gymnasium 1,59396229,Kommunal,Göteborg,312,92,113,107,89,26,40,2018
Göteborg,Burgårdens Gymnasium 2,95165649,Kommunal,Göteborg,289,129,129,31,50,84,15,2018
Göteborg,Burgårdens Gymnasium 3,64740897,Kommunal,Göteborg,192,157,35,.,59,72,17,2018
Göteborg,Burgårdens Gymnasium 4,78979604,Kommunal,Göteborg,190,89,67,34,38,44,52,2018
Göteborg,Burgårdens Gymnasium 5,69626109,Kommunal,Göteborg,362,152,122,88,73,40,35,2018
Göteborg,Center för språkintroduktion Lindholmen 1,53432700,Kommunal,Göteborg,167,114,53,.,44,100,10,2018
Göteborg,Center för Språkintroduktion Lindholmen 2,22601648,Kommunal,Göteborg,122,101,21,.,48,100,..,2018
Göteborg,Ester Mosessons gymnasium 1,15414001,Kommunal,Göteborg,234,110,65,59,41,21,47,2018
Göteborg,Ester Mosessons gymnasium 2,38311488,Kommunal,Göteborg,155,92,28,35,48,60,24,2018
Göteborg,Hvitfeldtska gymnasiet 1,61701709,Kommunal,Göteborg,386,128,129,129,60,25,68,2018
Göteborg,Hvitfeldtska gymnasiet 2,61469192,Kommunal,Göteborg,235,85,74,76,57,14,73,2018
Göteborg,Hvitfeldtska gymnasiet 3,84306392,Kommunal,Göteborg,463,157,148,158,53,34,84,2018
Göteborg,Hvitfeldtska gymnasiet 4,28627819,Kommunal,Göteborg,434,187,133,114,70,37,62,2018
Göteborg,Hvitfeldtska gymnasiet 5,30086854,Kommunal,Göteborg,352,109,127,116,57,42,65,2018
Göteborg,IHGR-gymnasiet,26627862,Kommunal,Göteborg,378,142,112,124,63,52,72,2018
Göteborg,Katrinelundsgymnasiet 1,31251822,Kommunal,Göteborg,296,98,99,99,55,46,52,2018
Göteborg,Katrinelundsgymnasiet 2,90099336,Kommunal,Göteborg,8,.,.,8,..,..,..,2018
Göteborg,Katrinelundsgymnasiet 3,96590873,Kommunal,Göteborg,387,161,118,108,79,73,21,2018
Göteborg,Katrinelundsgymnasiet 4,35647481,Kommunal,Göteborg,275,128,92,55,49,66,61,2018
Göteborg,Katrinelundsgymnasiet 5,39549479,Kommunal,Göteborg,376,128,128,120,37,36,59,2018
Göteborg,Lindholmens tekn gymnasium 1,11274830,Kommunal,Göteborg,255,93,81,81,..,36,38,2018
Göteborg,Lindholmens tekn gymnasium 2,51321260,Kommunal,Göteborg,264,112,84,68,5,32,34,2018
Göteborg,Lindholmens tekn gymnasium 3,96279444,Kommunal,Göteborg,334,116,113,105,10,24,68,2018
Göteborg,Motorbranschens Tekniska gymn.,61880907,Kommunal,Göteborg,292,127,78,87,9,35,29,2018
Göteborg,Polhemsgymnasiet 1,21505555,Kommunal,Göteborg,363,127,130,106,42,31,78,2018
Göteborg,Polhemsgymnasiet 2,34336190,Kommunal,Göteborg,377,130,122,125,47,11,70,2018
Göteborg,Polhemsgymnasiet 3,21052710,Kommunal,Göteborg,387,131,131,125,53,13,82,2018
Göteborg,Schillerska gymnasiet 1,92887917,Kommunal,Göteborg,292,104,86,102,80,16,72,2018
Göteborg,Schillerska gymnasiet 2,88834120,Kommunal,Göteborg,338,129,115,94,57,36,54,2018
Göteborg,Schillerska gymnasiet 3,36748805,Kommunal,Göteborg,132,89,37,6,41,61,23,2018
Göteborg,Schillerska gymnasiet 4,70066748,Kommunal,Göteborg,273,99,86,88,65,40,67,2018
Göteborg,Göteborgregionens tekniska gy,53660780,Enskild,Göteborgs Tekniska College Aktiebolag,473,176,159,138,21,18,69,2018
Göteborg,GTI:s gymnasieskola,89837629,Enskild,Göteborgs Tekniska Institut Aktiebolag,386,125,143,118,46,84,37,2018
Hagfors,Älvstrandsgymn. komvux,64550468,Kommunal,Hagfors,79,79,.,.,30,76,20,2018
Hagfors,Älvstrandsgymnasiet,72127035,Kommunal,Hagfors,341,128,114,99,40,22,32,2018
Falun,Hagströmska gymnasiet Falun,55155562,Enskild,Hagströmska Gymnasiet AB,718,291,229,198,31,10,50,2018
Linköping,Hagströmska gymnasiet Linköping,14057258,Enskild,Hagströmska Gymnasiet AB,84,30,31,23,25,12,19,2018
Uppsala,Hagströmska gymnasiet Uppsala,24787883,Enskild,Hagströmska Gymnasiet AB,104,51,36,17,93,36,41,2018
