skolverket_lageskommun_tcv136,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_tot_elever_tcv136,skolverket_ar1_tcv136,skolverket_ar2_tcv136,skolverket_ar3_tcv136,skolverket_andel_kvi_tcv136,skolverket_andel_utl_tcv136,skolverket_andel_forald_eftergymn_utb_tcv136,year
Malmö,4ans Gymnasium,28085125,Enskild,4ans Gymnasium AB,99,31,32,36,57,70,39,2018
Tingsryd,AMB Education,33572033,Enskild,Academy of Music and Business Education Tingsryd AB,159,47,52,60,58,8,61,2018
Vara,Academy of Music and Business Vara,54382141,Enskild,Academy of Music and Business Education Vara AB,58,29,29,.,69,..,57,2018
Kristianstad,Academy of Retail and Business (ARB),85014247,Enskild,Academy of Retail and Business Education Kristianstad AB,29,29,.,.,..,..,52,2018
Täby,Mimers Gymnasium Täby,82718660,Enskild,Adinova AB,83,36,26,21,31,17,76,2018
Göteborg,Aniaragymnasiet,69481650,Enskild,AF Affärseffekt Framtidsskola AB,295,134,84,77,52,45,44,2018
Göteborg,Sigrid Rudebecks gymnasium,19207279,Enskild,Aktiebolaget Sigrid Rudebecks Skola,471,175,143,153,70,13,89,2018
Ale,Ale gymnasium,17221836,Kommunal,Ale,69,25,28,16,22,59,..,2018
Alingsås,Alströmergymnasiet sektor 1,74776778,Kommunal,Alingsås,199,68,57,74,48,15,59,2018
Alingsås,Alströmergymnasiet sektor 2,18345915,Kommunal,Alingsås,342,135,110,97,19,20,50,2018
Alingsås,Alströmergymnasiet sektor 3,68229719,Kommunal,Alingsås,259,77,82,100,64,22,50,2018
Alingsås,Alströmergymnasiet sektor 4,61004230,Kommunal,Alingsås,257,93,96,68,52,22,65,2018
Alingsås,Alströmergymnasiet sektor 5,67768292,Kommunal,Alingsås,110,109,.,1,32,74,12,2018
Alingsås,Alingsås Yrkesgymnasium,17474377,Enskild,Alingsås Yrkesgymnasium AB,62,24,21,17,48,..,42,2018
Alvesta,Allbo Lärcenter,75459583,Kommunal,Alvesta,73,27,16,30,56,86,14,2018
Stockholm,Djurgymnasiet Stockholm,98815582,Enskild,Animallogos AB,294,117,91,86,88,12,53,2018
Uppsala,Ansgargymnasiet,74560191,Enskild,Ansgarskolorna AB,114,40,35,39,40,28,62,2018
Arboga,Vasagymnasiet,71262305,Kommunal,Arboga,383,161,123,99,47,33,49,2018
Arjeplog,Hornavanskolan,55795961,Kommunal,Arjeplog,78,33,22,23,35,49,33,2018
Arvidsjaur,Sandbackaskolan,84947634,Kommunal,Arvidsjaur,204,72,55,77,37,32,31,2018
Arvika,Solbergagymnasiet,48009865,Kommunal,Arvika,358,133,110,115,58,20,65,2018
Arvika,Taserudsgymnasiet,68518617,Kommunal,Arvika,465,167,154,144,34,28,25,2018
Göteborg,Aspero Idrottsgymn. Göteborg,20319353,Enskild,Aspero Friskolor AB,252,88,81,83,31,28,49,2018
Halmstad,Aspero Idrottsgymn. Halmstad,92507006,Enskild,Aspero Friskolor AB,279,110,84,85,47,6,70,2018
Karlskrona,Aspero Idrottsgymn. Karlskrona,78839208,Enskild,Aspero Friskolor AB,191,75,56,60,51,7,76,2018
Stockholm,Atleticagymnasiet,43565270,Enskild,Atleticagymnasiet AB,402,135,134,133,45,83,35,2018
Österåker,Skärgårdsgymnasiet,56187883,Enskild,Au Claves AB,449,159,150,140,49,17,34,2018
Avesta,Karlfeldtgymnasiet ro 1,82840198,Kommunal,Avesta,313,157,99,57,48,51,32,2018
Avesta,Karlfeldtgymnasiet ro 2,18208087,Kommunal,Avesta,247,103,66,78,23,23,45,2018
Avesta,Karlfeldtgymnasiet ro 3,89982804,Kommunal,Avesta,197,69,68,60,54,17,38,2018
Bengtsfors,Strömkullegymnasiet,19464342,Kommunal,Bengtsfors,205,86,65,54,48,61,34,2018
Berg,Fjällgymnasiet,60743463,Kommunal,Berg,114,35,32,47,39,43,32,2018
Bjuv,Gymnasieutbildningen i Bjuv,70011480,Kommunal,Bjuv,32,32,.,.,38,81,..,2018
Malmö,Bladins gymnasium,21938183,Enskild,"Bladins Skola, Stiftelsen",201,64,67,70,47,32,73,2018
Malmö,Bladins International School of Malmö,78986228,Enskild,"Bladins Skola, Stiftelsen",60,22,21,17,53,82,60,2018
Boden,Björknäsgymnasiet sektor 1,32960825,Kommunal,Boden,218,87,66,65,50,26,59,2018
Boden,Björknäsgymnasiet sektor 2,43609520,Kommunal,Boden,91,38,21,32,70,18,49,2018
Boden,Björknäsgymnasiet sektor 3,41416934,Kommunal,Boden,243,94,70,79,16,10,44,2018
Boden,Björknäsgymnasiet sektor 4,97968599,Kommunal,Boden,174,72,52,50,71,10,70,2018
Boden,Björknäsgymnasiet Sektor 5,64685315,Kommunal,Boden,163,163,.,.,19,77,13,2018
Bollebygd,Bollebygds gymnasieskola,35225375,Kommunal,Bollebygd,13,12,1,.,..,..,..,2018
Tomelilla,Bollerups lantbruksinstitut,65234368,Enskild,Bollerups Lantbruksinstitut,242,96,73,73,67,7,60,2018
Borlänge,Erikslundsgymnasiet,21866405,Kommunal,Borlänge,178,64,59,55,15,25,30,2018
Borlänge,Hagagymnasiet,74434644,Kommunal,Borlänge,612,214,215,183,61,32,37,2018
Borlänge,Hushagsgymnasiet,88445871,Kommunal,Borlänge,323,117,104,102,22,9,41,2018
Borlänge,Introduktionsprogrammen,19100658,Kommunal,Borlänge,262,98,105,59,31,76,9,2018
Borlänge,Soltorgsgymnasiet,65192707,Kommunal,Borlänge,513,184,154,175,50,17,69,2018
