skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Ale gymnasium,17221836,Ale,1440,2120001439,Ale,Kommunal,"12,6","1,0","11,6","52,9","60,9",.,"7,6","0,4","220,0","73,8",2017
Lärlingsgymnasiet i Ale,93221031,Ale,1440,5567628176,Lärlingsgymnasiet i Sverige AB,Enskild,"26,6","0,9","25,7","25,3","26,5",.,"8,2","0,5","424,0","72,8",2017
Alingsås Yrkesgymnasium,17474377,Alingsås,1489,5567290548,Alingsås Yrkesgymnasium AB,Enskild,"8,8","1,0","7,8","41,0","48,7","1,3","8,2",.,.,"94,9",2017
Alströmergymnasiet sektor 1,74776778,Alingsås,1489,2120001553,Alingsås,Kommunal,"14,0","0,5","13,5","36,5","97,0","2,7","14,2",.,.,"100,0",2017
Alströmergymnasiet sektor 2,18345915,Alingsås,1489,2120001553,Alingsås,Kommunal,"30,2",.,"30,2","28,5","72,1",.,"10,0",.,.,"100,0",2017
Alströmergymnasiet sektor 3,68229719,Alingsås,1489,2120001553,Alingsås,Kommunal,"25,8","1,0","24,8","57,2","92,9",.,"10,8",.,.,"97,0",2017
Alströmergymnasiet sektor 4,61004230,Alingsås,1489,2120001553,Alingsås,Kommunal,"28,1","1,0","27,1","52,8","76,6","1,0","8,8",.,.,"97,8",2017
Alströmergymnasiet sektor 5,67768292,Alingsås,1489,2120001553,Alingsås,Kommunal,"8,3","0,5","7,8","80,9","80,0","1,7","20,4",.,.,"98,7",2017
Allbo Lärcenter,75459583,Alvesta,0764,2120000639,Alvesta,Kommunal,"10,5","0,3","10,3","68,0","90,3","9,7","11,8","0,3","484,0","90,3",2017
Vasagymnasiet,71262305,Arboga,1984,2120002122,Arboga,Kommunal,"40,9","1,0","39,9","46,5","75,0",.,"9,2",.,.,"85,0",2017
Hornavanskolan,55795961,Arjeplog,2506,2120002668,Arjeplog,Kommunal,"11,1","1,0","10,1","39,0","64,7",.,"8,5","0,6","138,7","63,6",2017
Sandbackaskolan,84947634,Arvidsjaur,2505,2120002650,Arvidsjaur,Kommunal,"27,3","0,6","26,7","47,4","64,7","3,7","9,3","1,0","249,0","87,9",2017
"Estetiska skolan, gymnasiet",23517336,Arvika,1784,8740020212,Estetiska Skolan Arvika,Enskild,"8,5","0,4","8,1","43,3","68,1","2,5","6,4","0,1","520,0","56,2",2017
Solbergagymnasiet,48009865,Arvika,1784,2120001892,Arvika,Kommunal,"29,6","1,6","28,0","41,6","89,1","3,6","12,7","0,8","443,8","88,6",2017
Taserudsgymnasiet 1,97870412,Arvika,1784,2120001892,Arvika,Kommunal,"19,6","0,8","18,8","26,6","76,8","1,6","8,6","0,5","324,0","89,4",2017
Taserudsgymnasiet 2,68564903,Arvika,1784,2120001892,Arvika,Kommunal,"22,8","1,0","21,8","45,0","65,0","2,3","8,5","0,5","368,0","83,1",2017
Taserudsgymnasiet 3,48290232,Arvika,1784,2120001892,Arvika,Kommunal,"7,0",.,"7,0","84,2","95,7","1,4","20,0","1,5","92,7","95,7",2017
Karlfeldtgymnasiet ro 1,82840198,Avesta,2084,2120002262,Avesta,Kommunal,"46,2","2,0","44,2","71,8","69,7","1,7","9,0","2,0","196,1","70,4",2017
Karlfeldtgymnasiet ro 2,18208087,Avesta,2084,2120002262,Avesta,Kommunal,"29,7","1,0","28,7","32,5","70,6","2,1","8,8","0,9","295,3","90,7",2017
Karlfeldtgymnasiet ro 3,89982804,Avesta,2084,2120002262,Avesta,Kommunal,"17,8","1,0","16,8","60,8","70,2","3,7","10,0","0,6","301,8","75,3",2017
Strömkullegymnasiet,19464342,Bengtsfors,1460,2120001470,Bengtsfors,Kommunal,"31,9","2,0","29,9","50,2","63,2",.,"7,3","1,0","219,0","81,3",2017
Fjällgymnasiet,60743463,Berg,2326,2120002502,Berg,Kommunal,"17,0","1,9","15,1","39,2","32,9",.,"8,9","0,8","167,5","72,8",2017
Gymnasieutbildningen i Bjuv,70011480,Bjuv,1260,2120001041,Bjuv,Kommunal,"6,1","0,4","5,8","69,6","52,3",.,"10,9","1,0","63,0","65,3",2017
Björknäsgymnasiet sektor 1,32960825,Boden,2582,2120002767,Boden,Kommunal,"25,4",.,"25,4","73,2","92,1","11,8","8,3","2,0","105,5","92,9",2017
Björknäsgymnasiet sektor 2,43609520,Boden,2582,2120002767,Boden,Kommunal,"16,8","1,0","15,8","32,6","89,6",.,"5,4",.,.,"100,0",2017
Björknäsgymnasiet sektor 3,41416934,Boden,2582,2120002767,Boden,Kommunal,"26,8","1,0","25,8","19,0","69,0",.,"9,1",.,.,"88,4",2017
Björknäsgymnasiet sektor 4,97968599,Boden,2582,2120002767,Boden,Kommunal,"14,9","1,0","13,9","78,4","100,0",.,"11,7",.,.,"96,5",2017
Björknäsgymnasiet Sektor 5,64685315,Boden,2582,2120002767,Boden,Kommunal,"16,1","1,0","15,1","89,4","84,1","9,9","10,1",.,.,"92,1",2017
Bollebygds gymnasieskola,35225375,Bollebygd,1443,2120002973,Bollebygd,Kommunal,"1,5","0,1","1,4",.,"100,0","28,6","8,6","0,1","240,0","71,4",2017
Friskolan Nytorp,21567982,Bollnäs,2183,5568813561,Friskolan Nytorp AB,Enskild,"7,5","0,4","7,1","26,2","52,4","7,0","8,4",.,.,"26,2",2017
Hälsingegymnasiet,91748148,Bollnäs,2183,5567600886,Hälsingegymnasiet AB,Enskild,"19,5","1,0","18,5","31,8","67,2","4,0","15,6","0,4","722,5","97,0",2017
Naturlära i Hälsingland,49379603,Bollnäs,2183,5568554314,NaturLära i Hälsingland AB,Enskild,"3,9","0,6","3,4","85,2","58,6",.,"6,5",.,.,"94,1",2017
Nytorps Hästgymnasium,80167319,Bollnäs,2183,5569063455,Nytorps Hästgymnasium AB,Enskild,"2,8",.,"2,8","78,2","18,2",.,"6,9","0,0","1 900,0","100,0",2017
Torsbergsgymnasiet RO3,42218661,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"22,0","1,0","21,0","66,1","69,1","3,1","8,8","0,7","280,3","81,8",2017
Torsbergsgymnasiet RO4,73171934,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"31,4","1,0","30,4","62,9","61,1","2,2","6,1","0,7","270,6","61,3",2017
Torsbergsgymnasiet RO5,83474173,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"18,8","1,0","17,8","43,7","86,3","7,1","12,1","0,7","327,3","92,5",2017
Ölands Gymnasium 1,91487291,Borgholm,0885,8324016453,Borgholm,Kommunal,"4,3","0,3","4,0","89,9","96,2","2,5","14,2",.,.,"88,6",2017
Erikslundsgymnasiet,21866405,Borlänge,2081,2120002239,Borlänge,Kommunal,"21,1","0,3","20,8","29,8","55,2","1,4","8,0","0,3","556,7","91,7",2017
Hagagymnasiet,74434644,Borlänge,2081,2120002239,Borlänge,Kommunal,"51,8","2,5","49,3","65,9","81,9","3,0","12,7","1,0","627,0","87,0",2017
Helixgymnasiet Borlänge,42022406,Borlänge,2081,5566747290,Helixutbildningar AB,Enskild,"20,7","1,6","19,1","32,0","45,9","5,2","14,4","0,4","687,5","23,0",2017
Hushagsgymnasiet,88445871,Borlänge,2081,2120002239,Borlänge,Kommunal,"47,4","1,0","46,4","36,9","61,2","1,9","7,2","0,7","477,1","86,4",2017
Introduktionsprogrammen,19100658,Borlänge,2081,2120002239,Borlänge,Kommunal,"37,6","1,0","36,6","60,9","75,4","6,8","9,9","2,0","181,0","91,0",2017
Rytmus Borlänge,31322470,Borlänge,2081,5564648979,Rytmus AB,Enskild,"6,8","1,0","5,8","44,8","67,2","8,6","8,1",.,.,"94,0",2017
Soltorgsgymnasiet,65192707,Borlänge,2081,2120002239,Borlänge,Kommunal,"35,8","1,0","34,8","53,4","91,4",.,"13,7","1,0","477,0","97,1",2017
Almåsgymnasiet A,18425335,Borås,1490,2120001561,Borås,Kommunal,"23,7","1,0","22,7","76,7","100,0","3,1","11,5","0,3","790,9","96,9",2017
Almåsgymnasiet B,93281974,Borås,1490,2120001561,Borås,Kommunal,"23,9","1,0","22,9","61,1","89,9","8,7","11,6","0,3","782,4","91,3",2017
Almåsgymnasiet C,23424275,Borås,1490,2120001561,Borås,Kommunal,"21,7","1,0","20,7","72,5","84,2",.,"10,4","0,3","635,3","88,3",2017
Björkängsgymnasiet A,14701551,Borås,1490,2120001561,Borås,Kommunal,"24,1","1,0","23,1","66,9","83,2",.,"7,1","1,0","163,0","80,7",2017
Björkängsgymnasiet B,33201730,Borås,1490,2120001561,Borås,Kommunal,"19,6","1,0","18,6","50,0","89,2","8,1","7,1","1,0","132,0","89,2",2017
Bäckängsgymnasiet A,43634528,Borås,1490,2120001561,Borås,Kommunal,"30,6","1,0","29,6","68,0","98,3",.,"16,2","0,5","958,0","96,1",2017
Bäckängsgymnasiet B,36263479,Borås,1490,2120001561,Borås,Kommunal,"30,4","1,0","29,4","61,5","96,2",.,"17,5","0,5","1 030,0","100,0",2017
Bäckängsgymnasiet C,56679384,Borås,1490,2120001561,Borås,Kommunal,"22,0","1,0","21,0","59,9","91,7",.,"10,3","0,5","432,0","95,9",2017
Bäckängsgymnasiet D,30538202,Borås,1490,2120001561,Borås,Kommunal,"17,4","1,0","16,4","57,9","100,0",.,"9,6","0,5","316,0","100,0",2017
Drottning Blankas Gymn. Borås,19150273,Borås,1490,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"11,8","1,0","10,8","81,5","45,8","4,2","12,4",.,.,"55,0",2017
LBS Ljud & Bildskolan Borås,69018222,Borås,1490,5564851649,Ljud & Bildskolan Lbs AB,Enskild,"16,9","1,0","15,9","42,1","71,1","0,6","13,6","0,1","2 170,0","60,4",2017
Praktiska Borås,25624692,Borås,1490,5562575786,Praktiska Sverige AB,Enskild,"12,4","1,0","11,4","39,5","46,5","8,8","13,3","0,2","760,0","67,5",2017
Realgymnasiet Borås,88534520,Borås,1490,5565715892,Lärande i Sverige AB,Enskild,"12,6","1,0","11,6","40,3","50,2","12,1","10,9","0,3","504,0","82,7",2017
Sven Eriksonsgymnasiet A,12889940,Borås,1490,2120001561,Borås,Kommunal,"30,6","1,0","29,6","43,3","73,0","1,1","11,6","0,7","529,2","77,0",2017
Sven Eriksonsgymnasiet B,16554575,Borås,1490,2120001561,Borås,Kommunal,"27,7","1,0","26,7","39,8","84,1","1,2","8,8","0,3","936,0","86,3",2017
Sven Eriksonsgymnasiet C,34076477,Borås,1490,2120001561,Borås,Kommunal,"35,3","1,0","34,3","53,0","78,5","1,0","15,0","0,7","792,3","83,2",2017
