skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Sven Eriksonsgymnasiet D,54896448,Borås,1490,2120001561,Borås,Kommunal,"5,9","0,3","5,6","41,1","88,4",.,"11,8","0,3","264,0","100,0",2017
Viskastrandsgymnasiet A,25356960,Borås,1490,2120001561,Borås,Kommunal,"29,6","0,8","28,9","20,3","64,0",.,"7,7","0,3","888,0","74,4",2017
Viskastrandsgymnasiet B,64284020,Borås,1490,2120001561,Borås,Kommunal,"28,4","1,0","27,4","42,1","65,1",.,"10,5","0,3","1 148,0","76,1",2017
Viskastrandsgymnasiet C,98132436,Borås,1490,2120001561,Borås,Kommunal,"29,1","1,0","28,1","29,7","62,1",.,"10,7","0,3","1 204,0","62,1",2017
Viskastrandsgymnasiet D,67692516,Borås,1490,2120001561,Borås,Kommunal,"7,0","1,0","6,0","41,2","79,8",.,"9,1","0,3","216,0","96,6",2017
Gullviva gymnasiet,53400472,Botkyrka,0127,5567538383,STEG för framtiden Aktiebolag,Enskild,"9,5","1,0","8,5","25,9","96,0",.,"12,0",.,.,"79,4",2017
Skyttbrinks gymnasium,60096875,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"13,4","1,0","12,4","53,2","59,7",.,"10,4",.,.,"83,9",2017
S:t Botvids gymnasium,97758137,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"42,6","1,0","41,6","66,9","84,5","4,8","11,9","1,0","493,0","94,1",2017
Tullinge gymnasium,26334561,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"46,6",.,"46,6","73,6","89,0","3,0","14,9","1,9","364,7","83,7",2017
Tumba gymnasium,40386043,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"98,2",.,"98,2","48,8","83,3","3,1","12,2","3,0","400,0","74,7",2017
Furubygg,29324709,Bromölla,1272,2220001222,Bromölla,Kommunal,"4,0","0,1","3,9","9,4","49,2",.,"10,7","0,1","420,0","100,0",2017
"Jämtlands Gymn, Bräcke 4A",26864271,Bräcke,2305,2220001636,Bräcke,Kommunal,"12,3","0,7","11,6","25,9","38,4",.,"7,1","0,3","332,0","59,6",2017
"Jämtlands Gymn, Bräcke 4B",64411379,Bräcke,2305,2220001636,Bräcke,Kommunal,"6,2","0,4","5,8","51,9","82,8",.,"12,2","0,2","394,4","94,8",2017
Gymnasieutbildningen i Burlöv,73416853,Burlöv,1231,2120001025,Burlöv,Kommunal,"3,6",.,"3,6","60,6","73,2","22,5","28,2","1,0","100,0","78,9",2017
Akademi Båstad Gymnasium,59483268,Båstad,1278,2120000944,Båstad,Kommunal,"21,9","1,0","20,9","59,0","89,4",.,"12,7","1,5","176,7","68,6",2017
Apelrydsskolan,33685428,Båstad,1278,8024247234,Stiftelsen Apelrydsskolan,Enskild,"11,1","0,5","10,6","65,1","81,1",.,"7,5","0,3","320,0","88,7",2017
Apelrydsskolan i Båstad,32879845,Båstad,1278,8024778402,Stiftelsen Apelryd International,Enskild,"4,6","0,8","3,8","73,7","100,0",.,"25,5","0,2","646,7","100,0",2017
"Utsikten, Dals-Eds gymnasium",88573795,Dals-Ed,1438,2120001413,Dals-Ed,Kommunal,"20,8","0,5","20,3","50,8","81,7","3,0","5,8","0,2","590,0","89,1",2017
Danderyds Gymnasium Ekonomi,20699742,Danderyd,0162,2120000126,Danderyd,Kommunal,"26,5","1,0","25,5","53,9","96,8",.,"19,8","2,0","252,5","90,2",2017
Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Danderyd,0162,2120000126,Danderyd,Kommunal,"23,5","1,0","22,5","48,8","100,0",.,"18,5","1,0","415,0","97,8",2017
"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Danderyd,0162,2120000126,Danderyd,Kommunal,"28,2","1,0","27,2","50,8","92,0","5,9","13,1","1,0","356,0","90,8",2017
Marina läroverket i Danderyd,82814120,Danderyd,0162,5565160669,Klart Skepp Marinteknik AB,Enskild,"31,2","1,0","30,2","51,6","69,2",.,"16,1","0,3","1 944,0","78,6",2017
Viktor Rydberg gy. Djursholm,45164827,Danderyd,0162,8120005650,Stiftelsen Viktor Rydbergs Skola,Enskild,"34,8","1,0","33,8","50,8","83,2",.,"15,7","0,3","1 606,1","85,4",2017
Möckelngymnasiet Degerfors,10924758,Degerfors,1862,2120001991,Degerfors,Kommunal,"24,5","1,0","23,5","56,6","81,7","8,5","12,6","0,8","396,0","82,8",2017
Eda gymnasieskola,10200794,Eda,1730,2120001769,Eda,Kommunal,"5,4","0,3","5,1","29,4","47,1",.,"10,0","0,2","255,0","68,6",2017
Individuella Gymnasiet,55711881,Ekerö,0125,2120000050,Ekerö,Kommunal,"3,0","1,0","2,0","75,0","100,0","35,0","8,5","0,4","42,5","100,0",2017
Eksjö Gymnasium 1,34153869,Eksjö,0686,2120000589,Eksjö,Kommunal,"29,3","1,0","28,3","60,1","84,6",.,"9,7","1,0","276,0","97,0",2017
Eksjö Gymnasium 2,88259298,Eksjö,0686,2120000589,Eksjö,Kommunal,"13,1","0,5","12,6","51,8","61,1",.,"6,6","0,6","129,7","84,1",2017
Eksjö Gymnasium 3,73098153,Eksjö,0686,2120000589,Eksjö,Kommunal,"22,2","0,9","21,3","44,5","54,3","4,7","11,1","1,2","204,3","71,0",2017
Nifsarpsskolan fri,44240250,Eksjö,0686,5565848537,Eksjö Fordonsutbildning AB,Enskild,"23,6","1,0","22,6","8,8","64,6",.,"9,2",.,.,"73,5",2017
Vilhelm Mobergsgymnasiet,17846181,Emmaboda,0862,2120000738,Emmaboda,Kommunal,"20,8","0,5","20,3","33,5","60,8",.,"11,1","0,5","450,0","81,5",2017
Westerlundska gymnasiet,75082798,Enköping,0381,2120000282,Enköping,Kommunal,"102,3","1,0","101,3","47,5","82,8","2,5","12,0","4,1","299,3","90,6",2017
Grillska Gymnasiet Eskilstuna,23555409,Eskilstuna,0484,8020170794,Stadsmissionens Skolstiftelse,Enskild,"31,9","1,0","30,9","54,4","78,2","3,2","18,3","1,3","453,6","73,3",2017
Interkulturella enheten,87554242,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"7,5",.,"7,5","77,9","65,1",.,"2,1",.,.,"81,2",2017
Kunskapscompaniets Gymnasium i Eskilstuna,91333138,Eskilstuna,0484,5561383885,Kunskapscompaniet Gymnasium KCGY AB,Enskild,"13,8","0,5","13,3","30,1","33,8",.,"10,1",.,.,"78,9",2017
NTI-gymnasiet Eskilstuna,30341162,Eskilstuna,0484,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"11,7","1,0","10,7","45,3","41,1",.,"15,7","0,2","1 120,0","49,1",2017
Realgymnasiet Eskilstuna,39936461,Eskilstuna,0484,5565715892,Lärande i Sverige AB,Enskild,"11,4","1,0","10,4","72,1","50,5",.,"12,6","0,3","524,0","73,1",2017
Rekarnegymnasiet 1,72266906,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"32,0","1,0","31,0","39,0","83,9",.,"13,3",.,.,"96,8",2017
Rekarnegymnasiet 2,27030026,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"50,8","1,0","49,8","67,5","87,8","4,0","10,0","1,0","498,0","86,3",2017
Rekarnegymnasiet 3,12154972,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"46,5","2,0","44,5","25,7","68,6",.,"10,6",.,.,"97,8",2017
Rinmangymnasiet RI 1,16950252,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"40,2","0,9","39,3","58,4","84,7","1,8","12,8",.,.,"94,9",2017
Rinmangymnasiet RI 2,34637764,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"73,6","1,0","72,6","62,7","84,0","5,7","10,1","2,0","366,5","89,7",2017
S:t Eskils gymnasium 1,19912478,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"50,1","1,0","49,1","57,1","91,5",.,"10,8",.,.,"95,6",2017
S:t Eskils gymnasium 2,73255276,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"38,3","2,0","36,3","71,3","89,0","5,5","10,5","3,0","126,7","97,2",2017
Bergagymnasiet,15077883,Eslöv,1285,2120001173,Eslöv,Kommunal,"63,4","1,0","62,4","53,8","79,8","4,5","10,4","2,0","333,3","90,5",2017
Nossebro Lärcenter,37677921,Essunga,1445,2120002916,Essunga,Kommunal,"1,1","0,1","1,1","95,3","84,1",.,"7,5",.,.,"84,1",2017
"NVU, Brinellskolan 1",32420077,Fagersta,1982,2220000927,Fagersta,Kommunal,"22,6","1,0","21,6","42,0","84,6","2,2","8,0",.,.,"84,0",2017
"NVU, Brinellskolan 2",48434184,Fagersta,1982,2220000927,Fagersta,Kommunal,"26,3","1,0","25,3","39,4","71,6","3,2","17,6","1,0","446,0","94,1",2017
Drottning Blankas Gymn. Falkenberg,58724424,Falkenberg,1382,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"13,0","0,7","12,3","78,0","69,7",.,"11,2","0,1","2 760,0","70,1",2017
Falkenbergs Gymnasieskola 1,95684185,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"20,0","1,0","19,0","42,2","93,5","2,6","11,1","1,0","221,1","91,9",2017
Falkenbergs Gymnasieskola 2,51138448,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"19,1","1,0","18,1","65,5","95,1","2,8","12,4","0,5","466,7","84,2",2017
Falkenbergs Gymnasieskola 3,19647256,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"25,7","1,0","24,7","32,1","84,4","2,0","6,8","0,4","430,8","89,0",2017
Falkenbergs Gymnasieskola 4,56421429,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"20,0","1,0","19,0","33,4","84,7","2,6","12,2","0,4","580,0","89,1",2017
Falkenbergs Gymnasieskola 5,39911065,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"16,1","0,6","15,5","37,6","91,9","3,2","14,8","0,6","394,8","87,9",2017
Falkenbergs Gymnasieskola 6,89068742,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"31,3","1,0","30,3","73,9","94,7","10,4","7,6","2,1","111,2","90,8",2017
Ållebergsgymnasiet A,17008320,Falköping,1499,2120001744,Falköping,Kommunal,"24,0","0,7","23,3","41,1","73,9",.,"9,0","0,5","418,0","84,6",2017
Ållebergsgymnasiet B,56737496,Falköping,1499,2120001744,Falköping,Kommunal,"25,2","1,0","24,2","51,7","74,6","3,7","11,3","0,6","456,7","87,4",2017
Ållebergsgymnasiet C,88850910,Falköping,1499,2120001744,Falköping,Kommunal,"25,1","1,0","24,1","67,2","75,6","5,4","10,7","0,5","573,3","76,8",2017
Ållebergsgymnasiet E,93939982,Falköping,1499,2120001744,Falköping,Kommunal,"32,5","1,0","31,5","50,1","83,0","3,2","9,1","0,6","478,3","93,1",2017
Falu Frigymnasium,25720752,Falun,2080,5566112834,Falu Frigymnasium Aktiebolag,Enskild,"30,3","1,0","29,3","56,3","93,2",.,"12,7","0,9","414,4","90,4",2017
Hagströmska gymnasiet Falun,55155562,Falun,2080,5567550461,Hagströmska Gymnasiet AB,Enskild,"49,2","2,0","47,2","39,1","56,4",.,"14,0","1,0","660,0","85,2",2017
Kristinegymnasiet RO1,31533003,Falun,2080,2120002221,Falun,Kommunal,"23,4","1,0","22,4","56,7","94,2","5,2","12,5","0,8","364,9","94,6",2017
Kristinegymnasiet RO2,31429031,Falun,2080,2120002221,Falun,Kommunal,"12,3","0,5","11,8","69,5","89,9","2,8","11,5","0,4","355,3","95,3",2017
Kristinegymnasiet RO3,16361868,Falun,2080,2120002221,Falun,Kommunal,"22,3","1,0","21,3","71,8","99,3","2,3","11,4","0,7","373,8","100,0",2017
Lugnetgymnasiet RO1,23164911,Falun,2080,2120002221,Falun,Kommunal,"34,5","1,0","33,5","44,7","94,9",.,"13,1","0,8","584,0","100,0",2017
Lugnetgymnasiet RO2,24008049,Falun,2080,2120002221,Falun,Kommunal,"43,5","1,0","42,5","27,8","69,6","2,4","9,1","1,3","309,6","96,2",2017
Lugnetgymnasiet RO3,72661886,Falun,2080,2120002221,Falun,Kommunal,"21,5","1,0","20,5","60,0","83,6","4,9","11,3","1,0","231,0","87,0",2017
"Mikael Elias Gymnasium, Falun",19981611,Falun,2080,5565583282,Mikael Elias Gymnasium AB,Enskild,"9,4","0,9","8,5","41,8","80,0",.,"9,2",.,.,"64,7",2017
NTI-gymnasiet Falun,36680097,Falun,2080,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"10,8","0,9","10,0","39,7","58,3",.,"9,8",.,.,"67,8",2017
Plusgymnasiet Falun,87756916,Falun,2080,5565789129,Plusgymnasiet AB,Enskild,"11,8","0,9","10,9","67,9","34,4",.,"14,1",.,.,"37,6",2017
Praktiska Falun,59734510,Falun,2080,5562575786,Praktiska Sverige AB,Enskild,"13,6","1,0","12,6","36,5","30,2",.,"10,6",.,.,"87,3",2017
"Frivilliga skolformer, Spångbergsgymnasiet",19586169,Filipstad,1782,2120001876,Filipstad,Kommunal,"51,6","1,0","50,6","55,7","60,7",.,"7,7","1,0","388,0","76,4",2017
Curt Nicolin-gymnasiet,95683850,Finspång,0562,5566431044,Curt Nicolin Gymnasiet AB,Enskild,"33,4","0,8","32,6","33,8","16,1",.,"14,2",.,.,"69,9",2017
Nya Bergska väst,17643936,Finspång,0562,2120000423,Finspång,Kommunal,"17,9","1,0","16,9","62,3","95,9","26,6","9,5","0,5","322,0","100,0",2017
Nya Bergska Öst,24273261,Finspång,0562,2120000423,Finspång,Kommunal,"23,2","1,0","22,2","62,1","89,6","4,5","9,8","0,8","286,8","100,0",2017
Prins Wilhelm gymnasiet,59455288,Flen,0482,2120000332,Flen,Kommunal,"36,6","2,0","34,6","64,4","66,3",.,"7,9","1,0","273,0","70,0",2017
ForshagaAkademin,82163292,Forshaga,1763,5566205737,ForshagaAkademin AB,Enskild,"21,4","1,0","20,4","46,2","73,5",.,"13,4","0,2","1 360,0","90,7",2017
Gymnasieutbildningen i Gagnef,19599583,Gagnef,2026,2120002155,Gagnef,Kommunal,"2,4","0,3","2,2","76,7","100,0","34,9","19,5","0,3","140,0","100,0",2017
Gislaveds gymnasium Ekonomisk sektor,25679488,Gislaved,0662,2120000514,Gislaved,Kommunal,"29,4","1,0","28,4","40,4","79,9","5,9","12,2","0,3","1 020,6","83,5",2017
Gislaveds gymnasium NEO sektor,25677996,Gislaved,0662,2120000514,Gislaved,Kommunal,"38,8","1,0","37,8","52,7","74,2","1,8","10,0","0,3","1 139,4","64,5",2017
Gislaveds gymnasium Teknisk sektor,89888648,Gislaved,0662,2120000514,Gislaved,Kommunal,"31,2","1,0","30,2","42,3","75,4","5,5","10,7","0,3","975,8","84,9",2017
Motorsportsgymnasiet i Anderstorp,90003262,Gislaved,0662,5563836757,"Värmdö Tekniska Utbildningar Aktiebolag, Vtu",Enskild,"4,3","0,6","3,7","27,1","81,0",.,"19,8",.,.,"81,0",2017
Gnosjöandans kunskapsc. gy,35063170,Gnosjö,0617,2120000506,Gnosjö,Kommunal,"29,1",.,"29,1","57,6","75,2",.,"9,2",.,.,"95,4",2017
Gutegymnasiet,31279294,Gotland,0980,5567044267,Guteskolan AB,Enskild,"24,8","0,9","23,9","45,8","59,0",.,"9,4","0,9","261,6","78,5",2017
Wisbygymnasiet,36782335,Gotland,0980,2120000803,Gotland,Kommunal,"132,9","1,0","131,9","52,9","87,2","1,4","11,5",.,.,"84,7",2017
Välkommaskolan enhet 1,20666515,Gällivare,2523,2220000760,Gällivare,Kommunal,"17,3","1,0","16,3","47,9","59,3",.,"10,3","1,0","169,0","62,3",2017
Välkommaskolan enhet 2,37906565,Gällivare,2523,2220000760,Gällivare,Kommunal,"9,8","2,0","7,8","87,2","61,5","6,4","16,7","0,5","260,0","51,3",2017
Välkommaskolan enhet 3,23063954,Gällivare,2523,2220000760,Gällivare,Kommunal,"19,0","1,0","18,0","50,9","87,5","11,1","7,5",.,.,"66,7",2017
Välkommaskolan enhet 4,67279303,Gällivare,2523,2220000760,Gällivare,Kommunal,"14,5","0,5","14,0","7,1","42,9",.,"8,9","0,5","250,0","71,4",2017
Borgarskolan,21648755,Gävle,2180,2120002338,Gävle,Kommunal,"70,4","1,0","69,4","56,0","80,6","0,7","13,2","2,0","457,0","82,5",2017
