skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_helttj_larare_tcv105,skolverket_helttj_larare_leg_tcv105,skolverket_and_helttj_larare_leg_tcv105,skolverket_helttj_forstelarare_tcv105,skolverket_ant_larare_tcv105,skolverket_ant_larare_pedex_tcv105,skolverket_and_larare_pedex_tcv105,skolverket_ant_behoriga_tcv105,skolverket_and_behoriga_tcv105,skolverket_ant_forstelarare_tcv105,year
Borås,Bäckängsgymnasiet C,56679384,Kommunal,Borås,"10,9","10,7","98,0","3,0",14,13,"92,9",14,"100,0",3,2018
Borås,Bäckängsgymnasiet D,30538202,Kommunal,Borås,"13,5","11,3","83,5",.,19,18,"94,7",18,"94,7",.,2018
Borås,Drottning Blankas Gymnasieskola Borås,19150273,Enskild,Drottning Blankas Gymnasieskola AB,"5,2","1,8","34,2","2,0",9,6,"66,7",4,"44,4",2,2018
Borås,LBS Ljud & Bildskolan Borås,69018222,Enskild,Ljud & Bildskolan Lbs AB,"9,2","3,4","37,5","1,7",13,7,"53,8",5,"38,5",2,2018
Borås,Praktiska Borås,25624692,Enskild,Praktiska Sverige AB,"4,8","1,3","27,5","1,0",7,3,"42,9",2,"28,6",1,2018
Borås,Realgymnasiet Borås,88534520,Enskild,Lärande i Sverige AB,"5,0","2,3","45,5","1,0",8,6,"75,0",6,"75,0",1,2018
Borås,Sven Eriksonsgymnasiet A,12889940,Kommunal,Borås,"17,8","12,8","71,7","4,0",27,20,"74,1",18,"66,7",5,2018
Borås,Sven Eriksonsgymnasiet B,16554575,Kommunal,Borås,"18,5","14,7","79,6","2,0",21,20,"95,2",18,"85,7",2,2018
Borås,Sven Eriksonsgymnasiet C,34076477,Kommunal,Borås,"22,4","20,1","89,5","5,0",28,25,"89,3",26,"92,9",5,2018
Borås,Sven Eriksonsgymnasiet D,54896448,Kommunal,Borås,"4,5","4,3","94,5","1,0",5,5,"100,0",5,"100,0",1,2018
Borås,Viskastrandsgymnasiet A,25356960,Kommunal,Borås,"8,1","5,9","72,7","2,0",15,13,"86,7",12,"80,0",2,2018
Borås,Viskastrandsgymnasiet B,64284020,Kommunal,Borås,"10,2","8,2","79,9","2,9",20,17,"85,0",16,"80,0",3,2018
Borås,Viskastrandsgymnasiet C,98132436,Kommunal,Borås,"10,1","8,2","81,6","2,7",23,20,"87,0",18,"78,3",3,2018
Botkyrka,Skyttbrinks gymnasium,60096875,Kommunal,Botkyrka,"6,8","2,9","42,4","1,0",9,5,"55,6",4,"44,4",1,2018
Botkyrka,S:t Botvids gymnasium,97758137,Kommunal,Botkyrka,"19,5","15,2","78,0","4,0",24,19,"79,2",22,"91,7",4,2018
Botkyrka,Södertörns Gymnasium,53400472,Enskild,STEG för framtiden Aktiebolag,"6,9","4,1","58,5","2,0",10,7,"70,0",6,"60,0",2,2018
Botkyrka,Tullinge gymnasium,26334561,Kommunal,Botkyrka,"36,1","33,6","92,9","2,9",44,41,"93,2",43,"97,7",4,2018
Botkyrka,Tumba gymnasium,40386043,Kommunal,Botkyrka,"72,8","63,0","86,5","10,0",91,84,"92,3",75,"82,4",10,2018
Båstad,Akademi Båstad Gymnasium,59483268,Kommunal,Båstad,"14,3","9,0","62,6","1,0",23,21,"91,3",14,"60,9",1,2018
Båstad,Apelrydsskolan,33685428,Enskild,Stiftelsen Apelrydsskolan,"6,1","4,2","69,0","0,5",14,11,"78,6",11,"78,6",1,2018
Båstad,Apelrydsskolan i Båstad,32879845,Enskild,Stiftelsen Apelryd International,"3,9","3,7","94,8","0,1",11,10,"90,9",10,"90,9",1,2018
Dals-Ed,"Utsikten, Dals-Eds gymnasium",88573795,Kommunal,Dals-Ed,"7,8","3,0","37,9",.,12,12,"100,0",7,"58,3",.,2018
Danderyd,Danderyds Gymnasium Ekonomi,20699742,Kommunal,Danderyd,"19,3","17,7","91,5","4,0",43,40,"93,0",39,"90,7",5,2018
Danderyd,Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Kommunal,Danderyd,"27,8","26,2","94,1","5,5",51,48,"94,1",48,"94,1",7,2018
Danderyd,"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Kommunal,Danderyd,"21,0","19,8","94,1","3,1",52,49,"94,2",47,"90,4",4,2018
Danderyd,Marina läroverket i Danderyd,82814120,Enskild,Klart Skepp Marinteknik AB,"21,0","16,7","79,7","2,9",30,26,"86,7",24,"80,0",5,2018
Danderyd,Viktor Rydberg gy. Djursholm,45164827,Enskild,Stiftelsen Viktor Rydbergs Skola,"27,0","20,6","76,4","3,0",37,29,"78,4",30,"81,1",3,2018
Degerfors,Möckelngymnasiet Degerfors,10924758,Kommunal,Degerfors,"10,9","7,6","69,2","0,4",15,14,"93,3",11,"73,3",1,2018
Eksjö,Eksjö Gymnasium 2,88259298,Kommunal,Eksjö,"14,6","12,4","84,7","2,8",19,16,"84,2",16,"84,2",3,2018
Eksjö,Eksjö Gymnasium 3,73098153,Kommunal,Eksjö,"12,9","8,7","68,0","1,0",18,16,"88,9",14,"77,8",1,2018
Eksjö,Nifsarpsskolan fri,44240250,Enskild,Eksjö Fordonsutbildning AB,"6,8","4,4","64,1",.,8,5,"62,5",6,"75,0",.,2018
Emmaboda,Vilhelm Mobergsgymnasiet,17846181,Kommunal,Emmaboda,"10,3","9,4","91,1","2,8",14,13,"92,9",13,"92,9",3,2018
Enköping,Westerlundska gymnasiet,75082798,Kommunal,Enköping,"50,5","45,0","89,1","13,8",65,60,"92,3",56,"86,2",14,2018
Eskilstuna,Grillska Gymnasiet Eskilstuna,23555409,Enskild,Stadsmissionens Skolstiftelse,"21,5","16,5","76,5","3,8",26,20,"76,9",20,"76,9",4,2018
Eskilstuna,Kunskapscompaniets Gymnasium i Eskilstuna,91333138,Enskild,Kunskapscompaniet Gymnasium KCGY AB,"3,9","1,6","40,8",.,5,3,"60,0",2,"40,0",.,2018
Eskilstuna,NTI Gymnasiet Eskilstuna,30341162,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"5,3","2,2","41,6","0,9",8,4,"50,0",4,"50,0",1,2018
Eskilstuna,Realgymnasiet Eskilstuna,39936461,Enskild,Lärande i Sverige AB,"3,7","1,6","43,7","2,0",8,3,"37,5",3,"37,5",2,2018
Eskilstuna,Rekarnegymnasiet 1,72266906,Kommunal,Eskilstuna,"24,8","23,4","94,1","6,5",30,29,"96,7",29,"96,7",7,2018
Eskilstuna,Rekarnegymnasiet 2,27030026,Kommunal,Eskilstuna,"21,1","19,5","92,2","7,0",30,29,"96,7",25,"83,3",7,2018
Eskilstuna,Rinmangymnasiet RI 1,16950252,Kommunal,Eskilstuna,"27,5","20,2","73,5","4,1",36,35,"97,2",29,"80,6",5,2018
Eskilstuna,Rinmangymnasiet RI 2,34637764,Kommunal,Eskilstuna,"27,2","20,8","76,3","5,8",33,31,"93,9",27,"81,8",6,2018
Eskilstuna,S:t Eskils gymnasium 1,19912478,Kommunal,Eskilstuna,"40,6","33,7","83,1","5,8",51,43,"84,3",42,"82,4",6,2018
Eskilstuna,S:t Eskils gymnasium 2,73255276,Kommunal,Eskilstuna,"6,2","5,1","81,9","2,0",13,13,"100,0",12,"92,3",4,2018
Eslöv,Bergagymnasiet,15077883,Kommunal,Eslöv,"19,9","17,0","85,3","5,6",33,26,"78,8",27,"81,8",6,2018
Falkenberg,Drottning Blankas Gymnasieskola Falkenberg,58724424,Enskild,Drottning Blankas Gymnasieskola AB,"4,5","3,2","70,8","0,8",9,6,"66,7",6,"66,7",1,2018
Falkenberg,Falkenbergs Gymnasieskola 1,95684185,Kommunal,Falkenberg,"13,0","12,0","92,4","2,6",41,38,"92,7",36,"87,8",7,2018
Falkenberg,Falkenbergs Gymnasieskola 2,51138448,Kommunal,Falkenberg,"12,1","11,1","91,7","3,3",38,37,"97,4",35,"92,1",7,2018
Falkenberg,Falkenbergs Gymnasieskola 3,19647256,Kommunal,Falkenberg,"5,4","5,1","94,4","1,5",23,22,"95,7",21,"91,3",3,2018
Falkenberg,Falkenbergs Gymnasieskola 4,56421429,Kommunal,Falkenberg,"10,0","9,4","94,1","2,2",34,33,"97,1",29,"85,3",5,2018
Falkenberg,Falkenbergs Gymnasieskola 5,39911065,Kommunal,Falkenberg,"8,7","8,3","96,2","3,6",28,27,"96,4",26,"92,9",7,2018
Falköping,Ållebergsgymnasiet A,17008320,Kommunal,Falköping,"14,8","13,9","93,9","2,5",43,40,"93,0",39,"90,7",8,2018
Falköping,Ållebergsgymnasiet B,56737496,Kommunal,Falköping,"12,1","10,3","84,7","3,2",37,32,"86,5",31,"83,8",9,2018
Falköping,Ållebergsgymnasiet C,88850910,Kommunal,Falköping,"3,1","1,8","59,8","0,1",19,17,"89,5",14,"73,7",4,2018
Falköping,Ållebergsgymnasiet E,93939982,Kommunal,Falköping,"19,8","16,0","80,5","4,8",53,47,"88,7",43,"81,1",8,2018
Falun,Falu Frigymnasium,25720752,Enskild,Falu Frigymnasium Aktiebolag,"23,6","19,8","84,2","2,5",30,26,"86,7",25,"83,3",3,2018
Falun,Hagströmska gymnasiet Falun,55155562,Enskild,Hagströmska Gymnasiet AB,"28,3","19,3","68,1","3,4",42,32,"76,2",27,"64,3",4,2018
Falun,Kristinegymnasiet RO1,31533003,Kommunal,Falun,"12,4","10,7","85,9","6,0",14,13,"92,9",13,"92,9",6,2018
Falun,Kristinegymnasiet RO2,31429031,Kommunal,Falun,"5,4","5,2","95,9","2,0",8,7,"87,5",7,"87,5",2,2018
Falun,Kristinegymnasiet RO3,16361868,Kommunal,Falun,"12,7","10,6","83,4","3,0",15,14,"93,3",14,"93,3",3,2018
Falun,Lugnetgymnasiet RO1,23164911,Kommunal,Falun,"25,3","24,4","96,4","5,6",30,30,"100,0",30,"100,0",6,2018
Falun,Lugnetgymnasiet RO2,24008049,Kommunal,Falun,"7,8","6,6","84,0","2,7",11,8,"72,7",8,"72,7",3,2018
Falun,Lugnetgymnasiet RO3,72661886,Kommunal,Falun,"9,5","8,3","86,8","1,8",13,11,"84,6",10,"76,9",2,2018
Falun,"Mikael Elias Gymnasium, Falun",19981611,Enskild,Mikael Elias Gymnasium AB,"6,1","4,5","73,8","2,0",12,6,"50,0",6,"50,0",2,2018
Falun,Musikkonservatoriet Falun,54481243,Landsting,Landstinget Dalarna,"11,7","5,7","48,7",.,35,16,"45,7",12,"34,3",.,2018
Falun,NTI Gymnasiet Falun,36680097,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"3,5","3,0","85,1","1,0",5,5,"100,0",4,"80,0",1,2018
Falun,Plusgymnasiet Falun,87756916,Enskild,Plusgymnasiet AB,"3,1","3,1","100,0","1,0",4,4,"100,0",4,"100,0",1,2018
Falun,Praktiska Falun,59734510,Enskild,Praktiska Sverige AB,"4,5","1,9","42,2","1,0",8,4,"50,0",2,"25,0",1,2018
Filipstad,Spångbergsgymnasiet,19586169,Kommunal,Filipstad,"17,8","16,4","91,9","1,2",26,22,"84,6",23,"88,5",2,2018
Finspång,Bergska gymnasiet Bildningen,24273261,Kommunal,Finspång,"15,8","13,5","85,6","2,0",20,19,"95,0",18,"90,0",2,2018
Finspång,Curt Nicolin-gymnasiet,95683850,Enskild,Curt Nicolin Gymnasiet AB,"25,0","6,4","25,5","3,3",32,11,"34,4",10,"31,3",5,2018
Flen,Prins Wilhelm gymnasiet,59455288,Kommunal,Flen,"9,0","6,6","73,0","2,6",17,15,"88,2",12,"70,6",3,2018
Forshaga,ForshagaAkademin,82163292,Enskild,ForshagaAkademin AB,"13,6","11,1","81,1","2,8",21,19,"90,5",19,"90,5",3,2018
Gislaved,Gislaveds gymnasium Ekonomisk sektor,25679488,Kommunal,Gislaved,"17,5","16,0","91,4","3,6",21,20,"95,2",19,"90,5",5,2018
Gislaved,Gislaveds gymnasium NEO sektor,25677996,Kommunal,Gislaved,"17,2","11,3","65,5","3,7",26,20,"76,9",19,"73,1",5,2018
Gislaved,Gislaveds gymnasium Teknisk sektor,89888648,Kommunal,Gislaved,"14,4","13,2","91,6","2,0",21,19,"90,5",18,"85,7",2,2018
Gislaved,Motorsportsgymnasiet i Anderstorp,90003262,Enskild,"Värmdö Tekniska Utbildningar Aktiebolag, Vtu","3,9","3,4","87,1","1,0",6,5,"83,3",6,"100,0",1,2018
Gislaved,Stora Segerstad Naturbrukscentrum,88163512,Landsting,Jönköpings Läns Landsting,"6,5","3,1","48,3","1,2",10,8,"80,0",5,"50,0",2,2018
Gnosjö,Gnosjöandans kunskapsc. gy,35063170,Kommunal,Gnosjö,"16,8","14,5","86,3","3,0",24,21,"87,5",19,"79,2",4,2018
Gotland,Gutegymnasiet,31279294,Enskild,Guteskolan AB,"12,9","4,1","32,0","2,0",20,12,"60,0",8,"40,0",2,2018
Gotland,Wisbygymnasiet,36782335,Kommunal,Gotland,"59,5","53,8","90,4","10,9",72,66,"91,7",64,"88,9",12,2018
Gävle,Borgarskolan,21648755,Kommunal,Gävle,"38,1","33,6","88,2","8,3",44,43,"97,7",41,"93,2",9,2018
Gävle,Drottning Blankas Gymnasieskola Gävle,11111710,Enskild,Plusgymnasiet AB,"7,0","3,7","53,2","2,0",12,8,"66,7",6,"50,0",2,2018
Gävle,NTI Gymnasiet Gävle,86547467,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"1,7","0,8","50,0",.,6,5,"83,3",4,"66,7",.,2018
Gävle,Polhemsskolan,90551279,Kommunal,Gävle,"48,0","35,3","73,5","12,4",65,47,"72,3",45,"69,2",15,2018
Gävle,Praktiska Gävle,93062368,Enskild,Praktiska Sverige AB,"4,9","2,8","56,1","1,0",7,3,"42,9",3,"42,9",1,2018
Gävle,Realgymnasiet Gävle,69686851,Enskild,Lärande i Sverige AB,"12,5","9,8","78,3","3,0",15,12,"80,0",13,"86,7",3,2018
Gävle,Thoren Business School Gävle,49616977,Enskild,Thorengruppen AB,"8,7","4,4","50,6","5,4",12,6,"50,0",5,"41,7",6,2018
Gävle,Vasaskolan,54965510,Kommunal,Gävle,"56,9","53,3","93,7","9,6",69,64,"92,8",67,"97,1",10,2018
Gävle,Yrkesgymnasiet Gävle,90267145,Enskild,Thorengruppen AB,"4,6","3,2","70,8","1,8",5,4,"80,0",4,"80,0",2,2018
Göteborg,Angeredsgymnasiet 1,72998905,Kommunal,Göteborg,"7,2","2,8","38,9","1,0",9,9,"100,0",6,"66,7",1,2018
Göteborg,Angeredsgymnasiet 2,84835666,Kommunal,Göteborg,"5,0","5,0","100,0","4,0",6,6,"100,0",6,"100,0",4,2018
Göteborg,Angeredsgymnasiet 3,24685151,Kommunal,Göteborg,"25,5","11,3","44,3","1,6",28,22,"78,6",12,"42,9",2,2018
Göteborg,Angeredsgymnasiet 4,25872338,Kommunal,Göteborg,"14,2","9,6","67,7","2,0",17,13,"76,5",12,"70,6",2,2018
Göteborg,Angeredsgymnasiet 5,54164490,Kommunal,Göteborg,"12,4","11,4","91,9",.,15,14,"93,3",14,"93,3",.,2018
Göteborg,Aniaragymnasiet,69481650,Enskild,AF Affärseffekt Framtidsskola AB,"9,8","7,9","80,3","2,0",16,9,"56,3",13,"81,3",2,2018
Göteborg,Aspero Idrottsgymn. Göteborg,20319353,Enskild,Aspero Friskolor AB,"9,2","6,2","67,5","1,9",18,12,"66,7",10,"55,6",2,2018
Göteborg,Bernadottegymnasiet,92194545,Kommunal,Göteborg,"8,7","7,5","86,9","2,0",12,9,"75,0",9,"75,0",2,2018
Göteborg,Bräckegymnasiet 1,88153340,Kommunal,Göteborg,"5,0","3,0","59,0","3,0",5,5,"100,0",4,"80,0",3,2018
Göteborg,Bräckegymnasiet 2,94353434,Kommunal,Göteborg,"8,8","5,8","65,9","2,0",10,8,"80,0",7,"70,0",2,2018
Göteborg,Burgårdens Gymnasium 1,59396229,Kommunal,Göteborg,"11,6","11,5","98,7","4,0",13,13,"100,0",13,"100,0",4,2018
Göteborg,Burgårdens Gymnasium 2,95165649,Kommunal,Göteborg,"1,4","1,1","78,6",.,2,2,"100,0",2,"100,0",.,2018
Göteborg,Burgårdens Gymnasium 3,64740897,Kommunal,Göteborg,"4,1","1,7","40,0",.,6,4,"66,7",3,"50,0",.,2018
Göteborg,Burgårdens Gymnasium 4,78979604,Kommunal,Göteborg,"18,9","15,1","80,2",.,22,18,"81,8",19,"86,4",.,2018
Göteborg,Burgårdens Gymnasium 5,69626109,Kommunal,Göteborg,"14,4","11,2","78,0","2,8",25,21,"84,0",20,"80,0",3,2018
Göteborg,Center för språkintroduktion Lindholmen 1,53432700,Kommunal,Göteborg,"18,1","5,6","31,1","2,0",20,20,"100,0",10,"50,0",2,2018
Göteborg,Center för Språkintroduktion Lindholmen 2,22601648,Kommunal,Göteborg,"17,9","2,8","15,6","1,0",20,19,"95,0",3,"15,0",1,2018
Göteborg,Cybergymnasiet Göteborg,85068812,Enskild,Cybergymnasiet Göteborg AB,"13,0","9,0","68,8","0,8",19,15,"78,9",14,"73,7",1,2018
Göteborg,Donnergymnasiet,78397312,Enskild,Donnergymnasiet AB,"32,9","31,7","96,2","5,3",40,40,"100,0",38,"95,0",6,2018
Göteborg,Drottning Blankas Gymnasieskola Göteborg,36444853,Enskild,Drottning Blankas Gymnasieskola AB,"10,9","9,7","89,0","3,8",14,12,"85,7",12,"85,7",4,2018
Göteborg,Ester Mosessons gymnasium 1,15414001,Kommunal,Göteborg,"3,8","3,8","100,0",.,4,4,"100,0",4,"100,0",.,2018
Göteborg,Ester Mosessons gymnasium 2,38311488,Kommunal,Göteborg,"8,0","7,6","94,4",.,9,8,"88,9",9,"100,0",.,2018
Göteborg,Framtidsgymnasiet Göteborg,16819383,Enskild,Framtidsgymnasiet i Göteborg Aktiebolag,"11,9","4,5","37,6","2,0",14,8,"57,1",6,"42,9",2,2018
Göteborg,GTI:s gymnasieskola,89837629,Enskild,Göteborgs Tekniska Institut Aktiebolag,"19,0","13,7","72,1","3,6",26,18,"69,2",19,"73,1",4,2018
Göteborg,Gymnasieakademin,12994441,Enskild,IEAB International Education AB,"11,6","6,8","58,6","2,0",14,9,"64,3",9,"64,3",2,2018
Göteborg,Göteborgregionens tekniska gy,53660780,Enskild,Göteborgs Tekniska College Aktiebolag,"20,9","16,7","79,8","0,4",31,23,"74,2",26,"83,9",1,2018
Göteborg,Göteborgs Högre Samskola gy.,88774402,Enskild,Stiftelsen Göteborgs Högre Samskola,"31,7","28,5","90,0","5,2",53,51,"96,2",48,"90,6",8,2018
Göteborg,Hermods Gymnasium Göteborg,75141151,Enskild,Hermods Gymnasium AB,"14,7","12,4","84,9","3,0",18,17,"94,4",16,"88,9",3,2018
Göteborg,Hvitfeldtska gymnasiet 1,61701709,Kommunal,Göteborg,"11,2","10,8","96,4","1,3",14,14,"100,0",14,"100,0",2,2018
Göteborg,Hvitfeldtska gymnasiet 2,61469192,Kommunal,Göteborg,"15,5","15,1","97,2","1,0",23,22,"95,7",21,"91,3",1,2018
Göteborg,Hvitfeldtska gymnasiet 3,84306392,Kommunal,Göteborg,"26,4","26,4","100,0","2,7",28,28,"100,0",28,"100,0",3,2018
Göteborg,Hvitfeldtska gymnasiet 4,28627819,Kommunal,Göteborg,"24,4","23,9","97,7","5,0",27,27,"100,0",27,"100,0",5,2018
Göteborg,Hvitfeldtska gymnasiet 5,30086854,Kommunal,Göteborg,"16,3","11,6","71,4","3,7",24,18,"75,0",18,"75,0",5,2018
Göteborg,IHGR-gymnasiet,26627862,Kommunal,Göteborg,"27,0","13,8","51,2","1,8",43,20,"46,5",19,"44,2",2,2018
Göteborg,Ingrid Segerstedts gymnasium,48847282,Enskild,Stiftelsen Ingrid Segerstedts Gymnasium,"17,3","16,0","92,5","4,0",21,21,"100,0",21,"100,0",4,2018
Göteborg,International IT College of Sweden Gothenburg,72517762,Enskild,Edinit AB,"6,7","6,1","91,0","1,0",7,7,"100,0",7,"100,0",1,2018
Göteborg,JENSEN Gymnasium Göteborg,38684438,Enskild,Jensen Education College AB,"17,2","12,5","72,7","4,0",25,16,"64,0",18,"72,0",4,2018
Göteborg,Katrinelundsgymnasiet 1,31251822,Kommunal,Göteborg,"12,3","12,3","100,0","3,0",18,17,"94,4",18,"100,0",4,2018
Göteborg,Katrinelundsgymnasiet 2,90099336,Kommunal,Göteborg,"2,8","2,8","100,0",.,6,6,"100,0",6,"100,0",.,2018
Göteborg,Katrinelundsgymnasiet 3,96590873,Kommunal,Göteborg,"12,6","11,2","89,2","2,0",15,14,"93,3",15,"100,0",2,2018
Göteborg,Katrinelundsgymnasiet 4,35647481,Kommunal,Göteborg,"17,8","16,3","91,5","1,0",28,28,"100,0",26,"92,9",1,2018
Göteborg,Katrinelundsgymnasiet 5,39549479,Kommunal,Göteborg,"12,9","11,6","89,9","2,5",20,17,"85,0",19,"95,0",3,2018
Göteborg,Kitas Ekonomi,73147554,Enskild,Kitas utbildning AB,"10,9","10,5","96,3","1,6",28,26,"92,9",27,"96,4",5,2018
Göteborg,Kitas Frisörgymnasium,65752105,Enskild,Kimuo frisörutbildning AB,"0,9","0,6","67,4","1,1",5,4,"80,0",4,"80,0",2,2018
Göteborg,Kitas Gymnasium,69983740,Enskild,Kitas utbildning AB,"14,2","13,9","97,9","2,5",33,31,"93,9",32,"97,0",5,2018
Göteborg,Kitas Natur,66491596,Enskild,Kitas utbildning AB,"13,1","12,5","95,4","3,9",34,32,"94,1",32,"94,1",7,2018
Göteborg,KLARA Teoretiska Gymnasium Göteborg,40690520,Enskild,Mikael Elias Gymnasium AB,"26,1","23,5","90,0","5,4",30,26,"86,7",29,"96,7",6,2018
