skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_helttj_larare_tcv105,skolverket_helttj_larare_leg_tcv105,skolverket_and_helttj_larare_leg_tcv105,skolverket_helttj_forstelarare_tcv105,skolverket_ant_larare_tcv105,skolverket_ant_larare_pedex_tcv105,skolverket_and_larare_pedex_tcv105,skolverket_ant_behoriga_tcv105,skolverket_and_behoriga_tcv105,skolverket_ant_forstelarare_tcv105,year
Ale,Lärlingsgymnasiet i Ale,93221031,Enskild,Lärlingsgymnasiet i Sverige AB,"8,9","3,4","37,9",.,12,5,"41,7",5,"41,7",.,2018
Alingsås,Alingsås Yrkesgymnasium,17474377,Enskild,Alingsås Yrkesgymnasium AB,"1,5","0,6","37,9",.,6,5,"83,3",3,"50,0",.,2018
Alingsås,Alströmergymnasiet sektor 1,74776778,Kommunal,Alingsås,"8,7","8,0","92,6","1,9",25,24,"96,0",24,"96,0",6,2018
Alingsås,Alströmergymnasiet sektor 2,18345915,Kommunal,Alingsås,"13,0","12,5","96,7","1,3",34,31,"91,2",32,"94,1",4,2018
Alingsås,Alströmergymnasiet sektor 3,68229719,Kommunal,Alingsås,"11,5","11,3","98,4","3,0",33,33,"100,0",33,"100,0",6,2018
Alingsås,Alströmergymnasiet sektor 4,61004230,Kommunal,Alingsås,"17,9","15,9","88,6","4,0",44,42,"95,5",42,"95,5",9,2018
Arboga,Vasagymnasiet,71262305,Kommunal,Arboga,"26,1","17,0","65,2","4,0",30,21,"70,0",20,"66,7",4,2018
Arjeplog,Hornavanskolan,55795961,Kommunal,Arjeplog,"8,0","5,2","64,5",.,13,12,"92,3",10,"76,9",.,2018
Arvidsjaur,Sandbackaskolan,84947634,Kommunal,Arvidsjaur,"11,0","7,1","65,1","2,6",20,15,"75,0",12,"60,0",3,2018
Arvika,"Estetiska skolan, gymnasiet",23517336,Enskild,Estetiska Skolan Arvika,"6,1","5,1","84,5","0,7",19,13,"68,4",10,"52,6",1,2018
Arvika,Solbergagymnasiet,48009865,Kommunal,Arvika,"22,6","19,2","85,1","3,6",31,29,"93,5",25,"80,6",5,2018
Arvika,Taserudsgymnasiet,68518617,Kommunal,Arvika,"13,6","8,5","62,8","5,0",18,16,"88,9",12,"66,7",5,2018
Avesta,Karlfeldtgymnasiet ro 1,82840198,Kommunal,Avesta,"12,7","9,7","76,8","3,1",38,32,"84,2",28,"73,7",5,2018
Avesta,Karlfeldtgymnasiet ro 2,18208087,Kommunal,Avesta,"13,8","10,7","77,8","5,1",39,35,"89,7",31,"79,5",9,2018
Avesta,Karlfeldtgymnasiet ro 3,89982804,Kommunal,Avesta,"8,7","5,3","61,3","1,9",35,29,"82,9",25,"71,4",6,2018
Bengtsfors,Strömkullegymnasiet,19464342,Kommunal,Bengtsfors,"18,5","8,6","46,3","3,2",24,19,"79,2",14,"58,3",4,2018
Berg,Fjällgymnasiet,60743463,Kommunal,Berg,"6,9","3,1","44,8",.,8,5,"62,5",5,"62,5",.,2018
Boden,Björknäsgymnasiet sektor 1,32960825,Kommunal,Boden,"13,1","12,0","91,4","3,0",15,14,"93,3",14,"93,3",3,2018
Boden,Björknäsgymnasiet sektor 2,43609520,Kommunal,Boden,"11,5","9,0","78,5","4,0",14,12,"85,7",10,"71,4",4,2018
Boden,Björknäsgymnasiet sektor 3,41416934,Kommunal,Boden,"4,9","4,1","83,7","1,0",6,6,"100,0",5,"83,3",1,2018
Boden,Björknäsgymnasiet sektor 4,97968599,Kommunal,Boden,"12,7","12,2","96,1","2,0",15,15,"100,0",15,"100,0",2,2018
Boden,Björknäsgymnasiet Sektor 5,64685315,Kommunal,Boden,"19,6","9,8","49,7",.,21,18,"85,7",12,"57,1",.,2018
Bollnäs,Friskolan Nytorp,21567982,Enskild,Friskolan Nytorp AB,"1,7","1,0","60,2",.,5,4,"80,0",1,"20,0",.,2018
Bollnäs,Hälsingegymnasiet,91748148,Enskild,Hälsingegymnasiet AB,"16,9","11,0","65,2","4,0",19,14,"73,7",14,"73,7",4,2018
Bollnäs,Naturlära i Hälsingland,49379603,Enskild,NaturLära i Hälsingland AB,"1,8","0,6","33,4",.,4,3,"75,0",3,"75,0",.,2018
Bollnäs,Nytorps Hästgymnasium,80167319,Enskild,Nytorps Hästgymnasium AB,"1,7","0,0","0,0",.,5,1,"20,0",0,"0,0",.,2018
Borlänge,Erikslundsgymnasiet,21866405,Kommunal,Borlänge,"8,6","5,9","68,7","1,5",21,15,"71,4",14,"66,7",3,2018
Borlänge,Hagagymnasiet,74434644,Kommunal,Borlänge,"32,4","24,4","75,1","6,0",42,37,"88,1",35,"83,3",6,2018
Borlänge,Helixgymnasiet Borlänge,42022406,Enskild,Helixutbildningar AB,"13,2","8,5","64,0","1,0",21,13,"61,9",11,"52,4",1,2018
Borlänge,Hushagsgymnasiet,88445871,Kommunal,Borlänge,"13,1","8,2","62,6","3,8",25,19,"76,0",17,"68,0",5,2018
Borlänge,Rytmus Borlänge,31322470,Enskild,Rytmus AB,"10,4","7,8","75,0",.,12,9,"75,0",9,"75,0",.,2018
Borlänge,Soltorgsgymnasiet,65192707,Kommunal,Borlänge,"32,2","29,4","91,3","1,8",38,36,"94,7",37,"97,4",2,2018
Borås,Almåsgymnasiet A,18425335,Kommunal,Borås,"7,2","6,4","88,9","2,0",9,8,"88,9",7,"77,8",2,2018
Borås,Almåsgymnasiet B,93281974,Kommunal,Borås,"13,2","10,6","80,7","2,0",15,14,"93,3",13,"86,7",2,2018
Borås,Almåsgymnasiet C,23424275,Kommunal,Borås,"8,8","7,6","86,4","3,0",9,8,"88,9",8,"88,9",3,2018
Borås,Björkängsgymnasiet B,33201730,Kommunal,Borås,"1,5","1,5","100,0","0,6",3,3,"100,0",3,"100,0",1,2018
Borås,Bäckängsgymnasiet A,43634528,Kommunal,Borås,"27,3","26,0","95,2","7,7",35,34,"97,1",33,"94,3",8,2018
Borås,Bäckängsgymnasiet B,36263479,Kommunal,Borås,"26,3","24,8","94,0","2,0",35,35,"100,0",35,"100,0",2,2018
