skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,skolverket_andel_natt_malen_alla_exklok_tcv139,skolverket_and_beh_yrk_exklok_tcv139,skolverket_gnm_meritvarde_exklok_tcv139,year
Arvika,"Estetiska skolan, högstadiet",Enskild,Estetiska Skolan Arvika,99375199,44,"88,6","100,0","249,2","88,6","100,0","249,2",2016
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,118,"72,0","85,6","212,8","72,0","85,6","212,8",2016
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,97,"71,1","81,4","222,6","71,1","81,4","222,6",2016
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,41,"65,9","85,4","207,0","65,9","85,4","207,0",2016
Avesta,Åvestadalskolan,Kommunal,Avesta,30454178,83,"63,9","75,9","214,3","63,9","75,9","214,3",2016
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,111,"60,4","75,7","222,2","69,1","86,6","228,9",2016
Berg,Myrvikens skola,Kommunal,Berg,56709330,30,"83,3",~100,"227,0","83,3",~100,"227,0",2016
Berg,Svenstavik åk 7-9,Kommunal,Berg,39932052,67,"53,7","61,2","187,5","78,3","89,1","236,2",2016
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,20,"70,0","70,0","199,8","70,0","70,0","199,8",2016
Bjuv,Ekeby skola spår A,Kommunal,Bjuv,61795800,15,"80,0",~100,"199,8","80,0",~100,"199,8",2016
Bjuv,Ekeby skola spår B och C,Kommunal,Bjuv,47546433,21,"76,2",~100,"224,9","76,2",~100,"224,9",2016
Bjuv,Jens Billeskolan  7 - 9,Kommunal,Bjuv,63778499,50,"78,0","90,0","220,2","78,0","90,0","220,2",2016
Bjuv,Varagårdsskolan Bjuv Östra   7 - 9,Kommunal,Bjuv,45883916,92,"57,6","70,7","193,6","72,2","88,9","218,0",2016
Boden,Brönjaskolan,Kommunal,Boden,60633912,111,"87,4","88,3","221,8","97,0",~100,"239,6",2016
Boden,Stureskolan 1,Kommunal,Boden,75627171,77,"74,0","81,8","220,5","86,4",~100,"233,2",2016
Boden,Stureskolan 2,Kommunal,Boden,89885803,65,"72,3","84,6","210,2","75,8","88,7","216,4",2016
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden ekonomisk förening,98998541,24,"100,0","100,0","270,1","100,0","100,0","270,1",2016
Boden,Norrskenet Boden,Enskild,Pysslingen Förskolor och Skolor AB,40708452,32,"87,5",~100,"232,8","87,1",~100,"231,1",2016
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,85,"81,2","94,1","233,0","81,2","94,1","233,0",2016
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,28,"92,9",~100,"222,1","92,6",~100,"221,4",2016
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,76,"50,0","68,4","187,0","52,1","71,2","187,0",2016
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,42,"50,0","59,5","175,3","55,3","65,8","178,4",2016
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,107,"94,4",~100,"237,2","94,4",~100,"237,2",2016
Bollnäs,Edenskolan,Enskild,Stiftelsen Bollnäs Bibelcenter,69498258,..,..,..,..,..,..,..,2016
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,100,"61,0","69,0","226,2","81,3","92,0","235,0",2016
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,27,"74,1","74,1","266,5","100,0","100,0","266,5",2016
Borlänge,Lanternan,Enskild,Adventum Specialpedagogik AB,59137023,..,..,..,..,..,..,..,2016
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,77,"58,4","80,5","200,6","59,2","80,3","200,9",2016
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,163,"66,9","82,2","216,9","67,3","82,7","217,6",2016
Borlänge,Gylle skola 6-9,Kommunal,Borlänge,11406792,113,"59,3","70,8","189,7","61,5","73,4","194,3",2016
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,88,"58,0","72,7","200,8","58,0","72,7","200,8",2016
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,55,"60,0","63,6","209,5","63,5","67,3","213,4",2016
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige Aktiebolag,70510891,76,"81,6",~100,"240,6","81,6",~100,"240,6",2016
Borlänge,Immanuelskolan,Enskild,Stiftelsen Immanuel,24147931,12,..,..,"220,3",..,..,"220,3",2016
Borås,Bodaskolan 7-9,Kommunal,Borås,67454907,123,"50,4","61,8","191,8","57,4","70,4","195,2",2016
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,106,"84,0","90,6","235,5","84,8","91,4","235,5",2016
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,160,"63,1","80,0","208,1","64,7","82,1","208,1",2016
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,150,"68,0","72,7","236,2","83,6","89,3","239,9",2016
Borås,Erikslundskolan,Kommunal,Borås,50870189,75,"61,3","68,0","211,3","67,6","75,0","212,7",2016
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,107,"81,3","90,7","231,4","82,9","92,4","231,4",2016
Borås,Sandgärdskolan,Kommunal,Borås,98081621,123,"87,8","93,5","241,0","93,1",~100,"241,0",2016
Borås,Särlaskolan F-9,Kommunal,Borås,23108037,79,"50,6","64,6","186,7","54,1","68,9","186,7",2016
Borås,Viskaforsskolan F-9,Kommunal,Borås,50756758,64,"65,6","79,7","225,7","71,2","86,4","225,7",2016
Borås,Engelska Skolan i Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,80,"97,5","100,0","276,0","97,5","100,0","276,0",2016
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige Aktiebolag,10257640,105,"92,4",~100,"260,8","92,4",~100,"260,8",2016
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,26,"84,6",~100,"245,4","84,6",~100,"245,4",2016
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,16,"68,8",~100,"218,9","68,8",~100,"218,9",2016
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,85,"75,3","81,2","227,1","80,0","86,3","238,5",2016
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,84,"79,8","94,0","232,7","79,8","94,0","232,7",2016
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,49,"77,6","89,8","228,9","77,6","89,8","228,9",2016
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,123,"80,5","87,0","237,5","84,6","91,5","244,3",2016
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,.,..,..,.,..,..,2016
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,80,"23,8","62,5","163,8","24,3","64,9","168,0",2016
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,43,"74,4","81,4","225,5","76,2","83,3","229,0",2016
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,41,"63,4","75,6","227,4","63,4","75,6","227,4",2016
Botkyrka,Hammerstaskolan 1GR,Kommunal,Botkyrka,54270895,..,.,..,..,.,..,..,2016
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,53,"39,6","58,5","181,8","42,6","63,8","195,1",2016
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,36,"58,3","77,8","227,5","58,3","77,8","227,5",2016
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,48,"70,8","83,3","209,9","70,8","83,3","209,9",2016
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,..,..,..,..,..,2016
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,83,"94,0",~100,"253,2","93,8",~100,"253,1",2016
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,56,"76,8",~100,"229,6","76,8",~100,"229,6",2016
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ekonomisk Förening,29524966,..,..,..,..,..,..,..,2016
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,41,"82,9",~100,"242,1","82,9",~100,"242,1",2016
Botkyrka,Kunskapsskolan Tumba,Enskild,Kunskapsskolan i Sverige Aktiebolag,84411355,74,"87,8","90,5","255,1","87,8","90,5","255,1",2016
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,Sverigefinska Skolan i Botkyrka Aktiebolag,57850353,..,..,..,..,..,..,..,2016
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,52,"71,2","86,5","213,2","73,5","89,8","212,6",2016
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,51,"66,7","76,5","208,2","68,0","78,0","208,2",2016
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,95,"67,4","80,0","202,9","67,4","80,0","202,9",2016
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,42,"61,9","64,3","178,8","78,8","81,8","213,3",2016
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,36,"61,1","66,7","212,5","73,3","80,0","212,5",2016
Bräcke,Kälarne skola,Kommunal,Bräcke,82223639,14,..,..,"181,4",..,..,"215,5",2016
Burlöv,Dalslundskolan 7-9,Kommunal,Burlöv,58712142,56,"87,5",~100,"230,3","87,5",~100,"230,3",2016
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,81,"54,3","64,2","181,5","66,7","78,8","217,0",2016
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,55,"70,9",~100,"219,6","72,2",~100,"220,6",2016
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,107,"65,4","73,8","233,0","75,3","84,9","235,7",2016
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,49,"81,6",~100,"236,4","81,6",~100,"236,4",2016
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,180,"98,3","100,0","275,5","98,3","100,0","275,5",2016
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,142,"90,8","95,8","247,7","92,8",~100,"251,4",2016
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,180,"97,2","100,0","274,1","97,2","100,0","274,1",2016
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,85,"71,8","82,4","213,8","73,5","84,3","218,6",2016
Dorotea,Strandenskolan 7-9,Kommunal,Dorotea,43972051,27,"77,8","81,5","204,2","77,8","81,5","204,2",2016
Eda,Gunnarsbyskolan 6-9,Kommunal,Eda,95519589,42,"85,7",~100,"233,3","85,7",~100,"233,3",2016
Eda,Hierneskolan  6-9,Kommunal,Eda,85815904,34,"70,6",~100,"219,6","70,6",~100,"219,6",2016
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,19,"89,5","100,0","235,5","89,5","100,0","235,5",2016
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,99,"83,8","92,9","246,4","83,8","92,9","246,4",2016
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,50,"96,0","100,0","278,3","96,0","100,0","278,3",2016
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,91,"84,6","92,3","241,3","84,6","92,3","241,3",2016
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,30,"100,0","100,0","274,3","100,0","100,0","274,3",2016
Eksjö,Broarps skola,Enskild,Attendo Individ och familj AB,30452569,..,.,.,..,.,.,..,2016
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,49,"44,9","49,0","166,2","56,4","61,5","176,9",2016
Eksjö,Prästängsskolan A,Kommunal,Eksjö,48457931,72,"76,4","83,3","222,4","82,1","89,6","237,4",2016
Eksjö,Prästängsskolan B,Kommunal,Eksjö,98124174,101,"49,5","62,4","201,0","69,4","87,5","222,9",2016
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,97,"60,8","72,2","192,0","65,6","77,8","204,4",2016
Enköping,Entréskolan Enköping,Enskild,AmiSgo AB,97000303,24,"91,7",~100,"252,6","91,7",~100,"252,6",2016
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,71,"84,5","90,1","238,0","84,5","90,1","238,0",2016
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,26,"61,5",~100,"196,2","61,5",~100,"196,2",2016
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,51,"58,8","78,4","191,8","63,8","85,1","203,0",2016
Enköping,S:t Iliansskolan,Kommunal,Enköping,34699165,164,"70,7","86,6","211,6","70,7","86,6","211,6",2016
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,46,"91,3",~100,"225,2","91,3",~100,"225,2",2016
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,67723630,85,"94,1",~100,"254,9","94,1",~100,"254,9",2016
Enköping,Bergtallens skola,Enskild,Villberga Familjecenter Aktiebolag,73178642,..,.,..,..,.,..,..,2016
Eskilstuna,"Entréskolan, Eskilstuna",Enskild,AmiSgo AB,10443922,35,"40,0","85,7","176,8","40,0","85,7","176,8",2016
Eskilstuna,"British Junior Secondary, Eskilstuna",Enskild,British Schools AB,50048111,24,"87,5","100,0","220,2","87,5","100,0","220,2",2016
Eskilstuna,Djurgårdsskolan1 7-9,Kommunal,Eskilstuna,34148803,63,"77,8","82,5","225,7","81,7","85,0","229,4",2016
Eskilstuna,Djurgårdsskolan2 7-9,Kommunal,Eskilstuna,54605092,78,"76,9","82,1","230,4","76,9","82,1","230,4",2016
Eskilstuna,Faktoriet 7-9,Kommunal,Eskilstuna,64275635,97,"78,4","82,5","216,7","80,0","84,2","221,0",2016
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,113,"79,6","84,1","222,2","81,8","86,4","227,8",2016
Eskilstuna,Skiftingehus F-9,Kommunal,Eskilstuna,65025285,72,"44,4","51,4","154,7","57,1","66,1","184,4",2016
Eskilstuna,Skogstorpsskolan 7-9,Kommunal,Eskilstuna,30622727,125,"64,0","74,4","199,6","67,2","78,2","205,8",2016
Eskilstuna,Stålforsskolan 7-9,Kommunal,Eskilstuna,14327803,277,"61,7","73,6","198,1","64,3","76,7","203,1",2016
Eskilstuna,Tallbacken,Kommunal,Eskilstuna,79499416,47,.,.,"16,7",.,.,..,2016
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,39,"100,0","100,0","260,3","100,0","100,0","260,3",2016
Eskilstuna,Årbyskolan F-9,Kommunal,Eskilstuna,63315515,106,"50,0","63,2","186,9","51,5","65,0","188,8",2016
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,201,"95,5",~100,"275,3","95,5",~100,"275,3",2016
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,123,"73,2","82,9","216,0","78,3","88,7","227,5",2016
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,104,"60,6","68,3","224,3","78,8","88,8","229,5",2016
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,114,"60,5","69,3","200,7","73,4","83,0","216,1",2016
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,64,"85,9","92,2","246,5","87,3",~100,"246,5",2016
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,55,"80,0","85,5","225,3","80,0","85,5","225,3",2016
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,146,"59,6","69,2","196,8","67,4","78,3","199,4",2016
Fagersta,Lindgårdsskolan 7-9,Enskild,Västanfors-Västervåla Församling,95382478,14,..,..,"163,2",..,..,"163,2",2016
Falkenberg,Apelskolan 2,Kommunal,Falkenberg,58501067,84,"72,6","76,2","223,3","83,6","86,3","229,9",2016
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,19,"73,7",~100,"241,3","73,7",~100,"241,3",2016
Falkenberg,Skogstorpsskolan 2,Kommunal,Falkenberg,71339649,83,"65,1","72,3","209,5","73,0","81,1","211,9",2016
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,78,"57,7","74,4","204,8","65,2","84,1","220,1",2016
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,56,"62,5","78,6","195,8","67,3","84,6","205,9",2016
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,51,"80,4","88,2","228,2","80,4","88,2","228,2",2016
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,102,"56,9","70,6","190,3","68,2","84,7","209,1",2016
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,62,"93,5",~100,"254,3","93,5",~100,"254,3",2016
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,99,"55,6","61,6","195,8","66,3","73,5","203,8",2016
Falköping,Flobyskolan 7-9,Kommunal,Falköping,54765026,41,"68,3","80,5","200,5","68,3","80,5","200,5",2016
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,31,"71,0","74,2","193,6","75,9","79,3","199,4",2016
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,42,"81,0",~100,"226,4","81,0",~100,"226,4",2016
Falköping,Kyrkerörsskolan,Kommunal,Falköping,78444521,100,"56,0","63,0","207,7","70,0","78,8","215,7",2016
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,45,"68,9","73,3","204,0","68,9","73,3","204,0",2016
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,31,"54,8","74,2","193,3","58,6","79,3","203,0",2016
Falköping,Thoren Framtid i Falköping,Enskild,Thoren Framtid AB,48252217,28,"64,3","82,1","186,3","64,3","82,1","186,3",2016
Falun,Backafors Resursskola,Enskild,Attendo Närsjögläntans HVB-hem AB,27560810,..,.,..,..,.,..,..,2016
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,56,"92,9","100,0","256,0","92,9","100,0","256,0",2016
Falun,Britsarvsskolan,Kommunal,Falun,17033155,90,"76,7","82,2","213,5","80,2","86,0","221,7",2016
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,143,"79,0","83,9","223,1","81,9","87,0","228,6",2016
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,20,"100,0","100,0","265,1","100,0","100,0","265,1",2016
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,80,"77,5","78,8","216,9","79,2","80,5","220,8",2016
Falun,Västra Skolan,Kommunal,Falun,27153243,140,"74,3","82,1","205,8","82,5","91,3","227,1",2016
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun ekonomisk förening,65494903,21,"100,0","100,0","265,2","100,0","100,0","265,2",2016
Falun,Erlaskolan Falun,Enskild,Lärande i Sverige AB,41444691,30,"70,0",~100,"210,1","70,0",~100,"210,1",2016
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor och Skolor AB,72625090,51,"92,2","100,0","260,2","92,2","100,0","260,2",2016
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,92,"78,3","87,0","212,3","82,8","92,0","219,4",2016
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,20,"75,0",~100,"214,0","83,3",~100,"223,3",2016
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,132,"62,1","75,0","196,6","70,1","83,8","211,0",2016
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,120,"65,0","76,7","204,9","72,2","85,2","206,8",2016
Flen,Europaskolan Malma,Enskild,Europaskolan Grundskola AB,38215460,42,"54,8","88,1","226,1","54,8","88,1","226,1",2016
Flen,Stenhammarskolan,Kommunal,Flen,81546814,95,"61,1","75,8","204,9","61,3","76,3","204,8",2016
Flen,Flens kristna skola,Enskild,Flens Kristna Skola AB,52287808,..,..,..,..,..,..,..,2016
Forshaga,Dejeskolan L-H-stadiet,Kommunal,Forshaga,48228294,42,"45,2","47,6","141,0","55,9","58,8","162,1",2016
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,109,"82,6","92,7","232,6","85,7",~100,"232,6",2016
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,90,"57,8","67,8","189,9","72,9","85,7","208,1",2016
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,58,"89,7",~100,"236,6","89,7",~100,"236,6",2016
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,47,"87,2",~100,"231,5","87,2",~100,"231,5",2016
Gislaved,Lundåkerskolan,Kommunal,Gislaved,47236914,119,"59,7","73,9","193,8","60,7","75,2","196,8",2016
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,105,"71,4","79,0","211,4","72,1","79,8","213,1",2016
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,96,"55,2","69,8","223,7","62,4","78,8","223,7",2016
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,36,"72,2","86,1","219,4","72,2","86,1","219,4",2016
Gislaved,Montessorifriskolan i Gislaved,Enskild,Montessorifriskolan i Gislaved Ekonomiska förening,93436580,..,..,..,..,..,..,..,2016
Gnesta,Frejaskolan 6-9,Kommunal,Gnesta,71986467,110,"57,3","69,1","182,1","66,3","80,0","201,3",2016
Gnesta,Gnesta Waldorfskola,Enskild,Gnesta Waldorfskoleförening,35159342,13,"92,3",~100,"264,2","92,3",~100,"264,2",2016
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,85,"68,2","77,6","200,8","70,7","80,5","203,1",2016
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,46,"76,1","84,8","213,0","76,1","84,8","213,0",2016
Gotland,Fårösundsskolan,Kommunal,Gotland,68188627,35,"40,0","45,7","166,7","70,0",~100,"211,8",2016
Gotland,Högbyskolan,Kommunal,Gotland,94163432,56,"55,4","60,7","167,7","79,5","87,2","207,1",2016
Gotland,Klinteskolan,Kommunal,Gotland,24429776,43,"53,5","69,8","202,0","59,0","76,9","202,0",2016
Gotland,Romaskolan,Kommunal,Gotland,60700608,51,"96,1",~100,"228,7","96,1",~100,"228,7",2016
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,197,"73,1","76,6","221,6","84,7","88,8","227,7",2016
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,34,"67,6","67,6","219,3","85,2",~100,"226,9",2016
Gotland,Södervärnsskolan,Kommunal,Gotland,80013231,123,"82,9","86,2","237,8","86,4","89,8","237,8",2016
Gotland,"Guteskolan, grundskola",Enskild,Guteskolan AB,42518434,38,"78,9","86,8","214,6","78,9","86,8","214,6",2016
Gotland,Atheneskolan,Enskild,Pysslingen Förskolor och Skolor AB,52229866,51,"94,1",~100,"260,1","94,1",~100,"260,1",2016
Gotland,Orionskolan,Enskild,Stiftelsen Orionskolan,27928506,..,..,..,..,..,..,..,2016
Grums,Jättestenskolan,Kommunal,Grums,16891307,82,"56,1","72,0","177,1","63,9","81,9","192,9",2016
Grästorp,Centralskolan 4-9 Norr,Kommunal,Grästorp,24376988,25,"96,0",~100,"256,3","96,0",~100,"256,3",2016
Grästorp,Centralskolan Söder 4-9,Kommunal,Grästorp,31381375,29,"89,7",~100,"232,2","89,7",~100,"232,2",2016
Gullspång,Gullstensskolan åk 7-9,Kommunal,Gullspång,89624871,59,"57,6","62,7","171,0","61,5","67,3","177,7",2016
Gällivare,Hakkas Centralskola,Kommunal,Gällivare,73575145,14,"78,6",~100,"242,0","78,6",~100,"242,0",2016
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,45,"68,9","84,4","217,1","68,9","84,4","217,1",2016
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,22,"77,3",~100,"210,9","77,3",~100,"210,9",2016
Gällivare,Sjöparksskolan LMH,Kommunal,Gällivare,24426745,50,"76,0","84,0","220,2","77,1","85,4","223,7",2016
Gällivare,Tallbackaskolan H,Kommunal,Gällivare,68699648,39,"92,3",~100,"262,6","92,3",~100,"262,6",2016
Gällivare,Malmens friskola,Enskild,Malmens Friskola AB,37140962,20,"90,0",~100,"255,0","90,0",~100,"255,0",2016
Gävle,Friskolan Lyftet,Enskild,Friskolan Lyftet AB,11476454,16,"62,5",~100,"182,0","62,5",~100,"182,0",2016
