skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,skolverket_andel_natt_malen_alla_exklok_tcv139,skolverket_and_beh_yrk_exklok_tcv139,skolverket_gnm_meritvarde_exklok_tcv139,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ekonomisk förening,71387206,23,"95,7","100,0","249,8","95,7","100,0","249,8",2016
Ale,Aroseniusskolan,Kommunal,Ale,48529699,116,"70,7","78,4","205,8","73,9","82,0","214,1",2016
Ale,Bohusskolan,Kommunal,Ale,11043800,65,"81,5","92,3","220,2","81,5","92,3","220,2",2016
Ale,Da Vinciskolan,Kommunal,Ale,61084420,162,"56,8","72,2","189,6","59,9","74,3","194,2",2016
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,122,"86,1","90,2","226,5","87,5","91,7","226,5",2016
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,100,"90,0","95,0","240,6","90,0","95,0","240,6",2016
Alingsås,Sollebrunns skola 7-9,Kommunal,Alingsås,76908037,61,"88,5",~100,"238,8","88,5",~100,"238,8",2016
Alingsås,Östlyckeskolan 7,Kommunal,Alingsås,63889771,27,.,..,"48,9",.,..,"72,3",2016
Alingsås,Östlyckeskolan 8-9,Kommunal,Alingsås,20234335,91,"76,9","92,3","221,0","77,8","92,2","222,0",2016
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,45,"95,6",~100,"254,5","95,6",~100,"254,5",2016
Alingsås,Linnéskolan,Enskild,Alingsås Waldorfskoleförening,32478204,..,..,..,..,..,..,..,2016
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,36,"88,9","100,0","229,1","88,9","100,0","229,1",2016
Alvesta,Hagaskolan,Kommunal,Alvesta,67183147,131,"42,7","58,8","174,9","50,0","68,8","187,8",2016
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,50,"76,0","80,0","205,5","80,9","85,1","213,7",2016
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,51,"82,4",~100,"237,6","82,4",~100,"237,6",2016
Aneby,Furulidskolan,Kommunal,Aneby,88669294,53,"90,6",~100,"231,9","90,4",~100,"232,9",2016
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,70,"70,0","81,4","213,0","70,0","81,4","213,0",2016
Arboga,Stureskolan,Kommunal,Arboga,13854755,88,"71,6","86,4","229,7","73,3","88,4","233,8",2016
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,26,"84,6",~100,"232,3","84,6",~100,"232,3",2016
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,77,"75,3","83,1","214,1","75,3","83,1","214,1",2016
Arvika,Centralskolan,Kommunal,Arvika,60318692,207,"59,4","69,1","194,9","73,2","85,1","204,8",2016
Arvika,Järvenskolan,Kommunal,Arvika,96316449,18,"100,0","100,0","244,2","100,0","100,0","244,2",2016
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,48,"72,9","87,5","207,2","72,9","87,5","207,2",2016
