skolverket_lageskommun_tcv136,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_tot_elever_tcv136,skolverket_ar1_tcv136,skolverket_ar2_tcv136,skolverket_ar3_tcv136,skolverket_andel_kvi_tcv136,skolverket_andel_utl_tcv136,skolverket_andel_forald_eftergymn_utb_tcv136,year
Borås,Bäckängsgymnasiet B,36263479,Kommunal,Borås,577,194,191,192,71,18,55,2014
Borås,Bäckängsgymnasiet C,56679384,Kommunal,Borås,273,108,83,82,78,15,52,2014
Borås,Sven Eriksonsgymnasiet A,12889940,Kommunal,Borås,332,128,112,92,20,20,59,2014
Borås,Sven Eriksonsgymnasiet B,16554575,Kommunal,Borås,307,122,129,56,42,30,50,2014
Borås,Sven Eriksonsgymnasiet C,34076477,Kommunal,Borås,408,145,118,145,54,19,52,2014
Borås,Tullengymnasiet,33201730,Kommunal,Borås,234,100,83,51,43,71,9,2014
Borås,Viskastrandsgymnasiet A,25356960,Kommunal,Borås,215,90,49,76,18,10,26,2014
Borås,Viskastrandsgymnasiet B,64284020,Kommunal,Borås,236,91,79,66,21,10,38,2014
Borås,Viskastrandsgymnasiet C,98132436,Kommunal,Borås,318,113,102,103,6,10,30,2014
Botkyrka,S:t Botvids gymnasium,97758137,Kommunal,Botkyrka,529,278,157,94,48,81,25,2014
Botkyrka,Tullinge gymnasium,26334561,Kommunal,Botkyrka,648,234,215,199,52,40,58,2014
Botkyrka,Tumba gymnasium,40386043,Kommunal,Botkyrka,1 134,458,316,360,44,50,42,2014
Malmö,Bryggeriets Gymnasium,71472793,Enskild,"Bryggeriets Bildnings Byrå ,Bbb,",151,55,51,45,30,13,43,2014
Burlöv,Gymnasieutbildningen i Burlöv,73416853,Kommunal,Burlöv,27,27,.,.,56,74,..,2014
Båstad,Akademi Båstad Gymnasium,59483268,Kommunal,Båstad,191,96,52,43,53,26,48,2014
Helsingborg,Campeon Frigymnasium,41745951,Enskild,Campeon Frigymnasium AB,206,68,69,69,69,7,73,2014
Kalmar,Calmare Internationella Skola,88466776,Enskild,CIS Kalmar AB,203,78,55,70,60,18,63,2014
Lund,Consensum Lund,69807202,Enskild,Consensum Lund AB,254,80,90,84,80,24,42,2014
Sollentuna,Consensum Sollentuna,68649663,Enskild,Consensum Lund AB,107,46,39,22,81,39,33,2014
Helsingborg,Cultura Gymnasium,83137205,Enskild,Cultura Utbildning AB,156,55,56,45,75,60,49,2014
Finspång,Curt Nicolin-gymnasiet,95683850,Enskild,Curt Nicolin Gymnasiet AB,371,137,128,106,27,11,48,2014
Göteborg,Cybergymnasiet Göteborg,85068812,Enskild,Cybergymnasiet Göteborg AB,214,112,32,70,43,66,33,2014
Malmö,Cybergymnasiet Malmö,69063711,Enskild,Cybergymnasiet Malmö AB,342,75,134,133,46,51,42,2014
Stockholm,Cybergymnasiet Odenplan Norr,94167577,Enskild,Cybergymnasiet Nacka AB,794,303,271,220,50,41,47,2014
Dals-Ed,"Utsikten, Dals-Eds gymnasium",88573795,Kommunal,Dals-Ed,68,33,18,17,43,22,32,2014
Danderyd,Danderyds Gymnasium Ekonomi,20699742,Kommunal,Danderyd,577,221,206,150,45,8,82,2014
Danderyd,Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Kommunal,Danderyd,331,118,112,101,34,17,89,2014
Danderyd,"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Kommunal,Danderyd,467,183,141,143,51,14,82,2014
Lund,Lunds Dans- o Musikalgymnasium,28267726,Enskild,Dans O Musikal i Lund AB,181,63,64,54,86,12,68,2014
Degerfors,Möckelngymnasiet Degerfors,10924758,Kommunal,Degerfors,198,73,53,72,42,30,31,2014
Järfälla,Didaktus Jakobsberg,85214294,Enskild,Didaktus Skolor AB,239,96,76,67,74,82,28,2014
Stockholm,Didaktus Liljeholmen,53903798,Enskild,Didaktus Skolor AB,575,230,179,166,68,77,25,2014
Krokom,Dille Gård Naturbruksgymnasium,62490359,Enskild,Dille Gård AB,64,19,21,24,69,..,50,2014
Stockholm,Distra Bygg Gymnasium Sthlm,85782695,Enskild,Distra Utbildnings Center AB,120,44,33,43,11,59,21,2014
Göteborg,Donnergymnasiet,78397312,Enskild,Donnergymnasiet AB,564,191,193,180,66,18,78,2014
Borås,Drottning Blankas Frisörgymnasium Borås,73985201,Enskild,Drottning Blankas Gymnasieskola AB,1,.,.,1,..,.,.,2014
Borås,Drottning Blankas Gymn. Borås,19150273,Enskild,Drottning Blankas Gymnasieskola AB,98,46,34,18,82,26,24,2014
Falkenberg,Drottning Blankas Gymn. Falkenberg,58724424,Enskild,Drottning Blankas Gymnasieskola AB,154,49,50,55,82,19,29,2014
Göteborg,Drottning Blankas Gymn. Göteborg,36444853,Enskild,Drottning Blankas Gymnasieskola AB,343,125,116,102,87,26,49,2014
Halmstad,Drottning Blankas Gymn. Halmstad,44653962,Enskild,Drottning Blankas Gymnasieskola AB,166,53,37,76,90,21,33,2014
Helsingborg,Drottning Blankas Gymn. Helsingborg,66335258,Enskild,Drottning Blankas Gymnasieskola AB,199,77,71,51,85,20,34,2014
Kungsbacka,Drottning Blankas Gymn. Kungsbacka,64569393,Enskild,Drottning Blankas Gymnasieskola AB,126,44,41,41,95,13,36,2014
Lund,Drottning Blankas Gymn. Lund,64648904,Enskild,Drottning Blankas Gymnasieskola AB,136,47,49,40,92,18,36,2014
Malmö,Drottning Blankas Gymn. Malmö,35894996,Enskild,Drottning Blankas Gymnasieskola AB,269,92,78,99,80,23,43,2014
Stockholm,Drottning Blankas Gymnasieskola Stockholm,97770837,Enskild,Drottning Blankas Gymnasieskola AB,201,112,89,.,77,26,46,2014
Trollhättan,Drottning Blankas Gymn. Trollhättan,25156286,Enskild,Drottning Blankas Gymnasieskola AB,88,26,46,16,89,22,45,2014
Varberg,Drottning Blankas Gymn. Varberg,92442684,Enskild,Drottning Blankas Gymnasieskola AB,176,56,58,62,60,11,40,2014
Eda,Eda gymnasieskola,10200794,Kommunal,Eda,79,29,22,28,49,28,14,2014
Göteborg,International IT College of Sweden Gothenburg,72517762,Enskild,Edinit AB,147,61,41,45,41,86,41,2014
Stockholm,International IT College of Sweden Stockholm,35084976,Enskild,Edinit AB,268,83,94,91,32,55,51,2014
Norrtälje,"Ekebyholmsskolan, gy",24194577,Enskild,Ekebyholmsskolan AB,31,5,12,14,61,..,65,2014
Ekerö,Individuella Gymnasiet,55711881,Kommunal,Ekerö,17,13,3,1,59,..,..,2014
Eksjö,Eksjö Gymnasium 1,34153869,Kommunal,Eksjö,214,79,46,89,54,14,48,2014
Eksjö,Eksjö Gymnasium 2,88259298,Kommunal,Eksjö,243,81,79,83,41,18,58,2014
Eksjö,Nifsarpsskolan fri,44240250,Enskild,Eksjö Fordonsutbildning AB,228,87,68,73,10,4,21,2014
Oskarshamn,Elajo Technical Edu. Center,22383788,Enskild,Elajo Technical Education Center AB,82,28,27,27,..,..,51,2014
Nyköping,Elteknikbranschens gymnasium,27489137,Enskild,Elteknikbranschens Gymnasium i Nyköping AB,82,28,24,30,..,..,38,2014
Emmaboda,Vilhelm Mobergsgymnasiet,17846181,Kommunal,Emmaboda,172,63,59,50,30,31,37,2014
Upplands Väsby,Energigymnasiet Upplands Väsby,82372485,Enskild,Energy Maintenance Sweden AB,47,8,19,20,..,36,..,2014
Norrtälje,Friluftsgymnasiet,70847078,Enskild,Energy Outdoor Sweden AB,6,4,2,.,..,.,.,2014
Täby,Energigymnasiet i Täby,30193596,Enskild,Energy Technology Sweden AB,41,15,18,8,..,24,24,2014
Enköping,Westerlundska gymnasiet,75082798,Kommunal,Enköping,1 094,431,339,324,42,18,39,2014
Stockholm,"Enskilda gymnasiet, gy",69650864,Enskild,Enskilda Gymnasiet,272,92,88,92,56,13,89,2014
Nyköping,Nyköpings Enskilda Gymnasium,95785055,Enskild,Erastos AB,415,138,130,147,59,10,67,2014
Eskilstuna,Mångkulturella enheten,87554242,Kommunal,Eskilstuna,91,91,.,.,47,74,..,2014
Eskilstuna,Rekarnegymnasiet 1,72266906,Kommunal,Eskilstuna,608,244,211,153,44,33,43,2014
Eskilstuna,Rekarnegymnasiet 2,27030026,Kommunal,Eskilstuna,740,283,209,248,32,26,38,2014
Eskilstuna,Rinmangymnasiet RI 1,16950252,Kommunal,Eskilstuna,507,193,152,162,28,22,50,2014
Eskilstuna,Rinmangymnasiet RI 2,34637764,Kommunal,Eskilstuna,575,207,170,198,61,49,44,2014
Eskilstuna,S:t Eskils gymnasium 1,19912478,Kommunal,Eskilstuna,442,141,161,140,65,39,56,2014
Eskilstuna,S:t Eskils gymnasium 2,73255276,Kommunal,Eskilstuna,228,161,38,29,70,58,21,2014
Eslöv,Bergagymnasiet,15077883,Kommunal,Eslöv,692,279,166,247,41,26,34,2014
Essunga,Nossebro Lärcenter,37677921,Kommunal,Essunga,3,1,1,1,..,.,.,2014
Strängnäs,Europaskolan Strängnäs,32071849,Enskild,Europaskolan Utbildning AB,323,104,116,103,55,13,75,2014
Falkenberg,Falkenbergs Gymnasieskola 1,95684185,Kommunal,Falkenberg,250,98,81,71,38,40,30,2014
Falkenberg,Falkenbergs Gymnasieskola 2,51138448,Kommunal,Falkenberg,160,63,58,39,67,19,45,2014
Falkenberg,Falkenbergs Gymnasieskola 3,19647256,Kommunal,Falkenberg,199,77,53,69,15,15,28,2014
Falkenberg,Falkenbergs Gymnasieskola 4,56421429,Kommunal,Falkenberg,184,61,52,71,11,15,48,2014
Falkenberg,Falkenbergs Gymnasieskola 5,39911065,Kommunal,Falkenberg,233,78,77,78,44,24,42,2014
Falkenberg,Falkenbergs Gymnasieskola 6,89068742,Kommunal,Falkenberg,150,41,46,63,77,11,45,2014
Falköping,Ållebergsgymnasiet B,56737496,Kommunal,Falköping,281,84,104,93,64,19,44,2014
Falköping,Ållebergsgymnasiet C,88850910,Kommunal,Falköping,116,46,50,20,38,65,..,2014
Falköping,Ållebergsgymnasiet D,78317945,Kommunal,Falköping,267,72,91,104,12,13,45,2014
Falköping,Ållebergsgymnasiet E,93939982,Kommunal,Falköping,201,78,68,55,63,10,52,2014
Falun,Falu Frigymnasium,25720752,Enskild,Falu Frigymnasium AB,312,131,82,99,73,12,56,2014
Falun,Kristinegymnasiet RO1,31533003,Kommunal,Falun,366,122,116,128,71,19,44,2014
Falun,Kristinegymnasiet RO2,31429031,Kommunal,Falun,144,53,48,43,77,9,34,2014
Falun,Lugnetgymnasiet RO1,23164911,Kommunal,Falun,380,133,125,122,33,13,65,2014
Falun,Lugnetgymnasiet RO2,24008049,Kommunal,Falun,159,51,58,50,..,18,35,2014
Falun,Lugnetgymnasiet RO3,72661886,Kommunal,Falun,373,213,77,83,59,25,41,2014
Filipstad,Spångbergsgymnasiet Re 1,33591648,Kommunal,Filipstad,89,24,25,40,..,..,35,2014
Filipstad,Spångbergsgymnasiet Re 2,95233730,Kommunal,Filipstad,98,39,33,26,60,15,19,2014
Filipstad,Spångbergsgymnasiet Re 3,81555202,Kommunal,Filipstad,83,34,28,21,55,31,35,2014
Filipstad,"Spångbergsgymnasiet Re 3, IM",93242695,Kommunal,Filipstad,93,74,6,13,27,71,..,2014
Finspång,Bergska skolan,73915120,Kommunal,Finspång,274,141,48,85,46,28,35,2014
Härjedalen,Fjällbyns gymnasieskola,77839100,Enskild,Fjällbyns Gymnasieskola i Funäsdalen AB,3,1,1,1,.,.,..,2014
Flen,Prins Wilhelm gymnasiet,59455288,Kommunal,Flen,308,167,77,64,43,36,28,2014
Vårgårda,Flora Dekor Alingsås,78017290,Enskild,Flora Dekor Alingsås HB,8,4,1,3,..,..,..,2014
Umeå,Umeå Internationella Gymnasium,63993414,Enskild,Folkuniveritetet Uppdrag Norr AB,96,32,35,29,86,13,63,2014
Örebro,Fordonsutbildn. i Örebro,70302356,Enskild,Fordonsutbildningar i Örebro AB,76,30,30,16,17,..,29,2014
Forshaga,ForshagaAkademin,82163292,Enskild,ForshagaAkademin AB,247,85,83,79,36,4,40,2014
Göteborg,Framtidsgymnasiet i Göteborg,16819383,Enskild,Framtidsgymnasiet i Göteborg AB,263,92,73,98,9,76,17,2014
Stockholm,Framtidsgymnasiet i Stockholm,14926020,Enskild,Framtidsgymnasiet i Göteborg AB,126,47,42,37,..,33,28,2014
Västerås,Framtidsgymnasiet i Västerås,96156589,Enskild,Framtidsgymnasiet i Göteborg AB,75,26,24,25,..,24,28,2014
Kristianstad,Framtidsgymnasiet Kristianstad,71571158,Enskild,Framtidsgymnasiet i Sverige AB,151,51,42,58,8,39,17,2014
Malmö,Framtidsgymnasiet Burlöv/Malmö,17119840,Enskild,Framtidsgymnasiet i Sverige AB,188,76,48,64,7,56,16,2014
Linköping,Framtidsgymnasiet Linköping,72109637,Enskild,Framtidsgymnasiet Öst AB,88,26,26,36,..,34,36,2014
Nyköping,Framtidsgymnasiet Nyköping,15609112,Enskild,Framtidsgymnasiet Öst AB,96,27,34,35,14,17,27,2014
Höör,Frostagymnasiet,27012106,Enskild,Framtidspedagogen i Höör AB,1,1,.,.,.,.,.,2014
Stockholm,Fredrikshovs gymnasiet,48120273,Enskild,Fredrikshovs Utbildning AB,89,49,40,.,48,..,82,2014
Skövde,IT-Gymnasiet i Skövde,26671095,Enskild,Fria Academien i Skövde AB,189,67,65,57,18,16,51,2014
Karlstad,Fria Läroverken Karlstad,27115998,Enskild,Fria Läroverken i Sverige AB,429,140,143,146,39,7,52,2014
Linköping,Fria Läroverken Linköping,69240218,Enskild,Fria Läroverken i Sverige AB,332,99,112,121,36,23,41,2014
Malmö,Fria Läroverken Malmö,68748767,Enskild,Fria Läroverken i Sverige AB,310,114,67,129,38,39,37,2014
Norrköping,Fria Läroverken Norrköping,69471748,Enskild,Fria Läroverken i Sverige AB,406,155,94,157,48,23,38,2014
Vänersborg,"Fridagymnasiet, Vänersborg",74919147,Enskild,Fridaskolorna AB,125,38,46,41,62,12,66,2014
Bollnäs,Friskolan Nytorp,21567982,Enskild,Friskolan i Nytorp AB,24,10,14,.,..,.,..,2014
Solna,Andreasgymnasiet,69747871,Enskild,Föreningen Andreasgymnasiet,33,12,12,9,58,67,45,2014
Höör,Karolinaskolan,21363125,Enskild,"Föreningen Fogdaröd omsorg, vård & utbildning utan personligt ansvar",23,10,8,5,..,..,..,2014
Norrköping,Film & Musikgymnasiet,47537928,Enskild,Föreningen Q,122,33,35,54,54,..,51,2014
Södertälje,Örjanskolan gym,70543431,Enskild,Föreningen Örjanskolan,69,22,27,20,57,26,78,2014
Gagnef,Gymnasieutbildningen i Gagnef,19599583,Kommunal,Gagnef,17,16,1,.,..,..,..,2014
Östhammar,Wilhelm Haglunds Gymnasium,95069937,Enskild,Gimo Utbildningsaktiebolag,83,27,33,23,13,12,36,2014
Gislaved,Gislaveds gymn Ekonomi och handel,25679488,Kommunal,Gislaved,222,65,94,63,64,27,28,2014
Gislaved,Gislaveds gymn Introduktionspr,36581179,Kommunal,Gislaved,104,104,.,.,30,61,15,2014
Gislaved,"Gislaveds gymn NA, SAM, Vård",25677996,Kommunal,Gislaved,400,135,137,128,72,31,41,2014
Gislaved,Gislaveds gymn Teknik,89888648,Kommunal,Gislaved,266,84,91,91,10,18,35,2014
Gnosjö,Gnosjöandans kunskapsc. gy,35063170,Kommunal,Gnosjö,252,94,75,83,49,46,25,2014
Helsingborg,G.O. Kompetens Transportgymnasium,86310217,Enskild,G.O. Kompetens Transportgymnasium AB,120,40,41,39,27,9,18,2014
Gotland,Wisbygymnasiet Norr,23897040,Kommunal,Gotland,684,291,182,211,23,11,40,2014
Gotland,Wisbygymnasiet Söder,29799085,Kommunal,Gotland,818,272,275,271,64,5,49,2014
Jönköping,Grennaskolan GY,54395430,Enskild,Grennaskolan Riksinternat AB,128,34,52,42,49,34,35,2014
Gotland,"Guteskolan, gymnasieskolan",31279294,Enskild,Guteskolan AB,69,21,23,25,71,..,30,2014
Gotland,Guteskolan Södra,81558435,Enskild,Guteskolan AB,83,18,34,31,49,..,36,2014
Bromölla,Furubygg,29324709,Kommunal,Gymnasieförbundet Bromölla/Sölvesborg,46,15,16,15,..,..,37,2014
Sölvesborg,Furulundsskolan 1,23476801,Kommunal,Gymnasieförbundet Bromölla/Sölvesborg,311,108,77,126,48,15,57,2014
Sölvesborg,Furulundsskolan 2,86351879,Kommunal,Gymnasieförbundet Bromölla/Sölvesborg,242,128,62,52,35,29,31,2014
Kalmar,Östersjögymnasiet i Kalmar,40634612,Enskild,Gymnasieskolor i Syd AB,176,21,71,84,39,7,48,2014
Karlshamn,Östersjögymnasie i Karlshamn,42573391,Enskild,Gymnasieskolor i Syd AB,88,40,16,32,57,17,36,2014
Växjö,Smålandsgymnasiet,16770478,Enskild,Gymnasieskolor i Syd AB,185,22,42,121,52,18,38,2014
Ystad,Östersjögymnasiet i Ystad,31380193,Enskild,Gymnasieskolor i Syd AB,191,54,51,86,61,9,35,2014
Gävle,Borgarskolan,21648755,Kommunal,Gävle,859,318,266,275,52,15,46,2014
Gävle,Polhemsskolan,90551279,Kommunal,Gävle,1 369,708,340,321,34,26,39,2014
Gävle,Vasaskolan,54965510,Kommunal,Gävle,1 004,365,295,344,65,23,68,2014
Göteborg,Angeredsgymnasiet 1,72998905,Kommunal,Göteborg,683,254,230,199,60,44,40,2014
Göteborg,Angeredsgymnasiet 2,84835666,Kommunal,Göteborg,193,69,57,67,65,92,29,2014
Göteborg,Angeredsgymnasiet 3,24685151,Kommunal,Göteborg,336,282,24,30,49,80,17,2014
Göteborg,Angeredsgymnasiet 4,25872338,Kommunal,Göteborg,36,8,7,21,33,..,44,2014
Göteborg,Bernadottegymnasiet,92194545,Kommunal,Göteborg,188,65,58,65,52,18,53,2014
Göteborg,Bräckegymnasiet 1,88153340,Kommunal,Göteborg,241,81,80,80,5,23,23,2014
Göteborg,Bräckegymnasiet 2,94353434,Kommunal,Göteborg,233,69,82,82,9,28,25,2014
Göteborg,Bräckegymnasiet 3,98645196,Kommunal,Göteborg,194,32,67,95,21,32,24,2014
Göteborg,Bräckegymnasiet 4,84978846,Kommunal,Göteborg,211,114,51,46,34,47,22,2014
Göteborg,Burgården Utbildningscentrum 1,59396229,Kommunal,Göteborg,318,135,82,101,98,29,25,2014
Göteborg,Burgården Utbildningscentrum 2,95165649,Kommunal,Göteborg,218,91,58,69,65,18,45,2014
Göteborg,Burgården Utbildningscentrum 3,64740897,Kommunal,Göteborg,248,129,55,64,61,41,46,2014
Göteborg,Burgården Utbildningscentrum 4,78979604,Kommunal,Göteborg,106,29,31,46,81,45,32,2014
Göteborg,Burgården Utbildningscentrum 5,69626109,Kommunal,Göteborg,314,137,103,74,71,50,27,2014
Göteborg,Ester Mosessons gymnasium 1,15414001,Kommunal,Göteborg,194,106,35,53,58,52,26,2014
Göteborg,Ester Mosessons gymnasium 2,38311488,Kommunal,Göteborg,170,.,85,85,51,16,41,2014
Göteborg,Ester Mosessons gymnasium 3,34848695,Kommunal,Göteborg,139,138,1,.,65,14,37,2014
Göteborg,Hvitfeldtska gymnasiet 1,61701709,Kommunal,Göteborg,516,197,179,140,53,26,60,2014
Göteborg,Hvitfeldtska gymnasiet 2,61469192,Kommunal,Göteborg,237,69,82,86,47,21,76,2014
Göteborg,Hvitfeldtska gymnasiet 3,84306392,Kommunal,Göteborg,548,191,184,173,47,38,75,2014
Göteborg,Hvitfeldtska gymnasiet 4,28627819,Kommunal,Göteborg,472,195,158,119,64,38,59,2014
Göteborg,Hvitfeldtska gymnasiet 5,30086854,Kommunal,Göteborg,240,67,92,81,60,54,66,2014
Göteborg,Hvitfeldtska gymnasiet 6,50235617,Kommunal,Göteborg,16,16,.,.,..,..,..,2014
Göteborg,IHGR-gymnasiet,26627862,Kommunal,Göteborg,328,146,99,83,65,56,63,2014
Göteborg,Katrinelundsgymnasiet 1,31251822,Kommunal,Göteborg,398,134,128,136,46,40,50,2014
Göteborg,Katrinelundsgymnasiet 3,96590873,Kommunal,Göteborg,331,129,110,92,82,63,25,2014
Göteborg,Katrinelundsgymnasiet 4,35647481,Kommunal,Göteborg,216,62,60,94,45,50,65,2014
Göteborg,Katrinelundsgymnasiet 5,39549479,Kommunal,Göteborg,254,97,93,64,35,29,58,2014
Göteborg,Lindholmens tekn gymnasium 1,11274830,Kommunal,Göteborg,261,96,84,81,5,26,37,2014
Göteborg,Lindholmens tekn gymnasium 2,51321260,Kommunal,Göteborg,235,95,69,71,..,23,41,2014
Göteborg,Lindholmens tekn gymnasium 3,96279444,Kommunal,Göteborg,334,140,118,76,16,36,63,2014
Göteborg,Lindholmens tekn gymnasium 4,53432700,Kommunal,Göteborg,437,418,18,1,38,51,4,2014
Göteborg,Motorbranschens Tekniska gymn.,61880907,Kommunal,Göteborg,238,125,58,55,9,34,29,2014
Göteborg,Munkebäcksgymnasiet 1,19300363,Kommunal,Göteborg,19,17,2,.,..,95,..,2014
Göteborg,Munkebäcksgymnasiet 2,79729526,Kommunal,Göteborg,17,2,9,6,..,..,..,2014
Göteborg,Polhemsgymnasium 1,21505555,Kommunal,Göteborg,475,165,152,158,43,30,82,2014
Göteborg,Polhemsgymnasium 2,34336190,Kommunal,Göteborg,468,196,158,114,53,24,71,2014
Göteborg,Polhemsgymnasium 3,21052710,Kommunal,Göteborg,193,67,65,61,55,5,90,2014
Göteborg,Schillerska gymnasiet 1,92887917,Kommunal,Göteborg,330,131,89,110,72,12,69,2014
Göteborg,Schillerska gymnasiet 2,88834120,Kommunal,Göteborg,389,130,123,136,74,21,66,2014
Göteborg,Schillerska gymnasiet 3,36748805,Kommunal,Göteborg,119,78,21,20,61,63,20,2014
Göteborg,Göteborgregionens tekniska gy,53660780,Enskild,Göteborgs Tekniska College AB,335,116,116,103,13,13,76,2014
Göteborg,GTI:s gymnasieskola,89837629,Enskild,Göteborgs Tekniska Institut AB,402,158,131,113,30,73,41,2014
Hagfors,Älvstrandsgymnasiet,72127035,Kommunal,Hagfors,412,189,118,105,38,17,33,2014
Falun,Hagströmska gymnasiet Falun,55155562,Enskild,Hagströmska gymnasiet AB,659,231,259,169,31,8,46,2014
Linköping,Hagströmska gymnasiet Linköping,14057258,Enskild,Hagströmska gymnasiet AB,91,29,27,35,25,..,27,2014
Uppsala,Hagströmska gymnasiet Uppsala,24787883,Enskild,Hagströmska gymnasiet AB,58,25,15,18,98,..,38,2014
