skolverket_lageskommun_tcv136,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_tot_elever_tcv136,skolverket_ar1_tcv136,skolverket_ar2_tcv136,skolverket_ar3_tcv136,skolverket_andel_kvi_tcv136,skolverket_andel_utl_tcv136,skolverket_andel_forald_eftergymn_utb_tcv136,year
Malmö,4 ans Gymnasium,28085125,Enskild,4ans Gymnasium AB,63,20,19,24,68,60,27,2014
Göteborg,Sigrid Rudebecks gymnasium,19207279,Enskild,AB Sigrid Rudebecks Skola,445,152,146,147,62,11,91,2014
Tingsryd,AMB Education,33572033,Enskild,Academy of Music and Business Education AB,118,70,48,.,72,..,65,2014
Täby,Mimers Gymnasium Täby,82718660,Enskild,Adinova AB,50,22,14,14,50,..,68,2014
Göteborg,Aniaragymnasiet,69481650,Enskild,AF Affärseffekt Framtidsskola AB,167,48,66,53,62,28,35,2014
Ale,Ale gymnasium,17221836,Kommunal,Ale,42,28,14,.,38,55,..,2014
Alingsås,Alströmergymnasiet sektor 1,74776778,Kommunal,Alingsås,204,69,85,50,45,16,40,2014
Alingsås,Alströmergymnasiet sektor 2,18345915,Kommunal,Alingsås,324,103,115,106,22,13,56,2014
Alingsås,Alströmergymnasiet sektor 3,68229719,Kommunal,Alingsås,236,79,78,79,64,15,48,2014
Alingsås,Alströmergymnasiet sektor 4,61004230,Kommunal,Alingsås,145,67,42,36,55,21,51,2014
Alingsås,Alingsås Yrkesgymnasium,17474377,Enskild,Alingsås Yrkesgymnasium AB,47,15,16,16,..,28,34,2014
Alvesta,Allbo Lärcenter,75459583,Kommunal,Alvesta,91,91,.,.,59,66,..,2014
Stockholm,Djurgymnasiet Stockholm,98815582,Enskild,Animallogos AB,265,91,92,82,91,12,41,2014
Arboga,Vasagymnasiet,71262305,Kommunal,Arboga,352,144,107,101,48,25,45,2014
Arjeplog,Hornavanskolan,55795961,Kommunal,Arjeplog,113,53,30,30,35,27,27,2014
Arvidsjaur,Sandbackaskolan,84947634,Kommunal,Arvidsjaur,213,73,71,69,36,24,29,2014
Arvika,Solbergagymnasiet,48009865,Kommunal,Arvika,398,127,134,137,57,15,53,2014
Arvika,Taserudsgymnasiet 1,97870412,Kommunal,Arvika,163,48,52,63,19,12,33,2014
Arvika,Taserudsgymnasiet 2,68564903,Kommunal,Arvika,224,104,74,46,45,22,18,2014
Göteborg,Aspero Idrottsgymn. Göteborg,20319353,Enskild,Aspero Friskolor AB,181,77,31,73,22,34,51,2014
Halmstad,Aspero Idrottsgymn. Halmstad,92507006,Enskild,Aspero Friskolor AB,267,84,80,103,34,17,53,2014
Karlskrona,Aspero Idrottsgymn. Karlskrona,78839208,Enskild,Aspero Friskolor AB,157,49,48,60,46,8,64,2014
Stockholm,Atleticagymnasiet,43565270,Enskild,Atleticagymnasiet AB,371,125,113,133,40,66,40,2014
Österåker,Skärgårdsgymnasiet,56187883,Enskild,Au Claves AB,294,105,92,97,47,17,25,2014
Avesta,Karlfeldtgymnasiet ro 1,82840198,Kommunal,Avesta,407,221,87,99,58,25,35,2014
Avesta,Karlfeldtgymnasiet ro 2,18208087,Kommunal,Avesta,271,102,80,89,30,12,38,2014
Bengtsfors,"Strömkulleskolan, gymnasiet",19464342,Kommunal,Bengtsfors,209,59,68,82,53,21,32,2014
Berg,Fjällgymnasiet,60743463,Kommunal,Berg,113,35,42,36,43,20,40,2014
Bjuv,Gymnasieutbildningen i Bjuv,70011480,Kommunal,Bjuv,7,7,.,.,..,..,..,2014
Malmö,Bladins gymnasium,21938183,Enskild,"Bladins Skola, Stiftelsen",215,68,75,72,59,23,73,2014
Malmö,Bladins Intern School of Malmö,78986228,Enskild,"Bladins Skola, Stiftelsen",22,12,7,3,59,68,55,2014
Boden,Björknäsgymnasiet sektor 1,32960825,Kommunal,Boden,173,118,28,27,40,31,47,2014
Boden,Björknäsgymnasiet sektor 2,43609520,Kommunal,Boden,158,65,52,41,64,8,50,2014
Boden,Björknäsgymnasiet sektor 3,41416934,Kommunal,Boden,295,102,101,92,22,8,37,2014
Boden,Björknäsgymnasiet sektor 4,97968599,Kommunal,Boden,215,58,79,78,40,9,70,2014
Bollebygd,Bollebygds gymnasieskola,35225375,Kommunal,Bollebygd,8,8,.,.,..,..,..,2014
Tomelilla,Bollerups lantbruksinstitut,65234368,Enskild,Bollerups Lantbruksinstitut,231,82,70,79,59,..,44,2014
Bollnäs,Torsbergsgymnasiet,42218661,Kommunal,Bollnäs,638,208,245,185,49,28,32,2014
Borlänge,Erikslundsgymnasiet,21866405,Kommunal,Borlänge,167,50,65,52,16,15,31,2014
Borlänge,Hagagymnasiet,74434644,Kommunal,Borlänge,490,158,134,198,58,18,47,2014
Borlänge,Hushagsgymnasiet,88445871,Kommunal,Borlänge,354,108,126,120,27,10,31,2014
Borlänge,Introduktionsprogrammen,19100658,Kommunal,Borlänge,216,103,88,25,45,73,15,2014
Borlänge,Soltorgsgymnasiet,65192707,Kommunal,Borlänge,443,153,143,147,47,16,67,2014
Borås,Almåsgymnasiet A,18425335,Kommunal,Borås,299,109,94,96,80,29,28,2014
Borås,Almåsgymnasiet B,93281974,Kommunal,Borås,218,68,77,73,67,43,30,2014
Borås,Almåsgymnasiet C,23424275,Kommunal,Borås,236,84,71,81,67,14,28,2014
Borås,Bäckängsgymnasiet A,43634528,Kommunal,Borås,432,178,127,127,55,30,69,2014
