skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Ale gymnasium,17221836,Ale,1440,2120001439,Ale,Kommunal,"5,3","1,0","4,3","43,5","100,0",.,"17,4",.,.,"88,2",2015
Lärlingsgymnasiet i Ale,93221031,Ale,1440,5567628176,Lärlingsgymnasiet i Sverige AB,Enskild,"15,5","0,9","14,6","39,0","26,0",.,"10,7","0,5","312,0","67,8",2015
Alingsås Yrkesgymnasium,17474377,Alingsås,1489,5567290548,Alingsås Yrkesgymnasium AB,Enskild,"8,6","1,0","7,6","17,5","85,5","1,3","7,0","0,1","1 060,0","92,7",2015
Alströmergymnasiet sektor 1,74776778,Alingsås,1489,2120001553,Alingsås,Kommunal,"13,3","0,8","12,5","36,8","91,6","1,6","35,6","0,2","2 225,0","94,6",2015
Alströmergymnasiet sektor 2,18345915,Alingsås,1489,2120001553,Alingsås,Kommunal,"24,7","0,8","23,9","30,4","93,5","0,8","9,8","0,2","1 170,0","95,8",2015
Alströmergymnasiet sektor 3,68229719,Alingsås,1489,2120001553,Alingsås,Kommunal,"23,1","0,5","22,6","67,5","98,1","0,9","6,8","0,2","765,0","95,6",2015
Alströmergymnasiet sektor 4,61004230,Alingsås,1489,2120001553,Alingsås,Kommunal,"25,5","1,0","24,5","49,2","78,7","1,8","3,7","0,2","455,0","98,7",2015
Alströmergymnasiet sektor 5,67768292,Alingsås,1489,2120001553,Alingsås,Kommunal,"5,3","0,5","4,8","63,7","81,3","4,1","6,6","0,2","160,0","100,0",2015
Allbo Lärcenter,75459583,Alvesta,0764,2120000639,Alvesta,Kommunal,"7,9","0,3","7,6","71,7","86,8","11,8","10,5","0,3","320,0","67,1",2015
Vasagymnasiet,71262305,Arboga,1984,2120002122,Arboga,Kommunal,"40,9","1,0","39,9","47,2","78,1",.,"9,8",.,.,"80,6",2015
Hornavanskolan,55795961,Arjeplog,2506,2120002668,Arjeplog,Kommunal,"14,7","0,5","14,3","33,4","61,6",.,"7,1","0,3","408,0","92,8",2015
Sandbackaskolan,84947634,Arvidsjaur,2505,2120002650,Arvidsjaur,Kommunal,"24,4","0,7","23,7","55,0","54,4","4,2","9,7","0,9","255,6","66,3",2015
"Estetiska skolan, gymnasiet",23517336,Arvika,1784,8740020212,Estetiska Skolan Arvika,Enskild,"9,3","0,4","8,9","33,6","69,0","1,1","6,4","0,2","285,0","63,6",2015
