skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Solbergagymnasiet,48009865,Arvika,1784,2120001892,Arvika,Kommunal,"37,0","2,0","35,0","49,1","93,3","2,9","11,0","1,0","385,0","90,7",2015
Taserudsgymnasiet 1,97870412,Arvika,1784,2120001892,Arvika,Kommunal,"20,8","0,8","20,0","27,8","66,4","2,5","6,8","0,5","270,0","89,0",2015
Taserudsgymnasiet 2,68564903,Arvika,1784,2120001892,Arvika,Kommunal,"27,9","1,0","26,9","51,5","70,3","1,9","9,9","1,5","177,3","87,0",2015
Karlfeldtgymnasiet ro 1,82840198,Avesta,2084,2120002262,Avesta,Kommunal,"36,4","1,0","35,4","65,8","85,4","1,6","9,4","0,9","370,0","90,1",2015
Karlfeldtgymnasiet ro 2,18208087,Avesta,2084,2120002262,Avesta,Kommunal,"26,7","1,0","25,7","27,3","72,3","0,9","9,1","0,8","307,9","85,5",2015
Karlfeldtgymnasiet ro 3,89982804,Avesta,2084,2120002262,Avesta,Kommunal,"15,0","1,0","14,0","54,5","86,6","1,6","10,1","0,7","201,4","80,2",2015
"Strömkulleskolan, gymnasiet",19464342,Bengtsfors,1460,2120001470,Bengtsfors,Kommunal,"21,7","1,0","20,7","46,9","87,6",.,"10,0",.,.,"86,4",2015
Fjällgymnasiet,60743463,Berg,2326,2120002502,Berg,Kommunal,"15,8","0,8","15,0","58,5","49,8",.,"7,6","0,2","565,0","68,2",2015
Gymnasieutbildningen i Bjuv,70011480,Bjuv,1260,2120001041,Bjuv,Kommunal,"4,3","0,3","4,0","73,8","48,4",.,"4,2","1,0","17,0","75,1",2015
Björknäsgymnasiet sektor 1,32960825,Boden,2582,2120002767,Boden,Kommunal,"23,4",.,"23,4","70,1","91,5","12,8","8,0","1,0","188,0","94,9",2015
Björknäsgymnasiet sektor 2,43609520,Boden,2582,2120002767,Boden,Kommunal,"25,2","1,0","24,2","53,9","93,2","4,1","6,7","1,0","163,0","99,4",2015
Björknäsgymnasiet sektor 3,41416934,Boden,2582,2120002767,Boden,Kommunal,"33,2","1,0","32,2","34,7","65,8","3,1","9,2",.,.,"96,9",2015
Björknäsgymnasiet sektor 4,97968599,Boden,2582,2120002767,Boden,Kommunal,"19,1","1,0","18,1","63,0","100,0","5,5","11,5","1,0","208,0","100,0",2015
Bollebygds gymnasieskola,35225375,Bollebygd,1443,2120002973,Bollebygd,Kommunal,"1,6","0,2","1,4",.,"100,0",.,"7,9","0,1","220,0","100,0",2015
Friskolan Nytorp,21567982,Bollnäs,2183,5568813561,Friskolan Nytorp AB,Enskild,"4,9","0,4","4,5","57,8","88,9","11,1","10,2",.,.,"4,4",2015
Hälsingegymnasiet,91748148,Bollnäs,2183,5567600886,Hälsingegymnasiet AB,Enskild,"18,7","0,5","18,2","33,8","71,2",.,"14,2","0,4","645,0","97,8",2015
Naturlära i Hälsingland,49379603,Bollnäs,2183,5568554314,NaturLära i Hälsingland AB,Enskild,"4,2","0,6","3,6","77,8","50,0",.,"5,3",.,.,"87,5",2015
Nytorps Hästgymnasium,80167319,Bollnäs,2183,5569063455,Nytorps Hästgymnasium AB,Enskild,"3,9","0,1","3,8","94,2","15,8",.,"7,1","0,0","2 700,0","15,8",2015
Torsbergsgymnasiet RO3,42218661,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"26,3","1,0","25,3","73,3","71,3",.,"8,0",.,.,"77,9",2015
Torsbergsgymnasiet RO4,73171934,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"27,3","1,0","26,3","80,9","78,9",.,"8,0","2,0","105,0","82,7",2015
Torsbergsgymnasiet RO5,83474173,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"16,3","1,0","15,3","29,7","86,9","6,5","14,2",.,.,"92,4",2015
Ölands gymnasium 1,91487291,Borgholm,0885,8324016453,Borgholm,Kommunal,"1,8","0,4","1,4","92,9","71,4",.,"25,0","0,4","87,5","71,4",2015
Erikslundsgymnasiet,21866405,Borlänge,2081,2120002239,Borlänge,Kommunal,"20,9","0,4","20,5","37,5","57,7","0,7","7,2","0,3","432,4","97,3",2015
Hagagymnasiet,74434644,Borlänge,2081,2120002239,Borlänge,Kommunal,"45,5","2,0","43,5","67,2","96,0",.,"11,3",.,.,"91,0",2015
Helixgymnasiet Borlänge,42022406,Borlänge,2081,5566747290,Helixutbildningar AB,Enskild,"18,3","1,0","17,3","43,1","62,8","5,8","14,5",.,.,"39,9",2015
Hushagsgymnasiet,88445871,Borlänge,2081,2120002239,Borlänge,Kommunal,"40,9","0,8","40,1","27,5","68,8","2,1","8,5","0,7","511,9","93,7",2015
Introduktionsprogrammen,19100658,Borlänge,2081,2120002239,Borlänge,Kommunal,"28,0","1,0","27,0","75,9","81,5","7,4","7,3","1,0","196,0","77,8",2015
Soltorgsgymnasiet,65192707,Borlänge,2081,2120002239,Borlänge,Kommunal,"35,4","2,0","33,4","53,8","91,0",.,"13,3","1,0","442,0","97,0",2015
Almåsgymnasiet A,18425335,Borås,1490,2120001561,Borås,Kommunal,"25,6","1,0","24,6","78,5","78,0",.,"12,1","0,3","900,0","69,9",2015
Almåsgymnasiet B,93281974,Borås,1490,2120001561,Borås,Kommunal,"17,0","1,0","16,0","75,0","98,8","6,3","12,8","0,3","600,0","100,0",2015
Almåsgymnasiet C,23424275,Borås,1490,2120001561,Borås,Kommunal,"27,4","1,0","26,4","61,0","83,7",.,"7,7","0,3","600,0","80,7",2015
Bäckängsgymnasiet A,43634528,Borås,1490,2120001561,Borås,Kommunal,"30,8","1,0","29,8","71,6","100,0","1,7","15,0","0,5","894,0","94,0",2015
Bäckängsgymnasiet B,36263479,Borås,1490,2120001561,Borås,Kommunal,"40,4","1,0","39,4","56,3","96,1","2,5","14,8","1,0","581,0","80,6",2015
Bäckängsgymnasiet C,56679384,Borås,1490,2120001561,Borås,Kommunal,"21,9","1,0","20,9","65,3","87,3","2,4","12,8","0,5","534,0","69,6",2015
Drottning Blankas Gymn. Borås,19150273,Borås,1490,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"12,0","1,0","11,0","76,8","42,5","3,6","12,1","0,2","670,0","48,0",2015
LBS Ljud & Bildskolan Borås,69018222,Borås,1490,5564851649,Ljud & Bildskolan Lbs AB,Enskild,"16,5","1,0","15,5","43,9","50,3","1,6","14,8",.,.,"49,7",2015
Praktiska Borås,25624692,Borås,1490,5562575786,Praktiska Sverige AB,Enskild,"10,7","1,0","9,7","37,1","25,8","8,2","10,3","0,2","500,0","77,3",2015
Realgymnasiet Borås,88534520,Borås,1490,5565715892,Lärande i Sverige AB,Enskild,"9,7","1,0","8,7","28,7","59,8","2,3","10,3","0,2","450,0","92,0",2015
Sven Eriksonsgymnasiet A,12889940,Borås,1490,2120001561,Borås,Kommunal,"33,2","0,7","32,5","49,2","77,0","1,1","16,7","0,3","1 806,7","74,2",2015
Sven Eriksonsgymnasiet B,16554575,Borås,1490,2120001561,Borås,Kommunal,"16,6","1,0","15,6","37,4","78,5",.,"12,1","0,3","572,7","81,8",2015
Sven Eriksonsgymnasiet C,34076477,Borås,1490,2120001561,Borås,Kommunal,"38,3","1,0","37,3","62,0","78,9",.,"10,0","0,3","1 100,0","74,1",2015
Tullengymnasiet,33201730,Borås,1490,2120001561,Borås,Kommunal,"32,5","1,0","31,5","51,0","72,9","1,6","8,8","1,0","277,0","65,6",2015
Viskastrandsgymnasiet A,25356960,Borås,1490,2120001561,Borås,Kommunal,"21,3","1,0","20,3","26,9","74,1",.,"9,8",.,.,"72,9",2015
Viskastrandsgymnasiet B,64284020,Borås,1490,2120001561,Borås,Kommunal,"27,9","1,0","26,9","38,7","66,5",.,"9,6",.,.,"75,6",2015
Viskastrandsgymnasiet C,98132436,Borås,1490,2120001561,Borås,Kommunal,"28,5","1,0","27,5","17,8","63,1",.,"11,0",.,.,"61,4",2015
Gullviva gymnasiet,53400472,Botkyrka,0127,5567538383,STEG för framtiden Aktiebolag,Enskild,"9,4","0,6","8,8","40,9","81,6",.,"8,3","0,6","121,7","76,5",2015
S:t Botvids gymnasium,97758137,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"37,2","0,5","36,7","67,6","86,4","2,7","13,9","1,0","510,0","93,5",2015
Tullinge gymnasium,26334561,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"44,3","1,0","43,3","65,0","95,4","2,3","15,1","1,8","364,4","85,6",2015
Tumba gymnasium,40386043,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"84,6","1,0","83,6","49,2","88,5","1,0","13,5","3,0","377,0","83,8",2015
Furubygg,29324709,Bromölla,1272,2220001222,Bromölla,Kommunal,"4,6","0,2","4,4","13,6","31,8",.,"10,2",.,.,"47,7",2015
"Jämtlands Gymn, Bräcke 5A",26864271,Bräcke,2305,2220001636,Bräcke,Kommunal,"12,1","0,8","11,3","22,1","49,2","5,3","6,4","0,3","288,0","72,2",2015
"Jämtlands Gymn, Bräcke 5B",64411379,Bräcke,2305,2220001636,Bräcke,Kommunal,"5,5","0,4","5,1","70,6","83,3","4,9","10,6","0,2","360,0","91,2",2015
Gymnasieutbildningen i Burlöv,73416853,Burlöv,1231,2120001025,Burlöv,Kommunal,"6,5",.,"6,5","67,4","69,0",.,"5,9","1,0","38,0","62,8",2015
Akademi Båstad Gymnasium,59483268,Båstad,1278,2120000944,Båstad,Kommunal,"20,3","1,0","19,3","64,9","94,8","3,6","11,1","1,0","214,0","90,9",2015
Apelrydsskolan,33685428,Båstad,1278,8024247234,Stiftelsen Apelrydsskolan,Enskild,"14,8","0,5","14,3","78,6","90,9",.,"8,0","0,4","285,0","88,8",2015
"Utsikten, Dals-Eds gymnasium",88573795,Dals-Ed,1438,2120001413,Dals-Ed,Kommunal,"14,5","1,0","13,5","55,4","81,5","3,2","8,4","0,5","226,0","72,7",2015
Danderyds Gymnasium Ekonomi,20699742,Danderyd,0162,2120000126,Danderyd,Kommunal,"29,6",.,"29,6","69,4","98,0",.,"18,6","1,0","552,0","81,8",2015
Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Danderyd,0162,2120000126,Danderyd,Kommunal,"30,1","1,0","29,1","51,0","96,6",.,"14,1","1,0","411,0","96,6",2015
"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Danderyd,0162,2120000126,Danderyd,Kommunal,"32,6","1,0","31,6","51,2","93,7","5,7","10,8","1,0","341,0","91,3",2015
Marina läroverket i Danderyd,82814120,Danderyd,0162,5565160669,Klart Skepp Marinteknik AB,Enskild,"27,4","1,0","26,4","54,5","65,2",.,"15,7","0,3","1 656,0","84,3",2015
Viktor Rydberg gy. Djursholm,45164827,Danderyd,0162,8120005650,Stiftelsen Viktor Rydbergs Skola,Enskild,"33,4","1,0","32,4","50,2","78,4",.,"16,0","0,2","2 590,0","84,9",2015
Möckelngymnasiet Degerfors,10924758,Degerfors,1862,2120001991,Degerfors,Kommunal,"24,7","1,8","22,9","56,8","82,5",.,"9,7",.,.,"78,2",2015
Eda gymnasieskola,10200794,Eda,1730,2120001769,Eda,Kommunal,"12,7","1,2","11,5","70,4","44,8",.,"6,3","0,6","121,7","77,8",2015
Individuella Gymnasiet,55711881,Ekerö,0125,2120000050,Ekerö,Kommunal,"4,3","1,0","3,3","74,2","100,0","19,7","7,9","0,6","43,3","100,0",2015
Eksjö Gymnasium 1,34153869,Eksjö,0686,2120000589,Eksjö,Kommunal,"25,2","1,0","24,2","64,6","77,2",.,"10,7","0,8","322,5","93,1",2015
Eksjö Gymnasium 2,88259298,Eksjö,0686,2120000589,Eksjö,Kommunal,"23,3","1,0","22,3","38,5","59,3","4,5","9,3","0,8","276,0","92,1",2015
Nifsarpsskolan fri,44240250,Eksjö,0686,5565848537,Eksjö Fordonsutbildning AB,Enskild,"24,7","1,0","23,7","15,4","53,5",.,"8,5",.,.,"91,5",2015
Vilhelm Mobergsgymnasiet,17846181,Emmaboda,0862,2120000738,Emmaboda,Kommunal,"22,9","0,8","22,1","38,2","68,1",.,"8,9","0,5","392,0","89,8",2015
Westerlundska gymnasiet,75082798,Enköping,0381,2120000282,Enköping,Kommunal,"95,3","1,0","94,3","49,8","87,2","4,2","11,7","4,8","233,1","91,1",2015
Grillska Gymnasiet Eskilstuna,23555409,Eskilstuna,0484,8020170794,Stadsmissionens Skolstiftelse,Enskild,"25,6","1,0","24,6","52,2","61,4","4,1","15,0","0,5","736,0","55,5",2015
Interkulturella enheten,87554242,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"5,1","0,3","4,8","72,5","62,1",.,"4,6","0,8","29,3","95,9",2015
Kunskapscompaniets Gymnasium,91333138,Eskilstuna,0484,5561383885,Kunskapscompaniet Gymnasium KCGY AB,Enskild,"13,9","0,5","13,4","44,7","44,1",.,"8,6",.,.,"82,1",2015
"Mikael Elias Gymnasium, Eskilstuna",82060950,Eskilstuna,0484,5565583282,Mikael Elias Gymnasium AB,Enskild,"8,5","0,4","8,1","57,3","54,9","3,1","8,5",.,.,"33,9",2015
NTI-gymnasiet Eskilstuna,30341162,Eskilstuna,0484,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"7,7","0,9","6,9","41,6","19,7","3,6","16,5",.,.,"34,3",2015
Realgymnasiet Eskilstuna,39936461,Eskilstuna,0484,5565715892,Lärande i Sverige AB,Enskild,"9,3","1,0","8,3","58,8","49,1",.,"12,8","0,3","424,0","64,8",2015
Rekarnegymnasiet 1,72266906,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"49,1","1,0","48,1","51,8","85,0","2,1","14,1",.,.,"81,9",2015
Rekarnegymnasiet 2,27030026,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"56,4","1,0","55,4","43,7","83,0","1,8","12,1","2,0","336,5","98,2",2015
Rinmangymnasiet RI 1,16950252,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"38,5","0,9","37,6","50,8","94,7",.,"13,3",.,.,"100,0",2015
Rinmangymnasiet RI 2,34637764,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"58,0","1,0","57,0","63,1","91,2","4,4","11,4","2,0","326,0","95,8",2015
S:t Eskils gymnasium 1,19912478,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"47,8","1,0","46,8","59,9","91,5","2,1","10,0","1,5","313,3","88,2",2015
S:t Eskils gymnasium 2,73255276,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"24,8","1,0","23,8","85,7","91,6",.,"11,2",.,.,"76,5",2015
Bergagymnasiet,15077883,Eslöv,1285,2120001173,Eslöv,Kommunal,"58,9","1,0","57,9","44,6","83,6","1,7","10,0","1,5","386,0","82,0",2015
Nossebro Lärcenter,37677921,Essunga,1445,2120002916,Essunga,Kommunal,"1,2","0,1","1,1","100,0","100,0",.,"5,6",.,.,"86,1",2015
"NVU, Brinellskolan 1",32420077,Fagersta,1982,2220000927,Fagersta,Kommunal,"26,5","1,0","25,5","49,3","79,2","3,9","6,9",.,.,"87,7",2015
"NVU, Brinellskolan 2",48434184,Fagersta,1982,2220000927,Fagersta,Kommunal,"30,5","1,0","29,5","45,8","76,3","3,4","11,9","1,0","350,0","100,0",2015
Drottning Blankas Gymn. Falkenberg,58724424,Falkenberg,1382,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"11,5","1,0","10,5","65,8","75,5",.,"13,2","0,2","695,0","94,8",2015
Falkenbergs Gymnasieskola 1,95684185,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"25,9","1,0","24,9","61,2","94,8",.,"11,0","1,8","153,9","75,6",2015
Falkenbergs Gymnasieskola 2,51138448,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"19,4","1,0","18,4","65,0","92,7",.,"11,9","0,5","454,2","83,5",2015
Falkenbergs Gymnasieskola 3,19647256,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"24,8","1,0","23,8","34,0","74,8",.,"8,3","0,5","437,8","78,7",2015
Falkenbergs Gymnasieskola 4,56421429,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"17,4","1,0","16,4","28,2","79,6",.,"10,5","0,4","430,0","90,5",2015
Falkenbergs Gymnasieskola 5,39911065,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"12,1","0,6","11,5","37,4","92,6",.,"17,9","0,6","355,2","97,0",2015
Falkenbergs Gymnasieskola 6,89068742,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"23,7","1,0","22,7","55,1","78,5","16,1","5,6","0,2","700,0","85,1",2015
Ållebergsgymnasiet A,17008320,Falköping,1499,2120001744,Falköping,Kommunal,"24,0",.,"24,0","41,6","72,9",.,"9,2","0,6","366,7","81,0",2015
Ållebergsgymnasiet B,56737496,Falköping,1499,2120001744,Falköping,Kommunal,"26,7","1,0","25,7","47,8","68,5",.,"9,7","0,6","413,3","85,6",2015
Ållebergsgymnasiet C,88850910,Falköping,1499,2120001744,Falköping,Kommunal,"16,6","1,0","15,6","56,3","83,6",.,"9,0",.,.,"100,0",2015
Ållebergsgymnasiet D,78317945,Falköping,1499,2120001744,Falköping,Kommunal,"5,1","0,3","4,9","79,4","74,2",.,"14,0","0,4","170,0","84,5",2015
Ållebergsgymnasiet E,93939982,Falköping,1499,2120001744,Falköping,Kommunal,"28,1","1,0","27,1","42,4","78,6",.,"8,5","0,6","383,3","87,3",2015
Falu Frigymnasium,25720752,Falun,2080,5566112834,Falu Frigymnasium Aktiebolag,Enskild,"23,1","1,0","22,1","57,0","91,2",.,"14,2","0,9","347,8","91,8",2015
Hagströmska gymnasiet Falun,55155562,Falun,2080,5567550461,Hagströmska Gymnasiet AB,Enskild,"61,3","1,0","60,3","38,1","45,1",.,"11,5","1,0","694,0","84,6",2015
Kristinegymnasiet RO1,31533003,Falun,2080,2120002221,Falun,Kommunal,"28,7","1,0","27,7","73,3","96,4","5,3","14,3","0,8","501,3","95,6",2015
Kristinegymnasiet RO2,31429031,Falun,2080,2120002221,Falun,Kommunal,"10,4","0,6","9,8","87,8","85,2","5,3","14,6","0,4","408,6","78,9",2015
Lugnetgymnasiet RO1,23164911,Falun,2080,2120002221,Falun,Kommunal,"29,0","1,0","28,0","38,8","85,7","0,9","14,7","1,0","413,0","87,9",2015
Lugnetgymnasiet RO2,24008049,Falun,2080,2120002221,Falun,Kommunal,"22,7","1,0","21,7","15,0","61,3","1,5","7,4","0,4","365,9","97,5",2015
Lugnetgymnasiet RO3,72661886,Falun,2080,2120002221,Falun,Kommunal,"37,4","1,0","36,4","56,6","91,9","6,7","11,2","1,4","286,6","87,9",2015
"Mikael Elias Gymnasium, Falun",19981611,Falun,2080,5565583282,Mikael Elias Gymnasium AB,Enskild,"8,2","1,0","7,2","38,3","51,9",.,"14,2",.,.,"55,4",2015
NTI-gymnasiet Falun,36680097,Falun,2080,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"11,2","1,0","10,2","33,5","71,4",.,"11,6",.,.,"77,8",2015
Plusgymnasiet Falun,87756916,Falun,2080,5565789129,Plusgymnasiet AB,Enskild,"11,5","0,5","11,0","61,0","37,2",.,"15,7",.,.,"43,6",2015
Praktiska Falun,59734510,Falun,2080,5562575786,Praktiska Sverige AB,Enskild,"13,8","1,0","12,8","34,4","43,8","6,3","9,5","0,3","403,3","60,9",2015
Spångbergsgymnasiet Re 2,95233730,Filipstad,1782,2120001876,Filipstad,Kommunal,"20,5","0,4","20,1","32,9","59,1",.,"9,2","0,5","411,1","69,3",2015
Spångbergsgymnasiet Re 3,81555202,Filipstad,1782,2120001876,Filipstad,Kommunal,"9,7","0,6","9,1","60,2","74,0",.,"9,0","0,5","180,0","71,3",2015
"Spångbergsgymnasiet Re 3, IM",93242695,Filipstad,1782,2120001876,Filipstad,Kommunal,"9,8","0,3","9,5","72,5","72,5",.,"9,7","0,1","920,0","57,7",2015
Curt Nicolin-gymnasiet,95683850,Finspång,0562,5566431044,Curt Nicolin Gymnasiet AB,Enskild,"28,2","0,8","27,4","37,5","31,8",.,"14,4",.,.,"69,8",2015
Nya Bergska väst,17643936,Finspång,0562,2120000423,Finspång,Kommunal,"11,5","1,0","10,5","73,1","83,3","9,5","9,4","1,0","99,0","90,9",2015
Nya Bergska Öst,24273261,Finspång,0562,2120000423,Finspång,Kommunal,"17,6","0,5","17,1","45,6","91,2",.,"8,7","0,9","173,3","82,4",2015
Prins Wilhelm gymnasiet,59455288,Flen,0482,2120000332,Flen,Kommunal,"19,6","1,0","18,6","50,1","89,5",.,"15,7","0,8","363,8","96,0",2015
ForshagaAkademin,82163292,Forshaga,1763,5566205737,ForshagaAkademin AB,Enskild,"23,4","1,0","22,4","39,6","72,7",.,"10,5","0,2","1 170,0","81,7",2015
Gymnasieutbildningen i Gagnef,19599583,Gagnef,2026,2120002155,Gagnef,Kommunal,"4,6","0,2","4,4","65,9","86,4","22,7","9,5","0,1","420,0","100,0",2015
Gislaveds gymn Introduktionspr,36581179,Gislaved,0662,2120000514,Gislaved,Kommunal,"6,1","0,3","5,8","27,2","82,4","60,3","4,0","0,1","230,0","91,7",2015
Gislaveds gymnasium Ekonomisk sektor,25679488,Gislaved,0662,2120000514,Gislaved,Kommunal,"26,2","1,0","25,2","40,8","98,5",.,"13,6","0,7","488,6","97,6",2015
Gislaveds gymnasium NEO sektor,25677996,Gislaved,0662,2120000514,Gislaved,Kommunal,"37,0","1,0","36,0","59,9","81,2","3,6","9,7","0,5","698,0","83,8",2015
Gislaveds gymnasium Teknisk sektor,89888648,Gislaved,0662,2120000514,Gislaved,Kommunal,"21,4","0,7","20,7","27,0","84,0",.,"13,2","0,6","498,2","93,7",2015
Motorsportsgymn. Anderstorp,90003262,Gislaved,0662,5563836757,"Värmdö Tekniska Utbildningar Aktiebolag, Vtu",Enskild,"3,3","0,7","2,7",.,"73,6",.,"22,6",.,.,"73,6",2015
Gnosjöandans kunskapsc. gy,35063170,Gnosjö,0617,2120000506,Gnosjö,Kommunal,"29,4","0,8","28,7","48,3","76,1","1,4","8,9","0,8","308,4","82,6",2015
"Guteskolan, gymnasieskolan",31279294,Gotland,0980,5567044267,Guteskolan AB,Enskild,"9,3","0,3","8,9","61,4","69,8","3,4","7,3","0,3","260,0","91,6",2015
Guteskolan Södra,81558435,Gotland,0980,5567044267,Guteskolan AB,Enskild,"14,0","0,3","13,7","43,5","60,9","2,2","7,1","0,3","388,0","90,1",2015
Wisbygymnasiet Norr,23897040,Gotland,0980,2120000803,Gotland,Kommunal,"65,9","2,0","63,9","37,8","76,4","1,6","10,7",.,.,"85,9",2015
Wisbygymnasiet Söder,29799085,Gotland,0980,2120000803,Gotland,Kommunal,"69,5","1,0","68,5","58,6","86,1","1,5","11,5","2,0","393,0","80,4",2015
"Välkommaskolan, enhet 1",20666515,Gällivare,2523,2220000760,Gällivare,Kommunal,"16,2","1,0","15,2","34,0","60,4",.,"12,0","1,0","182,0","51,9",2015
"Välkommaskolan, enhet 2",37906565,Gällivare,2523,2220000760,Gällivare,Kommunal,"11,6","1,0","10,6","77,6","66,9","23,7","7,5","0,5","158,0","66,9",2015
"Välkommaskolan, enhet 3",23063954,Gällivare,2523,2220000760,Gällivare,Kommunal,"12,8","1,0","11,8","50,0","69,5",.,"11,0","0,5","260,0","72,0",2015
"Välkommaskolan, enhet 4",67279303,Gällivare,2523,2220000760,Gällivare,Kommunal,"13,2","0,5","12,7","7,9","52,6",.,"11,8",.,.,"68,4",2015
Borgarskolan,21648755,Gävle,2180,2120002338,Gävle,Kommunal,"68,2","1,0","67,2","55,1","86,5","0,5","13,0","2,0","435,5","84,4",2015
Plusgymnasiet Gävle,11111710,Gävle,2180,5565789129,Plusgymnasiet AB,Enskild,"13,1","1,0","12,1","80,2","59,1",.,"10,6",.,.,"73,1",2015
Polhemsskolan,90551279,Gävle,2180,2120002338,Gävle,Kommunal,"119,2","1,0","118,2","55,1","78,3","0,6","11,3","8,0","166,3","81,4",2015
Praktiska Gävle,93062368,Gävle,2180,5562575786,Praktiska Sverige AB,Enskild,"8,8","1,0","7,8","21,1","50,7",.,"10,8",.,.,"79,5",2015
Realgymnasiet 2 i Gävle,95815739,Gävle,2180,5565715892,Lärande i Sverige AB,Enskild,"10,4","0,5","9,9","46,8","58,3",.,"17,1","2,5","67,6","87,8",2015
Realgymnasiet Gävle,69686851,Gävle,2180,5565715892,Lärande i Sverige AB,Enskild,"18,4","0,5","17,9","74,0","56,7",.,"13,2","2,2","106,8","82,7",2015
