skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_foraldr_utb_tcv95,skolverket_and_utl_bakgr_tcv95,skolverket_andel_pojkar_tcv95,skolverket_ver_and_uppn_malen_tcv95,skolverket_ber_and_uppn_malen_tcv95,skolverket_sal_and_uppn_malen_tcv95,skolverket_ver_meritvarde_tcv95,skolverket_ber_meritvarde_tcv95,skolverket_sal_meritvarde_tcv95,year
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,"2,22",15,51,76,69,7,224,214,10,2017
Arboga,Stureskolan,Kommunal,Arboga,13854755,"2,26",9,52,74,74,0,228,224,4,2017
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,"2,24",10,76,76,73,4,216,212,4,2017
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,"2,21",7,51,56,74,-19,197,224,-26,2017
Arvika,Centralskolan,Kommunal,Arvika,60318692,"2,19",18,64,61,65,-4,192,203,-11,2017
Arvika,"Estetiska skolan, högstadiet",Enskild,Estetiska Skolan Arvika,99375199,"2,42",3,22,100,84,16,252,253,-1,2017
Arvika,Järvenskolan 7-9,Kommunal,Arvika,62046180,"2,26",0,62,100,81,19,244,231,13,2017
Arvika,Kyrkebyskolan 7-9,Kommunal,Arvika,64771195,"2,21",3,49,75,77,-3,221,229,-8,2017
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,"2,2",7,50,79,74,5,220,223,-3,2017
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,"2,14",11,53,57,69,-12,201,213,-12,2017
Avesta,Åvestadalskolan,Kommunal,Avesta,30454178,"2,15",20,62,59,63,-3,207,199,8,2017
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,"2,12",21,49,56,61,-5,201,200,1,2017
Berg,Myrvikens skola,Kommunal,Berg,56709330,"2,15",3,53,70,75,-5,220,223,-3,2017
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,"2,08",11,54,82,67,15,207,209,-2,2017
Bjuv,Ekeby skola åk 4-9,Kommunal,Bjuv,61795800,"2,05",8,47,76,68,7,217,213,4,2017
Bjuv,Jens Billeskolan  7 - 9,Kommunal,Bjuv,63778499,"1,99",8,67,73,66,6,223,202,22,2017
Bjuv,Varagårdsskolan Bjuv Östra   7 - 9,Kommunal,Bjuv,45883916,"2,03",19,55,64,60,4,211,195,16,2017
Boden,Brönjaskolan,Kommunal,Boden,60633912,"2,49",7,52,84,83,1,223,242,-19,2017
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden ekonomisk förening,98998541,"2,58",0,42,88,91,-4,254,260,-6,2017
Boden,Norrskenet Boden,Enskild,Pysslingen Förskolor Och Skolor AB,40708452,"2,48",4,52,90,85,5,232,244,-12,2017
Boden,Stureskolan,Kommunal,Boden,83862028,"2,17",24,61,60,60,0,185,196,-11,2017
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,"2,31",10,46,85,75,10,236,228,7,2017
Bollnäs,Alirskolan 7-9,Kommunal,Bollnäs,65024773,"1,96",33,61,34,47,-13,154,170,-16,2017
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,"2,29",1,52,91,81,10,231,236,-5,2017
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,"2,1",3,43,76,74,2,212,224,-12,2017
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,"2,12",14,63,82,65,17,221,203,18,2017
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,"2,32",10,57,90,75,15,261,225,36,2017
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,"1,97",8,53,65,66,-1,201,205,-4,2017
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,"2,01",7,44,60,68,-8,205,213,-8,2017
Borlänge,Gylle skola 6-9,Kommunal,Borlänge,11406792,"2,19",11,58,70,71,-1,207,215,-8,2017
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige Aktiebolag,70510891,"2,37",0,34,84,85,0,245,249,-4,2017
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,"1,75",17,51,52,52,0,184,179,5,2017
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,"2,13",20,48,59,62,-3,195,204,-9,2017
Borås,Bodaskolan 7-9,Kommunal,Borås,67454907,"1,98",14,46,56,61,-5,189,200,-11,2017
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,"2,12",26,53,63,57,6,224,192,32,2017
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,"2,29",4,55,76,79,-3,227,231,-4,2017
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,"2,04",10,64,61,66,-5,200,204,-4,2017
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,"2,43",5,53,82,83,0,232,240,-7,2017
Borås,Engelska Skolan i Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,"2,42",1,53,93,85,8,271,244,27,2017
Borås,Erikslundskolan,Kommunal,Borås,50870189,2,11,51,71,64,7,215,203,12,2017
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,"2,17",8,54,70,72,-2,213,218,-6,2017
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige Aktiebolag,10257640,"2,49",1,46,94,87,6,262,251,11,2017
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,"2,58",17,39,94,79,15,272,241,32,2017
Borås,Sandgärdskolan,Kommunal,Borås,98081621,"2,39",0,49,93,85,8,236,245,-9,2017
Borås,Särlaskolan F-9,Kommunal,Borås,23108037,"2,12",24,59,48,58,-10,197,193,4,2017
Borås,Viskaforsskolan F-9,Kommunal,Borås,50756758,"2,16",2,52,66,76,-11,208,226,-18,2017
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,"2,22",15,68,70,68,2,215,207,7,2017
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,"1,97",0,49,71,72,0,238,217,22,2017
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,"2,25",0,54,80,80,0,233,233,0,2017
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,"1,84",10,32,62,61,1,219,202,17,2017
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,"2,3",7,56,80,77,3,242,227,15,2017
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,"1,64",23,55,44,44,0,173,163,10,2017
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ekonomisk Förening,29524966,"2,07",0,60,40,75,-35,173,219,-46,2017
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,"1,92",16,63,43,58,-15,180,188,-8,2017
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,"1,91",0,55,71,70,2,221,211,10,2017
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,"2,04",41,52,35,44,-9,174,169,4,2017
Botkyrka,Kunskapsskolan Tumba,Enskild,Kunskapsskolan i Sverige Aktiebolag,84411355,"2,34",0,49,90,83,6,243,241,2,2017
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,"1,89",2,47,64,68,-4,224,210,14,2017
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,"2,19",0,58,86,78,8,236,228,8,2017
Botkyrka,Storvretskolan,Kommunal,Botkyrka,18534178,"2,03",21,89,68,57,11,195,179,16,2017
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,"2,35",0,54,94,84,10,260,240,20,2017
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,"2,09",20,61,63,61,2,207,195,12,2017
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,"2,12",14,48,67,66,0,201,210,-8,2017
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,"2,07",9,56,57,68,-10,192,209,-17,2017
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,"2,04",8,50,64,68,-4,191,211,-20,2017
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,"2,03",40,74,47,44,2,147,161,-14,2017
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,"2,1",17,57,67,63,3,197,201,-4,2017
Burlöv,Dalslundskolan 7-9,Kommunal,Burlöv,58712142,"2,41",4,60,88,83,6,245,237,8,2017
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,"1,93",29,50,50,49,0,190,177,13,2017
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,"2,08",13,47,77,66,12,223,209,15,2017
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,"2,25",12,49,75,72,3,224,220,4,2017
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,"2,13",20,64,62,62,0,205,197,8,2017
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,"2,82",2,65,94,97,-3,271,264,7,2017
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,"2,72",4,55,91,93,-2,262,260,2,2017
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,"2,86",2,53,93,99,-5,276,272,3,2017
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,"2,08",1,54,66,74,-8,208,221,-12,2017
Dorotea,Strandenskolan 4-9,Kommunal,Dorotea,17181067,"2,09",0,38,93,76,18,220,229,-9,2017
Eda,Gunnarsbyskolan F-9,Kommunal,Eda,69352527,"2,05",9,59,84,67,17,233,207,26,2017
Eda,Hierneskolan F-9,Kommunal,Eda,55674136,"2,07",0,36,78,75,3,225,228,-4,2017
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,"2,63",0,53,97,92,4,279,259,20,2017
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,"2,45",7,50,87,82,5,250,240,10,2017
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,"2,45",0,57,95,87,9,252,246,6,2017
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,"2,29",9,47,86,75,11,233,228,6,2017
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,"2,14",13,38,75,68,7,211,217,-6,2017
Eksjö,Prästängsskolan A,Kommunal,Eksjö,48457931,"2,33",12,54,76,74,2,235,224,11,2017
Eksjö,Prästängsskolan B,Kommunal,Eksjö,98124174,"2,41",9,52,83,79,4,241,234,7,2017
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,"2,1",21,62,56,60,-4,180,194,-14,2017
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,"2,25",0,52,83,80,2,232,234,-2,2017
Enköping,Entréskolan Enköping,Enskild,AmiSgo AB,97000303,"2,25",0,38,73,81,-8,239,239,0,2017
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,"2,31",21,50,58,67,-9,187,213,-26,2017
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,"2,12",26,61,64,57,6,211,190,20,2017
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,67723630,"2,45",0,44,96,87,9,258,251,7,2017
Enköping,Robinson Vårfru,Enskild,Aktiebolaget Fria Skolor i Enköping,83519502,"2,44",0,60,68,86,-18,226,244,-18,2017
Enköping,S:t Iliansskolan,Kommunal,Enköping,34699165,"2,15",10,56,72,70,2,222,214,8,2017
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,"2,23",22,63,65,64,1,199,201,-2,2017
Eskilstuna,"British Junior Secondary, Eskilstuna",Enskild,British Schools AB,50048111,"2,25",0,57,95,80,14,260,232,27,2017
Eskilstuna,Djurgårdsskolan1 7-9,Kommunal,Eskilstuna,34148803,"2,25",16,44,66,69,-3,211,218,-7,2017
Eskilstuna,Djurgårdsskolan2 7-9,Kommunal,Eskilstuna,54605092,"2,32",2,67,86,81,5,230,231,-1,2017
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,"2,4",2,45,93,84,9,271,244,27,2017
Eskilstuna,"Entréskolan, Eskilstuna",Enskild,AmiSgo AB,10443922,"2,12",0,36,68,77,-9,208,232,-24,2017
Eskilstuna,Faktoriet 7-9,Kommunal,Eskilstuna,64275635,"2,14",8,57,74,71,3,223,215,8,2017
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,"2,09",9,45,84,69,15,235,215,20,2017
Eskilstuna,Skiftingehus F-9,Kommunal,Eskilstuna,65025285,"1,93",24,59,55,52,2,190,180,10,2017
Eskilstuna,Skogstorpsskolan F-9,Kommunal,Eskilstuna,30622727,"2,2",5,57,72,75,-3,211,222,-11,2017
Eskilstuna,Stålforsskolan 7-9,Kommunal,Eskilstuna,14327803,"2,09",8,59,61,69,-8,206,211,-5,2017
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,"2,45",0,68,88,87,1,257,241,16,2017
Eskilstuna,Årbyskolan F-9,Kommunal,Eskilstuna,63315515,"1,85",29,51,41,46,-5,180,171,10,2017
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,"2,35",11,53,80,76,4,224,227,-4,2017
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,"2,21",5,54,76,76,1,221,225,-4,2017
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,"2,08",11,45,66,67,-1,200,211,-12,2017
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,"2,29",15,58,78,71,8,222,216,7,2017
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,"1,98",10,53,76,64,12,219,203,16,2017
Fagersta,Lindgårdsskolan 7-9,Enskild,Västanfors-Västervåla Församling,95382478,"2,2",0,43,57,79,-22,178,234,-56,2017
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,"2,09",22,62,55,59,-4,161,192,-31,2017
Falkenberg,Apelskolan 2,Kommunal,Falkenberg,58501067,"2,09",3,52,83,73,10,233,219,13,2017
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,"2,55",0,40,85,90,-5,254,259,-5,2017
Falkenberg,Skogstorpsskolan 2,Kommunal,Falkenberg,71339649,"2,18",12,48,55,69,-14,199,216,-17,2017
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,"2,26",10,48,53,73,-20,215,224,-9,2017
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,"2,27",9,43,58,74,-16,212,227,-15,2017
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,"2,11",9,45,70,70,1,204,216,-12,2017
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,"2,12",19,65,59,62,-3,196,197,-2,2017
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,"2,24",0,43,93,80,13,253,237,16,2017
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,"2,21",19,61,67,65,2,217,204,13,2017
Falköping,Flobyskolan 7-9,Kommunal,Falköping,54765026,"2,11",6,42,75,72,3,215,222,-7,2017
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,"2,2",3,45,72,77,-4,193,230,-37,2017
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,"1,93",13,45,68,61,8,210,199,11,2017
Falköping,Kyrkerörsskolan AC,Kommunal,Falköping,39777812,"2,22",8,59,75,74,1,217,220,-3,2017
Falköping,Kyrkerörsskolan BD,Kommunal,Falköping,39933770,"2,06",0,56,63,74,-11,205,220,-15,2017
Falköping,Stenstorpsskolan A,Kommunal,Falköping,43678352,"2,03",32,58,63,50,13,191,178,13,2017
Falköping,Stenstorpsskolan B,Kommunal,Falköping,43269172,"2,25",0,64,73,80,-8,212,230,-18,2017
Falköping,Thoren Framtid i Falköping,Enskild,Thoren Framtid AB,48252217,"2,12",32,58,42,53,-11,181,184,-3,2017
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,"1,92",10,55,38,62,-24,179,198,-20,2017
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,"2,39",2,47,89,84,6,247,243,4,2017
Falun,Britsarvsskolan,Kommunal,Falun,17033155,"2,35",8,56,73,78,-5,223,229,-7,2017
Falun,Erlaskolan Falun,Enskild,Lärande i Sverige AB,41444691,"2,33",0,50,67,83,-17,227,241,-14,2017
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun ekonomisk förening,65494903,"2,7",0,75,95,94,1,239,256,-17,2017
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,"2,32",6,54,69,78,-10,214,231,-17,2017
Falun,Internationella Engelska Skolan Falun,Enskild,Internationella Engelska Skolan i Sverige AB,34401115,"2,63",2,47,92,91,1,276,259,17,2017
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,"2,57",7,53,93,86,8,262,247,15,2017
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,"2,16",9,71,77,71,7,200,209,-10,2017
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor Och Skolor AB,72625090,"2,64",0,45,84,93,-9,249,263,-14,2017
Falun,Västra Skolan,Kommunal,Falun,27153243,"2,19",18,58,69,65,4,206,205,0,2017
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,"1,95",13,52,78,62,16,232,198,33,2017
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,"2,25",25,38,75,62,13,228,208,19,2017
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,"2,13",17,50,62,65,-3,202,206,-4,2017
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,"2,13",13,45,59,67,-9,206,213,-7,2017
Flen,Europaskolan Malma,Enskild,Europaskolan Grundskola AB,38215460,"2,1",3,63,70,73,-3,219,216,3,2017
Flen,Stenhammarskolan,Kommunal,Flen,81546814,"2,02",26,51,56,54,2,192,187,6,2017
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,"2,29",11,62,75,74,2,210,220,-10,2017
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,"1,97",12,51,71,63,9,198,201,-4,2017
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,"2,22",1,56,79,79,1,221,229,-9,2017
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,"2,12",6,65,79,72,8,210,213,-2,2017
Gislaved,Lundåkerskolan,Kommunal,Gislaved,47236914,"2,04",6,52,69,69,0,212,213,-1,2017
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,"2,11",6,56,80,72,8,218,216,1,2017
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,"2,12",13,52,63,67,-4,196,209,-12,2017
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,"2,16",0,60,72,77,-5,219,225,-6,2017
Gnesta,Frejaskolan 7-9,Kommunal,Gnesta,71986467,"2,24",6,55,77,76,1,214,225,-11,2017
Gnesta,Gnesta Waldorfskola,Enskild,Gnesta Waldorfskoleförening,35159342,"2,48",0,25,85,88,-3,241,260,-19,2017
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,"1,91",19,59,60,56,4,184,186,-2,2017
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,"1,96",19,50,64,57,7,198,192,6,2017
Gotland,Atheneskolan,Enskild,Pysslingen Förskolor Och Skolor AB,52229866,"2,51",0,43,96,89,7,252,255,-3,2017
Gotland,"Guteskolan, grundskola",Enskild,Guteskolan AB,42518434,"2,24",0,62,84,80,4,222,230,-8,2017
Gotland,Högbyskolan,Kommunal,Gotland,94163432,"2,06",2,65,67,73,-6,193,214,-21,2017
Gotland,Klinteskolan,Kommunal,Gotland,24429776,"1,86",15,55,58,57,1,183,188,-5,2017
Gotland,Romaskolan,Kommunal,Gotland,60700608,"2,12",0,44,87,76,11,236,228,8,2017
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,"2,33",9,59,82,76,6,229,225,4,2017
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,"2,18",14,52,70,68,2,207,212,-5,2017
Gotland,Södervärnsskolan,Kommunal,Gotland,80013231,"2,15",10,52,74,70,4,219,215,5,2017
Grums,Jättestenskolan,Kommunal,Grums,16891307,"2,16",27,62,60,57,2,196,190,6,2017
Grästorp,Centralskolan 7-9,Kommunal,Grästorp,31381375,"2,2",8,45,77,73,4,225,223,2,2017
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,"2,29",5,45,73,78,-6,219,233,-14,2017
Gällivare,Malmens friskola,Enskild,Malmens Friskola AB,37140962,"2,48",0,50,100,88,12,264,250,14,2017
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,"2,17",5,58,74,74,0,202,220,-18,2017
Gällivare,Sjöparksskolan LMH,Kommunal,Gällivare,24426745,"2,09",20,57,59,60,-1,189,196,-8,2017
Gällivare,Tallbackaskolan H,Kommunal,Gällivare,68699648,"2,05",6,51,83,70,13,239,214,25,2017
Gävle,Bergby Centralskola 1-9,Kommunal,Gävle,55373417,"2,06",5,57,54,70,-16,169,213,-43,2017
Gävle,Engelska Skolan i Gävle,Enskild,Internationella Engelska Skolan i Sverige AB,53952728,"2,47",0,55,83,88,-5,253,248,4,2017
Gävle,Kunskapsskolan Gävle,Enskild,Kunskapsskolan i Sverige Aktiebolag,21423670,"2,3",3,38,76,80,-5,247,239,7,2017
Gävle,Lillhagsskolan,Kommunal,Gävle,51387807,"2,29",2,46,74,81,-6,210,237,-27,2017
Gävle,"Prolympia, Gävle",Enskild,Ulno AB,57578095,"2,34",2,64,82,82,0,220,233,-13,2017
Gävle,Sofiedalskolan,Kommunal,Gävle,80177526,"2,24",6,50,78,76,2,212,227,-15,2017
Gävle,Solängsskolan,Kommunal,Gävle,58984764,"2,27",13,60,58,71,-13,199,215,-16,2017
Gävle,Stigslunds skola,Kommunal,Gävle,91652716,"2,34",2,48,97,82,15,252,239,12,2017
Gävle,Stora Sätraskolan,Kommunal,Gävle,49779956,"1,96",9,49,58,65,-7,200,205,-5,2017
Gävle,Vallbacksskolan,Kommunal,Gävle,54990077,"1,75",43,39,35,33,1,168,152,16,2017
Göteborg,Assaredsskolan,Enskild,Assareds Skolkooperativ Ek För.,25852980,"2,23",4,58,63,77,-14,223,225,-2,2017
Göteborg,Bergsgårdsskolan 4-9,Kommunal,Göteborg,67687325,"1,64",16,60,40,49,-9,175,171,5,2017
Göteborg,Bergsjöskolan 7-9,Kommunal,Göteborg,35416997,"1,57",30,59,24,36,-13,143,148,-5,2017
Göteborg,Bergums skola 4-9,Kommunal,Göteborg,98771543,"2,11",15,52,61,65,-5,210,206,4,2017
Göteborg,Brandströmska skolan Nylöse,Enskild,Stiftelsen För Kristen Skolverksamhet,11295861,"2,09",10,35,38,68,-31,168,217,-49,2017
Göteborg,Brunnsboskolan 7-9,Kommunal,Göteborg,13180797,"2,22",30,40,60,58,3,209,200,9,2017
Göteborg,Böskolans friskola,Enskild,Böskolans Friskola Ek.För.,83071620,"2,65",0,60,95,93,2,261,258,3,2017
Göteborg,Centrina Kviberg,Enskild,Centrina utbildning Aktiebolag,17517182,"2,34",0,49,91,84,7,250,242,8,2017
Göteborg,Centrina Lindholmen,Enskild,Centrina utbildning Aktiebolag,79866556,"2,68",0,44,96,94,2,271,266,5,2017
Göteborg,Drakbergsskolan,Enskild,Kannebäcks Friskoleförening,60526603,"2,14",0,52,90,77,13,239,227,12,2017
Göteborg,Ebba Petterssons Grundskola,Enskild,Ebba Petterssons Privatskolas Stiftelse,88247874,"2,69",0,53,91,94,-4,253,263,-10,2017
Göteborg,Fenestra Centrum,Enskild,Pysslingen Förskolor Och Skolor AB,87139814,"2,3",4,54,76,79,-3,224,232,-8,2017
Göteborg,Fenestra Nya Hovås,Enskild,Pysslingen Förskolor Och Skolor AB,21497343,"2,74",2,49,93,95,-2,272,266,6,2017
Göteborg,Fenestra S:t Jörgen,Enskild,Pysslingen Förskolor Och Skolor AB,27265374,"2,29",0,44,74,82,-8,235,240,-5,2017
Göteborg,Fiskebäcksskolan 6-9,Kommunal,Göteborg,99641533,"2,61",7,64,84,87,-2,256,245,11,2017
Göteborg,Franska skolan Göteborg 6-9,Enskild,Medborgarskolan Region Väst,51565567,"2,6",0,36,96,92,4,286,264,22,2017
Göteborg,Freinetskolan Bild & Form,Enskild,Bild Och Form i Göteborg Aktiebolag,31872640,"2,7",7,45,79,90,-11,234,259,-25,2017
Göteborg,Fridaskolan Kvillebäcken,Enskild,Fridaskolorna AB,56328727,"2,13",0,56,87,77,11,239,225,14,2017
Göteborg,Frölundaskolan 7-9,Kommunal,Göteborg,97820269,2,26,58,34,53,-19,176,183,-7,2017
Göteborg,Gamlestadsskolan H,Kommunal,Göteborg,90710178,"1,99",12,50,69,64,5,216,203,13,2017
Göteborg,Guldhedsskolan 7-9,Kommunal,Göteborg,98423378,"2,3",22,69,54,65,-11,174,203,-29,2017
Göteborg,Gårdstensskolan 4-9,Kommunal,Göteborg,55886598,"1,98",20,56,42,57,-15,166,189,-23,2017
Göteborg,Göteborgs Högre Samskola gr.,Enskild,Stiftelsen Göteborgs Högre Samskola,52538248,"2,73",1,48,93,95,-2,273,266,7,2017
Göteborg,Hovåsskolan 7-9,Kommunal,Göteborg,32603156,"2,49",11,50,75,80,-5,234,237,-3,2017
Göteborg,Internationella Engelska Skolan Johanneberg,Enskild,Internationella Engelska Skolan i Sverige AB,41921747,"2,36",2,38,62,83,-21,223,244,-21,2017
