skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_foraldr_utb_tcv95,skolverket_and_utl_bakgr_tcv95,skolverket_andel_pojkar_tcv95,skolverket_ver_and_uppn_malen_tcv95,skolverket_ber_and_uppn_malen_tcv95,skolverket_sal_and_uppn_malen_tcv95,skolverket_ver_meritvarde_tcv95,skolverket_ber_meritvarde_tcv95,skolverket_sal_meritvarde_tcv95,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ekonomisk förening,71387206,"2,35",0,35,91,84,7,232,247,-16,2017
Ale,Aroseniusskolan,Kommunal,Ale,48529699,"2,18",2,56,74,77,-3,218,226,-7,2017
Ale,Bohusskolan,Kommunal,Ale,11043800,"2,18",3,59,67,76,-9,202,223,-21,2017
Ale,Da Vinciskolan,Kommunal,Ale,61084420,"2,15",13,63,65,67,-2,202,206,-5,2017
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,"2,53",11,63,70,81,-11,214,235,-20,2017
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,"2,65",0,58,98,93,5,260,259,2,2017
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,"2,21",5,55,85,76,9,236,225,11,2017
Alingsås,Sollebrunns skola F-9,Kommunal,Alingsås,76908037,"2,16",8,56,79,71,8,237,216,21,2017
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,"2,32",0,38,79,83,-4,243,244,-1,2017
Alingsås,Östlyckeskolan 8-9,Kommunal,Alingsås,20234335,"2,28",13,54,68,72,-4,206,220,-13,2017
Alvesta,Hagaskolan,Kommunal,Alvesta,67183147,"1,99",27,48,51,53,-1,197,185,12,2017
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,"2,12",20,73,65,61,4,191,193,-2,2017
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,"2,16",13,58,63,68,-6,208,210,-2,2017
Aneby,Furulidskolan,Kommunal,Aneby,88669294,"2,2",19,60,68,65,3,197,204,-7,2017
