skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_helttj_larare_tcv105,skolverket_helttj_larare_leg_tcv105,skolverket_and_helttj_larare_leg_tcv105,skolverket_helttj_forstelarare_tcv105,skolverket_ant_larare_tcv105,skolverket_ant_larare_pedex_tcv105,skolverket_and_larare_pedex_tcv105,skolverket_ant_behoriga_tcv105,skolverket_and_behoriga_tcv105,skolverket_ant_forstelarare_tcv105,year
Borås,Almåsgymnasiet B,93281974,Kommunal,Borås,"10,7","10,7","100,0","2,7",12,11,"91,7",12,"100,0",3,2016
Borås,Almåsgymnasiet C,23424275,Kommunal,Borås,"6,6","6,6","100,0","2,0",7,7,"100,0",7,"100,0",2,2016
Borås,Bäckängsgymnasiet A,43634528,Kommunal,Borås,"29,9","28,7","96,1","5,5",36,35,"97,2",34,"94,4",6,2016
Borås,Bäckängsgymnasiet B,36263479,Kommunal,Borås,"22,4","22,4","100,0","3,0",30,29,"96,7",30,"100,0",3,2016
Borås,Bäckängsgymnasiet C,56679384,Kommunal,Borås,"11,0","10,7","97,0","2,0",16,15,"93,8",16,"100,0",2,2016
Borås,Bäckängsgymnasiet D,30538202,Kommunal,Borås,"11,5","11,0","96,0",.,15,14,"93,3",14,"93,3",0,2016
Borås,Drottning Blankas Gymn. Borås,19150273,Enskild,Drottning Blankas Gymnasieskola AB,"3,9","1,9","49,5",.,9,6,"66,7",5,"55,6",0,2016
Borås,LBS Ljud & Bildskolan Borås,69018222,Enskild,Ljud & Bildskolan Lbs AB,"10,5","4,5","43,1","1,0",12,5,"41,7",5,"41,7",1,2016
Borås,Praktiska Borås,25624692,Enskild,Praktiska Sverige AB,"3,8","1,2","31,6",.,5,3,"60,0",2,"40,0",0,2016
Borås,Realgymnasiet Borås,88534520,Enskild,Lärande i Sverige AB,"3,6","2,3","62,5","1,9",7,5,"71,4",5,"71,4",2,2016
Borås,Sven Eriksonsgymnasiet A,12889940,Kommunal,Borås,"14,7","12,3","83,6","1,7",23,19,"82,6",20,"87,0",2,2016
Borås,Sven Eriksonsgymnasiet B,16554575,Kommunal,Borås,"18,7","15,2","81,5","4,0",26,20,"76,9",19,"73,1",4,2016
Borås,Sven Eriksonsgymnasiet C,34076477,Kommunal,Borås,"23,8","19,8","83,3","0,8",30,26,"86,7",27,"90,0",1,2016
Borås,Viskastrandsgymnasiet A,25356960,Kommunal,Borås,"6,3","4,3","68,0","3,0",9,7,"77,8",6,"66,7",3,2016
Borås,Viskastrandsgymnasiet B,64284020,Kommunal,Borås,"8,1","6,5","80,2","2,1",15,13,"86,7",10,"66,7",3,2016
Borås,Viskastrandsgymnasiet C,98132436,Kommunal,Borås,"8,9","8,0","89,7","2,8",14,12,"85,7",12,"85,7",3,2016
Botkyrka,Gullviva gymnasiet,53400472,Enskild,STEG för framtiden Aktiebolag,"9,9","7,5","75,9",.,13,11,"84,6",12,"92,3",0,2016
Botkyrka,S:t Botvids gymnasium,97758137,Kommunal,Botkyrka,"32,4","18,3","56,5","6,5",39,31,"79,5",27,"69,2",7,2016
Botkyrka,Tullinge gymnasium,26334561,Kommunal,Botkyrka,"36,3","32,1","88,3","3,0",44,43,"97,7",41,"93,2",4,2016
Botkyrka,Tumba gymnasium,40386043,Kommunal,Botkyrka,"74,1","61,1","82,4","10,0",82,75,"91,5",69,"84,1",10,2016
Burlöv,Gymnasieutbildningen i Burlöv,73416853,Kommunal,Burlöv,"0,1","0,1","100,0","1,4",1,1,"100,0",1,"100,0",2,2016
Båstad,Akademi Båstad Gymnasium,59483268,Kommunal,Båstad,"18,7","11,3","60,7","1,0",30,27,"90,0",19,"63,3",1,2016
Båstad,Apelrydsskolan,33685428,Enskild,Stiftelsen Apelrydsskolan,"4,8","3,9","79,9","0,5",12,11,"91,7",9,"75,0",1,2016
Båstad,Apelrydsskolan i Båstad,32879845,Enskild,Stiftelsen Apelryd International,"2,6","2,4","89,6","0,1",11,11,"100,0",9,"81,8",1,2016
Dals-Ed,"Utsikten, Dals-Eds gymnasium",88573795,Kommunal,Dals-Ed,"6,1","2,5","39,9","1,0",11,10,"90,9",6,"54,5",2,2016
Danderyd,Danderyds Gymnasium Ekonomi,20699742,Kommunal,Danderyd,"20,1","19,0","94,4","2,0",26,25,"96,2",25,"96,2",2,2016
Danderyd,Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Kommunal,Danderyd,"26,4","26,2","99,4","6,8",31,31,"100,0",31,"100,0",7,2016
Danderyd,"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Kommunal,Danderyd,"28,3","27,3","96,5","4,0",32,31,"96,9",31,"96,9",4,2016
Danderyd,Marina läroverket i Danderyd,82814120,Enskild,Klart Skepp Marinteknik AB,"18,2","14,7","80,8","3,2",27,22,"81,5",23,"85,2",5,2016
Danderyd,Viktor Rydberg gy. Djursholm,45164827,Enskild,Stiftelsen Viktor Rydbergs Skola,"27,9","23,6","84,6","4,9",34,29,"85,3",29,"85,3",5,2016
Degerfors,Möckelngymnasiet Degerfors,10924758,Kommunal,Degerfors,"10,6","7,0","66,7","2,0",16,14,"87,5",10,"62,5",2,2016
Eda,Eda gymnasieskola,10200794,Kommunal,Eda,"8,5","1,0","11,2",.,12,4,"33,3",3,"25,0",0,2016
Eksjö,Eksjö Gymnasium 1,34153869,Kommunal,Eksjö,"20,4","17,5","85,7","2,0",25,22,"88,0",22,"88,0",2,2016
Eksjö,Eksjö Gymnasium 2,88259298,Kommunal,Eksjö,"2,2","2,2","100,0","2,0",3,3,"100,0",3,"100,0",2,2016
Eksjö,Eksjö Gymnasium 3,73098153,Kommunal,Eksjö,"0,3","0,3","100,0","1,0",1,1,"100,0",1,"100,0",1,2016
Eksjö,Nifsarpsskolan fri,44240250,Enskild,Eksjö Fordonsutbildning AB,"6,9","2,6","37,0",.,8,5,"62,5",4,"50,0",0,2016
Emmaboda,Vilhelm Mobergsgymnasiet,17846181,Kommunal,Emmaboda,"9,5","7,7","81,0","2,9",12,10,"83,3",10,"83,3",3,2016
Enköping,Westerlundska gymnasiet,75082798,Kommunal,Enköping,"47,0","39,9","84,9","13,2",63,56,"88,9",52,"82,5",14,2016
Eskilstuna,Grillska Gymnasiet Eskilstuna,23555409,Enskild,Stadsmissionens Skolstiftelse,"16,7","10,7","64,2","4,0",25,18,"72,0",17,"68,0",4,2016
Eskilstuna,Interkulturella enheten,87554242,Kommunal,Eskilstuna,"5,3","1,0","19,0","0,3",6,3,"50,0",1,"16,7",1,2016
Eskilstuna,Kunskapscompaniets Gymnasium,91333138,Enskild,Kunskapscompaniet Gymnasium KCGY AB,"3,2","2,1","65,1","1,0",4,4,"100,0",3,"75,0",1,2016
Eskilstuna,"Mikael Elias Gymnasium, Eskilstuna",82060950,Enskild,Mikael Elias Gymnasium AB,"1,7","0,4","23,3","0,7",5,3,"60,0",2,"40,0",1,2016
Eskilstuna,NTI-gymnasiet Eskilstuna,30341162,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"4,7","2,2","46,1","1,0",8,4,"50,0",4,"50,0",1,2016
Eskilstuna,Realgymnasiet Eskilstuna,39936461,Enskild,Lärande i Sverige AB,"4,9","2,6","53,3","2,9",8,3,"37,5",4,"50,0",3,2016
Eskilstuna,Rekarnegymnasiet 1,72266906,Kommunal,Eskilstuna,"24,9","22,3","89,6","5,0",29,28,"96,6",26,"89,7",5,2016
Eskilstuna,Rekarnegymnasiet 2,27030026,Kommunal,Eskilstuna,"15,6","14,2","91,1","6,8",21,20,"95,2",19,"90,5",7,2016
Eskilstuna,Rekarnegymnasiet 3,12154972,Kommunal,Eskilstuna,"10,7","9,7","90,3","2,0",13,11,"84,6",10,"76,9",2,2016
Eskilstuna,Rinmangymnasiet RI 1,16950252,Kommunal,Eskilstuna,"30,8","21,4","69,4","5,0",32,30,"93,8",24,"75,0",5,2016
Eskilstuna,Rinmangymnasiet RI 2,34637764,Kommunal,Eskilstuna,"52,7","34,7","65,9","7,0",56,47,"83,9",41,"73,2",7,2016
Eskilstuna,S:t Eskils gymnasium 1,19912478,Kommunal,Eskilstuna,"41,2","36,8","89,5","3,6",47,43,"91,5",43,"91,5",4,2016
Eskilstuna,S:t Eskils gymnasium 2,73255276,Kommunal,Eskilstuna,"6,7","5,0","75,3","3,0",12,10,"83,3",10,"83,3",3,2016
Eslöv,Bergagymnasiet,15077883,Kommunal,Eslöv,"28,0","22,5","80,2","5,8",36,32,"88,9",30,"83,3",6,2016
Falkenberg,Drottning Blankas Gymn. Falkenberg,58724424,Enskild,Drottning Blankas Gymnasieskola AB,"5,4","2,5","46,3","0,7",12,8,"66,7",7,"58,3",1,2016
Falkenberg,Falkenbergs Gymnasieskola 1,95684185,Kommunal,Falkenberg,"6,7","6,0","89,0","3,1",29,28,"96,6",25,"86,2",8,2016
Falkenberg,Falkenbergs Gymnasieskola 2,51138448,Kommunal,Falkenberg,"9,9","8,8","88,3","2,5",33,31,"93,9",30,"90,9",5,2016
Falkenberg,Falkenbergs Gymnasieskola 3,19647256,Kommunal,Falkenberg,"5,5","4,7","85,9","3,0",25,23,"92,0",22,"88,0",6,2016
Falkenberg,Falkenbergs Gymnasieskola 4,56421429,Kommunal,Falkenberg,"9,8","9,3","94,2","2,7",33,29,"87,9",30,"90,9",7,2016
Falkenberg,Falkenbergs Gymnasieskola 5,39911065,Kommunal,Falkenberg,"9,0","8,4","93,7","3,7",36,34,"94,4",32,"88,9",8,2016
Falkenberg,Falkenbergs Gymnasieskola 6,89068742,Kommunal,Falkenberg,"10,5","10,2","96,9","2,9",31,29,"93,5",28,"90,3",6,2016
Falköping,Ållebergsgymnasiet A,17008320,Kommunal,Falköping,"14,0","12,0","85,8","1,8",45,38,"84,4",37,"82,2",8,2016
Falköping,Ållebergsgymnasiet B,56737496,Kommunal,Falköping,"11,2","10,3","91,8","1,8",40,34,"85,0",35,"87,5",6,2016
Falköping,Ållebergsgymnasiet C,88850910,Kommunal,Falköping,"0,5","0,0","8,2","0,8",2,2,"100,0",1,"50,0",2,2016
Falköping,Ållebergsgymnasiet D,78317945,Kommunal,Falköping,"3,4","2,2","63,8","0,2",21,15,"71,4",17,"81,0",4,2016
Falköping,Ållebergsgymnasiet E,93939982,Kommunal,Falköping,"18,8","15,2","81,1","4,6",56,47,"83,9",45,"80,4",8,2016
Falun,Falu Frigymnasium,25720752,Enskild,Falu Frigymnasium Aktiebolag,"19,9","16,4","82,6","2,0",25,23,"92,0",21,"84,0",2,2016
Falun,Hagströmska gymnasiet Falun,55155562,Enskild,Hagströmska Gymnasiet AB,"23,9","18,8","78,7","4,8",31,25,"80,6",25,"80,6",5,2016
Falun,Kristinegymnasiet RO1,31533003,Kommunal,Falun,"21,1","20,0","94,8","5,2",27,27,"100,0",27,"100,0",6,2016
Falun,Kristinegymnasiet RO2,31429031,Kommunal,Falun,"3,5","3,5","100,0","1,6",4,4,"100,0",4,"100,0",2,2016
Falun,Lugnetgymnasiet RO1,23164911,Kommunal,Falun,"25,1","21,2","84,4","7,3",30,26,"86,7",26,"86,7",8,2016
Falun,Lugnetgymnasiet RO2,24008049,Kommunal,Falun,"4,4","4,4","100,0","3,1",6,6,"100,0",6,"100,0",4,2016
Falun,Lugnetgymnasiet RO3,72661886,Kommunal,Falun,"13,3","11,5","86,4","3,7",16,15,"93,8",14,"87,5",4,2016
Falun,"Mikael Elias Gymnasium, Falun",19981611,Enskild,Mikael Elias Gymnasium AB,"7,2","5,4","75,5","1,0",9,7,"77,8",7,"77,8",1,2016
Falun,Musikkonservatoriet Falun,54481243,Landsting,Landstinget Dalarna,"10,7","4,2","38,9",.,33,17,"51,5",11,"33,3",0,2016
Falun,NTI-gymnasiet Falun,36680097,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"5,6","3,5","61,3","2,0",7,5,"71,4",4,"57,1",2,2016
Filipstad,Spångbergsgymnasiet Re 2,95233730,Kommunal,Filipstad,"5,6","5,2","92,8","0,5",16,15,"93,8",14,"87,5",1,2016
Filipstad,Spångbergsgymnasiet Re 3,81555202,Kommunal,Filipstad,"8,1","6,6","81,4","1,0",18,16,"88,9",14,"77,8",2,2016
Finspång,Curt Nicolin-gymnasiet,95683850,Enskild,Curt Nicolin Gymnasiet AB,"18,3","5,0","27,2",.,25,10,"40,0",9,"36,0",0,2016
Finspång,Nya Bergska väst,17643936,Kommunal,Finspång,"1,0","0,0","0,0",.,1,0,"0,0",0,"0,0",0,2016
Finspång,Nya Bergska Öst,24273261,Kommunal,Finspång,"12,7","11,0","86,6","1,0",14,14,"100,0",13,"92,9",1,2016
Flen,Prins Wilhelm gymnasiet,59455288,Kommunal,Flen,"11,7","8,8","75,1","4,6",19,16,"84,2",13,"68,4",5,2016
Forshaga,ForshagaAkademin,82163292,Enskild,ForshagaAkademin AB,"15,5","9,5","61,7","2,6",24,22,"91,7",18,"75,0",3,2016
Gagnef,Gymnasieutbildningen i Gagnef,19599583,Kommunal,Gagnef,"0,5","0,3","60,0",.,1,1,"100,0",1,"100,0",0,2016
Gislaved,Gislaveds gymnasium Ekonomisk sektor,25679488,Kommunal,Gislaved,"14,8","10,9","74,1","2,3",20,16,"80,0",15,"75,0",3,2016
Gislaved,Gislaveds gymnasium NEO sektor,25677996,Kommunal,Gislaved,"16,9","13,8","81,2","3,8",24,20,"83,3",20,"83,3",4,2016
Gislaved,Gislaveds gymnasium Teknisk sektor,89888648,Kommunal,Gislaved,"12,4","9,7","78,5","1,0",18,15,"83,3",14,"77,8",1,2016
Gislaved,Motorsportsgymn. Anderstorp,90003262,Enskild,"Värmdö Tekniska Utbildningar Aktiebolag, Vtu","1,4","0,9","64,3","1,0",3,3,"100,0",3,"100,0",1,2016
Gislaved,Stora Segerstad Naturbrukscentrum,88163512,Landsting,Jönköpings Läns Landsting,"5,2","3,1","59,9","1,3",9,7,"77,8",6,"66,7",2,2016
Gnosjö,Gnosjöandans kunskapsc. gy,35063170,Kommunal,Gnosjö,"25,3","16,6","65,8","2,9",31,25,"80,6",21,"67,7",4,2016
Gotland,"Guteskolan, gymnasieskolan",31279294,Enskild,Guteskolan AB,"4,0","2,4","59,1",.,13,9,"69,2",8,"61,5",0,2016
Gotland,Guteskolan Södra,81558435,Enskild,Guteskolan AB,"5,6","3,1","55,3",.,15,11,"73,3",10,"66,7",0,2016
Gotland,Wisbygymnasiet Norr,23897040,Kommunal,Gotland,"23,5","21,5","91,7","5,0",28,27,"96,4",26,"92,9",5,2016
Gotland,Wisbygymnasiet Söder,29799085,Kommunal,Gotland,"38,2","37,8","98,9","7,0",47,46,"97,9",46,"97,9",7,2016
Gävle,Borgarskolan,21648755,Kommunal,Gävle,"38,8","30,6","78,9","9,8",45,44,"97,8",38,"84,4",11,2016
Gävle,Plusgymnasiet Gävle,11111710,Enskild,Plusgymnasiet AB,"7,3","5,3","71,9","2,0",10,7,"70,0",6,"60,0",2,2016
Gävle,Polhemsskolan,90551279,Kommunal,Gävle,"37,8","30,5","80,7","10,4",51,39,"76,5",38,"74,5",13,2016
Gävle,Praktiska Gävle,93062368,Enskild,Praktiska Sverige AB,"4,0","1,9","47,5",.,4,2,"50,0",2,"50,0",0,2016
Gävle,Realgymnasiet Gävle,69686851,Enskild,Lärande i Sverige AB,"11,0","7,3","65,9","3,0",13,9,"69,2",9,"69,2",3,2016
Gävle,Thoren Business School Gävle,49616977,Enskild,Thorengruppen AB,"8,2","4,6","56,4","4,8",9,5,"55,6",5,"55,6",5,2016
Gävle,Vasaskolan,54965510,Kommunal,Gävle,"63,8","58,3","91,4","10,6",75,64,"85,3",68,"90,7",11,2016
Gävle,Yrkesgymnasiet Gävle,90267145,Enskild,Thorengruppen AB,"4,4","3,2","72,5","1,0",5,4,"80,0",4,"80,0",1,2016
Göteborg,Angeredsgymnasiet 1,72998905,Kommunal,Göteborg,"5,2","3,0","56,6","1,0",7,6,"85,7",6,"85,7",1,2016
Göteborg,Angeredsgymnasiet 2,84835666,Kommunal,Göteborg,"14,3","13,2","92,0","2,4",16,15,"93,8",15,"93,8",3,2016
Göteborg,Angeredsgymnasiet 3,24685151,Kommunal,Göteborg,"27,8","13,9","50,0",.,28,22,"78,6",14,"50,0",0,2016
Göteborg,Angeredsgymnasiet 4,25872338,Kommunal,Göteborg,"4,9","3,2","65,1","2,0",10,7,"70,0",5,"50,0",2,2016
Göteborg,Angeredsgymnasiet 5,54164490,Kommunal,Göteborg,"3,6","3,6","100,0",.,5,5,"100,0",5,"100,0",0,2016
Göteborg,Aniaragymnasiet,69481650,Enskild,AF Affärseffekt Framtidsskola AB,"6,2","4,1","66,1","1,0",10,7,"70,0",6,"60,0",1,2016
Göteborg,Aspero Idrottsgymn. Göteborg,20319353,Enskild,Aspero Friskolor AB,"9,2","7,5","81,9","1,8",13,11,"84,6",10,"76,9",2,2016
Göteborg,Bernadottegymnasiet,92194545,Kommunal,Göteborg,"6,7","6,4","95,5","0,9",8,8,"100,0",8,"100,0",1,2016
Göteborg,Bräckegymnasiet 1,88153340,Kommunal,Göteborg,"5,7","4,2","73,2","3,9",6,6,"100,0",6,"100,0",4,2016
Göteborg,Bräckegymnasiet 2,94353434,Kommunal,Göteborg,"8,8","6,8","77,3","2,0",10,10,"100,0",8,"80,0",2,2016
Göteborg,Bräckegymnasiet 4,84978846,Kommunal,Göteborg,"4,3","3,8","88,2","2,0",5,5,"100,0",5,"100,0",2,2016
Göteborg,Burgården Utbildningscentrum 1,59396229,Kommunal,Göteborg,"3,5","3,5","100,0","2,0",4,4,"100,0",4,"100,0",2,2016
Göteborg,Burgården Utbildningscentrum 2,95165649,Kommunal,Göteborg,"4,9","3,9","79,4","1,9",5,4,"80,0",4,"80,0",2,2016
Göteborg,Burgården Utbildningscentrum 3,64740897,Kommunal,Göteborg,"12,8","12,4","96,9","3,0",17,15,"88,2",16,"94,1",4,2016
Göteborg,Burgården Utbildningscentrum 4,78979604,Kommunal,Göteborg,"12,5","7,8","62,4","1,4",14,13,"92,9",10,"71,4",2,2016
Göteborg,Burgården Utbildningscentrum 5,69626109,Kommunal,Göteborg,"7,9","7,1","90,5","2,4",15,15,"100,0",15,"100,0",3,2016
Göteborg,Center för språkintroduktion Lindholmen 1,53432700,Kommunal,Göteborg,"14,8","4,8","32,4","1,8",15,15,"100,0",5,"33,3",2,2016
Göteborg,Center för Språkintroduktion Lindholmen 2,22601648,Kommunal,Göteborg,"15,9","2,0","12,6","1,0",16,16,"100,0",2,"12,5",1,2016
Göteborg,Center för Språkintroduktion Lundby,82974174,Kommunal,Göteborg,"4,0","2,0","50,0",.,5,5,"100,0",3,"60,0",0,2016
Göteborg,Cybergymnasiet Göteborg,85068812,Enskild,Cybergymnasiet Göteborg AB,"12,2","9,4","76,7","1,8",16,13,"81,3",14,"87,5",3,2016
Göteborg,Donnergymnasiet,78397312,Enskild,Donnergymnasiet AB,"34,8","31,0","89,2","6,6",45,40,"88,9",39,"86,7",7,2016
Göteborg,Drottning Blankas Gymn. Göteborg,36444853,Enskild,Drottning Blankas Gymnasieskola AB,"13,0","13,0","100,0","3,8",15,13,"86,7",15,"100,0",4,2016
Göteborg,Ester Mosessons gymnasium 1,15414001,Kommunal,Göteborg,"5,3","4,9","92,4",.,6,6,"100,0",6,"100,0",0,2016
Göteborg,Ester Mosessons gymnasium 2,38311488,Kommunal,Göteborg,"2,7","2,7","100,0","1,0",3,2,"66,7",3,"100,0",1,2016
Göteborg,Ester Mosessons gymnasium 3,34848695,Kommunal,Göteborg,"4,1","4,1","100,0","3,0",5,5,"100,0",5,"100,0",3,2016
Göteborg,Framtidsgymnasiet i Göteborg,16819383,Enskild,Framtidsgymnasiet i Göteborg Aktiebolag,"11,2","4,2","37,1","2,8",15,10,"66,7",7,"46,7",3,2016
Göteborg,GTI:s gymnasieskola,89837629,Enskild,Göteborgs Tekniska Institut Aktiebolag,"19,4","14,9","76,8","4,2",26,21,"80,8",22,"84,6",5,2016
Göteborg,Gymnasieakademin,12994441,Enskild,IEAB International Education AB,"7,6","5,0","66,2","2,0",10,6,"60,0",8,"80,0",2,2016
Göteborg,Göteborgregionens tekniska gy,53660780,Enskild,Göteborgs Tekniska College Aktiebolag,"17,9","13,9","77,8","2,6",29,22,"75,9",24,"82,8",4,2016
Göteborg,Göteborgs Högre Samskola gy.,88774402,Enskild,Stiftelsen Göteborgs Högre Samskola,"30,1","28,0","93,0","4,6",52,50,"96,2",48,"92,3",6,2016
Göteborg,Hermods Gymnasium Göteborg,75141151,Enskild,Hermods Gymnasium AB,"15,1","12,7","83,8","3,8",18,15,"83,3",15,"83,3",4,2016
Göteborg,Hvitfeldtska gymnasiet 1,61701709,Kommunal,Göteborg,"18,4","16,8","90,9","1,3",21,20,"95,2",19,"90,5",2,2016
Göteborg,Hvitfeldtska gymnasiet 2,61469192,Kommunal,Göteborg,"22,2","17,9","80,5","2,0",33,31,"93,9",27,"81,8",2,2016
Göteborg,Hvitfeldtska gymnasiet 3,84306392,Kommunal,Göteborg,"28,6","28,6","100,0","2,8",30,30,"100,0",30,"100,0",3,2016
Göteborg,Hvitfeldtska gymnasiet 4,28627819,Kommunal,Göteborg,"22,4","21,3","94,7","4,0",25,25,"100,0",24,"96,0",4,2016
Göteborg,Hvitfeldtska gymnasiet 5,30086854,Kommunal,Göteborg,"18,2","12,3","67,6","3,0",27,19,"70,4",19,"70,4",3,2016
Göteborg,IHGR-gymnasiet,26627862,Kommunal,Göteborg,"25,1","12,1","48,3","3,2",43,21,"48,8",17,"39,5",4,2016
Göteborg,Ingrid Segerstedts gymnasium,48847282,Enskild,Stiftelsen Ingrid Segerstedts Gymnasium,"14,6","14,1","96,6","4,0",17,17,"100,0",17,"100,0",4,2016
Göteborg,International IT College of Sweden Gothenburg,72517762,Enskild,Edinit AB,"11,8","10,0","84,7","1,0",14,14,"100,0",13,"92,9",1,2016
Göteborg,IT-Gymnasiet Göteborg,79094701,Enskild,IT Gymnasiet Sverige AB,"15,8","13,0","81,9","2,4",26,19,"73,1",20,"76,9",3,2016
