skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_helttj_larare_tcv105,skolverket_helttj_larare_leg_tcv105,skolverket_and_helttj_larare_leg_tcv105,skolverket_helttj_forstelarare_tcv105,skolverket_ant_larare_tcv105,skolverket_ant_larare_pedex_tcv105,skolverket_and_larare_pedex_tcv105,skolverket_ant_behoriga_tcv105,skolverket_and_behoriga_tcv105,skolverket_ant_forstelarare_tcv105,year
Ale,Lärlingsgymnasiet i Ale,93221031,Enskild,Lärlingsgymnasiet i Sverige AB,"3,4","2,4","70,0",.,6,4,"66,7",4,"66,7",0,2016
Alingsås,Alingsås Yrkesgymnasium,17474377,Enskild,Alingsås Yrkesgymnasium AB,"0,7","0,0","0,0",.,3,2,"66,7",0,"0,0",0,2016
Alingsås,Alströmergymnasiet sektor 1,74776778,Kommunal,Alingsås,"8,2","8,1","99,4","2,1",27,27,"100,0",27,"100,0",6,2016
Alingsås,Alströmergymnasiet sektor 2,18345915,Kommunal,Alingsås,"12,6","11,8","93,5","2,5",33,32,"97,0",32,"97,0",7,2016
Alingsås,Alströmergymnasiet sektor 3,68229719,Kommunal,Alingsås,"11,3","10,9","96,1","3,7",33,32,"97,0",30,"90,9",7,2016
Alingsås,Alströmergymnasiet sektor 4,61004230,Kommunal,Alingsås,"15,7","13,7","87,3","3,4",40,37,"92,5",37,"92,5",8,2016
Alingsås,Alströmergymnasiet sektor 5,67768292,Kommunal,Alingsås,"8,4","5,5","65,1",.,11,8,"72,7",6,"54,5",0,2016
Arboga,Vasagymnasiet,71262305,Kommunal,Arboga,"24,8","19,2","77,4","3,9",29,24,"82,8",23,"79,3",4,2016
Arjeplog,Hornavanskolan,55795961,Kommunal,Arjeplog,"8,9","5,3","59,0","1,0",16,10,"62,5",9,"56,3",1,2016
Arvidsjaur,Sandbackaskolan,84947634,Kommunal,Arvidsjaur,"13,0","10,1","77,6","2,0",21,17,"81,0",16,"76,2",2,2016
Arvika,"Estetiska skolan, gymnasiet",23517336,Enskild,Estetiska Skolan Arvika,"7,4","5,3","72,1",.,32,18,"56,3",13,"40,6",0,2016
Arvika,Solbergagymnasiet,48009865,Kommunal,Arvika,"26,9","21,6","80,6","4,3",39,35,"89,7",32,"82,1",5,2016
Arvika,Taserudsgymnasiet 1,97870412,Kommunal,Arvika,"4,0","2,8","70,1","2,0",7,6,"85,7",5,"71,4",2,2016
Arvika,Taserudsgymnasiet 2,68564903,Kommunal,Arvika,"6,9","5,9","85,6",.,9,9,"100,0",8,"88,9",0,2016
Avesta,Karlfeldtgymnasiet ro 1,82840198,Kommunal,Avesta,"17,7","12,3","69,7","5,0",40,34,"85,0",27,"67,5",7,2016
Avesta,Karlfeldtgymnasiet ro 2,18208087,Kommunal,Avesta,"12,5","10,2","81,9","3,5",36,32,"88,9",28,"77,8",7,2016
Avesta,Karlfeldtgymnasiet ro 3,89982804,Kommunal,Avesta,"8,0","5,3","67,0","1,4",30,26,"86,7",20,"66,7",7,2016
Bengtsfors,Strömkullegymnasiet,19464342,Kommunal,Bengtsfors,"13,1","8,8","67,0","3,0",18,13,"72,2",11,"61,1",3,2016
Berg,Fjällgymnasiet,60743463,Kommunal,Berg,"7,5","2,2","28,9","1,0",11,6,"54,5",3,"27,3",1,2016
Bjuv,Gymnasieutbildningen i Bjuv,70011480,Kommunal,Bjuv,"5,8","0,7","11,5","0,3",10,5,"50,0",3,"30,0",1,2016
Boden,Björknäsgymnasiet sektor 1,32960825,Kommunal,Boden,"18,4","13,2","71,7","2,0",20,20,"100,0",14,"70,0",2,2016
Boden,Björknäsgymnasiet sektor 2,43609520,Kommunal,Boden,"15,0","11,0","73,3","5,0",19,16,"84,2",14,"73,7",5,2016
Boden,Björknäsgymnasiet sektor 3,41416934,Kommunal,Boden,"6,5","6,5","100,0","1,0",8,8,"100,0",8,"100,0",1,2016
Boden,Björknäsgymnasiet sektor 4,97968599,Kommunal,Boden,"16,1","16,0","99,5","3,0",19,19,"100,0",19,"100,0",3,2016
Bollnäs,Friskolan Nytorp,21567982,Enskild,Friskolan Nytorp AB,"1,4","0,6","43,5",.,5,4,"80,0",2,"40,0",0,2016
Bollnäs,Hälsingegymnasiet,91748148,Enskild,Hälsingegymnasiet AB,"17,1","10,0","58,6","3,0",20,15,"75,0",12,"60,0",3,2016
Bollnäs,Naturlära i Hälsingland,49379603,Enskild,NaturLära i Hälsingland AB,"1,3","0,2","17,7",.,4,3,"75,0",2,"50,0",0,2016
Bollnäs,Nytorps Hästgymnasium,80167319,Enskild,Nytorps Hästgymnasium AB,"1,3","0,8","66,6","0,6",3,2,"66,7",2,"66,7",1,2016
Borlänge,Erikslundsgymnasiet,21866405,Kommunal,Borlänge,"7,2","5,1","70,9","2,7",19,14,"73,7",12,"63,2",5,2016
Borlänge,Hagagymnasiet,74434644,Kommunal,Borlänge,"32,0","24,2","75,6","6,0",40,33,"82,5",31,"77,5",6,2016
Borlänge,Helixgymnasiet Borlänge,42022406,Enskild,Helixutbildningar AB,"10,8","4,8","44,7","1,8",14,7,"50,0",6,"42,9",2,2016
Borlänge,Hushagsgymnasiet,88445871,Kommunal,Borlänge,"14,1","8,5","60,3","4,9",24,19,"79,2",15,"62,5",7,2016
Borlänge,Introduktionsprogrammen,19100658,Kommunal,Borlänge,"31,5","8,4","26,7","1,0",32,26,"81,3",11,"34,4",1,2016
Borlänge,Soltorgsgymnasiet,65192707,Kommunal,Borlänge,"29,8","27,1","91,0","4,0",34,33,"97,1",34,"100,0",4,2016
Borås,Almåsgymnasiet A,18425335,Kommunal,Borås,"10,1","9,7","96,0","1,7",11,10,"90,9",11,"100,0",2,2016
