skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,year
Björknäsgymnasiet sektor 1,32960825,Boden,2582,2120002767,Boden,Kommunal,"23,9","0,8","23,2","72,9","95,7","12,9","7,5","1,0","173,0",2014
Björknäsgymnasiet sektor 2,43609520,Boden,2582,2120002767,Boden,Kommunal,"24,1","1,0","23,1","48,8","95,9","4,3","6,9","1,0","158,0",2014
Björknäsgymnasiet sektor 3,41416934,Boden,2582,2120002767,Boden,Kommunal,"31,2","1,0","30,2","31,8","69,5","3,3","9,8",.,.,2014
Björknäsgymnasiet sektor 4,97968599,Boden,2582,2120002767,Boden,Kommunal,"18,5","1,0","17,5","61,7","100,0",.,"12,3","1,0","215,0",2014
Bollebygds gymnasieskola,35225375,Bollebygd,1443,2120002973,Bollebygd,Kommunal,"1,7","0,2","1,5",.,"100,0",.,"5,3","0,1","160,0",2014
Friskolan Nytorp,21567982,Bollnäs,2183,5568813561,Friskolan i Nytorp AB,Enskild,"3,9","0,3","3,6","44,4","77,8","11,1","6,7",.,.,2014
Hälsingegymnasiet,91748148,Bollnäs,2183,5567600886,Hälsingegymnasiet AB,Enskild,"20,2","0,5","19,7","27,4","69,3",.,"14,1",.,.,2014
Naturlära i Hälsingland,49379603,Bollnäs,2183,5568554314,Naturlära i Hälsingland AB,Enskild,"2,9","0,3","2,6","76,5","43,1",.,"3,9",.,.,2014
Nytorps Hästgymnasium,80167319,Bollnäs,2183,5569063455,Nytorps Hästgymnasium AB,Enskild,"2,5","0,1","2,3","100,0","17,9",.,"8,1","0,0","1 900,0",2014
Torsbergsgymnasiet,42218661,Bollnäs,2183,2120002361,Bollnäs,Kommunal,"65,8","1,9","63,9","66,4","78,4","1,6","10,0","2,0","319,0",2014
Ölands gymnasium 1,91487291,Borgholm,0885,8324016453,Borgholm,Kommunal,"1,9","0,4","1,5","93,2","72,8",.,"26,5","0,4","97,5",2014
Erikslundsgymnasiet,21866405,Borlänge,2081,2120002239,Borlänge,Kommunal,"19,6","0,3","19,2","33,4","64,4",.,"8,7","0,3","668,0",2014
Hagagymnasiet,74434644,Borlänge,2081,2120002239,Borlänge,Kommunal,"41,4","2,0","39,4","71,4","97,2",.,"12,5","1,0","490,0",2014
Helixgymnasiet Borlänge,42022406,Borlänge,2081,5566747290,Helixutbildningar AB,Enskild,"17,0","1,0","16,0","48,0","77,4","5,0","14,0","1,0","225,0",2014
Hushagsgymnasiet,88445871,Borlänge,2081,2120002239,Borlänge,Kommunal,"38,4","0,7","37,7","19,3","68,3",.,"9,4","0,7","505,7",2014
Introduktionsprogrammen,19100658,Borlänge,2081,2120002239,Borlänge,Kommunal,"24,7","0,9","23,8","73,7","86,3","8,4","9,1",.,.,2014
Soltorgsgymnasiet,65192707,Borlänge,2081,2120002239,Borlänge,Kommunal,"33,9","2,0","31,9","50,9","84,3",.,"13,9","1,0","443,0",2014
Almåsgymnasiet A,18425335,Borås,1490,2120001561,Borås,Kommunal,"26,6","1,0","25,6","84,7","71,6",.,"11,7","0,3","906,1",2014
Almåsgymnasiet B,93281974,Borås,1490,2120001561,Borås,Kommunal,"21,2","1,0","20,2","62,9","91,6","5,0","10,8","0,3","641,2",2014
Almåsgymnasiet C,23424275,Borås,1490,2120001561,Borås,Kommunal,"26,1","1,0","25,1","68,1","76,6",.,"9,4","0,3","715,2",2014
Bäckängsgymnasiet A,43634528,Borås,1490,2120001561,Borås,Kommunal,"31,7","1,0","30,7","69,9","96,7","2,1","14,1","0,5","864,0",2014
Bäckängsgymnasiet B,36263479,Borås,1490,2120001561,Borås,Kommunal,"37,7","1,0","36,7","58,7","100,0","1,8","15,7","0,9","663,2",2014
Bäckängsgymnasiet C,56679384,Borås,1490,2120001561,Borås,Kommunal,"20,4","1,0","19,4","60,4","83,8","3,4","14,1","0,5","546,0",2014
Drottning Blankas Gymn. Borås,19150273,Borås,1490,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"10,4","1,0","9,4","91,5","54,3",.,"10,5","0,1","1 960,0",2014
JENSEN Gymnasium Borås,43572319,Borås,1490,5566358759,JENSEN education college AB,Enskild,"8,9","0,6","8,3","51,5","83,0",.,"11,4",.,.,2014
LBS Ljud & Bildskolan Borås,69018222,Borås,1490,5564851649,Ljud & Bildskolan LBS AB,Enskild,"15,8","1,0","14,8","37,6","30,8","1,7","16,4",.,.,2014
Praktiska Borås,25624692,Borås,1490,5562575786,Praktiska Sverige AB,Enskild,"12,5","0,7","11,8","40,7","49,2","6,8","9,5","0,2","560,0",2014
Realgymnasiet Borås,88534520,Borås,1490,5565715892,Lärande i Sverige AB,Enskild,"7,6","1,0","6,6","15,2","69,7",.,"11,1",.,.,2014
Sven Eriksonsgymnasiet A,12889940,Borås,1490,2120001561,Borås,Kommunal,"28,3","1,0","27,3","40,8","78,6",.,"12,2","0,3","1 106,7",2014
Sven Eriksonsgymnasiet B,16554575,Borås,1490,2120001561,Borås,Kommunal,"22,3","1,0","21,3","46,1","78,4",.,"14,4","0,2","1 535,0",2014
Sven Eriksonsgymnasiet C,34076477,Borås,1490,2120001561,Borås,Kommunal,"34,7","1,0","33,7","63,3","82,8",.,"12,1","0,3","1 360,0",2014
Tullengymnasiet,33201730,Borås,1490,2120001561,Borås,Kommunal,"29,3","1,0","28,3","59,5","87,0","2,8","8,3","1,0","234,0",2014
Viskastrandsgymnasiet A,25356960,Borås,1490,2120001561,Borås,Kommunal,"26,2","1,0","25,2","26,8","78,5",.,"8,5",.,.,2014
Viskastrandsgymnasiet B,64284020,Borås,1490,2120001561,Borås,Kommunal,"26,2","1,0","25,2","30,4","60,2",.,"9,4",.,.,2014
Viskastrandsgymnasiet C,98132436,Borås,1490,2120001561,Borås,Kommunal,"29,9","1,0","28,9","17,4","72,3",.,"11,0",.,.,2014
Gullviva gymnasiet,53400472,Botkyrka,0127,5567538383,STEG För Framtiden AB,Enskild,"8,6","0,6","8,0","29,0","75,7",.,"7,0","0,4","140,0",2014
S:t Botvids gymnasium,97758137,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"36,5","0,5","36,0","70,4","90,6","2,8","14,7","2,0","264,5",2014
Tullinge gymnasium,26334561,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"44,3",.,"44,3","62,1","95,5","1,7","14,6","1,8","360,0",2014
Tumba gymnasium,40386043,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"102,9","1,0","101,9","51,9","82,9","1,0","11,1","3,0","378,0",2014
Furubygg,29324709,Bromölla,1272,2220001222,Bromölla,Kommunal,"3,8","0,2","3,6","9,4","44,9",.,"12,7",.,.,2014
"Jämtlands Gymn, Bräcke 5A",26864271,Bräcke,2305,2220001636,Bräcke,Kommunal,"8,5","0,8","7,7","24,1","66,1","5,2","11,6","0,2","445,0",2014
"Jämtlands Gymn, Bräcke 5B",64411379,Bräcke,2305,2220001636,Bräcke,Kommunal,"4,2","0,4","3,8","62,3","86,2","5,3","9,3","0,2","233,3",2014
Gymnasieutbildningen i Burlöv,73416853,Burlöv,1231,2120001025,Burlöv,Kommunal,"5,3",.,"5,3","61,9","63,8",.,"5,1","1,0","27,0",2014
Akademi Båstad Gymnasium,59483268,Båstad,1278,2120000944,Båstad,Kommunal,"19,3","0,9","18,4","72,8","91,0","5,4","10,4","1,0","191,0",2014
Apelrydsskolan,33685428,Båstad,1278,8024247234,Stiftelsen Apelrydsskolan,Enskild,"11,4","0,9","10,6","74,4","97,2",.,"10,5","0,3","444,0",2014
Apelrydsskolan i Båstad,32879845,Båstad,1278,8024778402,Stiftelsen Apelryd International,Enskild,"4,2","0,4","3,8","69,1","94,7",.,"10,8","0,1","410,0",2014
"Utsikten, Dals-Eds gymnasium",88573795,Dals-Ed,1438,2120001413,Dals-Ed,Kommunal,"9,7","1,0","8,7","64,4","88,5",.,"7,8","0,2","340,0",2014
Danderyds Gymnasium Ekonomi,20699742,Danderyd,0162,2120000126,Danderyd,Kommunal,"31,9",.,"31,9","59,4","97,8","3,3","18,1","1,0","577,0",2014
Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Danderyd,0162,2120000126,Danderyd,Kommunal,"29,6","1,0","28,6","51,6","99,0",.,"11,6","1,0","331,0",2014
"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Danderyd,0162,2120000126,Danderyd,Kommunal,"30,8","1,0","29,8","54,7","90,9","2,7","15,7","1,0","467,0",2014
Marina läroverket i Danderyd,82814120,Danderyd,0162,5565160669,Klart Skepp Marinteknik AB,Enskild,"28,2","1,0","27,2","49,2","51,8",.,"15,0","0,3","1 628,0",2014
Viktor Rydberg gy. Djursholm,45164827,Danderyd,0162,8120005650,Stiftelsen Viktor Rydbergs Skola,Enskild,"34,9","1,0","33,9","50,4","83,6",.,"15,1",.,.,2014
Möckelngymnasiet Degerfors,10924758,Degerfors,1862,2120001934,Degerfors,Kommunal,"22,7","2,0","20,7","58,6","85,5",.,"9,6","0,4","460,5",2014
Eda gymnasieskola,10200794,Eda,1730,2120001769,Eda,Kommunal,"14,0","1,0","13,0","50,8","52,7",.,"6,1","0,4","197,5",2014
Individuella Gymnasiet,55711881,Ekerö,0125,2120000050,Ekerö,Kommunal,"5,0","1,0","4,0","75,4","100,0","25,1","4,3","0,6","28,3",2014
Eksjö Gymnasium 1,34153869,Eksjö,0686,2120000589,Eksjö,Kommunal,"19,6","1,0","18,6","69,5","75,0","5,4","11,5","0,8","267,5",2014
Eksjö Gymnasium 2,88259298,Eksjö,0686,2120000589,Eksjö,Kommunal,"29,7","1,0","28,7","35,3","64,4",.,"8,5","0,6","405,0",2014
Nifsarpsskolan fri,44240250,Eksjö,0686,5565848537,Eksjö Fordonsutbildning AB,Enskild,"25,0","1,0","24,0","16,7","54,2",.,"9,5",.,.,2014
Vilhelm Mobergsgymnasiet,17846181,Emmaboda,0862,2120000738,Emmaboda,Kommunal,"23,7","0,8","23,0","37,7","68,6",.,"7,5","0,4","491,4",2014
Westerlundska gymnasiet,75082798,Enköping,0381,2120000282,Enköping,Kommunal,"102,6","1,0","101,6","49,5","85,8","3,0","10,8","4,1","266,8",2014
Grillska Gymnasiet Eskilstuna,23555409,Eskilstuna,0484,8020170794,Stiftelsen Stadsmissionens skola,Enskild,"30,0","1,0","29,0","63,7","59,4","3,5","14,1","1,0","407,0",2014
Kunskapscompaniets Gymnasium,91333138,Eskilstuna,0484,5561383885,Kunskapscompaniet Gymnasium KCGY AB,Enskild,"13,6","1,0","12,6","52,3","46,1",.,"9,6","0,1","1 210,0",2014
"Mikael Elias Gymnasium, Eskilstuna",82060950,Eskilstuna,0484,5565583282,Mikael Elias Gymnasium AB,Enskild,"13,6","1,0","12,6","68,3","61,1","3,2","12,1",.,.,2014
Mångkulturella enheten,87554242,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"7,8","0,3","7,6","67,3","61,3",.,"12,0","0,8","121,3",2014
NTI-gymnasiet Eskilstuna,30341162,Eskilstuna,0484,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"9,0","1,0","8,0","28,3","22,0",.,"11,4",.,.,2014
Realgymnasiet Eskilstuna,39936461,Eskilstuna,0484,5565715892,Lärande i Sverige AB,Enskild,"7,4","1,0","6,4","60,9","49,2",.,"15,3","0,5","217,8",2014
Rekarnegymnasiet 1,72266906,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"44,7","1,0","43,7","52,8","79,4","4,6","13,9",.,.,2014
Rekarnegymnasiet 2,27030026,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"59,1","1,0","58,1","41,0","77,2","1,7","12,7","1,9","389,5",2014
Rinmangymnasiet RI 1,16950252,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"39,4","0,9","38,5","45,4","89,6",.,"13,2",.,.,2014
Rinmangymnasiet RI 2,34637764,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"52,9","1,0","51,9","68,9","86,7","2,9","11,1","2,0","287,5",2014
S:t Eskils gymnasium 1,19912478,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"43,8","1,0","42,8","54,2","91,1","2,3","10,3","1,8","252,6",2014
S:t Eskils gymnasium 2,73255276,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"22,0","1,0","21,0","82,8","95,2",.,"10,9",.,.,2014
Bergagymnasiet,15077883,Eslöv,1285,2120001173,Eslöv,Kommunal,"69,4","1,0","68,4","51,3","87,3","2,8","10,1","1,8","384,4",2014
Nossebro Lärcenter,37677921,Essunga,1445,2120002916,Essunga,Kommunal,"1,8","0,1","1,7","41,2","58,8",.,"1,8",.,.,2014
"NVU, Brinellskolan 1",32420077,Fagersta,1982,2220000927,Fagersta,Kommunal,"26,5","1,0","25,5","52,2","90,0","4,7","7,1",.,.,2014
"NVU, Brinellskolan 2",48434184,Fagersta,1982,2220000927,Fagersta,Kommunal,"26,4",.,"26,4","52,1","78,6",.,"13,3",.,.,2014
Drottning Blankas Gymn. Falkenberg,58724424,Falkenberg,1382,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"12,1","1,0","11,1","67,6","65,2",.,"13,8","0,1","3 080,0",2014
Falkenbergs Gymnasieskola 1,95684185,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"25,8","1,0","24,8","60,2","100,0",.,"10,1","1,4","182,5",2014
Falkenbergs Gymnasieskola 2,51138448,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"15,3","1,0","14,3","65,2","99,4",.,"11,2","0,6","280,7",2014
Falkenbergs Gymnasieskola 3,19647256,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"27,0","1,0","26,0","34,6","80,4",.,"7,7","0,5","406,1",2014
Falkenbergs Gymnasieskola 4,56421429,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"22,4","1,0","21,4","34,8","81,9",.,"8,6","0,4","460,0",2014
Falkenbergs Gymnasieskola 5,39911065,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"12,7","0,8","11,9","35,9","94,4",.,"19,6","0,4","568,3",2014
Falkenbergs Gymnasieskola 6,89068742,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"20,5","1,0","19,5","56,3","76,6","14,9","7,7","0,2","937,5",2014
Ållebergsgymnasiet B,56737496,Falköping,1499,2120001744,Falköping,Kommunal,"24,4","1,0","23,4","78,9","81,5",.,"12,0","0,5","562,0",2014
Ållebergsgymnasiet C,88850910,Falköping,1499,2120001744,Falköping,Kommunal,"16,6","0,9","15,7","61,8","74,5",.,"7,4",.,.,2014
Ållebergsgymnasiet D,78317945,Falköping,1499,2120001744,Falköping,Kommunal,"27,6","1,0","26,6","28,6","59,8",.,"10,0","0,4","667,5",2014
Ållebergsgymnasiet E,93939982,Falköping,1499,2120001744,Falköping,Kommunal,"26,8","1,0","25,8","41,9","77,3",.,"7,8","0,6","335,0",2014
Falu Frigymnasium,25720752,Falun,2080,5566112834,Falu Frigymnasium AB,Enskild,"23,3","1,0","22,3","61,2","82,9",.,"14,0","0,9","346,7",2014
Hagströmska gymnasiet Falun,55155562,Falun,2080,5567550461,Hagströmska gymnasiet AB,Enskild,"57,5","1,0","56,5","34,0","42,2",.,"11,7",.,.,2014
Kristinegymnasiet RO1,31533003,Falun,2080,2120002221,Falun,Kommunal,"29,2","1,0","28,2","80,3","90,5","4,9","13,0","1,0","366,0",2014
Kristinegymnasiet RO2,31429031,Falun,2080,2120002221,Falun,Kommunal,"12,7","0,7","12,1","75,1","90,9","3,1","11,9","0,2","720,0",2014
Lugnetgymnasiet RO1,23164911,Falun,2080,2120002221,Falun,Kommunal,"32,0","1,0","31,0","38,9","85,5","1,6","12,3","1,0","380,0",2014
Lugnetgymnasiet RO2,24008049,Falun,2080,2120002221,Falun,Kommunal,"25,7","1,0","24,7","9,8","60,5",.,"6,5","0,5","353,3",2014
Lugnetgymnasiet RO3,72661886,Falun,2080,2120002221,Falun,Kommunal,"35,4","1,0","34,4","56,2","90,1","8,7","10,8","1,4","276,3",2014
"Mikael Elias Gymnasium, Falun",19981611,Falun,2080,5565583282,Mikael Elias Gymnasium AB,Enskild,"8,8","1,0","7,8","48,9","63,9",.,"15,2",.,.,2014
NTI-gymnasiet Falun,36680097,Falun,2080,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"13,5","1,3","12,3","33,9","51,8",.,"12,3","0,7","232,3",2014
Plusgymnasiet Falun,87756916,Falun,2080,5565789129,Plusgymnasiet AB,Enskild,"11,0","1,7","9,3","67,7","53,8",.,"20,3","0,5","378,0",2014
Praktiska Falun,59734510,Falun,2080,5562575786,Praktiska Sverige AB,Enskild,"11,7","1,0","10,7","39,2","51,4","7,5","8,7","0,2","465,0",2014
Spångbergsgymnasiet Re 1,33591648,Filipstad,1782,2120001876,Filipstad,Kommunal,"12,0","0,5","11,5","20,1","66,8",.,"7,8","0,3","356,0",2014
Spångbergsgymnasiet Re 2,95233730,Filipstad,1782,2120001876,Filipstad,Kommunal,"11,1","0,5","10,6","41,5","43,9",.,"9,2","0,3","392,0",2014
Spångbergsgymnasiet Re 3,81555202,Filipstad,1782,2120001876,Filipstad,Kommunal,"9,1","0,4","8,7","67,3","80,3",.,"9,5","0,5","166,0",2014
"Spångbergsgymnasiet Re 3, IM",93242695,Filipstad,1782,2120001876,Filipstad,Kommunal,"9,0","0,4","8,6","80,0","62,8",.,"10,8","0,1","930,0",2014
Bergska skolan,73915120,Finspång,0562,2120000423,Finspång,Kommunal,"27,2","1,0","26,2","50,2","82,6","3,8","10,5","1,5","182,7",2014
Curt Nicolin-gymnasiet,95683850,Finspång,0562,5566431044,Curt Nicolin Gymnasiet AB,Enskild,"27,6","0,8","26,8","40,9","30,7",.,"13,9",.,.,2014
Prins Wilhelm gymnasiet,59455288,Flen,0482,2120000332,Flen,Kommunal,"24,6","1,0","23,6","51,5","90,1",.,"13,0","1,0","308,0",2014
ForshagaAkademin,82163292,Forshaga,1763,5566205737,ForshagaAkademin AB,Enskild,"23,6","1,0","22,6","38,5","74,1",.,"10,9","0,2","1 235,0",2014
Gymnasieutbildningen i Gagnef,19599583,Gagnef,2026,2120002155,Gagnef,Kommunal,"4,3","0,2","4,1","58,0","95,1",.,"4,2","0,3","68,0",2014
Gislaveds gymn Ekonomi och handel,25679488,Gislaved,0662,2120000514,Gislaved,Kommunal,"20,3","1,0","19,3","35,9","93,0","1,2","11,5","0,3","888,0",2014
Gislaveds gymn Introduktionspr,36581179,Gislaved,0662,2120000514,Gislaved,Kommunal,"13,5","0,3","13,2","51,7","95,3","34,0","7,9","0,1","1 300,0",2014
"Gislaveds gymn NA, SAM, Vård",25677996,Gislaved,0662,2120000514,Gislaved,Kommunal,"36,6","1,0","35,6","65,9","82,3",.,"11,2","0,9","434,8",2014
Gislaveds gymn Teknik,89888648,Gislaved,0662,2120000514,Gislaved,Kommunal,"23,2","1,0","22,2","34,1","91,0",.,"12,0","0,8","354,7",2014
Motorsportsgymn. Anderstorp,90003262,Gislaved,0662,5563836757,"Värmdö Tekniska Utbildningar AB, VTU",Enskild,"4,7","1,0","3,7",.,"53,4",.,"15,6",.,.,2014
Praktiska Gnesta,51399190,Gnesta,0461,5562575786,Praktiska Sverige AB,Enskild,"8,2",.,"8,2","52,9","59,4","4,1","9,0",.,.,2014
Gnosjöandans kunskapsc. gy,35063170,Gnosjö,0617,2120000506,Gnosjö,Kommunal,"28,1","0,8","27,4","45,6","76,0","1,5","9,2","0,9","280,0",2014
Lichron Teknikgymnasium Gnosjö,92479923,Gnosjö,0617,5567560635,Lichron Teknik AB,Enskild,"4,2","0,8","3,4","32,0","22,2",.,"4,7",.,.,2014
"Guteskolan, gymnasieskolan",31279294,Gotland,0980,5567044267,Guteskolan AB,Enskild,"9,1","0,4","8,7","60,6","45,5",.,"7,9","0,3","276,0",2014
Guteskolan Södra,81558435,Gotland,0980,5567044267,Guteskolan AB,Enskild,"15,0","0,4","14,6","41,7","54,6",.,"5,7","0,3","332,0",2014
Wisbygymnasiet Norr,23897040,Gotland,0980,2120000803,Gotland,Kommunal,"75,0","2,0","73,0","36,9","69,2","1,4","9,4",.,.,2014
Wisbygymnasiet Söder,29799085,Gotland,0980,2120000803,Gotland,Kommunal,"76,4","1,0","75,4","58,0","84,7","1,3","10,8",.,.,2014
Gymnasieutbildn. i Grästorp,77172188,Grästorp,1444,2120001595,Grästorp,Kommunal,"0,2","0,2",.,.,.,.,.,.,.,2014
"Välkommaskolan, enhet 1",20666515,Gällivare,2523,2220000760,Gällivare,Kommunal,"10,2","1,0","9,2","26,0","35,2",.,"14,9","1,0","138,0",2014
"Välkommaskolan, enhet 2",37906565,Gällivare,2523,2220000760,Gällivare,Kommunal,"18,2","1,0","17,2","76,4","97,2","17,4","8,4","0,5","288,0",2014
"Välkommaskolan, enhet 3",23063954,Gällivare,2523,2220000760,Gällivare,Kommunal,"14,1","1,0","13,1","53,1","77,1",.,"10,8","0,5","282,0",2014
"Välkommaskolan, enhet 4",67279303,Gällivare,2523,2220000760,Gällivare,Kommunal,"13,5","0,5","13,0",.,"46,2",.,"10,6","0,3","405,9",2014
Borgarskolan,21648755,Gävle,2180,2120002338,Gävle,Kommunal,"66,9","2,0","64,9","54,1","84,9","1,5","13,2","2,0","429,5",2014
Plusgymnasiet Gävle,11111710,Gävle,2180,5565789129,Plusgymnasiet AB,Enskild,"6,5","1,0","5,5","78,2","75,5",.,"14,9",.,.,2014
Polhemsskolan,90551279,Gävle,2180,2120002338,Gävle,Kommunal,"109,3","1,0","108,3","50,8","77,1",.,"12,6","8,9","153,8",2014
Praktiska Gävle,93062368,Gävle,2180,5562575786,Praktiska Sverige AB,Enskild,"15,0","1,0","14,0","19,6","45,5",.,"5,5",.,.,2014
Realgymnasiet 2 i Gävle,95815739,Gävle,2180,5565715892,Lärande i Sverige AB,Enskild,"8,9","0,5","8,4","14,3","61,9",.,"27,3",.,.,2014
Realgymnasiet Gävle,69686851,Gävle,2180,5565715892,Lärande i Sverige AB,Enskild,"19,1","0,5","18,6","83,9","46,2",.,"12,5",.,.,2014
Thoren Business School Gävle,49616977,Gävle,2180,5566139290,ThorenGruppen AB,Enskild,"14,5","1,0","13,5","65,1","85,1",.,"13,0","1,0","175,0",2014
Vasaskolan,54965510,Gävle,2180,2120002338,Gävle,Kommunal,"76,3","1,0","75,3","58,9","85,1","1,3","13,3","1,9","539,8",2014
Yrkesgymnasiet Gävle,90267145,Gävle,2180,5566139290,ThorenGruppen AB,Enskild,"12,1","1,0","11,1","33,7","50,7",.,"13,1","0,4","339,5",2014
Angeredsgymnasiet 1,72998905,Göteborg,1480,2120001355,Göteborg,Kommunal,"14,0",.,"14,0","50,0","78,6",.,"48,8",.,.,2014
Angeredsgymnasiet 2,84835666,Göteborg,1480,2120001355,Göteborg,Kommunal,"12,8",.,"12,8","29,7","84,4",.,"15,1",.,.,2014
Angeredsgymnasiet 3,24685151,Göteborg,1480,2120001355,Göteborg,Kommunal,"28,5","1,0","27,5","69,8","83,6","7,3","12,2",.,.,2014
Angeredsgymnasiet 4,25872338,Göteborg,1480,2120001355,Göteborg,Kommunal,"14,0","1,0","13,0","68,0","74,5","7,7","2,8",.,.,2014
Aniaragymnasiet,69481650,Göteborg,1480,5566666789,AF Affärseffekt Framtidsskola AB,Enskild,"14,2","1,0","13,2","62,1","100,0","15,2","12,7","0,2","835,0",2014
