skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,year
Ale gymnasium,17221836,Ale,1440,2120001439,Ale,Kommunal,"3,7","0,5","3,2","34,4","84,4",.,"13,1",.,.,2014
Lärlingsgymnasiet i Ale,93221031,Ale,1440,5567628176,Lärlingsgymnasiet i Sverige AB,Enskild,"11,7","0,7","11,0","28,2","27,3",.,"11,2","0,5","246,0",2014
Alingsås Yrkesgymnasium,17474377,Alingsås,1489,5567290548,Alingsås Yrkesgymnasium AB,Enskild,"7,1","1,0","6,1","19,2","100,0",.,"7,7",.,.,2014
Alströmergymnasiet sektor 1,74776778,Alingsås,1489,2120001553,Alingsås,Kommunal,"16,1","0,9","15,2","46,8","88,3",.,"13,4","0,5","408,0",2014
Alströmergymnasiet sektor 2,18345915,Alingsås,1489,2120001553,Alingsås,Kommunal,"26,9","1,0","25,9","27,3","98,5",.,"12,5","0,5","648,0",2014
Alströmergymnasiet sektor 3,68229719,Alingsås,1489,2120001553,Alingsås,Kommunal,"22,9","1,0","21,9","62,7","98,3","2,7","10,8","0,5","472,0",2014
Alströmergymnasiet sektor 4,61004230,Alingsås,1489,2120001553,Alingsås,Kommunal,"18,0","1,0","17,0","66,7","81,9","1,8","8,5","0,5","290,0",2014
Allbo Lärcenter,75459583,Alvesta,0764,2120000639,Alvesta,Kommunal,"7,2","0,3","6,9","62,9","77,3","12,3","13,2","0,3","364,0",2014
Vasagymnasiet,71262305,Arboga,1984,2120002122,Arboga,Kommunal,"38,6","1,0","37,6","43,6","76,5",.,"9,4",.,.,2014
Hornavanskolan,55795961,Arjeplog,2506,2120002668,Arjeplog,Kommunal,"15,6","0,3","15,3","55,0","71,4","3,3","7,4","0,3","434,6",2014
Sandbackaskolan,84947634,Arvidsjaur,2505,2120002650,Arvidsjaur,Kommunal,"23,6","1,0","22,6","50,0","58,8","4,4","9,4","0,8","266,3",2014
"Estetiska skolan, gymnasiet",23517336,Arvika,1784,8740020212,Ideella Föreningen Estetiska skolan,Enskild,"8,4","0,4","8,0","37,6","54,6","1,3","7,4","0,2","295,0",2014
Solbergagymnasiet,48009865,Arvika,1784,2120001892,Arvika,Kommunal,"35,3","2,0","33,3","45,2","92,0","3,0","12,0","1,0","398,0",2014
Taserudsgymnasiet 1,97870412,Arvika,1784,2120001892,Arvika,Kommunal,"20,7","0,8","19,9","19,7","72,6","5,0","8,2","0,5","326,0",2014
Taserudsgymnasiet 2,68564903,Arvika,1784,2120001892,Arvika,Kommunal,"25,3","1,0","24,3","59,0","80,4","4,1","9,2","1,5","149,3",2014
Karlfeldtgymnasiet ro 1,82840198,Avesta,2084,2120002262,Avesta,Kommunal,"44,9","1,0","43,9","70,1","81,1",.,"9,3",.,.,2014
Karlfeldtgymnasiet ro 2,18208087,Avesta,2084,2120002262,Avesta,Kommunal,"36,2","1,0","35,2","25,1","70,1","2,8","7,7","2,7","102,3",2014
"Strömkulleskolan, gymnasiet",19464342,Bengtsfors,1460,2120001470,Bengtsfors,Kommunal,"22,2","1,0","21,2","46,3","78,3",.,"9,8","0,4","522,5",2014
Fjällgymnasiet,60743463,Berg,2326,2120002502,Berg,Kommunal,"17,4","0,8","16,6","50,6","42,2",.,"6,8","0,2","565,0",2014
Gymnasieutbildningen i Bjuv,70011480,Bjuv,1260,2120001041,Bjuv,Kommunal,"3,5","0,3","3,3","53,7","52,8",.,"2,1","0,5","14,0",2014
