#read-name	genus	species	clade	note
1Phytophthora_aff_infestans_P13660	Phytophthora		1	Consensus from 3 taxonomy entries (species: andina, infestans, ipomoeae)
1Phytophthora_infestans_CBS36651	Phytophthora		1	Consensus from 3 taxonomy entries (species: andina, infestans, ipomoeae)
1Phytophthora_ipomoeae_P10225	Phytophthora		1	Consensus from 3 taxonomy entries (species: andina, infestans, ipomoeae)
1Phytophthora_mirabilis_CBS67885	Phytophthora		1	Consensus from 3 taxonomy entries (species: andina, infestans, ipomoeae)
1Phytophthora_phaseoli_CBS55688	Phytophthora	phaseoli	1	Unique taxonomy match
1Phytophthora_sp_andina_EC3163	Phytophthora		1	Consensus from 3 taxonomy entries (species: andina, infestans, ipomoeae)
1Phytophthora_cactorum_CBS113344	Phytophthora	cactorum	1	Unique taxonomy match
1Phytophthora_hedraiandra_CBS118732	Phytophthora		1	Consensus from 2 taxonomy entries (species: hedraiandra, x serendipita)
1Phytophthora_idaei_P6767	Phytophthora	idaei	1	Unique taxonomy match
1Phytophthora_nicotianae_CBS30329				No ITS1 database match
1Phytophthora_tabaci_CBS30529				No ITS1 database match
1Phytophthora_tentaculata_CBS100411	Phytophthora	tentaculata	1b	Unique taxonomy match
1Phytophthora_clandestina_P3942				No ITS1 database match
1Phytophthora_iranica_CBS37472	Phytophthora	iranica	1	Unique taxonomy match
2Phytophthora_frigida_P16051				No ITS1 database match
2Phytophthora_bisheria_P10117	Phytophthora	bisheria	2	Unique taxonomy match
2Phytophthora_multivesiculata_CBS54596	Phytophthora	multivesiculata	2c	Unique taxonomy match
2Phytophthora_botryosa_CBS58169	Phytophthora	botryosa	2a	Unique taxonomy match
2Phytophthora_citrophthora_CBS111338				No ITS1 database match
2Phytophthora_colocasiae_P6290	Phytophthora	colocasiae	2	Unique taxonomy match
2Phytophthora_meadii_CBS21988	Phytophthora	meadii	2a	Unique taxonomy match
2Phytophthora_aff_meadii_CBS23530				No ITS1 database match
2Phytophthora_citricola_CBS22188	Phytophthora	citricola	2	Unique taxonomy match
2Phytophthora_multivora_CBS113347				No ITS1 database match
2Phytophthora_pini_CBS18125	Phytophthora	pini	2	Unique taxonomy match
2Phytophthora_plurivora_CBS37961	Phytophthora	plurivora	2	Unique taxonomy match
2Phytophthora_sp_nov_CBS36879	Phytophthora	capensis	2c	Unique taxonomy match
2Phytophthora_mengei_P10139	Phytophthora	mengei	2	Unique taxonomy match
2Phytophthora_siskiyouensis_P15122				No ITS1 database match
2Phytophthora_sp_nov_P1212				No ITS1 database match
2Phytophthora_mexicana_P0646	Phytophthora	mexicana	2	Unique taxonomy match
2Phytophthora_tropicalis_CBS43491				No ITS1 database match
2Phytophthora_capsici_CBS12823	Phytophthora		2	Consensus from 2 taxonomy entries (species: capsici, glovera)
2Phytophthora_sp_glovera_P10618	Phytophthora		2	Consensus from 2 taxonomy entries (species: capsici, glovera)
2Phytophthora_acerina_BO57	Phytophthora		2	Consensus from 2 taxonomy entries (species: acerina, citricola E)
2Phytophthora_capensis_P1819	Phytophthora	capensis	2c	Unique taxonomy match
2_Phytophthora_emanzi_CMW35510	Phytophthora	capensis	2c	Unique taxonomy match
2Phytophthora_sp._FFM22.2	Phytophthora	pachypleura	2	Unique taxonomy match
2Phytophthora_sp._UK92615	Phytophthora	pachypleura	2	Unique taxonomy match
2Phytophthora_multivora_DDS3480				No ITS1 database match
2Phytophthora_multivora_VHS21011				No ITS1 database match
2Phytophthora_pini_CBS18125	Phytophthora	pini	2	Unique taxonomy match
2Phytophthora_citricola_CBS22188	Phytophthora	citricola	2	Unique taxonomy match
2Phytophthora_plurivora_CBS37961	Phytophthora	plurivora	2	Unique taxonomy match
3Phytophthora_ilicis_P3939	Phytophthora	ilicis	3	Unique taxonomy match
3Phytophthora_nemorosa_CBS114870	Phytophthora	nemorosa	3	Unique taxonomy match
3Phytophthora_pseudosyringae_391716	Phytophthora	pseudosyringae	3	Unique taxonomy match
3Phytophthora_psychrophila_P10433	Phytophthora	psychrophila	3	Unique taxonomy match
4Phytophthora_alticola_P16052	Phytophthora		4	Consensus from 2 taxonomy entries (species: alticola, arenaria)
4Phytophthora_quercetorum_P15555				No ITS1 database match
4Phytophthora_megakarya_P1664	Phytophthora	megakarya	4	Unique taxonomy match
3Phytophthora_quercina_CBS78195	Phytophthora	quercina	4	Unique taxonomy match
3Phytophthora_sp_ohioensis_P16050	Phytophthora	quercina	4	Unique taxonomy match
4Phytophthora_arecae_CBS30562	Phytophthora	palmivora	4	Unique taxonomy match
4Phytophthora_palmivora_CBS17926	Phytophthora	palmivora	4	Unique taxonomy match
4Phytophthora_litchii_CBS10081	Phytophthora	litchii	4	Unique taxonomy match
5Phytophthora_katsurae_CBS58785	Phytophthora	castaneae	5	Unique taxonomy match
5Phytophthora_sp_novaeguinea_P1256	Phytophthora		5	Consensus from 2 taxonomy entries (species: agathidicida, castaneae)
5Phytophthora_heveae_CBS29629	Phytophthora	heveae	5	Unique taxonomy match
6Phytophthora_sp_nov_CBS114338	Phytophthora	chlamydospora	6	Unique taxonomy match
6Phytophthora_sp_nov_BR333				No ITS1 database match
VHS17779				No ITS1 database match
