#read-name	genus	species	clade	note
P._gemini_CBS268.85	Phytophthora	gemini	6	Unique taxonomy match
HSA2304				No ITS1 database match
P._humicolalike_PAB11.04				No ITS1 database match
P._taxon_sedge__VHS25675_R1C	Phytophthora	balyanboodja	6	Unique taxonomy match
P._taxon_personii_P11555				No taxonomy entries
P._aff._rosacearum_DDS2909				No ITS1 database match
P._rosacearum_P292				No ITS1 database match
P._taxon_kwongon_TCH009				No ITS1 database match
P._taxon_kwongonlike_CLJO100				No ITS1 database match
P._taxon_walnut_P281				No ITS1 database match
Phytophthora_asparagi_VHS17644_EU301168				No ITS1 database match
Phytophthora_humicola_P6702_FJ801938				No ITS1 database match
Phytophthora_inundata_IMI390121_GU993898	Phytophthora	inundata	6	Unique taxonomy match
Phytophthora_amnicola_CBS131652_JQ029956	Phytophthora	amnicola	6	Unique taxonomy match
P._amnicola_CBS131652				No ITS1 database match
PPhytophthora_fluvialis_CBS129424_JF701436_	Phytophthora	fluvialis	6	Unique taxonomy match
Phytophthora_litoralis_CBS127953_HQ012948	Phytophthora	litoralis	6	Unique taxonomy match
Phytophthora_thermophila_CBS127954_EU301155	Phytophthora	thermophila	6	Unique taxonomy match
Phytophthora_gonapodyides_H_14_02_JF912516	Phytophthora	gonapodyides	6	Unique taxonomy match
Phytophthora_megasperma_IMI133317_AF266794	Phytophthora	crassamura	6	Unique taxonomy match
Phytophthora_pinifolia_CMW26668_EU725806	Phytophthora	pinifolia	6	Unique taxonomy match
Phytophthora_taxon_paludosa_MUCC765_HQ012953				No taxonomy entries
Phytophthora_gibbosa_CBS127951_HQ012933	Phytophthora	gibbosa	6	Unique taxonomy match
Phytophthora_gregata_CBS127952_HQ012942	Phytophthora	gibbosa	6	Unique taxonomy match
Phytophthora_taxon_raspberry_P1050_AF541905				No ITS1 database match
Phytophthora_taxon_PgChlamydo_VHS3753_EU301160	Phytophthora	chlamydospora	6	Unique taxonomy match
Phytophthora_taxon_Forestsoil_H_6_02				No ITS1 database match
Phytophthora_taxon_hungarica_JA566				No ITS1 database match
Phytophthora_bilorbang_CBS161653_JQ256377	Phytophthora	bilorbang	6	Unique taxonomy match
P._borealis_AKWA58.10708_HM004232				No ITS1 database match
P._riparia_VI_3100B9F_HM004225	Phytophthora	riparia	6	Unique taxonomy match
Phytophthora_lacustris_P245_AF266793	Phytophthora	lacustris	6	Unique taxonomy match
7Phytophthora_alni_CBS117375				No ITS1 database match
7Phytophthora_cambivora_P0592_______________________				No ITS1 database match
7Phytophthora_europaea_BR1072	Phytophthora		7	Consensus from 2 taxonomy entries (species: europaea, flexuosa)
7Phytophthora_fragariae_CBS20946	Phytophthora		7a	Consensus from 2 taxonomy entries (species: fragariae, rubi)
7Phytophthora_rubi_CBS109892				No ITS1 database match
7Phytophthora_uliginosa_P10413	Phytophthora	uliginosa	7a	Unique taxonomy match
7Phytophthora_cinnamomi_CBS14422				No ITS1 database match
7Phytophthora_sp_nov_P3600				No ITS1 database match
7Phytophthora_cinnamomi_var_parvispora_CBS41196	Phytophthora	parvispora	7	Unique taxonomy match
7Phytophthora_cinnamomi_var_robiniae_P16351	Phytophthora	asiatica	7	Unique taxonomy match
7Phytophthora_melonis_CBS58269	Phytophthora	melonis	7b	Unique taxonomy match
7Phytophthora_sinensis_CBS55788	Phytophthora	melonis	7b	Unique taxonomy match
7Phytophthora_pistaciae_P6196				No ITS1 database match
7Phytophthora_cajani_P3105	Phytophthora	cajani	7b	Unique taxonomy match
7Phytophthora_sojae_CBS38261	Phytophthora	sojae	7b	Unique taxonomy match
7Phytophthora_sp_niederhauserii_P10279	Phytophthora	niederhauserii	7b	Unique taxonomy match
7Phytophthora_vignae_P7471				No ITS1 database match
8Phytophthora_cryptogea_CBS11319	Phytophthora	cryptogea	8a	Unique taxonomy match
8Phytophthora_drechsleri_P10331				No ITS1 database match
8Phytophthora_erythroseptica_CBS111343	Phytophthora	erythroseptica	8a	Unique taxonomy match
8Phytophthora_himalayensis_CBS35759	Phytophthora	erythroseptica	8a	Unique taxonomy match
8Phytophthora_sp_kelmania_CBS30762				No ITS1 database match
8Phytophthora_sansomeana_CBS95787	Phytophthora	sansomeana	8a	Unique taxonomy match
8Phytophthora_medicaginis_BR610				No ITS1 database match
8Phytophthora_trifolii_CBS117688	Phytophthora	trifolii	8a	Unique taxonomy match
8Phytophthora_hibernalis_CBS119904	Phytophthora	hibernalis	8c	Unique taxonomy match
8Phytophthora_sp_nov_CBS111346				No ITS1 database match
8Phytophthora_lateralis_Lev1213	Phytophthora	lateralis	8c	Unique taxonomy match
8Phytophthora_austrocedrae_P15132				No ITS1 database match
8Phytophthora_aff_primulae_P6817	Phytophthora	primulae	8b	Unique taxonomy match
8Phytophthora_brassicae_CBS112277	Phytophthora	brassicae	8b	Unique taxonomy match
8Phytophthora_ramorum_CBS101553				No ITS1 database match
8Phytophthora_foliorum_P10969				No ITS1 database match
8Phytophthora_syringae_CBS110161	Phytophthora	syringae	8d	Unique taxonomy match
8Phytophthora_porri_CBS14287	Phytophthora	porri	8b	Unique taxonomy match
8Phytophthora_primulae_CBS110162	Phytophthora	primulae	8b	Unique taxonomy match
8Phytophthora_sp_nov_P10728	Phytophthora	dauci	8b	Unique taxonomy match
8Phytophthora_sp_nov_P6207				No ITS1 database match
10Phytophthora_gallica_GU983636	Phytophthora	gallica	10	Unique taxonomy match
10Phytophthora_morindae_GQ166764	Phytophthora	morindae	10	Unique taxonomy match
10Phytophthora_kernoviae_393172	Phytophthora	kernoviae	10	Unique taxonomy match
10Phytophthora_boehmeriae_CBS29129	Phytophthora	boehmeriae	10	Unique taxonomy match
9Phytophthora_quininea_HQ261661				No ITS1 database match
9Phytophthora_richardiae_FJ801391				No ITS1 database match
9Phytophthora_macrochlamydospora_351473				No ITS1 database match
9Phytophthora_constricta_HQ013225				No ITS1 database match
9Phytophthora_captiosa_P10719				No ITS1 database match
9Phytophthora_fallax_P10722				No ITS1 database match
9Phytophthora_insolita_288805				No ITS1 database match
9Phytophthora_polonica_P15005				No ITS1 database match
9Phytophthora_aquimorbida_40F9_FJ666129	Phytophthora	aquimorbida	9	Unique taxonomy match
9Phytophthora_chrysanthemi_AB511826TYPE	Phytophthora	chrysanthemi	9	Unique taxonomy match
9Phytophthora_hydropathica_EU583793TYPE	Phytophthora	parsiana	9	Unique taxonomy match
9Phytophthora_irrigata_FJ196758TYPE				No ITS1 database match
9Phytophthora_sp_cuyabensis_P8213				No ITS1 database match
9Phytophthora_sp_lagoariana_P8220	Phytophthora	virginiana	9	Unique taxonomy match
9Phytophthora_sp_napoensis_P8221				No ITS1 database match
9Phytophthora_parsiana_AY659739TYPE				No ITS1 database match
9Phytophthora_sp_thermophilum_P10457				No ITS1 database match
