#genus	species	clade	read-count
			640336
Phytophthora		1	6
Phytophthora		2	3
Phytophthora		4	1
Phytophthora		5	1
Phytophthora		7	1
Phytophthora		7a	1
Phytophthora	amnicola	6	1
Phytophthora	aquimorbida	9	1
Phytophthora	asiatica	7	1
Phytophthora	balyanboodja	6	1
Phytophthora	bilorbang	6	1
Phytophthora	bisheria	2	1
Phytophthora	boehmeriae	10	1
Phytophthora	botryosa	2a	1
Phytophthora	brassicae	8b	1
Phytophthora	cactorum	1	1
Phytophthora	cajani	7b	1
Phytophthora	capensis	2c	3
Phytophthora	castaneae	5	1
Phytophthora	chlamydospora	6	2
Phytophthora	chrysanthemi	9	1
Phytophthora	citricola	2	2
Phytophthora	colocasiae	2	1
Phytophthora	crassamura	6	1
Phytophthora	cryptogea	8a	1
Phytophthora	dauci	8b	1
Phytophthora	erythroseptica	8a	2
Phytophthora	fluvialis	6	1
Phytophthora	gallica	10	1
Phytophthora	gemini	6	1
Phytophthora	gibbosa	6	2
Phytophthora	gonapodyides	6	1
Phytophthora	heveae	5	1
Phytophthora	hibernalis	8c	1
Phytophthora	idaei	1	1
Phytophthora	ilicis	3	1
Phytophthora	inundata	6	1
Phytophthora	iranica	1	1
Phytophthora	kernoviae	10	393172
Phytophthora	lacustris	6	1
Phytophthora	lateralis	8c	1
Phytophthora	litchii	4	1
Phytophthora	litoralis	6	1
Phytophthora	meadii	2a	1
Phytophthora	megakarya	4	1
Phytophthora	melonis	7b	2
Phytophthora	mengei	2	1
Phytophthora	mexicana	2	1
Phytophthora	morindae	10	1
Phytophthora	multivesiculata	2c	1
Phytophthora	nemorosa	3	1
Phytophthora	niederhauserii	7b	1
Phytophthora	pachypleura	2	2
Phytophthora	palmivora	4	2
Phytophthora	parsiana	9	1
Phytophthora	parvispora	7	1
Phytophthora	phaseoli	1	1
Phytophthora	pini	2	2
Phytophthora	pinifolia	6	1
Phytophthora	plurivora	2	2
Phytophthora	porri	8b	1
Phytophthora	primulae	8b	2
Phytophthora	pseudosyringae	3	391716
Phytophthora	psychrophila	3	1
Phytophthora	quercina	4	2
Phytophthora	riparia	6	1
Phytophthora	sansomeana	8a	1
Phytophthora	sojae	7b	1
Phytophthora	syringae	8d	1
Phytophthora	tentaculata	1b	1
Phytophthora	thermophila	6	1
Phytophthora	trifolii	8a	1
Phytophthora	uliginosa	7a	1
Phytophthora	virginiana	9	1
