topic,name,slug,parent_topic,country
Q8434,Education,education,,
Q7163,Politics,politics,,
Q7174,Democracy,democracy,Q7163,
Q366,Corruption,corruption,Q7163,
Q40231,Elections,elections,Q7163,
Q7257,Ideologies,ideologies,Q7163,
Q2625603,Population,population,,
Q386191,Population growth,population-growth,Q2625603,
Q12147,Health,health,,
Q2725393,Global health,global-health,Q12147,
Q188419,Life expectancy,life-expectancy,Q12147,
Q5282120,Burden of disease,burden-of-disease,Q12147,
Q59029818,Causes of death,causes-of-death,Q12147,
Q12156,Malaria,malaria,Q12147,
Q15787,HIV,hiv,Q12147,
Q192995,Vaccination,vaccination,Q12147,
Q12078,Cancer,cancer,Q12147,
Q662860,Smoking,smoking,Q12147,
Q2647488,Alcohol consumption,alcohol-consumption,Q12147,
Q3184856,Substance abuse,substance-abuse,Q12147,
Q317309,Mental health,mental-health,Q12147,
Q10737,Suicide,suicide,Q12147,
Q11190,Accidents,accidents,Q12147,
Q11190,Medicine,medicine,Q12147,
Q9418,Psychology,psychology,,
Q2477868,Global development,global-development,,
Q7649586,Global goals,global-goals,,
Q2095,Food,food,,
Q165947,Hunger,hunger,Q2095,
Q12174,Obesity,obesity,Q2095,
Q168247,Famine,famine,Q2095,
Q24886253,Food prices,food-prices,Q2095,
Q11379,Energy,energy,,
Q3406659,Energy production,energy-production,Q11379,
Q12705,Renewable energy,renewable-energy,Q11379,
Q12748,Fossil fuels,fossil-fuels,Q11379,
Q12725,Electricity,electricity,Q11379,
Q7946,Metals and Minerals,metals-and-minerals,Q11379,
Q2249676,Environment,environment,,
Q125928,Climate change,climate-change,Q2249676,
Q58734,Pollution,pollution,Q2249676,
Q8065,Natural disasters,natural-disasters,Q2249676,
Q7202090,Plastic pollutiom,plastic-pollutiom,Q2249676,
Q729,Animals,animals,Q2249676,
Q283,Water,water,,
Q26534,Water use,water-use,Q283,
Q34104,Science and technology,science-and-technology,,
Q120208,Emerging technologies,emerging-technologies,Q34104,
Q1405450,Synthetic genomics,synthetic-genomics,Q34104,
Q176555,Quantum computing,quantum-computing,Q34104,
