!------------------------------------------------------------------------------
! http://www.eso.org/observing/etc/bin/gen/form?INS.NAME=UVES+INS.MODE=spectro
!    TS : Template Spectra        |        FSR : Free Spectral Range
!------------------------------------------------------------------------------
arm     mode         grating    TS_min   FSR_min   cent   FSR_max    TS_max
!------------------------------------------------------------------------------
BLUE    BLUE         CD#1       302.45    303.84    346    387.04    388.40
BLUE    DICHR#1      CD#1       302.45    303.84    346    387.04    388.40
BLUE    DICHR#2      CD#1       302.45    303.84    346    387.04    388.40
BLUE    BLUE         CD#1       316.96    318.36    360    400.33    401.67
BLUE    BLUE         CD#1       335.35    336.74    380    422.07    423.38
BLUE    DICHR#1      CD#2       314.81    316.20    380    442.07    443.36
BLUE    DICHR#1      CD#2       325.91    327.29    390    450.61    451.88
BLUE    DICHR#2      CD#2       325.91    327.29    390    450.61    451.88
BLUE    DICHR#1      CD#2       335.36    336.74    400    464.06    465.30
BLUE    DICHR#1      CD#2       345.37    346.76    410    473.49    474.70
BLUE    DICHR#2      CD#2       345.37    346.76    410    473.49    474.70
BLUE    BLUE         CD#2       347.97    349.36    412    473.49    474.70
BLUE    DICHR#2      CD#2       347.97    349.36    412    473.49    474.70
BLUE    BLUE         CD#2       356.00    357.39    420    483.30    484.48
BLUE    DICHR#2      CD#2       358.76    360.15    424    488.36    489.53
BLUE    DICHR#2      CD#2       361.57    362.95    427    488.36    489.53
BLUE    DICHR#2      CD#2       364.42    365.80    430    493.53    494.68
BLUE    DICHR#2      CD#2       367.31    368.69    433    493.53    494.68
BLUE    BLUE         CD#2       373.24    374.61    437    498.81    499.94
BLUE    DICHR#1      CD#2       373.24    374.61    437    498.81    499.94
BLUE    DICHR#2      CD#2       373.24    374.61    437    498.81    499.94
BLUE    DICHR#2      CD#2       392.22    393.58    455    515.34    516.42
BLUE    DICHR#2      CD#2       405.99    407.33    470    533.01    534.02
BLUE    DICHR#2      CD#2       409.58    410.91    474    539.17    540.16
BLUE    DICHR#2      CD#2       416.97    418.28    480    545.47    546.44
RED     RED          CD#3       414.36    416.44    520    619.37    621.37
RED     DICHR#1      CD#3       414.36    416.44    520    619.37    621.37
RED     RED          CD#3       435.25    437.34    540    638.83    640.78
RED     RED          CD#3       444.86    446.95    550    652.49    654.41
RED     DICHR#1      CD#3       444.86    446.95    550    652.49    654.41
RED     RED          CD#3       454.90    457.00    560    659.55    661.44
RED     RED          CD#3       458.35    460.45    564    666.76    668.63
RED     DICHR#1      CD#3       458.35    460.45    564    666.76    668.63
RED     RED          CD#3       458.35    460.45    565    666.76    668.63
RED     DICHR#1      CD#3       458.35    460.45    565    666.76    668.63
RED     DICHR#1      CD#3       465.41    467.50    570    674.12    675.98
RED     DICHR#1      CD#3       469.02    471.11    575    674.12    675.98
RED     RED          CD#3       472.69    474.78    580    681.65    683.49
RED     DICHR#1      CD#3       472.69    474.78    580    681.65    683.49
RED     DICHR#1      CD#3       484.04    486.13    590    689.36    691.16
RED     DICHR#1      CD#3       487.95    490.03    595    697.23    699.02
RED     RED          CD#3       495.96    498.03    600    705.29    707.05
RED     DICHR#1      CD#3       495.96    498.03    600    705.29    707.05
RED     DICHR#1      CD#3       504.23    506.30    610    713.54    715.27
RED     RED          CD#4       441.65    443.70    640    830.03    831.28
RED     RED          CD#3       565.53    567.52    670    767.39    768.90
RED     RED          CD#4       472.73    474.78    670    865.35    866.40
RED     RED          CD#4       484.09    486.13    680    865.35    866.40
RED     RED          CD#4       512.82    514.84    710    903.80    904.62
RED     RED          CD#4       530.83    532.83    725    917.39    918.12
RED     DICHR#2      CD#4       540.31    542.30    738    931.40    932.03
RED     DICHR#2      CD#4       545.18    547.16    740    931.40    932.03
RED     DICHR#1      CD#4       555.19    557.16    750    945.83    946.36
RED     DICHR#2      CD#4       555.19    557.16    750    945.83    946.36
RED     RED          CD#4       565.58    567.52    760    945.83    946.36
RED     DICHR#2      CD#4       565.58    567.52    760    945.83    946.36
RED     DICHR#2      CD#4       593.31    595.20    790    976.10    976.40
RED     RED          CD#4       599.19    601.07    794    991.97    992.15
RED     RED          CD#4       605.18    607.05    800    991.97    992.15
RED     DICHR#1      CD#4       605.18    607.05    800    991.97    992.15
RED     DICHR#2      CD#4       605.18    607.05    800    991.97    992.15
RED     RED          CD#4       611.30    613.15    804    991.97    992.15
RED     RED          CD#4       617.54    619.37    814   1008.36   1008.41
RED     RED          CD#4       630.41    632.21    826   1025.31   1025.22
RED     RED          CD#4       643.83    645.59    842   1025.31   1025.22
RED     DICHR#1      CD#4       657.83    659.55    850   1042.83   1042.59
RED     DICHR#2      CD#4       657.83    659.55    850   1042.83   1042.59
RED     RED          CD#4       665.06    666.75    860   1043.45   1060.57
RED     DICHR#1      CD#4       665.06    666.75    860   1043.45   1060.57
RED     DICHR#2      CD#4       665.06    666.75    860   1043.45   1060.57
!-----------------------------------------------------------------------------
