skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_school_subject,skolverket_tot_m_betyg_tcv199,skolverket_fli_m_betyg_tcv199,skolverket_poj_m_betyg_tcv199,skolverket_tot_andel_ae_tcv199,skolverket_fli_andel_ae_tcv199,skolverket_poj_andel_ae_tcv199,skolverket_tot_gbp_tcv199,skolverket_fli_gbp_tcv199,skolverket_poj_gbp_tcv199,year
Flen,Malmaskolan,41621337,Kommunal,Biologi,23,11,12,~100,~100,"100,0","13,3","12,0","14,4",2015
Forshaga,Dejeskolan L-H-stadiet,48228294,Kommunal,Biologi,39,18,21,"74,4",~100,"71,4","8,7","9,3","8,1",2015
Färgelanda,Valboskolan 7-9,17089857,Kommunal,Biologi,53,24,29,"73,6",~100,"65,5","9,8","11,9","8,1",2015
Gagnef,Djuråsskolan F-9,36819574,Kommunal,Biologi,68,39,29,"89,7",~100,"82,8","10,8","11,5","9,9",2015
Gagnef,Mockfjärdsskolan,95610127,Kommunal,Biologi,43,24,19,"81,4",~100,~100,"9,9","10,9","8,7",2015
Gislaved,Lundåkerskolan,47236914,Kommunal,Biologi,99,50,49,~100,"100,0",~100,"12,5","13,2","11,7",2015
Gnosjö,Hillerstorpsskolan 7-9,33877675,Kommunal,Biologi,37,18,19,~100,~100,~100,"12,3","13,8","10,9",2015
Gotland,Högby skola,94163432,Kommunal,Biologi,66,20,46,"66,7",~100,"54,3","8,1","12,6","6,1",2015
Gotland,Klinteskolan,24429776,Kommunal,Biologi,26,13,13,"100,0","100,0","100,0","13,8","14,2","13,5",2015
Gotland,Solbergaskolan,96609581,Kommunal,Biologi,159,76,83,"96,2",~100,~100,"13,6","14,1","13,1",2015
Gotland,Södervärnsskolans 7-9,80013231,Kommunal,Biologi,112,61,51,~100,~100,~100,"13,8","14,4","13,1",2015
Gällivare,Hakkas Centralskola,73575145,Kommunal,Biologi,..,..,..,..,..,.,..,..,..,2015
Gällivare,Myranskolan LMH,82657877,Kommunal,Biologi,11,..,..,..,..,..,"8,2",..,..,2015
Gävle,Bergby Centralskola 1-9,55373417,Kommunal,Biologi,33,15,18,"81,8",~100,~100,"10,4","10,7","10,1",2015
Gävle,Friskolan Lyftet,11476454,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Gävle,Kunskapsskolan Gävle,21423670,Enskild,Biologi,53,38,15,"66,0","71,1",..,"7,9","8,7","5,8",2015
Gävle,Nynäs Montessori,40944032,Kommunal,Biologi,..,.,..,..,.,..,..,.,..,2015
Gävle,"Prolympia, Gävle",57578095,Enskild,Biologi,99,24,75,"90,9",~100,"90,7","11,5","12,1","11,4",2015
Gävle,Solängsskolan,58984764,Kommunal,Biologi,109,61,48,"92,7",~100,"87,5","12,4","13,2","11,3",2015
Gävle,Stigslunds skola,91652716,Kommunal,Biologi,42,27,15,~100,~100,"100,0","13,2","13,8","12,0",2015
Gävle,Sörbyskolan,23223141,Kommunal,Biologi,62,27,35,"41,9","44,4","40,0","5,1","5,7","4,6",2015
Gävle,Trädgårdsskolan GKS,87088456,Enskild,Biologi,10,..,..,"100,0",..,..,"13,3",..,..,2015
Göteborg,Bergsjöskolan 7-9,35416997,Kommunal,Biologi,59,29,30,"45,8","44,8","46,7","5,5","5,6","5,3",2015
Göteborg,Brandströmska skolan Nylöse,11295861,Enskild,Biologi,31,20,11,"83,9",~100,~100,"11,5","11,1","12,3",2015
Göteborg,Böskolans friskola,83071620,Enskild,Biologi,44,27,17,"100,0","100,0","100,0","15,7","15,8","15,6",2015
Göteborg,Centrina Kviberg,17517182,Enskild,Biologi,32,12,20,~100,"100,0",~100,"12,0","12,9","11,4",2015
Göteborg,Centrina Lindholmen,79866556,Enskild,Biologi,..,..,.,..,..,.,..,..,.,2015
Göteborg,Fenestra Brottkärr,21497343,Enskild,Biologi,21,..,..,"100,0","100,0",..,"17,4","17,5",..,2015
Göteborg,Franska skolan Göteborg,55860193,Enskild,Biologi,20,..,..,"100,0",..,"100,0","14,3",..,"14,8",2015
Göteborg,Freinetskolan Bild & Form,31872640,Enskild,Biologi,22,12,10,~100,"100,0",..,"13,5","14,0","13,0",2015
Göteborg,Gamlestadsskolan H,90710178,Kommunal,Biologi,92,47,45,"93,5",~100,~100,"12,0","12,9","11,1",2015
Göteborg,Gathenhielmsskolan,22061272,Kommunal,Biologi,..,.,..,..,.,..,..,.,..,2015
Göteborg,Gårdstensskolan 4-9,55886598,Kommunal,Biologi,44,20,24,"70,5","70,0","70,8","8,1","8,1","8,1",2015
Göteborg,ISGR/Swedish-English,80498460,Enskild,Biologi,49,26,23,~100,~100,"100,0","14,6","14,4","14,9",2015
Göteborg,Kannebäcksskolan döva och hörsel,61201931,Kommunal,Biologi,..,..,..,..,..,..,..,..,..,2015
Göteborg,Klarebergsskolan 7-9,20429308,Kommunal,Biologi,87,36,51,"77,0","77,8","76,5","9,7","9,5","9,8",2015
Göteborg,Kålltorpsskolan,16954837,Kommunal,Biologi,100,43,57,"93,0",~100,"89,5","11,8","13,1","10,9",2015
Göteborg,Kärralundsskolan,14037390,Kommunal,Biologi,74,32,42,~100,"100,0",~100,"13,1","13,0","13,2",2015
Göteborg,Lundenskolan,37379026,Kommunal,Biologi,60,30,30,"76,7","70,0","83,3","9,5","8,7","10,4",2015
Göteborg,Martinaskolan,47927698,Enskild,Biologi,11,..,..,"100,0",..,..,"14,1",..,..,2015
Göteborg,Nordhemsskolan,19560147,Kommunal,Biologi,..,.,..,..,.,..,..,.,..,2015
Göteborg,Nordlyckeskolan,93002896,Kommunal,Biologi,107,52,55,"88,8",~100,"83,6","12,4","14,3","10,5",2015
Göteborg,Nya Påvelundsskolan 2,43441529,Kommunal,Biologi,72,36,36,"100,0","100,0","100,0","15,6","16,0","15,1",2015
Göteborg,Resursskolan Linden,52459484,Kommunal,Biologi,..,.,..,..,.,..,..,.,..,2015
Göteborg,Rudolf Steinerskolan Göteborg,42817980,Enskild,Biologi,14,..,..,"100,0",..,..,"12,9",..,..,2015
Göteborg,Ryaskolan F-9,28890717,Kommunal,Biologi,34,18,16,"70,6",~100,..,"8,2","9,6","6,6",2015
Göteborg,Sandeklevsskolan 7-9,91683255,Kommunal,Biologi,47,30,17,"74,5","76,7","70,6","9,4","10,1","8,1",2015
Göteborg,Skälltorpssk. Sv. Balettskolan,24937512,Kommunal,Biologi,10,..,..,"100,0",..,..,"15,8",..,..,2015
Göteborg,Sverigefinska skolan i Gbg,56289245,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Göteborg,Torslandaskolan 6-9,54282652,Kommunal,Biologi,83,37,46,"72,3",~100,"58,7","9,4","13,0","6,6",2015
Göteborg,Tynneredsskolan,12026626,Kommunal,Biologi,42,21,21,"66,7","61,9","71,4","8,5","8,0","8,9",2015
Göteborg,Vasaskolan,56168083,Enskild,Biologi,41,22,19,"100,0","100,0","100,0","16,2","17,4","14,7",2015
Göteborg,Vetenskapsskolan,71259819,Enskild,Biologi,13,..,..,~100,"100,0",..,"10,8","13,0",..,2015
Hagfors,Älvstranden bildn.centrum 7-9,18315553,Kommunal,Biologi,67,31,36,"71,6","77,4","66,7","8,0","8,6","7,5",2015
Hallstahammar,Lindboskolan,88403889,Kommunal,Biologi,104,50,54,"77,9",~100,"64,8","9,9","12,4","7,6",2015
Halmstad,Brunnsåkersskolan 3,61539121,Kommunal,Biologi,68,28,40,"77,9",~100,"70,0","9,4","11,3","8,1",2015
Halmstad,Furulundsskolan 1,84189577,Kommunal,Biologi,48,24,24,~100,"100,0",~100,"13,2","15,2","11,1",2015
Halmstad,Gullbrandstorpsskolan 1,74772092,Kommunal,Biologi,38,18,20,~100,~100,"100,0","13,6","14,2","13,1",2015
Halmstad,Söndrumskolan 2,67995611,Kommunal,Biologi,49,21,28,"89,8","100,0","82,1","12,1","14,6","10,3",2015
Haninge,Dalarö skola,74610376,Kommunal,Biologi,14,..,..,~100,..,..,"12,0",..,..,2015
Haninge,Ribbyskolan,59497255,Kommunal,Biologi,122,58,64,"88,5","87,9","89,1","11,8","12,0","11,7",2015
Haninge,Söderbymalmsskolan,10035236,Kommunal,Biologi,145,69,76,"80,7","87,0","75,0","9,8","11,0","8,7",2015
Haparanda,Språkskolan,98675845,Kommunal,Biologi,14,..,..,"100,0",..,..,"15,5",..,..,2015
Heby,Östervåla skola 7-9,88091927,Kommunal,Biologi,57,26,31,"86,0",~100,"80,6","11,0","11,9","10,2",2015
Hedemora,Annaskolan,95227669,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Hedemora,Vasaskolan 7-9,35494110,Kommunal,Biologi,121,64,57,"90,1",~100,"82,5","11,2","12,9","9,2",2015
Helsingborg,Corpore Byskola,19676761,Enskild,Biologi,..,.,..,..,.,..,..,.,..,2015
Helsingborg,Elinebergsskolan,41811292,Kommunal,Biologi,115,55,60,"71,3","76,4","66,7","8,9","9,2","8,5",2015
Helsingborg,Kubikskolan,82943624,Enskild,Biologi,76,42,34,"85,5",~100,"79,4","12,5","13,0","11,9",2015
Helsingborg,Maria Parkskolan,42164778,Kommunal,Biologi,54,22,32,~100,"100,0",~100,"14,4","16,0","13,3",2015
Helsingborg,Svensgårdsskolan,89693828,Kommunal,Biologi,29,10,19,~100,"100,0",~100,"12,8","14,0","12,2",2015
Helsingborg,Vittra Adolfsberg,71069736,Enskild,Biologi,20,10,10,~100,..,..,"11,8","12,8","10,8",2015
Helsingborg,Vittra Landborgen,90080902,Enskild,Biologi,57,35,22,"87,7","82,9",~100,"12,3","11,4","13,6",2015
Herrljunga,Altorpskolan,24142437,Kommunal,Biologi,104,51,53,"89,4",~100,"84,9","12,0","13,5","10,5",2015
Huddinge,Balingsnässkolan,13654969,Kommunal,Biologi,44,28,16,~100,~100,"100,0","11,7","11,0","13,0",2015
Huddinge,Källbrinksskolan,41213404,Kommunal,Biologi,109,60,49,~100,~100,~100,"13,3","13,3","13,2",2015
Huddinge,Tomtbergaskolan,28313791,Kommunal,Biologi,30,13,17,~100,~100,"100,0","11,0","10,6","11,3",2015
Huddinge,Trångsundsskolan,42601396,Kommunal,Biologi,65,28,37,"87,7",~100,"83,8","10,8","12,1","9,9",2015
Huddinge,Vårbyskolan,64949601,Kommunal,Biologi,41,19,22,"68,3","73,7","63,6","9,8","11,3","8,5",2015
Hudiksvall,Delsbo waldorfskola,22518275,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Hudiksvall,Glada Hudikskolan,63507156,Enskild,Biologi,54,20,34,"74,1",~100,"64,7","9,2","11,0","8,2",2015
Härnösand,Kastellskolan,69454219,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Härryda,Båtsmansskolan,37772170,Kommunal,Biologi,58,24,34,"84,5",~100,"76,5","12,2","14,3","10,7",2015
Härryda,"Fridaskolan, Härryda",27274628,Enskild,Biologi,67,38,29,"100,0","100,0","100,0","16,6","16,3","17,0",2015
Härryda,Önnerödsskolan,28698437,Kommunal,Biologi,85,46,39,"92,9",~100,~100,"11,8","12,2","11,3",2015
Hässleholm,Linné 7-9,84432632,Kommunal,Biologi,30,19,11,"76,7",~100,..,"9,1","9,9","7,7",2015
Hässleholm,Läredaskolan 7-9,29689372,Kommunal,Biologi,75,38,37,"82,7",~100,"70,3","11,6","13,8","9,3",2015
Hässleholm,T4-skolan Montessori 1-9,28804882,Kommunal,Biologi,24,..,..,~100,~100,..,"13,2","12,6",..,2015
Hässleholm,Tyringe skola 7-9,98064311,Kommunal,Biologi,67,27,40,"73,1","81,5","67,5","8,8","10,3","7,8",2015
Höganäs,Lerbergsskolan,26702041,Kommunal,Biologi,43,20,23,~100,"100,0",~100,"14,0","14,6","13,4",2015
Höganäs,Vikenskolan,99439224,Kommunal,Biologi,69,34,35,"91,3",~100,~100,"11,4","12,1","10,8",2015
Högsby,Fröviskolan,26879428,Kommunal,Biologi,54,25,29,"83,3",~100,"79,3","10,3","11,6","9,2",2015
Hörby,Georgshillsskolan 6-9,90834434,Kommunal,Biologi,48,25,23,"79,2",~100,"69,6","10,2","11,9","8,4",2015
Höör,Emiliaskolan Höörs waldorfsk.,63846783,Enskild,Biologi,18,..,..,"100,0",..,..,"16,9",..,..,2015
Jokkmokk,Vuollerims Friskola,33468088,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Järfälla,Björkebyskolan,40847752,Kommunal,Biologi,100,42,58,"62,0","69,0","56,9","7,9","8,8","7,2",2015
Järfälla,Engelska Skolan i Järfälla,79093755,Enskild,Biologi,115,47,68,"100,0","100,0","100,0","15,1","14,8","15,3",2015
Järfälla,Viksjöskolan,98925408,Kommunal,Biologi,158,75,83,"87,3","93,3","81,9","11,3","12,5","10,3",2015
Järfälla,Vittra Jakobsberg,66634449,Enskild,Biologi,48,30,18,"87,5",~100,~100,"11,4","11,2","11,8",2015
Jönköping,Grennaskolan GR,66533280,Enskild,Biologi,23,..,..,~100,~100,..,"12,3","11,9",..,2015
Jönköping,Kunskapsskolan Jönköping,86562542,Enskild,Biologi,35,22,13,"51,4","63,6",..,"6,0","7,7","3,1",2015
Jönköping,Ribbaskolan,83919671,Kommunal,Biologi,71,28,43,~100,"100,0",~100,"14,5","16,0","13,5",2015
Jönköping,Stadsgårdsskolan,12759583,Kommunal,Biologi,77,33,44,"80,5","81,8","79,5","10,8","10,9","10,7",2015
Kalix,Manhemsskolan,10617819,Kommunal,Biologi,158,70,88,"93,7","100,0","88,6","11,9","13,5","10,7",2015
Kalmar,Funkaboskolan,21736926,Kommunal,Biologi,78,42,36,"92,3",~100,~100,"12,2","13,5","10,8",2015
Kalmar,Kalmarsundsskolan,24092221,Kommunal,Biologi,57,24,33,"52,6","70,8","39,4","6,3","8,9","4,5",2015
Kalmar,"Karl-Oskarskolan, Kalmar",30881651,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Kalmar,Lindsdalsskolorna,51848797,Kommunal,Biologi,87,40,47,"73,6","75,0","72,3","8,7","9,2","8,4",2015
Kalmar,Solhagaskolan,87544967,Enskild,Biologi,..,.,..,..,.,..,..,.,..,2015
Kalmar,Södermöreskolan,79012102,Kommunal,Biologi,91,44,47,"79,1","88,6","70,2","9,7","11,4","8,1",2015
Karlshamn,Stenbackaskolan,16767324,Kommunal,Biologi,88,44,44,"83,0",~100,"70,5","10,7","12,9","8,6",2015
Karlshamn,Waldorfskolan i Karlshamn,22909101,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Karlshamn,Österslättsskolan A,72744832,Kommunal,Biologi,39,19,20,~100,~100,~100,"12,6","13,7","11,5",2015
Karlskrona,Galären Dator o Teknik,64959079,Enskild,Biologi,24,..,..,"100,0",..,"100,0","16,5",..,"16,6",2015
Karlskrona,"Galären, grundskola",10662754,Enskild,Biologi,24,..,..,"100,0","100,0",..,"17,2","17,4",..,2015
Karlskrona,Karlskrona Montessorifriskola,67509465,Enskild,Biologi,21,..,..,~100,..,~100,"12,5",..,"11,5",2015
Karlskrona,LKC 7-9,55709634,Kommunal,Biologi,75,42,33,"85,3","85,7","84,8","10,5","11,4","9,3",2015
Karlstad,Engelska Skolan i Karlstad,93730568,Enskild,Biologi,113,56,57,"94,7",~100,~100,"13,0","13,2","12,8",2015
Karlstad,Frödingskolan 7-9,29058107,Kommunal,Biologi,40,20,20,"85,0",~100,"75,0","11,3","13,1","9,5",2015
Karlstad,Norrstrandsskolan Ventus Aqua,57635312,Kommunal,Biologi,89,57,32,"77,5","87,7","59,4","9,9","11,4","7,1",2015
Karlstad,Nyeds skola 7-9,15196482,Kommunal,Biologi,19,..,..,"100,0",..,"100,0","13,6",..,"13,4",2015
Karlstad,Rudsskolan 7-9,23345056,Kommunal,Biologi,106,37,69,"80,2","83,8","78,3","9,9","10,1","9,8",2015
Katrineholm,Södra skolan,43723580,Kommunal,Biologi,83,34,49,"61,4","76,5","51,0","6,7","8,5","5,6",2015
Kil,Sannerudsskolan 7-9,17665080,Kommunal,Biologi,111,43,68,"94,6","100,0","91,2","13,0","15,4","11,4",2015
Kiruna,Abisko skolan,76026322,Kommunal,Biologi,..,..,.,..,..,.,..,..,.,2015
Kiruna,Friluftsskolan Vargen,73281949,Enskild,Biologi,22,..,..,"100,0",..,"100,0","14,9",..,"14,3",2015
Kiruna,Vittangi skola,76314428,Kommunal,Biologi,..,..,..,..,..,..,..,..,..,2015
Klippan,Ljungbyhedsskolan,75091646,Kommunal,Biologi,44,16,28,"88,6",~100,~100,"12,3","11,9","12,5",2015
Klippan,"PeterSvenskolan, Klippan",39391255,Enskild,Biologi,18,..,..,~100,~100,..,"11,7","11,5",..,2015
Kramfors,Gudmundråskolan,11159060,Kommunal,Biologi,50,19,31,"84,0",~100,"80,6","11,4","13,0","10,3",2015
Kristianstad,Antonskolan Österäng,57538739,Enskild,Biologi,18,..,..,~100,"100,0",..,"10,1","12,1",..,2015
Kristianstad,Axonaskolan i Tollarp,81452013,Enskild,Biologi,22,..,..,~100,..,~100,"14,2",..,"13,4",2015
Kristianstad,Degebergaskolan,54930405,Kommunal,Biologi,..,.,..,.,.,.,..,.,..,2015
Kristianstad,Fröknegårdskolan H2,97438636,Kommunal,Biologi,48,25,23,"83,3","80,0",~100,"10,6","10,4","10,8",2015
Kristianstad,Rönnowskolan H,13756290,Kommunal,Biologi,54,27,27,"100,0","100,0","100,0","14,5","15,0","14,0",2015
Kristianstad,Slättängsskolan H,63356940,Kommunal,Biologi,55,25,30,"83,6",~100,"76,7","10,5","11,8","9,3",2015
Kristianstad,Spängerskolan,64694970,Kommunal,Biologi,21,..,..,"100,0","100,0",..,"13,5","14,6",..,2015
Kristianstad,Sånnaskolan H,85853304,Kommunal,Biologi,45,21,24,"100,0","100,0","100,0","14,4","15,7","13,2",2015
Kristianstad,Öllsjöskolan MH,46211392,Kommunal,Biologi,47,16,31,"89,4","100,0","83,9","13,0","15,5","11,8",2015
Kristianstad,Önnestads skola MH,18636287,Kommunal,Biologi,49,20,29,~100,"100,0",~100,"13,4","14,5","12,7",2015
Kristinehamn,Djurgårdsskolan 7-9,41433169,Kommunal,Biologi,72,45,27,"81,9","82,2","81,5","10,2","10,6","9,4",2015
Krokom,Cederbergskolan,64778601,Kommunal,Biologi,14,..,..,~100,..,..,"11,8",..,"10,0",2015
Krokom,Ås skola 4-9,54952732,Kommunal,Biologi,36,13,23,~100,"100,0",~100,"13,5","16,5","11,8",2015
Kumla,Skogstorpsskolan 6-9,44243725,Kommunal,Biologi,87,40,47,~100,~100,~100,"12,2","12,8","11,7",2015
Kungsbacka,Frillesåsskolan 4-9,10927868,Kommunal,Biologi,40,23,17,~100,~100,~100,"15,1","15,7","14,4",2015
Kungsbacka,Hålabäcksskolan 6-9,99688470,Kommunal,Biologi,54,23,31,~100,"100,0",~100,"13,6","14,2","13,1",2015
Kungsbacka,Kapareskolan E-H,84111198,Kommunal,Biologi,69,34,35,"92,8",~100,~100,"13,2","14,3","12,1",2015
Kungsbacka,Kullaviksskolan 7-9,75835202,Kommunal,Biologi,56,35,21,"100,0","100,0","100,0","15,7","16,4","14,4",2015
Kungsbacka,Nova Montessoriskola,47832100,Enskild,Biologi,26,14,12,"100,0","100,0","100,0","16,0","16,3","15,6",2015
Kungsbacka,Smedingeskolan B,29293076,Kommunal,Biologi,74,35,39,"93,2",~100,~100,"12,3","13,3","11,4",2015
Kungsbacka,Varlaskolan södra,70143574,Kommunal,Biologi,67,34,33,~100,~100,~100,"13,1","13,5","12,8",2015
Kungsbacka,Åsaskolan 4-9,18035112,Kommunal,Biologi,39,26,13,"87,2",~100,..,"12,2","14,2","8,3",2015
Kungsör,Kung Karls skola,46834580,Kommunal,Biologi,62,32,30,"82,3",~100,"73,3","11,4","12,9","9,8",2015
Kungälv,Montessoriskolan Älvkullen,49323438,Enskild,Biologi,17,..,..,"100,0","100,0",..,"15,3","14,8",..,2015
Kungälv,Ytterbyskolan 1,63621283,Kommunal,Biologi,151,77,74,"90,1","89,6","90,5","12,2","12,3","12,1",2015
