skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_school_subject,skolverket_tot_m_betyg_tcv199,skolverket_fli_m_betyg_tcv199,skolverket_poj_m_betyg_tcv199,skolverket_tot_andel_ae_tcv199,skolverket_fli_andel_ae_tcv199,skolverket_poj_andel_ae_tcv199,skolverket_tot_gbp_tcv199,skolverket_fli_gbp_tcv199,skolverket_poj_gbp_tcv199,year
Ale,Ahlafors Fria skola,71387206,Enskild,Biologi,42,23,19,~100,"100,0",~100,"13,2","14,3","11,7",2015
Ale,Bohusskolan,11043800,Kommunal,Biologi,36,11,25,"69,4",..,"72,0","7,4","6,6","7,8",2015
Alingsås,Gustav Adolfsskolan,74064638,Kommunal,Biologi,75,31,44,"88,0","83,9",~100,"11,2","11,3","11,1",2015
Alingsås,Linnéskolan,32478204,Enskild,Biologi,..,..,..,..,..,..,..,..,..,2015
Alingsås,Montessoriskolan Globen,87109819,Enskild,Biologi,47,29,18,~100,"100,0",~100,"15,6","16,2","14,6",2015
Alvesta,Mohedaskolan,69699568,Kommunal,Biologi,29,15,14,~100,"100,0",~100,"14,5","16,3","12,5",2015
Alvesta,Vislandaskolan,88176175,Kommunal,Biologi,68,34,34,~100,"100,0",~100,"13,6","15,0","12,2",2015
Aneby,Oasens skola,48000763,Enskild,Biologi,..,..,.,.,.,.,..,..,.,2015
Arboga,Gäddgårdsskolan 5-9,65483259,Kommunal,Biologi,70,37,33,"74,3","86,5","60,6","9,5","11,3","7,4",2015
Arvidsjaur,Fridhemsskolan,48373752,Kommunal,Biologi,60,28,32,"75,0",~100,"56,3","8,8","10,7","7,2",2015
Arvika,"Estetiska skolan, högstadiet",99375199,Enskild,Biologi,40,..,..,~100,~100,..,"13,4","13,8",..,2015
Arvika,Kyrkebyskolan åk 7-9,64771195,Kommunal,Biologi,61,32,29,~100,~100,"100,0","13,1","13,8","12,2",2015
Askersund,Sjöängsskolan,15766661,Kommunal,Biologi,92,45,47,"78,3","100,0","57,4","10,2","13,6","6,9",2015
Bjuv,Jens Billeskolan  7 - 9,63778499,Kommunal,Biologi,34,18,16,~100,~100,"100,0","11,8","11,7","11,9",2015
Boden,Fria Emilia,98998541,Enskild,Biologi,22,..,..,~100,..,"100,0","14,9",..,"15,6",2015
Bollebygd,Bollebygdskolan 7-9,60372258,Kommunal,Biologi,65,27,38,~100,~100,~100,"12,6","13,6","11,9",2015
Bollnäs,Arbråskolan F-9,75662206,Kommunal,Biologi,22,..,..,"50,0",..,..,"6,9",..,"4,3",2015
Bollnäs,Kilafors skola F-9,41793797,Kommunal,Biologi,38,23,15,"86,8",~100,~100,"9,8","10,0","9,5",2015
Borgholm,Åkerboskolan,82520504,Kommunal,Biologi,20,..,..,~100,..,~100,"10,5",..,"10,8",2015
Borlänge,Ornäs skola,33944118,Kommunal,Biologi,32,16,16,"53,1",..,..,"6,6","7,5","5,8",2015
Borås,Dalsjöskolan 4-9,95015820,Kommunal,Biologi,116,51,65,"91,4",~100,"86,2","12,1","13,6","11,0",2015
Borås,Erikslundskolan,50870189,Kommunal,Biologi,34,15,19,"100,0","100,0","100,0","13,2","13,3","13,2",2015
Borås,Kunskapsskolan Borås,10257640,Enskild,Biologi,94,53,41,"100,0","100,0","100,0","14,5","14,7","14,2",2015
Borås,Sandgärdskolan,98081621,Kommunal,Biologi,90,45,45,~100,~100,~100,"12,8","13,2","12,5",2015
Borås,Särlaskolan F-9,23108037,Kommunal,Biologi,57,35,22,"71,9","77,1","63,6","10,0","11,1","8,3",2015
Borås,Viskaforsskolan F-9,50756758,Kommunal,Biologi,68,24,44,"82,4",~100,"81,8","11,6","11,9","11,5",2015
Botkyrka,Botkyrka Friskola F-9,80378022,Enskild,Biologi,33,..,..,~100,~100,..,"11,2","11,7",..,2015
Botkyrka,Broängsskolan,38661388,Kommunal,Biologi,80,37,43,"91,3",~100,~100,"12,6","12,6","12,5",2015
Botkyrka,Brunnaskolan,53426548,Kommunal,Biologi,33,18,15,"60,6","55,6","66,7","7,9","7,4","8,5",2015
Botkyrka,Freinetskolan Kastanjen,29524966,Enskild,Biologi,14,..,..,~100,..,..,"11,4",..,..,2015
Botkyrka,Grindtorpsskolan,57228484,Kommunal,Biologi,35,20,15,~100,~100,~100,"13,6","14,0","13,2",2015
Botkyrka,Kunskapsskolan Botkyrka,84411355,Enskild,Biologi,46,20,26,"65,2","70,0","61,5","7,3","8,1","6,6",2015
Bräcke,Bräcke skola,63287550,Kommunal,Biologi,28,12,16,"64,3",..,..,"7,3","8,5","6,4",2015
Bräcke,Kälarne skola,82223639,Kommunal,Biologi,14,..,..,"100,0",..,"100,0","12,1",..,"12,0",2015
Båstad,Förslövs skola 7-9,94453321,Kommunal,Biologi,47,18,29,~100,"100,0",~100,"11,7","13,6","10,5",2015
Danderyd,Viktor Rydbergs Samskola,13493243,Enskild,Biologi,173,73,100,"95,4",~100,"94,0","13,2","13,6","12,9",2015
Degerfors,Stora Vallaskolan,96969231,Kommunal,Biologi,112,53,59,"62,5","79,2","47,5","7,7","10,4","5,3",2015
Dorotea,Strandenskolan,56595678,Kommunal,Biologi,18,..,..,~100,~100,..,"10,6","9,4",..,2015
Ekerö,Tappströmsskolan,52217632,Kommunal,Biologi,86,30,56,"100,0","100,0","100,0","14,4","15,1","14,1",2015
Eksjö,Hunsnässkolan,56054655,Kommunal,Biologi,..,..,..,..,.,..,..,..,..,2015
Emmaboda,Bjurbäcksskolan 7-9,37716305,Kommunal,Biologi,76,39,37,"67,1","87,2","45,9","8,4","11,2","5,4",2015
Enköping,Fjärdhundraskolan,94821900,Kommunal,Biologi,19,..,..,"63,2",..,..,"7,6",..,"5,7",2015
Enköping,Kunskapsskolan Enköping,67723630,Enskild,Biologi,71,30,41,~100,~100,~100,"13,5","13,9","13,2",2015
Eskilstuna,"British Junior Sec, Eskilstuna",50048111,Enskild,Biologi,19,..,..,"100,0","100,0",..,"14,2","14,0",..,2015
Eskilstuna,Engelska Skolan i Eskilstuna,36759013,Enskild,Biologi,171,96,75,"94,7",~100,"92,0","13,7","14,6","12,5",2015
Eskilstuna,"Entréskolan, Eskilstuna",10443922,Enskild,Biologi,12,..,..,"100,0",..,..,"12,5",..,..,2015
Eskilstuna,Skogstorpsskolan 7-9,30622727,Kommunal,Biologi,74,35,39,~100,~100,~100,"12,9","13,0","12,9",2015
Eskilstuna,Stålforsskolan 7-9,14327803,Kommunal,Biologi,123,78,45,"69,9","76,9","57,8","8,8","9,9","6,9",2015
Eskilstuna,Tegelviken F-9,78673553,Kommunal,Biologi,40,21,19,~100,"100,0",~100,"13,6","15,1","12,0",2015
Essunga,Nossebro skola år 6-9,26531220,Kommunal,Biologi,60,32,28,~100,~100,~100,"13,0","14,0","11,9",2015
Falkenberg,Apelskolan 1,31158776,Kommunal,Biologi,41,17,24,~100,~100,~100,"11,3","11,6","11,0",2015
Falkenberg,Tullbroskolan 2,59799831,Kommunal,Biologi,49,22,27,"73,5","77,3","70,4","8,7","9,9","7,7",2015
Falkenberg,Vesterhavsskolan,35136963,Enskild,Biologi,51,25,26,~100,"100,0",~100,"14,6","16,9","12,4",2015
Falköping,Centralskolan 6-9,17911537,Kommunal,Biologi,..,..,.,..,..,.,..,..,.,2015
Falköping,Kyrkerörsskolan,78444521,Kommunal,Biologi,..,.,..,..,.,..,..,.,..,2015
Falköping,Stenstorpsskolan,48923792,Kommunal,Biologi,..,..,.,..,..,.,..,..,.,2015
Falun,Montessoriskolan i Falun,57444890,Kommunal,Biologi,20,..,..,"100,0","100,0",..,"17,1","16,6",..,2015
Finspång,Grosvadskolan,40732962,Kommunal,Biologi,84,39,45,"78,6","82,1","75,6","9,8","10,1","9,6",2015
Flen,Bruksskolan,59846075,Kommunal,Biologi,18,..,..,"100,0",..,"100,0","12,5",..,"11,5",2015
