skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_fli_tcv140,skolverket_andel_fli_tcv140,skolverket_and_uppn_alla_amnen_fli_tcv140,skolverket_and_behorig_fli_tcv140,skolverket_gmv_fli_tcv140,skolverket_antal_poj_tcv140,skolverket_andel_poj_tcv140,skolverket_and_uppn_alla_amnen_poj_tcv140,skolverket_and_behorig_poj_tcv140,skolverket_gmv_poj_tcv140,year
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,26,"48,1","76,9",~100,"225,7",28,"51,9","78,6",~100,"194,4",2013
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,21,"42,0","71,4",~100,"223,2",29,"58,0","75,9",~100,"227,6",2013
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,80,"55,9","93,8",~100,"257,4",63,"44,1","88,9",~100,"239,6",2013
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,65,"46,4","93,8","100,0","251,5",75,"53,6","88,0","100,0","234,7",2013
Danderyd,Viktor Rydbergs Samskola,Enskild,,13493243,89,"49,4","97,8","100,0","257,1",91,"50,6","91,2","100,0","240,2",2013
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,42,"43,3","66,7","83,3","206,7",55,"56,7","69,1","80,0","185,2",2013
Dorotea,Strandenskolan,Kommunal,Dorotea,56595678,..,..,..,..,..,..,..,"76,9",~100,"200,0",2013
Eda,Gunnarsbyskolan 7-9,Kommunal,Eda,95519589,16,"44,4","75,0",~100,"225,3",20,"55,6","75,0",~100,"196,1",2013
Eda,Hierneskolan,Kommunal,Eda,85815904,19,"50,0","68,4",~100,"218,6",19,"50,0","84,2",~100,"195,4",2013
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,21,"45,7","100,0","100,0","255,5",25,"54,3","76,0","80,0","198,4",2013
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,30,"46,9","76,7","76,7","236,8",34,"53,1","94,1",~100,"225,0",2013
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,15,"50,0","100,0","100,0","277,2",15,"50,0","73,3",~100,"200,8",2013
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,37,"49,3","86,5",~100,"233,6",38,"50,7","84,2",~100,"202,0",2013
Ekerö,Birkaskolan,Enskild,,27595656,12,"38,7","100,0","100,0","245,6",19,"61,3","94,7",~100,"244,2",2013
Ekerö,Drottningholmskolan,Enskild,,28231215,..,..,..,..,..,..,..,..,..,..,2013
Ekerö,Sundsgården skola,Enskild,,14571770,..,..,.,.,.,..,..,.,..,..,2013
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,12,"40,0","83,3",~100,"196,5",18,"60,0","61,1",~100,"191,7",2013
Eksjö,Prästängsskolan,Kommunal,Eksjö,48457931,49,"41,9","73,5","89,8","207,7",68,"58,1","73,5","92,6","207,4",2013
Eksjö,Broarps skola,Enskild,,30452569,..,..,.,..,..,..,..,..,..,..,2013
Emmaboda,Bjurbäcksskolan 13-16 år,Kommunal,Emmaboda,37716305,31,"39,7","67,7","100,0","229,4",47,"60,3","70,2","78,7","184,9",2013
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,26,"39,4","76,9",~100,"218,8",40,"60,6","75,0",~100,"207,0",2013
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,14,"43,8","71,4",~100,"204,6",18,"56,3","88,9",~100,"196,5",2013
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,30,"52,6","70,0","83,3","203,6",27,"47,4","74,1",~100,"195,2",2013
Enköping,S:t Iliansskolan,Kommunal,Enköping,83592480,32,"42,1","84,4",~100,"218,2",44,"57,9","77,3","81,8","215,3",2013
Enköping,Västerledsskolan,Kommunal,Enköping,76759877,47,"39,5","74,5","80,9","188,6",72,"60,5","83,3","93,1","193,8",2013
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,25,"54,3","80,0",~100,"213,3",21,"45,7","76,2","76,2","197,4",2013
Enköping,Bergtallens skola,Enskild,,73178642,..,..,.,.,.,..,..,..,..,..,2013
Enköping,Kunskapsskolan Enköping,Enskild,,67723630,51,"58,6","92,2",~100,"229,0",36,"41,4","86,1","100,0","219,4",2013
Eskilstuna,Djurgårdsskolan hög 1,Kommunal,Eskilstuna,34148803,28,"50,0","78,6",~100,"221,3",28,"50,0","67,9",~100,"193,3",2013
Eskilstuna,Djurgårdsskolan hög 2,Kommunal,Eskilstuna,54605092,37,"42,0","86,5",~100,"241,2",51,"58,0","84,3",~100,"205,0",2013
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,39,"41,9","79,5",~100,"209,7",54,"58,1","74,1","83,3","184,3",2013
Eskilstuna,Skiftingehus hög A- och B-lag,Kommunal,Eskilstuna,73348838,26,"45,6","61,5","69,2","182,9",31,"54,4","64,5","74,2","172,9",2013
Eskilstuna,Skiftingehus hög E-lag,Kommunal,Eskilstuna,47926452,10,"34,5",..,..,"221,5",19,"65,5","68,4",~100,"203,9",2013
Eskilstuna,Skogstorpsskolan hög 6-9 AB,Kommunal,Eskilstuna,80168622,30,"50,8","80,0","83,3","209,0",29,"49,2","65,5","82,8","201,6",2013
Eskilstuna,Skogstorpsskolan hög 7-9 CD,Kommunal,Eskilstuna,25219509,27,"46,6","74,1",~100,"205,0",31,"53,4","67,7",~100,"180,1",2013
Eskilstuna,Stålforsskolan arbetslag A,Kommunal,Eskilstuna,73039560,15,"24,6","73,3",~100,"228,4",46,"75,4","63,0","84,8","188,7",2013
Eskilstuna,Stålforsskolan arbetslag B,Kommunal,Eskilstuna,18528290,30,"48,4","53,3","73,3","190,6",32,"51,6","71,9","84,4","195,9",2013
Eskilstuna,Stålforsskolan arbetslag C,Kommunal,Eskilstuna,76124360,25,"40,3","48,0","72,0","215,4",37,"59,7","45,9","81,1","200,8",2013
Eskilstuna,Stålforsskolan arbetslag D,Kommunal,Eskilstuna,62261827,39,"62,9","84,6","87,2","234,6",23,"37,1","78,3",~100,"217,9",2013
Eskilstuna,Stålforsskolan Faktoriet,Kommunal,Eskilstuna,64275635,23,"39,0","82,6",~100,"201,2",36,"61,0","52,8","61,1","142,6",2013
Eskilstuna,Tegelviken Byn,Kommunal,Eskilstuna,78673553,..,..,..,..,..,..,..,..,..,..,2013
Eskilstuna,Tegelviken Sundet,Kommunal,Eskilstuna,83485208,..,..,..,..,..,..,..,..,..,..,2013
Eskilstuna,Tegelviken Viken,Kommunal,Eskilstuna,10967899,..,..,..,..,..,..,..,..,..,..,2013
Eskilstuna,Årbyskolan hög,Kommunal,Eskilstuna,60791109,57,"68,7","47,4","68,4","177,5",26,"31,3","50,0","69,2","170,9",2013
Eskilstuna,"British Junior Sec, Eskilstuna",Enskild,,50048111,..,..,..,..,..,..,..,..,..,..,2013
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,,36759013,96,"49,7","96,9","100,0","281,2",97,"50,3","93,8","100,0","264,9",2013
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,48,"47,5","79,2","81,3","221,4",53,"52,5","77,4","84,9","214,4",2013
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,26,"39,4","84,6",~100,"223,8",40,"60,6","72,5","87,5","200,8",2013
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,51,"50,5","76,5",~100,"225,7",50,"49,5","74,0",~100,"197,6",2013
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,27,"50,9","81,5",~100,"223,3",26,"49,1","61,5","76,9","176,0",2013
Essunga,Nossebro skola år 0-9,Kommunal,Essunga,57353499,34,"60,7","82,4",~100,"213,8",22,"39,3","54,5",~100,"176,3",2013
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,63,"52,5","76,2","87,3","205,9",57,"47,5","54,4","77,2","173,4",2013
Fagersta,Lindgårdsskolan,Enskild,,50128489,..,..,..,..,..,..,..,..,..,..,2013
Falkenberg,Apelskolan 1,Kommunal,Falkenberg,31158776,30,"41,1","93,3",~100,"239,0",43,"58,9","83,7","86,0","200,9",2013
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,..,..,..,..,..,..,..,"92,3","100,0","242,9",2013
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,20,"33,9","100,0","100,0","240,5",39,"66,1","82,1","87,2","206,7",2013
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,24,"51,1","87,5",~100,"223,9",23,"48,9","52,2","73,9","172,3",2013
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,35,"44,9","74,3",~100,"219,0",43,"55,1","72,1","88,4","199,1",2013
Falkenberg,Vesterhavsskolan,Enskild,,35136963,29,"39,7","89,7",~100,"247,2",44,"60,3","97,7",~100,"240,7",2013
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,27,"45,8","51,9","59,3","177,0",32,"54,2","56,3","59,4","170,2",2013
Falköping,Flobyskolan,Kommunal,Falköping,19044601,16,"44,4","87,5",~100,"224,7",20,"55,6","95,0",~100,"214,0",2013
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,18,"51,4","77,8",~100,"221,1",17,"48,6","64,7",~100,"184,1",2013
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,18,"50,0","77,8",~100,"228,7",18,"50,0","55,6","72,2","177,9",2013
Falköping,Kyrkerörsskolan A + C,Kommunal,Falköping,20272897,28,"46,7","89,3",~100,"227,3",32,"53,3","81,3",~100,"207,1",2013
Falköping,Kyrkerörsskolan B + D + E,Kommunal,Falköping,78444521,25,"48,1","64,0","76,0","184,4",27,"51,9","74,1",~100,"204,3",2013
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,17,"45,9","76,5",~100,"195,3",20,"54,1","80,0",~100,"193,1",2013
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,11,"36,7",..,~100,"216,1",19,"63,3","78,9",~100,"195,8",2013
Falköping,Vårkullens skolveckohem,Enskild,,43911053,..,..,.,.,.,..,..,..,..,..,2013
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,35,"52,2","91,4",~100,"222,2",32,"47,8","78,1",~100,"202,8",2013
Falun,Britsarvsskolan,Kommunal,Falun,17033155,47,"42,7","76,6","80,9","201,7",63,"57,3","79,4","85,7","192,8",2013
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,61,"50,4","82,0",~100,"215,5",60,"49,6","76,7","83,3","188,4",2013
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,..,..,..,..,..,..,..,"100,0","100,0","244,1",2013
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,35,"43,8","82,9",~100,"210,4",45,"56,3","84,4",~100,"191,3",2013
Falun,Västra Skolan,Kommunal,Falun,27153243,37,"47,4","67,6",~100,"210,6",41,"52,6","90,2",~100,"193,3",2013
Falun,Backafors resursskola,Enskild,,27560810,..,..,..,..,..,..,..,..,..,..,2013
Falun,Friskolan Mosaik,Enskild,,65494903,10,"47,6",..,..,"232,5",11,"52,4",..,"100,0","249,1",2013
Falun,Söderbaumska skolan,Enskild,,72625090,26,"55,3","88,5",~100,"230,0",21,"44,7","85,7",~100,"231,0",2013
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,40,"46,0","92,5",~100,"215,3",47,"54,0","76,6","83,0","193,5",2013
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,12,"50,0","83,3",~100,"242,5",12,"50,0",..,..,"186,3",2013
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,45,"49,5","62,2","73,3","194,5",46,"50,5","69,6","82,6","192,0",2013
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,60,"60,0","83,3","88,3","210,1",40,"40,0","72,5","87,5","184,3",2013
Flen,Bruksskolan,Kommunal,Flen,59846075,14,"42,4","100,0","100,0","244,1",19,"57,6","73,7",~100,"188,8",2013
Flen,Malmaskolan,Kommunal,Flen,41621337,27,"40,9","63,0","77,8","200,0",39,"59,1","71,8","87,2","213,2",2013
Flen,Stenhammarskolan,Kommunal,Flen,81546814,52,"51,5","57,7","75,0","189,9",49,"48,5","55,1","83,7","187,3",2013
Flen,Flens kristna skola,Enskild,,52287808,..,..,..,..,..,..,..,..,..,..,2013
Flen,Gårdsjö skola,Enskild,,38402217,..,..,.,..,..,..,..,.,..,..,2013
Forshaga,Dejeskolan MH-stadiet,Kommunal,Forshaga,43553761,27,"62,8","70,4","100,0","199,6",16,"37,2","62,5",~100,"185,9",2013
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,40,"46,5","92,5",~100,"236,4",46,"53,5","73,9",~100,"191,2",2013
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,30,"47,6","73,3","83,3","225,5",33,"52,4","63,6","81,8","163,1",2013
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,28,"52,8","82,1",~100,"245,0",25,"47,2","72,0",~100,"194,3",2013
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,15,"45,5","93,3",~100,"237,3",18,"54,5","83,3",~100,"195,4",2013
Gislaved,Lundåkerskolans högstadium,Kommunal,Gislaved,47236914,72,"50,3","76,4","83,3","217,7",71,"49,7","71,8","83,1","186,3",2013
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,47,"52,2","83,0","89,4","216,8",43,"47,8","55,8","79,1","171,1",2013
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,42,"46,7","81,0",~100,"220,4",48,"53,3","68,8","75,0","183,5",2013
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,17,"43,6","64,7",~100,"211,3",22,"56,4","63,6",~100,"199,5",2013
Gislaved,Montessorifriskolan i Gislaved,Enskild,,93436580,..,..,..,..,..,..,..,..,..,..,2013
Gnesta,Frejaskolan 6-9,Kommunal,Gnesta,71986467,44,"55,7","77,3","88,6","213,5",35,"44,3","65,7","82,9","186,1",2013
Gnesta,Gnesta Waldorfskola,Enskild,,35159342,..,..,..,..,..,..,..,..,..,..,2013
