skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_fli_tcv140,skolverket_andel_fli_tcv140,skolverket_and_uppn_alla_amnen_fli_tcv140,skolverket_and_behorig_fli_tcv140,skolverket_gmv_fli_tcv140,skolverket_antal_poj_tcv140,skolverket_andel_poj_tcv140,skolverket_and_uppn_alla_amnen_poj_tcv140,skolverket_and_behorig_poj_tcv140,skolverket_gmv_poj_tcv140,year
Ale,Aroseniusskolan,Kommunal,Ale,48529699,43,"40,6","79,1","86,0","226,4",63,"59,4","49,2","79,4","178,7",2013
Ale,Bohusskolan 7-9,Kommunal,Ale,70878576,27,"44,3","66,7","77,8","201,8",34,"55,7","47,1","76,5","170,5",2013
Ale,Himlaskolan,Kommunal,Ale,54807007,33,"51,6","66,7",~100,"220,0",31,"48,4","71,0",~100,"199,0",2013
Ale,Kyrkbyskolan,Kommunal,Ale,54087001,26,"41,9","57,7","80,8","222,3",36,"58,1","55,6","77,8","169,4",2013
Ale,Ahlafors Fria skola,Enskild,,71387206,25,"55,6","88,0","100,0","231,0",20,"44,4","90,0",~100,"206,3",2013
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,40,"48,2","90,0",~100,"240,7",43,"51,8","88,4",~100,"212,7",2013
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,36,"45,0","80,6",~100,"250,4",44,"55,0","84,1",~100,"196,1",2013
Alingsås,Sollebrunns skola 6-9,Kommunal,Alingsås,76908037,19,"40,4","89,5","100,0","235,5",28,"59,6","92,9",~100,"223,9",2013
Alingsås,Östlyckeskolan,Kommunal,Alingsås,63889771,57,"41,0","78,9",~100,"231,0",82,"59,0","68,3","80,5","193,8",2013
Alingsås,Linnéskolan,Enskild,,32478204,..,..,.,.,..,..,..,..,..,..,2013
Alingsås,Montessoriskolan Globen,Enskild,,87109819,31,"60,8","100,0","100,0","264,9",20,"39,2","90,0",~100,"228,3",2013
Alingsås,Vittra Gerdsken,Enskild,,98272016,26,"59,1","76,9","100,0","224,4",18,"40,9","88,9",~100,"239,4",2013
Alvesta,Grönkullaskolan,Kommunal,Alvesta,94191518,49,"51,0","69,4","81,6","208,4",47,"49,0","63,8","78,7","181,4",2013
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,17,"45,9","82,4",~100,"232,6",20,"54,1","70,0",~100,"190,4",2013
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,32,"56,1","87,5",~100,"215,5",25,"43,9","88,0",~100,"216,7",2013
Aneby,Furulidskolan,Kommunal,Aneby,88669294,29,"43,3","86,2",~100,"222,8",38,"56,7","94,7",~100,"218,9",2013
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,33,"44,6","78,8","84,8","211,3",41,"55,4","80,5",~100,"215,5",2013
Arboga,Stureskolan,Kommunal,Arboga,13854755,34,"48,6","76,5",~100,"229,7",36,"51,4","72,2",~100,"200,3",2013
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,..,..,..,..,..,..,..,..,..,..,2013
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,26,"46,4","92,3","100,0","219,5",30,"53,6","76,7","80,0","209,1",2013
Arvika,Centralskolan 1,Kommunal,Arvika,60318692,73,"50,0","79,5","89,0","220,4",73,"50,0","74,0","90,4","187,2",2013
Arvika,Järvenskolan,Kommunal,Arvika,96316449,..,..,..,..,..,..,..,"83,3",~100,"222,9",2013
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,28,"47,5","46,4",~100,"182,1",31,"52,5","54,8",~100,"189,9",2013
Arvika,"Estetiska skolan, Arvika",Enskild,,99375199,25,"64,1","88,0",~100,"222,7",14,"35,9","100,0","100,0","231,6",2013
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,46,"44,2","71,7","80,4","220,6",58,"55,8","60,3","79,3","182,5",2013
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,51,"54,8","66,7","74,5","215,9",42,"45,2","64,3","76,2","183,3",2013
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,10,"43,5",..,"100,0","246,8",13,"56,5","92,3",~100,"213,3",2013
Avesta,Åvestadalskolan,Kommunal,Avesta,62023955,29,"42,0","75,9",~100,"222,6",40,"58,0","92,5",~100,"219,8",2013
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,49,"53,3","75,5","87,8","217,9",43,"46,7","69,8","86,0","201,1",2013
Berg,Myrvikens skola,Kommunal,Berg,56709330,13,"50,0","100,0","100,0","236,2",13,"50,0","100,0","100,0","227,7",2013
Berg,Svenstavik åk 1-9,Kommunal,Berg,24753562,23,"51,1","69,6","69,6","185,5",22,"48,9","59,1","63,6","178,0",2013
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,12,"48,0","83,3",~100,"216,5",13,"52,0",..,~100,"207,5",2013
Bjuv,Ekeby skola,Kommunal,Bjuv,47546433,18,"60,0","72,2",~100,"197,9",12,"40,0",..,"100,0","198,3",2013
Bjuv,Jens Billeskolan,Kommunal,Bjuv,19344516,21,"47,7","81,0",~100,"224,0",23,"52,3","56,5",~100,"177,9",2013
Bjuv,Varagårdsskolan Bjuv Östra,Kommunal,Bjuv,43688189,30,"45,5","63,3",~100,"193,5",36,"54,5","63,9",~100,"194,9",2013
Bjuv,Forsärlans Miljöskola,Enskild,,18213876,12,"44,4","83,3",~100,"212,7",15,"55,6","93,3",~100,"205,0",2013
Boden,Bodens alternativa skola BAS,Kommunal,Boden,19570579,..,..,.,..,..,..,..,.,.,.,2013
Boden,Brönjaskolan,Kommunal,Boden,60633912,19,"40,4","100,0","100,0","251,4",28,"59,6","100,0","100,0","235,3",2013
Boden,Harads skola,Kommunal,Boden,82094905,..,..,..,..,..,..,..,"85,7",~100,"203,2",2013
Boden,Stureskolan 1,Kommunal,Boden,75627171,46,"55,4","84,8","87,0","229,1",37,"44,6","83,8",~100,"212,4",2013
Boden,Stureskolan 2,Kommunal,Boden,89885803,29,"50,9","93,1",~100,"242,8",28,"49,1","85,7",~100,"209,2",2013
Boden,Älvskolan,Kommunal,Boden,29649408,..,..,..,..,..,..,..,..,..,..,2013
Boden,Fria Emilia,Enskild,,98998541,..,..,"92,3",~100,"257,7",..,..,..,..,..,2013
Boden,Norrskenets Friskola i Boden,Enskild,,40708452,11,"21,2",..,~100,"212,5",41,"78,8","90,2","100,0","211,7",2013
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,41,"46,1","90,2",~100,"221,2",48,"53,9","75,0",~100,"208,2",2013
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,22,"64,7","81,8",~100,"220,0",12,"35,3",..,~100,"175,4",2013
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,37,"40,2","48,6","59,5","186,8",55,"59,8","45,5","60,0","172,1",2013
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,24,"52,2","83,3",~100,"223,2",22,"47,8","77,3",~100,"190,9",2013
Bollnäs,Edenskolan,Enskild,,69498258,..,..,..,..,..,..,..,..,..,..,2013
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,44,"55,7","88,6",~100,"232,1",35,"44,3","57,1",~100,"183,9",2013
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,..,..,..,..,..,..,..,"76,9",~100,"193,3",2013
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,35,"47,9","68,6","82,9","219,9",38,"52,1","68,4","86,8","193,2",2013
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,83,"60,6","83,1","89,2","228,1",54,"39,4","79,6","85,2","192,5",2013
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,59,"45,4","57,6","69,5","189,1",71,"54,6","50,7","76,1","187,3",2013
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,19,"51,4","68,4",~100,"206,3",18,"48,6","77,8",~100,"215,6",2013
Borlänge,Immanuelskolan,Enskild,,24147931,..,..,..,..,..,..,..,..,..,..,2013
Borås,Bodaskolan,Kommunal,Borås,67454907,62,"47,3","71,0","85,5","210,6",69,"52,7","59,4","78,3","190,5",2013
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,56,"58,9","83,9","89,3","232,5",39,"41,1","56,4","69,2","178,6",2013
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,39,"29,8","74,4","82,1","212,4",92,"70,2","62,0","82,6","191,7",2013
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,58,"48,3","87,9",~100,"239,4",62,"51,7","85,5","90,3","210,8",2013
Borås,Erikslundskolan,Kommunal,Borås,50870189,21,"33,3","61,9",~100,"202,8",42,"66,7","78,6","88,1","192,7",2013
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,47,"50,5","89,4",~100,"229,6",46,"49,5","73,9","89,1","189,9",2013
Borås,Sandgärdskolan,Kommunal,Borås,98081621,57,"50,9","91,2",~100,"238,0",55,"49,1","80,0",~100,"211,0",2013
Borås,Särlaskolan 7-9,Kommunal,Borås,23108037,29,"45,3","58,6","72,4","203,3",35,"54,7","77,1","82,9","207,1",2013
Borås,Viskaforsskolan 6-9,Kommunal,Borås,50756758,26,"40,0","69,2",~100,"197,7",39,"60,0","66,7","84,6","193,5",2013
Borås,Borås Kristna skola,Enskild,,64720166,..,..,"73,3",~100,"225,8",..,..,..,..,..,2013
Borås,Engelska Skolan i Borås,Enskild,,58354320,26,"47,3","88,5",~100,"276,9",29,"52,7","96,6",~100,"251,6",2013
Borås,Kunskapsskolan Borås,Enskild,,10257640,61,"63,5","91,8",~100,"253,2",35,"36,5","97,1","100,0","230,3",2013
Borås,Malmen Montessori,Enskild,,10132939,12,"44,4",..,~100,"213,5",15,"55,6","80,0",~100,"190,8",2013
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,31,"43,1","54,8","64,5","190,7",41,"56,9","68,3","73,2","184,2",2013
Botkyrka,Björkhaga Skola 1GR,Kommunal,Botkyrka,30755074,..,..,.,.,.,..,..,.,.,..,2013
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,58,"55,8","87,9",~100,"229,5",46,"44,2","91,3",~100,"224,9",2013
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,26,"45,6","61,5","80,8","187,6",31,"54,4","67,7","80,6","193,7",2013
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,34,"63,0","91,2",~100,"194,6",20,"37,0","90,0","100,0","207,3",2013
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,..,.,.,.,..,..,.,..,..,2013
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,34,"54,0","67,6","82,4","206,5",29,"46,0","44,8","58,6","160,2",2013
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,35,"59,3","31,4","57,1","155,8",24,"40,7",..,"45,8","124,8",2013
Botkyrka,Grindtorpsskolan 1GR,Kommunal,Botkyrka,90361689,..,..,.,..,..,..,..,.,.,.,2013
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,29,"61,7","72,4",~100,"215,5",18,"38,3","66,7",~100,"196,4",2013
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,27,"41,5","37,0","66,7","183,3",38,"58,5","65,8","68,4","182,0",2013
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,16,"40,0",..,~100,"198,6",24,"60,0","79,2",~100,"199,0",2013
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,14,"43,8",..,~100,"232,3",18,"56,3","72,2",~100,"204,0",2013
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,.,.,.,..,..,..,..,..,2013
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,44,"55,0","88,6","100,0","247,4",36,"45,0","88,9",~100,"204,9",2013
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,32,"43,8","53,1","78,1","195,3",41,"56,2","46,3","78,0","187,4",2013
Botkyrka,Botkyrka Friskola F-9,Enskild,,80378022,23,"50,0","87,0",~100,"228,9",23,"50,0","91,3",~100,"235,8",2013
Botkyrka,Freinetskolan Kastanjen,Enskild,,29524966,..,..,..,..,..,..,..,..,~100,"206,3",2013
Botkyrka,Kunskapsskolan Botkyrka,Enskild,,84411355,34,"47,9","88,2",~100,"248,5",37,"52,1","91,9",~100,"234,3",2013
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,,57850353,..,..,.,.,..,..,..,..,..,..,2013
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,39,"54,9","69,2",~100,"205,6",32,"45,1","68,8",~100,"180,9",2013
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,23,"51,1","78,3",~100,"222,9",22,"48,9","54,5",~100,"160,5",2013
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,39,"41,9","89,7",~100,"223,5",54,"58,1","83,3",~100,"206,4",2013
Burlöv,Stora Dalslundskolan,Kommunal,Burlöv,58712142,39,"55,7","71,8","82,1","215,6",31,"44,3","90,3",~100,"226,9",2013
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,36,"40,9","63,9","77,8","192,1",52,"59,1","71,2","86,5","200,0",2013
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,34,"55,7","88,2",~100,"230,6",27,"44,3","96,3","100,0","211,9",2013
