skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_exl_tcv110,skolverket_andel_elever_exl_tcv110,skolverket_and_uppn_alla_amnen_exl_tcv110,skolverket_and_behorig_yrkes_exl_tcv110,skolverket_gmv_exl_tcv110,skolverket_antal_elever_nyinv_tcv110,skolverket_andel_elever_nyinv_tcv110,skolverket_and_uppn_alla_amnen_nyinv_tcv110,skolverket_and_behorig_yrkes_nyinv_tcv110,skolverket_gmv_nyinv_tcv110,year
Eda,Gunnarsbyskolan 7-9,Kommunal,Eda,95519589,..,..,"84,2",~100,"208,6",..,..,..,..,..,2014
Eda,Hierneskolan  5-9,Kommunal,Eda,85815904,..,..,"72,0",~100,"208,9",..,..,..,..,..,2014
Ekerö,Drottningholmskolan,Enskild,"Drottningholmskolan, Mälaröarnas Waldorfskola",28231215,12,"100,0","91,7","100,0","253,8",.,.,.,.,.,2014
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,22,"100,0","86,4",~100,"249,9",.,.,.,.,.,2014
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,..,..,"87,5","92,7","237,4",..,..,..,..,..,2014
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,45,"100,0","84,4","100,0","226,0",.,.,.,.,.,2014
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,79,"100,0","92,4",~100,"221,6",.,.,.,.,.,2014
Ekerö,Sundsgården skola,Enskild,Frälsningsarmén,14571770,..,..,.,..,..,..,..,.,.,.,2014
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,30,"100,0","93,3",~100,"262,5",.,.,.,.,.,2014
Eksjö,Broarps skola,Enskild,Attendo Individ och Familj AB,30452569,12,"100,0",.,..,"93,3",.,.,.,.,.,2014
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,..,..,"78,8","81,8","199,9",..,..,..,..,..,2014
Eksjö,Hunsnässkolan,Kommunal,Eksjö,56054655,..,..,.,.,.,..,..,.,.,.,2014
Eksjö,Prästängsskolan,Kommunal,Eksjö,48457931,..,..,"70,1","88,1","215,0",..,..,.,..,..,2014
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,..,..,"74,2","77,3","200,0",..,..,..,..,..,2014
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,50,"100,0","90,0",~100,"214,0",.,.,.,.,.,2014
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,..,..,"72,7",~100,"196,0",..,..,.,.,..,2014
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,..,..,"82,7",~100,"216,9",..,..,..,..,..,2014
Enköping,S:t Iliansskolan/Västerledsskolan,Kommunal,Enköping,18143807,146,"91,3","68,5","80,8","195,2",14,"8,8",..,..,"145,4",2014
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,..,..,"73,8","88,1","211,4",..,..,..,..,..,2014
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige AB,67723630,94,"100,0","92,6",~100,"229,9",.,.,.,.,.,2014
Enköping,Bergtallens skola,Enskild,Villberga Familjecenter AB,73178642,11,"100,0",..,..,"106,1",.,.,.,.,.,2014
Eskilstuna,"British Junior Sec, Eskilstuna",Enskild,British Schools AB,50048111,..,..,..,..,..,..,..,.,.,.,2014
Eskilstuna,Djurgårdsskolan1 7-9,Kommunal,Eskilstuna,34148803,..,..,"77,5","84,5","218,9",..,..,.,.,..,2014
Eskilstuna,Djurgårdsskolan2 7-9,Kommunal,Eskilstuna,54605092,50,"100,0","80,0","80,0","208,5",.,.,.,.,.,2014
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,..,..,"90,2","95,5","217,7",..,..,.,.,..,2014
Eskilstuna,Skiftingehus 7-9,Kommunal,Eskilstuna,73348838,49,"76,6","71,4","81,6","186,7",15,"23,4",..,..,"107,8",2014
Eskilstuna,Skogstorpsskolan1 6-9,Kommunal,Eskilstuna,80168622,53,"100,0","86,8",~100,"228,4",.,.,.,.,.,2014
Eskilstuna,Skogstorpsskolan2 7-9,Kommunal,Eskilstuna,25219509,..,..,"68,1","83,0","184,7",..,..,.,..,..,2014
Eskilstuna,Stålforsskolan 1 7-9,Kommunal,Eskilstuna,73039560,115,"91,3","61,7","69,6","187,1",11,"8,7",..,..,"101,6",2014
Eskilstuna,Stålforsskolan 2 7-9,Kommunal,Eskilstuna,76124360,120,"88,2","67,5","77,5","209,5",16,"11,8",..,..,"113,8",2014
Eskilstuna,Stålforsskolan 3 7-9,Kommunal,Eskilstuna,64275635,66,"78,6","72,7","83,3","211,0",18,"21,4",.,..,"82,8",2014
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,38,"100,0","100,0","100,0","245,3",.,.,.,.,.,2014
Eskilstuna,Årbyskolan 7-9,Kommunal,Eskilstuna,60791109,..,..,"66,7","79,2","199,3",..,..,..,..,..,2014
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,..,..,"94,1","100,0","262,7",..,..,..,..,..,2014
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,..,..,"81,2","88,9","220,0",..,..,.,.,..,2014
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,..,..,"68,6","93,0","210,4",..,..,.,.,..,2014
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,..,..,"84,4",~100,"215,1",..,..,.,.,..,2014
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,58,"100,0","77,6","81,0","210,0",.,.,.,.,.,2014
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,..,..,"86,7",~100,"209,3",..,..,..,..,..,2014
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,115,"85,2","75,7","80,9","197,2",20,"14,8",..,..,"96,7",2014
Fagersta,Lindgårdsskolan,Enskild,Västanfors-Västervåla Församling,50128489,23,"100,0","82,6","100,0","204,1",.,.,.,.,.,2014
Falkenberg,Apelskolan 1,Kommunal,Falkenberg,31158776,..,..,"91,7",~100,"224,7",..,..,..,..,..,2014
Falkenberg,Apelskolan 2,Kommunal,Falkenberg,58501067,..,..,"65,0","65,0","193,0",..,..,.,.,..,2014
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,17,"100,0","94,1",~100,"240,3",.,.,.,.,.,2014
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,69,"100,0","78,3","79,7","197,9",.,.,.,.,.,2014
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,65,"100,0","76,9","84,6","206,3",.,.,.,.,.,2014
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,..,..,"58,8","88,2","189,5",..,..,.,..,..,2014
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,..,..,"85,5","90,9","214,5",..,..,..,..,..,2014
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,69,"100,0","65,2","82,6","212,1",.,.,.,.,.,2014
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,51,"100,0","96,1",~100,"254,9",.,.,.,.,.,2014
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,..,..,"64,3","76,8","196,9",..,..,.,.,..,2014
Falköping,Flobyskolan,Kommunal,Falköping,19044601,39,"100,0","61,5","82,1","193,4",.,.,.,.,.,2014
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,29,"100,0","62,1","72,4","184,7",.,.,.,.,.,2014
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,..,..,"83,3",~100,"211,1",..,..,.,.,..,2014
Falköping,Kyrkerörsskolan,Kommunal,Falköping,78444521,..,..,"73,5","83,3","208,5",..,..,.,.,..,2014
Falköping,Passagen,Kommunal,Falköping,45692007,..,..,.,.,.,..,..,.,.,.,2014
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,34,"77,3","76,5","82,4","198,1",10,"22,7",.,.,"37,3",2014
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,24,"100,0","91,7",~100,"233,4",.,.,.,.,.,2014
Falköping,Vårkullens skolveckohem,Enskild,Vårkullen AB,43911053,..,..,.,.,..,..,..,.,.,.,2014
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,74,"100,0","83,8",~100,"231,2",.,.,.,.,.,2014
Falun,Britsarvsskolan,Kommunal,Falun,17033155,..,..,"70,4","83,2","205,8",..,..,..,..,..,2014
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,..,..,"82,9","87,0","206,8",..,..,.,..,..,2014
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,20,"100,0","90,0",~100,"244,6",.,.,.,.,.,2014
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,87,"100,0","85,1","87,4","208,2",.,.,.,.,.,2014
Falun,Västra Skolan,Kommunal,Falun,27153243,..,..,"72,9","91,8","212,5",..,..,.,.,..,2014
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun Ek. För.,65494903,21,"100,0","85,7",~100,"248,7",.,.,.,.,.,2014
Falun,Backafors Resursskola,Enskild,Närsjögläntans Hvb-Hem AB,27560810,13,"100,0",..,..,"105,5",.,.,.,.,.,2014
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor och Skolor AB,72625090,44,"100,0","93,2",~100,"238,9",.,.,.,.,.,2014
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,..,..,"84,1","88,6","208,5",..,..,..,..,..,2014
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,..,..,"76,9",~100,"215,2",..,..,.,..,..,2014
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,..,..,"76,1","80,4","222,4",..,..,..,..,..,2014
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,..,..,"80,7","90,8","194,7",..,..,..,..,..,2014
Flen,Bruksskolan,Kommunal,Flen,59846075,24,"100,0","75,0",~100,"211,1",.,.,.,.,.,2014
Flen,Malmaskolan,Kommunal,Flen,41621337,..,..,"66,7","84,6","199,9",..,..,..,..,..,2014
Flen,Stenhammarskolan,Kommunal,Flen,81546814,86,"86,9","62,8","83,7","188,5",13,"13,1",..,..,..,2014
Flen,Flens kristna skola,Enskild,Flens Kristna Skola AB,52287808,..,..,..,..,..,..,..,.,.,.,2014
Forshaga,Dejeskolan L-H-stadiet,Kommunal,Forshaga,48228294,..,..,"82,4",~100,"213,9",..,..,.,.,..,2014
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,..,..,"74,5","90,2","203,7",..,..,.,.,..,2014
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,..,..,"75,0","85,9","205,0",..,..,.,.,..,2014
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,63,"100,0","87,3","92,1","219,1",.,.,.,.,.,2014
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,51,"100,0","92,2",~100,"213,8",.,.,.,.,.,2014
Gislaved,Lundåkerskolan,Kommunal,Gislaved,47236914,118,"90,1","68,6","77,1","199,0",13,"9,9",.,..,"39,0",2014
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,86,"100,0","72,1","88,4","202,8",.,.,.,.,.,2014
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,68,"100,0","73,5","80,9","200,6",.,.,.,.,.,2014
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,43,"100,0","72,1","83,7","216,1",.,.,.,.,.,2014
Gislaved,Montessorifriskolan i Gislaved,Enskild,Montessorifriskolan i Gislaved Ek. För.,93436580,12,"100,0","83,3",~100,"234,0",.,.,.,.,.,2014
Gnesta,Frejaskolan 6-9,Kommunal,Gnesta,71986467,..,..,"86,6","92,7","215,7",..,..,.,.,..,2014
Gnesta,Gnesta Waldorfskola,Enskild,Gnesta Waldorfskoleförening,35159342,..,..,..,..,..,..,..,.,.,.,2014
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,..,..,"73,1","83,3","207,9",..,..,..,..,..,2014
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,40,"100,0","85,0",~100,"207,1",.,.,.,.,.,2014
Gotland,Fårösundsskolan,Kommunal,Gotland,68188627,12,"100,0",..,~100,"223,1",.,.,.,.,.,2014
Gotland,Högby skola,Kommunal,Gotland,94163432,..,..,"75,0","81,6","206,8",..,..,.,.,..,2014
Gotland,Klinteskolan,Kommunal,Gotland,24429776,29,"100,0","82,8",~100,"226,7",.,.,.,.,.,2014
Gotland,Romaskolan,Kommunal,Gotland,60700608,38,"100,0","65,8","78,9","202,0",.,.,.,.,.,2014
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,..,..,"83,0","91,9","223,8",..,..,.,.,..,2014
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,22,"100,0","63,6","77,3","201,5",.,.,.,.,.,2014
Gotland,Södervärnsskolans 7-9,Kommunal,Gotland,80013231,101,"100,0","84,2","90,1","213,5",.,.,.,.,.,2014
Gotland,"Guteskolan, grundskola",Enskild,Guteskolan AB,42518434,25,"100,0","60,0","76,0","188,5",.,.,.,.,.,2014
