skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_exl_tcv110,skolverket_andel_elever_exl_tcv110,skolverket_and_uppn_alla_amnen_exl_tcv110,skolverket_and_behorig_yrkes_exl_tcv110,skolverket_gmv_exl_tcv110,skolverket_antal_elever_nyinv_tcv110,skolverket_andel_elever_nyinv_tcv110,skolverket_and_uppn_alla_amnen_nyinv_tcv110,skolverket_and_behorig_yrkes_nyinv_tcv110,skolverket_gmv_nyinv_tcv110,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ek. För.,71387206,23,"100,0","91,3",~100,"217,8",.,.,.,.,.,2014
Ale,Aroseniusskolan,Kommunal,Ale,48529699,115,"100,0","58,3","82,6","197,6",.,.,.,.,.,2014
Ale,Bohusskolan 7-9,Kommunal,Ale,70878576,48,"100,0","70,8",~100,"209,5",.,.,.,.,.,2014
Ale,Himlaskolan 4-9,Kommunal,Ale,31104888,43,"100,0","60,5","83,7","192,5",.,.,.,.,.,2014
Ale,Kyrkbyskolan,Kommunal,Ale,54087001,..,..,"55,6","71,4","176,1",..,..,.,.,..,2014
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,..,..,"90,7",~100,"224,2",..,..,..,..,..,2014
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,86,"100,0","84,9",~100,"234,6",.,.,.,.,.,2014
Alingsås,Sollebrunns skola 6-9,Kommunal,Alingsås,76908037,..,..,"76,1","84,8","213,6",..,..,.,..,..,2014
Alingsås,Östlyckeskolan 6-7,Kommunal,Alingsås,63889771,..,..,..,..,..,..,..,.,.,.,2014
Alingsås,Östlyckeskolan 8-9,Kommunal,Alingsås,20234335,..,..,"76,4","87,7","211,0",..,..,..,..,..,2014
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,48,"100,0","95,8",~100,"250,6",.,.,.,.,.,2014
Alingsås,Linnéskolan,Enskild,Alingsås Waldorfskoleförening,32478204,..,..,..,..,..,..,..,.,.,.,2014
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,37,"100,0","89,2",~100,"231,8",.,.,.,.,.,2014
Alvesta,Grönkullaskolan,Kommunal,Alvesta,94191518,84,"84,8","70,2","84,5","200,4",15,"15,2",..,..,"101,3",2014
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,49,"100,0","85,7",~100,"231,6",.,.,.,.,.,2014
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,..,..,"78,3",~100,"216,5",..,..,.,.,..,2014
Aneby,Furulidskolan,Kommunal,Aneby,88669294,..,..,"84,2",~100,"220,2",..,..,.,..,..,2014
Aneby,Oasens skola,Enskild,Oasen Utbildningscenter AB,48000763,..,..,.,.,..,..,..,.,.,.,2014
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,..,..,"73,1","88,1","208,2",..,..,..,..,..,2014
Arboga,Stureskolan,Kommunal,Arboga,13854755,69,"100,0","85,5",~100,"225,0",.,.,.,.,.,2014
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,..,..,"76,7",~100,"216,1",..,..,..,..,..,2014
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,59,"100,0","61,0","74,6","201,4",.,.,.,.,.,2014
Arvika,Centralskolan,Kommunal,Arvika,60318692,..,..,"72,4","86,2","204,1",..,..,..,..,..,2014
Arvika,Järvenskolan,Kommunal,Arvika,96316449,24,"100,0","95,8","100,0","251,4",.,.,.,.,.,2014
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,67,"100,0","65,7","83,6","201,9",.,.,.,.,.,2014
Arvika,"Estetiska skolan, högstadiet",Enskild,Ideella Föreningen Estetiska skolan,99375199,30,"100,0","96,7",~100,"235,9",.,.,.,.,.,2014
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,..,..,"73,9","89,2","210,1",..,..,.,.,..,2014
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,..,..,"66,7","78,9","196,6",..,..,.,.,..,2014
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,..,..,"70,6","82,4","198,1",..,..,.,.,..,2014
Avesta,Åvestadalskolan,Kommunal,Avesta,62023955,..,..,"71,2","79,7","201,3",..,..,.,.,..,2014
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,..,..,"71,4","81,0","211,4",..,..,..,..,..,2014
Berg,Myrvikens skola,Kommunal,Berg,56709330,28,"100,0","85,7",~100,"235,9",.,.,.,.,.,2014
Berg,Svenstavik åk 7-9,Kommunal,Berg,39932052,..,..,"75,0","86,1","206,1",..,..,.,.,..,2014
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,..,..,"91,7","100,0","224,7",..,..,..,..,..,2014
Bjuv,Ekeby skola,Kommunal,Bjuv,47546433,..,..,"83,3",~100,"238,1",..,..,..,..,..,2014
Bjuv,Jens Billeskolan  F - 6,Kommunal,Bjuv,19344516,34,"100,0","67,6","82,4","194,4",.,.,.,.,.,2014
Bjuv,Varagårdsskolan Bjuv Östra  F - 6,Kommunal,Bjuv,43688189,..,..,"75,0","90,0","198,8",..,..,..,..,..,2014
Bjuv,Forsärlans Miljöskola,Enskild,Palmlunds Helsingborg AB,18213876,21,"100,0","85,7",~100,"244,0",.,.,.,.,.,2014
Boden,Brönjaskolan,Kommunal,Boden,60633912,54,"100,0","100,0","100,0","238,8",.,.,.,.,.,2014
Boden,Stureskolan 1,Kommunal,Boden,75627171,..,..,"82,3","91,9","220,1",..,..,..,..,..,2014
Boden,Stureskolan 2,Kommunal,Boden,89885803,..,..,"77,2","87,7","213,2",..,..,.,..,..,2014
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden Ek. För.,98998541,24,"100,0","95,8",~100,"236,3",.,.,.,.,.,2014
Boden,Norrskenets Friskola i Boden,Enskild,Pysslingen Förskolor och Skolor AB,40708452,65,"100,0","89,2",~100,"223,0",.,.,.,.,.,2014
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,..,..,"72,5","85,0","212,3",..,..,..,..,..,2014
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,..,..,"69,7","72,7","194,1",..,..,.,.,..,2014
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,..,..,"59,2","69,7","187,2",..,..,.,.,..,2014
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,..,..,"81,1","86,5","206,6",..,..,..,..,..,2014
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,107,"100,0","97,2",~100,"223,0",.,.,.,.,.,2014
Borgholm,Köpings skola,Kommunal,Borgholm,64896318,..,..,.,.,..,..,..,.,.,.,2014
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,..,..,"76,1","86,6","215,1",..,..,..,..,..,2014
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,20,"100,0","95,0","100,0","236,6",.,.,.,.,.,2014
Borlänge,Lanternan,Enskild,Adventum Specialpedagogik AB,59137023,..,..,.,.,..,..,..,.,.,.,2014
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,..,..,"77,3","84,8","206,4",..,..,.,.,..,2014
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,..,..,"69,6","90,5","215,5",..,..,..,..,..,2014
Borlänge,Gylle skola 7-9,Kommunal,Borlänge,11406792,..,..,"80,2","91,5","206,0",..,..,.,.,..,2014
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,92,"82,1","59,8","80,4","202,6",20,"17,9",..,..,"76,6",2014
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,36,"100,0","83,3",~100,"218,7",.,.,.,.,.,2014
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige AB,70510891,29,"100,0","86,2",~100,"213,4",.,.,.,.,.,2014
Borlänge,Immanuelskolan,Enskild,Stiftelsen Immanuel,24147931,..,..,..,..,..,..,..,.,.,.,2014
Borås,Bodaskolan,Kommunal,Borås,67454907,..,..,"70,4","82,4","206,6",..,..,..,..,..,2014
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,..,..,"80,7","90,4","214,8",..,..,..,..,..,2014
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,..,..,"83,1","91,9","216,0",..,..,.,..,..,2014
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,..,..,"89,1","94,5","242,8",..,..,..,..,..,2014
Borås,Erikslundskolan,Kommunal,Borås,50870189,..,..,"66,7","81,3","207,0",..,..,.,.,..,2014
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,..,..,"82,6","91,3","213,7",..,..,..,..,..,2014
Borås,Sandgärdskolan,Kommunal,Borås,98081621,98,"100,0","83,7","94,9","215,5",.,.,.,.,.,2014
Borås,Särlaskolan 7-9,Kommunal,Borås,23108037,..,..,"72,5","91,3","214,0",..,..,.,.,..,2014
Borås,Viskaforsskolan 7-9,Kommunal,Borås,50756758,62,"100,0","69,4","77,4","196,5",.,.,.,.,.,2014
Borås,Engelska Skolan i Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,71,"100,0","94,4",~100,"266,5",.,.,.,.,.,2014
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige AB,10257640,99,"100,0","84,8","86,9","221,9",.,.,.,.,.,2014
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,17,"100,0","100,0","100,0","247,5",.,.,.,.,.,2014
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,..,..,..,..,..,..,..,.,.,.,2014
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,..,..,"79,3","90,2","224,7",..,..,..,..,..,2014
Botkyrka,Björkhaga Skola 1GR,Kommunal,Botkyrka,30755074,..,..,.,..,..,..,..,.,.,..,2014
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,102,"100,0","94,1","100,0","230,8",.,.,.,.,.,2014
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,..,..,"54,5","61,8","190,3",..,..,.,.,..,2014
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,..,..,"77,7","91,3","222,5",..,..,..,..,..,2014
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,..,.,..,..,..,..,.,.,..,2014
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,64,"79,0","45,3","78,1","181,0",17,"21,0",..,..,"126,6",2014
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,43,"68,3","23,3","65,1","149,8",20,"31,7",..,..,"87,0",2014
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,50,"100,0","66,0","82,0","206,8",.,.,.,.,.,2014
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,54,"73,0","48,1","70,4","192,6",20,"27,0",..,..,"130,0",2014
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,39,"100,0","89,7",~100,"226,3",.,.,.,.,.,2014
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,56,"100,0","89,3",~100,"228,4",.,.,.,.,.,2014
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,..,..,..,..,..,.,.,.,2014
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,..,..,"89,1","100,0","224,8",..,..,.,..,..,2014
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,..,..,"56,0","66,0","170,8",..,..,.,.,..,2014
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ek. För.,29524966,17,"100,0","76,5",~100,"219,7",.,.,.,.,.,2014
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,40,"100,0","97,5",~100,"242,7",.,.,.,.,.,2014
Botkyrka,Kunskapsskolan Botkyrka,Enskild,Kunskapsskolan i Sverige AB,84411355,..,..,"76,0","80,0","226,7",..,..,.,.,..,2014
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,Sverigefinska Skolan i Botkyrka AB,57850353,..,..,..,..,..,..,..,.,.,.,2014
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,..,..,"65,3","87,8","191,8",..,..,.,.,..,2014
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,..,..,"73,3","82,2","198,3",..,..,.,..,..,2014
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,..,..,"87,1","92,9","213,9",..,..,.,.,..,2014
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,..,..,"83,9",~100,"199,0",..,..,.,.,..,2014
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,..,..,"75,0",~100,"224,5",..,..,.,.,..,2014
Bräcke,Kälarne skola,Kommunal,Bräcke,82223639,17,"100,0","82,4",~100,"216,6",.,.,.,.,.,2014
Burlöv,Stora Dalslundskolan,Kommunal,Burlöv,58712142,85,"100,0","94,1",~100,"229,0",.,.,.,.,.,2014
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,..,..,"67,0","75,8","196,3",..,..,.,..,..,2014
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,..,..,"96,2",~100,"225,2",..,..,.,.,..,2014
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,..,..,"83,5",~100,"224,2",..,..,.,.,..,2014
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,..,..,"80,0",~100,"225,5",..,..,.,.,..,2014
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,..,..,"95,6",~100,"248,1",..,..,.,..,..,2014
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,..,..,"89,1",~100,"244,3",..,..,.,.,..,2014
Danderyd,Snitz Mörby,Enskild,PPS Power Planning System AB,13475641,..,..,..,..,..,..,..,.,.,.,2014
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,..,..,"96,6",~100,"247,8",..,..,..,..,..,2014
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,..,..,"63,0","79,3","202,1",..,..,.,.,..,2014
Dorotea,Strandenskolan,Kommunal,Dorotea,56595678,25,"100,0","96,0",~100,"219,4",.,.,.,.,.,2014
