skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_samtl_tcv110,skolverket_and_uppn_alla_amnen_samtl_tcv110,skolverket_and_behorig_yrkes_samtl_tcv110,skolverket_gmv_samtl_tcv110,skolverket_antal_elever_min4ar_tcv110,skolverket_andel_elever_min4ar_tcv110,skolverket_and_uppn_alla_amnen_min4ar_tcv110,skolverket_and_behorig_yrkes_min4ar_tcv110,skolverket_gmv_min4ar_tcv110,year
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,78,"41,0","48,7","154,0",52,"66,7","57,7","69,2","185,8",2015
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,41,"73,2","78,0","188,8",..,..,"78,4","83,8","195,2",2015
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,125,"90,4",~100,"233,6",..,..,"91,1",~100,"234,2",2015
Bollnäs,Edenskolan,Enskild,Stiftelsen Bollnäs Bibelcenter,69498258,..,..,..,..,..,..,..,..,..,2015
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,63,"77,8","84,1","225,1",..,..,"83,1","89,8","225,3",2015
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,25,"84,0",~100,"216,2",25,"100,0","84,0",~100,"216,2",2015
Borlänge,Lanternan,Enskild,Adventum Specialpedagogik AB,59137023,..,.,.,..,..,..,.,.,..,2015
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,97,"75,3","84,5","219,3",85,"87,6","84,7","94,1","234,7",2015
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,154,"71,4","82,5","203,0",..,..,"75,9","87,6","210,1",2015
Borlänge,Gylle skola 6-9,Kommunal,Borlänge,11406792,133,"72,2","79,7","213,1",..,..,"74,4","82,4","217,7",2015
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,118,"50,0","62,7","198,2",98,"83,1","60,2","75,5","216,7",2015
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,38,"47,4","55,3","182,0",..,..,"60,0","70,0","203,4",2015
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige Aktiebolag,70510891,41,"78,0","87,8","227,4",41,"100,0","78,0","87,8","227,4",2015
Borlänge,Immanuelskolan,Enskild,Stiftelsen Immanuel,24147931,13,..,..,"205,4",..,..,..,..,"222,0",2015
Borås,Bodaskolan,Kommunal,Borås,67454907,117,"65,8","76,1","202,4",..,..,"69,2","78,5","208,4",2015
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,124,"76,6","90,3","226,8",..,..,"77,7","90,9","227,8",2015
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,131,"78,6","86,3","222,7",..,..,"80,3","87,7","224,4",2015
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,102,"90,2","92,2","250,2",..,..,"92,9","94,9","253,0",2015
Borås,Erikslundskolan,Kommunal,Borås,50870189,47,"48,9","59,6","195,7",..,..,"55,0","65,0","206,1",2015
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,103,"81,6","90,3","223,2",103,"100,0","81,6","90,3","223,2",2015
Borås,Sandgärdskolan,Kommunal,Borås,98081621,93,"93,5",~100,"240,1",93,"100,0","93,5",~100,"240,1",2015
Borås,Särlaskolan F-9,Kommunal,Borås,23108037,67,"58,2","67,2","189,5",..,..,"60,3","68,3","193,4",2015
Borås,Viskaforsskolan F-9,Kommunal,Borås,50756758,74,"64,9","71,6","209,5",..,..,"67,6","74,6","210,8",2015
Borås,Engelska Skolan i Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,113,"96,5","100,0","277,2",113,"100,0","96,5","100,0","277,2",2015
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige Aktiebolag,10257640,97,"89,7","92,8","252,3",97,"100,0","89,7","92,8","252,3",2015
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,20,"90,0",~100,"243,9",20,"100,0","90,0",~100,"243,9",2015
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,20,"85,0",~100,"232,9",..,..,"84,2",~100,"231,8",2015
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,67,"73,1","79,1","221,6",..,..,"72,6","79,0","219,5",2015
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,86,"89,5",~100,"234,5",86,"100,0","89,5",~100,"234,5",2015
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,37,"70,3","81,1","219,5",..,..,"69,4","80,6","218,3",2015
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,79,"74,7","82,3","232,8",69,"87,3","81,2","87,0","230,0",2015
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,.,.,..,..,..,.,.,..,2015
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,67,"44,8","64,2","158,3",..,..,"48,3","69,0","165,1",2015
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,45,"51,1","64,4","177,3",32,"71,1","65,6","81,3","208,4",2015
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,43,"67,4","83,7","233,0",..,..,"69,0","85,7","235,6",2015
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,53,"47,2","64,2","191,5",38,"71,7","57,9","76,3","203,6",2015
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,38,"78,9","86,8","224,7",38,"100,0","78,9","86,8","224,7",2015
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,51,"84,3","86,3","218,6",51,"100,0","84,3","86,3","218,6",2015
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,..,..,..,..,..,..,..,2015
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,80,"90,0",~100,"230,1",80,"100,0","90,0",~100,"230,1",2015
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,74,"52,7","70,3","197,5",64,"86,5","60,9","78,1","207,7",2015
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ekonomisk Förening,29524966,15,"80,0",~100,"234,3",15,"100,0","80,0",~100,"234,3",2015
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,41,"82,9",~100,"252,4",41,"100,0","82,9",~100,"252,4",2015
Botkyrka,Kunskapsskolan Botkyrka,Enskild,Kunskapsskolan i Sverige Aktiebolag,84411355,55,"83,6",~100,"234,5",55,"100,0","83,6",~100,"234,5",2015
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,Sverigefinska Skolan i Botkyrka Aktiebolag,57850353,10,..,..,"245,0",10,"100,0",..,..,"245,0",2015
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,50,"72,0","90,0","202,1",50,"100,0","72,0","90,0","202,1",2015
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,38,"57,9","71,1","183,0",..,..,"64,7","79,4","200,1",2015
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,82,"81,7","91,5","223,4",..,..,"82,5","92,5","224,5",2015
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,32,"75,0","81,3","210,0",..,..,"80,0",~100,"221,3",2015
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,37,"89,2",~100,"238,4",..,..,"94,1",~100,"245,0",2015
Bräcke,Kälarne skola,Kommunal,Bräcke,82223639,18,"72,2",~100,"202,6",..,..,"76,5",~100,"210,2",2015
Burlöv,Stora Dalslundskolan,Kommunal,Burlöv,58712142,75,"86,7",~100,"238,4",..,..,"86,5",~100,"238,3",2015
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,100,"65,0","73,0","211,7",86,"86,0","70,9","80,2","221,5",2015
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,51,"90,2",~100,"228,5",..,..,"92,0",~100,"229,9",2015
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,67,"77,6","91,0","230,9",..,..,"83,6",~100,"236,8",2015
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,48,"64,6","70,8","197,8",..,..,"70,7","78,0","206,2",2015
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,162,"93,2",~100,"264,7",162,"100,0","93,2",~100,"264,7",2015
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,143,"88,1","93,0","251,9",..,..,"92,6",~100,"259,1",2015
Danderyd,Snitz Mörby,Enskild,PPS Power Planning System Aktiebolag,13475641,..,..,..,..,..,..,..,..,..,2015
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,178,"96,1",~100,"263,6",..,..,"96,0",~100,"263,7",2015
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,126,"61,9","77,0","207,1",..,..,"63,9","78,7","209,6",2015
Dorotea,Strandenskolan,Kommunal,Dorotea,56595678,19,"57,9",~100,"172,1",19,"100,0","57,9",~100,"172,1",2015
Eda,Gunnarsbyskolan 6-9,Kommunal,Eda,95519589,39,"84,6","84,6","212,2",39,"100,0","84,6","84,6","212,2",2015
Eda,Hierneskolan  6-9,Kommunal,Eda,85815904,27,"63,0","77,8","218,7",27,"100,0","63,0","77,8","218,7",2015
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,45,"86,7",~100,"257,3",45,"100,0","86,7",~100,"257,3",2015
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,90,"91,1","92,2","247,6",..,..,"95,2",~100,"255,9",2015
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,17,"94,1",~100,"261,6",17,"100,0","94,1",~100,"261,6",2015
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,94,"89,4","93,6","229,7",94,"100,0","89,4","93,6","229,7",2015
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,31,"96,8","100,0","283,5",31,"100,0","96,8","100,0","283,5",2015
Eksjö,Broarps skola,Enskild,Attendo Individ och familj AB,30452569,10,.,..,..,10,"100,0",.,..,..,2015
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,20,"85,0",~100,"220,4",..,..,"89,5","100,0","230,8",2015
Eksjö,Hunsnässkolan,Kommunal,Eksjö,56054655,..,.,.,..,..,..,.,.,..,2015
Eksjö,Prästängsskolan,Kommunal,Eksjö,48457931,132,"73,5","76,5","221,1",121,"91,7","79,3","82,6","233,3",2015
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,91,"71,4","83,5","201,5",..,..,"73,9","86,4","206,3",2015
Enköping,Entréskolan Enköping,Enskild,AmiSgo AB,97000303,20,"70,0",~100,"211,6",20,"100,0","70,0",~100,"211,6",2015
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,62,"85,5","91,9","218,1",62,"100,0","85,5","91,9","218,1",2015
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,21,"66,7",~100,"198,3",..,..,"73,7",~100,"214,1",2015
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,53,"71,7","90,6","210,7",..,..,"76,0",~100,"218,7",2015
Enköping,S:t Iliansskolan,Kommunal,Enköping,34699165,157,"73,9","81,5","212,1",144,"91,7","78,5","86,1","215,4",2015
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,38,"86,8",~100,"217,6",38,"100,0","86,8",~100,"217,6",2015
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,67723630,76,"85,5",~100,"244,4",76,"100,0","85,5",~100,"244,4",2015
Enköping,Bergtallens skola,Enskild,Villberga Familjecenter Aktiebolag,73178642,..,.,..,..,..,..,.,..,..,2015
Eskilstuna,"Entréskolan, Eskilstuna",Enskild,AmiSgo AB,10443922,14,"71,4",~100,"231,0",14,"100,0","71,4",~100,"231,0",2015
Eskilstuna,"British Junior Sec, Eskilstuna",Enskild,British Schools AB,50048111,19,"78,9",~100,"233,8",..,..,"83,3",~100,"232,6",2015
Eskilstuna,Djurgårdsskolan1 7-9,Kommunal,Eskilstuna,34148803,52,"84,6","90,4","240,1",..,..,"86,3",~100,"243,6",2015
Eskilstuna,Djurgårdsskolan2 7-9,Kommunal,Eskilstuna,54605092,59,"76,3","86,4","217,3",59,"100,0","76,3","86,4","217,3",2015
Eskilstuna,Faktoriet 7-9,Kommunal,Eskilstuna,64275635,90,"77,8","84,4","216,6",..,..,"82,4","89,4","222,8",2015
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,116,"87,1","90,5","223,3",..,..,"92,7",~100,"232,5",2015
Eskilstuna,Skiftingehus F-9,Kommunal,Eskilstuna,65025285,90,"50,0","61,1","167,1",64,"71,1","70,3","85,9","205,0",2015
Eskilstuna,Skogstorpsskolan 7-9,Kommunal,Eskilstuna,30622727,111,"70,3","79,3","206,6",..,..,"70,9","80,0","208,1",2015
Eskilstuna,Stålforsskolan 7-9,Kommunal,Eskilstuna,14327803,263,"66,5","79,5","210,1",232,"88,2","72,0","84,5","219,4",2015
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,42,"92,9",~100,"249,8",42,"100,0","92,9",~100,"249,8",2015
Eskilstuna,Årbyskolan F-9,Kommunal,Eskilstuna,63315515,77,"51,9","74,0","192,7",..,..,"52,9","77,1","198,6",2015
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,196,"96,9","100,0","276,3",..,..,"96,9","100,0","276,4",2015
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,96,"72,9","80,2","222,4",..,..,"77,8","85,6","233,4",2015
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,54,"72,2","88,9","230,4",..,..,"73,6","90,6","230,4",2015
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,111,"73,0","82,0","199,4",..,..,"78,4","87,3","206,5",2015
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,46,"84,8","89,1","232,4",46,"100,0","84,8","89,1","232,4",2015
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,70,"78,6","90,0","213,4",..,..,"82,1",~100,"218,1",2015
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,134,"59,7","67,9","191,4",108,"80,6","73,1","83,3","214,0",2015
Fagersta,Lindgårdsskolan,Enskild,Västanfors-Västervåla Församling,50128489,17,"82,4",~100,"199,4",17,"100,0","82,4",~100,"199,4",2015
Falkenberg,Apelskolan 1,Kommunal,Falkenberg,31158776,44,"75,0","84,1","216,1",44,"100,0","75,0","84,1","216,1",2015
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,14,"85,7",~100,"251,3",14,"100,0","85,7",~100,"251,3",2015
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,64,"64,1","81,3","207,7",..,..,"67,2","85,2","214,6",2015
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,66,"69,7","89,4","223,1",..,..,"71,9","92,2","228,1",2015
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,81,"76,5","86,4","208,9",..,..,"81,6","92,1","219,7",2015
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,53,"79,2","88,7","204,5",..,..,"82,4",~100,"207,9",2015
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,76,"64,5","81,6","207,7",..,..,"67,1","84,9","213,8",2015
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,51,"96,1",~100,"259,4",51,"100,0","96,1",~100,"259,4",2015
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,74,"60,8","68,9","197,0",..,..,"69,2","78,5","210,3",2015
Falköping,Flobyskolan,Kommunal,Falköping,19044601,55,"58,2","78,2","187,5",..,..,"68,1",~100,"205,0",2015
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,31,"87,1",~100,"211,2",30,"96,8","90,0",~100,"211,2",2015
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,23,"82,6",~100,"215,1",..,..,"86,4",~100,"223,3",2015
Falköping,Kyrkerörsskolan,Kommunal,Falköping,78444521,95,"73,7","80,0","209,9",84,"88,4","82,1","89,3","228,7",2015
Falköping,Passagen,Kommunal,Falköping,45692007,..,.,.,.,..,..,.,.,.,2015
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,32,"68,8","71,9","179,8",..,..,"86,4",~100,"211,6",2015
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,21,"57,1","71,4","212,9",..,..,"70,6",~100,"232,1",2015
Falköping,Karl-Oskarskolan i Falköping,Enskild,Karl-Oskar Utbildning AB,48252217,18,"83,3",~100,"213,2",..,..,"93,3","100,0","226,0",2015
Falköping,Vårkullens skolveckohem,Enskild,Vårkullen AB,43911053,..,.,.,.,..,..,.,.,.,2015
Falun,Backafors Resursskola,Enskild,Attendo Närsjögläntans HVB-hem AB,27560810,..,..,..,..,..,..,..,..,..,2015
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,58,"69,0","91,4","228,9",58,"100,0","69,0","91,4","228,9",2015
Falun,Britsarvsskolan,Kommunal,Falun,17033155,69,"81,2","87,0","215,6",..,..,"83,3","89,4","219,8",2015
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,128,"68,8","75,8","206,3",..,..,"74,6","81,4","216,7",2015
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,20,"100,0","100,0","268,6",20,"100,0","100,0","100,0","268,6",2015
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,87,"82,8","88,5","207,8",87,"100,0","82,8","88,5","207,8",2015
Falun,Västra Skolan,Kommunal,Falun,27153243,147,"76,2","83,7","211,2",135,"91,8","83,0","91,1","221,7",2015
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun ekonomisk förening,65494903,21,"85,7",~100,"250,6",21,"100,0","85,7",~100,"250,6",2015
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor och Skolor AB,72625090,47,"95,7","100,0","250,9",47,"100,0","95,7","100,0","250,9",2015
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,72,"81,9","91,7","228,0",..,..,"83,1","93,0","229,1",2015
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,15,"100,0","100,0","230,0",15,"100,0","100,0","100,0","230,0",2015
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,101,"51,5","67,3","179,1",83,"82,2","59,0","77,1","193,6",2015
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,79,"77,2","84,8","218,4",79,"100,0","77,2","84,8","218,4",2015
Flen,Bruksskolan,Kommunal,Flen,59846075,21,"66,7",~100,"193,7",20,"95,2","65,0",~100,"189,4",2015
Flen,Malmaskolan,Kommunal,Flen,41621337,32,"59,4","65,6","194,5",30,"93,8","60,0","66,7","194,9",2015
Flen,Stenhammarskolan,Kommunal,Flen,81546814,115,"47,0","65,2","176,0",92,"80,0","58,7","78,3","199,8",2015
Flen,Flens kristna skola,Enskild,Flens Kristna Skola AB,52287808,10,..,..,"225,8",10,"100,0",..,..,"225,8",2015
Forshaga,Dejeskolan L-H-stadiet,Kommunal,Forshaga,48228294,45,"66,7","88,9","198,6",..,..,"72,5",~100,"205,9",2015
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,91,"85,7",~100,"227,3",..,..,"86,7",~100,"228,0",2015
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,62,"46,8","51,6","178,3",..,..,"51,9","57,4","188,3",2015
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,75,"80,0",~100,"227,8",75,"100,0","80,0",~100,"227,8",2015
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,51,"68,6","80,4","208,0",..,..,"70,2","83,0","210,9",2015
Gislaved,Lundåkerskolan,Kommunal,Gislaved,47236914,125,"62,4","72,0","195,4",114,"91,2","68,4","78,1","206,1",2015
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,91,"80,2","87,9","217,1",..,..,"82,0","89,9","221,2",2015
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,77,"81,8","85,7","216,7",..,..,"82,9","86,8","218,3",2015
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,28,"82,1",~100,"230,8",28,"100,0","82,1",~100,"230,8",2015
Gislaved,Montessorifriskolan i Gislaved,Enskild,Montessorifriskolan i Gislaved Ekonomiska förening,93436580,..,..,..,..,..,..,..,..,..,2015
Gnesta,Frejaskolan 6-9,Kommunal,Gnesta,71986467,94,"64,9","85,1","204,1",..,..,"68,2","88,6","205,6",2015
Gnesta,Gnesta Waldorfskola,Enskild,Gnesta Waldorfskoleförening,35159342,..,..,..,..,..,..,..,..,..,2015
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,73,"68,5","69,9","202,7",..,..,"79,4","81,0","226,2",2015
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,41,"70,7","82,9","210,1",..,..,"74,4","84,6","211,4",2015
