skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_samtl_tcv110,skolverket_and_uppn_alla_amnen_samtl_tcv110,skolverket_and_behorig_yrkes_samtl_tcv110,skolverket_gmv_samtl_tcv110,skolverket_antal_elever_min4ar_tcv110,skolverket_andel_elever_min4ar_tcv110,skolverket_and_uppn_alla_amnen_min4ar_tcv110,skolverket_and_behorig_yrkes_min4ar_tcv110,skolverket_gmv_min4ar_tcv110,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ekonomisk förening,71387206,42,"85,7",~100,"226,3",42,"100,0","85,7",~100,"226,3",2015
Ale,Aroseniusskolan,Kommunal,Ale,48529699,115,"60,9","76,5","196,5",115,"100,0","60,9","76,5","196,5",2015
Ale,Bohusskolan,Kommunal,Ale,11043800,39,"82,1",~100,"217,7",39,"100,0","82,1",~100,"217,7",2015
Ale,Da Vinciskolan,Kommunal,Ale,61084420,131,"64,1","80,9","195,4",..,..,"67,5","84,6","199,4",2015
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,92,"85,9","94,6","226,5",92,"100,0","85,9","94,6","226,5",2015
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,76,"86,8",~100,"234,4",..,..,"86,7",~100,"235,1",2015
Alingsås,Sollebrunns skola 6-9,Kommunal,Alingsås,76908037,42,"90,5",~100,"236,1",42,"100,0","90,5",~100,"236,1",2015
Alingsås,Östlyckeskolan 6-7,Kommunal,Alingsås,63889771,14,.,..,"52,7",..,..,.,.,.,2015
Alingsås,Östlyckeskolan 8-9,Kommunal,Alingsås,20234335,129,"67,4","77,5","203,7",..,..,"75,0","84,5","219,0",2015
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,49,"98,0","100,0","263,6",49,"100,0","98,0","100,0","263,6",2015
Alingsås,Linnéskolan,Enskild,Alingsås Waldorfskoleförening,32478204,..,..,..,..,..,..,..,..,..,2015
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,45,"95,6","100,0","248,9",45,"100,0","95,6","100,0","248,9",2015
Alvesta,Hagaskolan,Kommunal,Alvesta,67183147,108,"64,8","73,1","203,9",84,"77,8","81,0","91,7","234,6",2015
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,30,"83,3",~100,"239,7",30,"100,0","83,3",~100,"239,7",2015
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,68,"67,6","83,8","226,5",..,..,"67,7","84,6","227,4",2015
Aneby,Furulidskolan,Kommunal,Aneby,88669294,77,"81,8","88,3","224,3",..,..,"84,9","91,8","231,8",2015
Aneby,Oasens skola,Enskild,Oasen Utbildningscenter AB,48000763,..,.,.,..,..,..,.,.,..,2015
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,81,"75,3","88,9","217,8",..,..,"75,0","88,8","217,9",2015
Arboga,Stureskolan,Kommunal,Arboga,13854755,67,"76,1","91,0","227,2",..,..,"78,5",~100,"232,5",2015
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,18,"61,1","72,2","214,0",..,..,"66,7",~100,"220,7",2015
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,70,"67,1","74,3","194,1",..,..,"71,2","78,8","201,6",2015
Arvika,Centralskolan,Kommunal,Arvika,60318692,155,"75,5","90,3","214,7",..,..,"76,5","90,8","216,0",2015
Arvika,Järvenskolan,Kommunal,Arvika,96316449,16,"87,5",~100,"248,8",16,"100,0","87,5",~100,"248,8",2015
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,62,"75,8","88,7","216,7",..,..,"77,0","90,2","219,2",2015
Arvika,"Estetiska skolan, högstadiet",Enskild,Ideella Föreningen Klässbols Högstadium,99375199,41,"80,5","87,8","226,6",41,"100,0","80,5","87,8","226,6",2015
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,100,"61,0","78,0","196,9",..,..,"61,2","77,6","197,4",2015
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,114,"67,5","81,6","218,3",101,"88,6","73,3","88,1","223,1",2015
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,31,"80,6",~100,"228,7",..,..,"79,3",~100,"230,7",2015
Avesta,Åvestadalskolan,Kommunal,Avesta,30454178,69,"62,3","78,3","204,0",..,..,"66,2","80,0","209,1",2015
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,97,"58,8","68,0","192,7",..,..,"65,9","76,5","210,0",2015
Berg,Myrvikens skola,Kommunal,Berg,56709330,29,"75,9",~100,"200,8",..,..,"78,6",~100,"206,4",2015
Berg,Svenstavik åk 7-9,Kommunal,Berg,39932052,41,"58,5","65,9","194,9",..,..,"72,7","81,8","226,1",2015
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,31,"74,2","77,4","200,7",..,..,"78,6","82,1","204,6",2015
Bjuv,Ekeby skola,Kommunal,Bjuv,47546433,18,"88,9",~100,"229,7",18,"100,0","88,9",~100,"229,7",2015
Bjuv,Jens Billeskolan  7 - 9,Kommunal,Bjuv,63778499,43,"79,1",~100,"213,0",43,"100,0","79,1",~100,"213,0",2015
Bjuv,Varagårdsskolan Bjuv Östra   7 - 9,Kommunal,Bjuv,45883916,67,"74,6","91,0","208,4",..,..,"77,8","92,1","210,8",2015
Boden,Brönjaskolan,Kommunal,Boden,60633912,56,"98,2",~100,"241,7",..,..,"98,1",~100,"242,0",2015
Boden,Stureskolan 1,Kommunal,Boden,75627171,103,"67,0","74,8","209,0",..,..,"82,5","90,0","228,1",2015
Boden,Stureskolan 2,Kommunal,Boden,89885803,67,"74,6","86,6","223,8",..,..,"75,8","86,4","223,8",2015
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden ekonomisk förening,98998541,23,"91,3",~100,"242,9",23,"100,0","91,3",~100,"242,9",2015
Boden,Norrskenets Friskola i Boden,Enskild,Pysslingen Förskolor och Skolor AB,40708452,47,"93,6",~100,"244,1",47,"100,0","93,6",~100,"244,1",2015
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,66,"84,8","92,4","226,3",66,"100,0","84,8","92,4","226,3",2015
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,26,"61,5","69,2","201,6",..,..,"65,2","73,9","206,5",2015
