skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Ale gymnasium,17221836,Ale,1440,2120001439,Ale,Kommunal,"13,0","1,0","12,0","50,0","66,7",.,"5,8","0,6","115,0","68,3",2018
Lärlingsgymnasiet i Ale,93221031,Ale,1440,5567628176,Lärlingsgymnasiet i Sverige AB,Enskild,"26,9","0,9","26,0","25,8","26,2",.,"9,2","1,0","240,0","76,5",2018
Alingsås Yrkesgymnasium,17474377,Alingsås,1489,5567290548,Alingsås Yrkesgymnasium AB,Enskild,"8,3","1,0","7,3","39,7","69,9","2,7","8,5",.,.,"89,0",2018
Alströmergymnasiet sektor 1,74776778,Alingsås,1489,2120001553,Alingsås,Kommunal,"14,8","0,5","14,3","39,0","92,2","4,1","13,9","0,4","497,5","100,0",2018
Alströmergymnasiet sektor 2,18345915,Alingsås,1489,2120001553,Alingsås,Kommunal,"32,8","1,0","31,8","27,8","75,7","2,4","10,7","0,4","855,0","100,0",2018
Alströmergymnasiet sektor 3,68229719,Alingsås,1489,2120001553,Alingsås,Kommunal,"23,0","1,0","22,0","66,2","97,4","3,4","11,8","0,4","647,5","100,0",2018
Alströmergymnasiet sektor 4,61004230,Alingsås,1489,2120001553,Alingsås,Kommunal,"28,6","1,0","27,6","51,3","87,8","4,5","9,3","0,4","642,5","100,0",2018
Alströmergymnasiet sektor 5,67768292,Alingsås,1489,2120001553,Alingsås,Kommunal,"6,9","0,5","6,4","84,3","94,5","9,4","17,2","0,4","275,0","98,4",2018
Allbo Lärcenter,75459583,Alvesta,0764,2120000639,Alvesta,Kommunal,"10,1","0,3","9,8","65,3","89,8","8,2","7,4","0,5","146,0","95,9",2018
Vasagymnasiet,71262305,Arboga,1984,2120002122,Arboga,Kommunal,"38,1","1,0","37,1","52,7","70,0",.,"10,3",.,.,"80,8",2018
Hornavanskolan,55795961,Arjeplog,2506,2120002668,Arjeplog,Kommunal,"15,7","0,7","15,1","45,7","72,0",.,"5,2","0,4","205,3","79,7",2018
Sandbackaskolan,84947634,Arvidsjaur,2505,2120002650,Arvidsjaur,Kommunal,"24,6","0,8","23,8","50,9","69,2","4,2","8,6","1,0","204,0","82,7",2018
"Estetiska skolan, gymnasiet",23517336,Arvika,1784,8740020212,Estetiska Skolan Arvika,Enskild,"8,0","0,4","7,6","38,2","77,6",.,"6,4","0,2","245,0","81,1",2018
Solbergagymnasiet,48009865,Arvika,1784,2120001892,Arvika,Kommunal,"29,1","1,0","28,1","41,9","92,9","6,8","12,7","0,8","447,5","92,1",2018
Taserudsgymnasiet,68518617,Arvika,1784,2120001892,Arvika,Kommunal,"57,9","1,0","56,9","46,5","75,9","1,6","8,2","2,4","193,8","92,3",2018
Karlfeldtgymnasiet ro 1,82840198,Avesta,2084,2120002262,Avesta,Kommunal,"39,2","1,0","38,2","65,0","78,3","4,4","8,2","1,3","235,3","79,6",2018
Karlfeldtgymnasiet ro 2,18208087,Avesta,2084,2120002262,Avesta,Kommunal,"29,5","1,0","28,5","34,4","72,2","2,3","8,7","0,7","338,4","89,6",2018
Karlfeldtgymnasiet ro 3,89982804,Avesta,2084,2120002262,Avesta,Kommunal,"16,7","1,0","15,7","57,3","72,9","4,2","12,5","0,5","364,8","84,1",2018
Strömkullegymnasiet,19464342,Bengtsfors,1460,2120001470,Bengtsfors,Kommunal,"32,2","1,0","31,2","47,0","62,1",.,"6,6","1,0","205,0","77,5",2018
Fjällgymnasiet,60743463,Berg,2326,2120002502,Berg,Kommunal,"15,6","0,7","14,9","49,7","34,9",.,"7,7","1,0","114,0","72,5",2018
Gymnasieutbildningen i Bjuv,70011480,Bjuv,1260,2120001041,Bjuv,Kommunal,"4,4","0,3","4,1","48,4","32,4",.,"7,7","1,0","32,0","78,7",2018
Björknäsgymnasiet sektor 1,32960825,Boden,2582,2120002767,Boden,Kommunal,"21,1",.,"21,1","75,2","90,5","9,5","10,3","2,0","109,0","88,6",2018
Björknäsgymnasiet sektor 2,43609520,Boden,2582,2120002767,Boden,Kommunal,"16,0",.,"16,0","45,8","83,4",.,"5,7",.,.,"100,0",2018
Björknäsgymnasiet sektor 3,41416934,Boden,2582,2120002767,Boden,Kommunal,"29,9","1,0","28,9","23,0","60,6",.,"8,4",.,.,"91,7",2018
Björknäsgymnasiet sektor 4,97968599,Boden,2582,2120002767,Boden,Kommunal,"15,4","1,0","14,4","79,1","100,0",.,"12,1",.,.,"100,0",2018
Björknäsgymnasiet Sektor 5,64685315,Boden,2582,2120002767,Boden,Kommunal,"22,2","0,8","21,4","83,5","86,9","6,7","7,6",.,.,"90,6",2018
Bollebygds gymnasieskola,35225375,Bollebygd,1443,2120002973,Bollebygd,Kommunal,"2,1","0,1","2,0","50,0","100,0",.,"6,5","0,1","260,0","50,0",2018
Friskolan Nytorp,21567982,Bollnäs,2183,5568813561,Friskolan Nytorp AB,Enskild,"8,2","0,6","7,6","28,9","57,9",.,"9,1",.,.,"28,9",2018
Hälsingegymnasiet,91748148,Bollnäs,2183,5567600886,Hälsingegymnasiet AB,Enskild,"22,8","1,0","21,8","38,2","72,3","4,6","14,1","0,4","767,5","96,7",2018
Naturlära i Hälsingland,49379603,Bollnäs,2183,5568554314,NaturLära i Hälsingland AB,Enskild,"3,7","0,5","3,2","100,0","75,0",.,"5,9",.,.,"100,0",2018
Nytorps Hästgymnasium,80167319,Bollnäs,2183,5569063455,Nytorps Hästgymnasium AB,Enskild,"3,1","0,2","2,9","78,9","27,9",.,"6,5",.,.,"74,5",2018
Torsbergsgymnasiet RO3,42218661,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"25,8","1,0","24,8","72,8","67,3","2,7","7,8","0,6","328,8","73,8",2018
Torsbergsgymnasiet RO4,73171934,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"22,9","1,0","21,9","61,9","63,2","3,1","7,6","0,6","269,4","64,9",2018
Torsbergsgymnasiet RO5,83474173,Bollnäs,2183,2220003111,Bollnäs,Kommunal,"22,4","1,0","21,4","44,6","79,9","5,0","9,8","0,6","355,9","95,5",2018
Ölands Gymnasium 1,91487291,Borgholm,0885,8324016453,Borgholm,Kommunal,"3,4","0,3","3,1","80,6","100,0","16,1","6,1",.,.,"58,1",2018
Erikslundsgymnasiet,21866405,Borlänge,2081,2120002239,Borlänge,Kommunal,"23,4","0,3","23,1","33,4","62,6","4,8","7,7","0,3","593,3","88,3",2018
Hagagymnasiet,74434644,Borlänge,2081,2120002239,Borlänge,Kommunal,"53,2","1,0","52,2","71,0","82,5","3,8","11,7","1,5","408,0","90,1",2018
Helixgymnasiet Borlänge,42022406,Borlänge,2081,5566747290,Helixutbildningar AB,Enskild,"21,3","1,0","20,3","45,3","61,1","4,9","12,5","0,6","421,7","41,9",2018
Hushagsgymnasiet,88445871,Borlänge,2081,2120002239,Borlänge,Kommunal,"40,0","0,7","39,3","35,5","67,6","1,8","8,2","1,1","293,6","91,0",2018
Introduktionsprogrammen,19100658,Borlänge,2081,2120002239,Borlänge,Kommunal,"25,2","1,0","24,2","77,3","83,5","12,4","10,8","1,0","262,0","89,7",2018
Rytmus Borlänge,31322470,Borlänge,2081,5564648979,Rytmus AB,Enskild,"11,4","1,0","10,4","47,1","76,0","9,6","9,0",.,.,"83,7",2018
Soltorgsgymnasiet,65192707,Borlänge,2081,2120002239,Borlänge,Kommunal,"37,1","1,0","36,1","51,0","92,2",.,"14,2","1,0","513,0","96,1",2018
Almåsgymnasiet A,18425335,Borås,1490,2120001561,Borås,Kommunal,"25,2","1,0","24,2","75,6","90,1","2,5","10,2","0,3","751,5","85,1",2018
Almåsgymnasiet B,93281974,Borås,1490,2120001561,Borås,Kommunal,"23,8","1,0","22,8","67,5","79,3","4,4","11,5","0,3","770,6","82,0",2018
Almåsgymnasiet C,23424275,Borås,1490,2120001561,Borås,Kommunal,"23,7","1,0","22,7","76,8","79,2",.,"9,7","0,3","647,1","89,4",2018
Björkängsgymnasiet A,14701551,Borås,1490,2120001561,Borås,Kommunal,"23,0","1,0","22,0","55,9","79,4",.,"5,3","1,0","117,0","76,4",2018
Björkängsgymnasiet B,33201730,Borås,1490,2120001561,Borås,Kommunal,"18,8","1,0","17,8","67,4","83,1","5,6","7,4","1,0","132,0","94,4",2018
Bäckängsgymnasiet A,43634528,Borås,1490,2120001561,Borås,Kommunal,"32,9","1,0","31,9","67,1","99,1","0,5","15,8","0,5","1 004,0","97,5",2018
Bäckängsgymnasiet B,36263479,Borås,1490,2120001561,Borås,Kommunal,"35,2","1,0","34,2","65,4","99,6","1,4","15,4","0,5","1 054,0","100,0",2018
Bäckängsgymnasiet C,56679384,Borås,1490,2120001561,Borås,Kommunal,"22,2","1,0","21,2","48,4","95,8","0,7","10,4",.,.,"97,7",2018
Bäckängsgymnasiet D,30538202,Borås,1490,2120001561,Borås,Kommunal,"17,8","1,0","16,8","70,6","97,6","2,9","10,1","0,5","340,0","96,7",2018
Drottning Blankas Gymnasieskola Borås,19150273,Borås,1490,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"11,5","1,0","10,5","71,3","51,2","4,4","15,6","0,2","815,0","55,7",2018
LBS Ljud & Bildskolan Borås,69018222,Borås,1490,5564851649,Ljud & Bildskolan Lbs AB,Enskild,"14,6","1,0","13,6","22,7","50,8",.,"14,5","0,2","985,0","50,8",2018
Praktiska Borås,25624692,Borås,1490,5562575786,Praktiska Sverige AB,Enskild,"14,1","1,0","13,1","44,3","39,7","7,6","14,4","0,2","945,0","58,0",2018
Realgymnasiet Borås,88534520,Borås,1490,5565715892,Lärande i Sverige AB,Enskild,"12,8","1,0","11,8","44,7","46,0","3,4","11,3","0,4","380,0","86,4",2018
Sven Eriksonsgymnasiet A,12889940,Borås,1490,2120001561,Borås,Kommunal,"32,0","1,0","31,0","36,6","71,1","2,1","11,9","0,3","1 121,2","78,7",2018
Sven Eriksonsgymnasiet B,16554575,Borås,1490,2120001561,Borås,Kommunal,"25,0","1,0","24,0","40,8","83,8","2,7","9,7","0,3","703,0","80,0",2018
Sven Eriksonsgymnasiet C,34076477,Borås,1490,2120001561,Borås,Kommunal,"33,9","1,0","32,9","54,4","84,8","2,1","15,6","0,3","1 508,8","84,6",2018
Sven Eriksonsgymnasiet D,54896448,Borås,1490,2120001561,Borås,Kommunal,"7,0","0,3","6,8","44,4","74,1",.,"10,2",.,.,"85,2",2018
Viskastrandsgymnasiet A,25356960,Borås,1490,2120001561,Borås,Kommunal,"29,4","0,8","28,7","20,6","67,0",.,"8,1","0,3","928,0","73,0",2018
Viskastrandsgymnasiet B,64284020,Borås,1490,2120001561,Borås,Kommunal,"30,0","1,0","29,0","42,8","63,3","1,7","9,4","0,3","1 096,0","70,2",2018
Viskastrandsgymnasiet C,98132436,Borås,1490,2120001561,Borås,Kommunal,"29,9","1,0","28,9","31,5","63,2","1,7","10,0","0,3","1 152,0","63,2",2018
Viskastrandsgymnasiet D,67692516,Borås,1490,2120001561,Borås,Kommunal,"9,5","1,0","8,5","51,2","86,5",.,"6,3","0,3","216,0","83,0",2018
Skyttbrinks gymnasium,60096875,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"14,4","1,0","13,4","55,2","55,2","3,0","12,5",.,.,"70,1",2018
S:t Botvids gymnasium,97758137,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"43,4","1,0","42,4","65,8","89,8","4,1","11,9","2,0","251,5","94,3",2018
Södertörns Gymnasium,53400472,Botkyrka,0127,5567538383,STEG för framtiden Aktiebolag,Enskild,"7,9","0,8","7,1","33,7","79,5",.,"10,7",.,.,"59,0",2018
Tullinge gymnasium,26334561,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"43,8",.,"43,8","82,4","94,3",.,"16,1","1,9","371,1","93,1",2018
Tumba gymnasium,40386043,Botkyrka,0127,2120002882,Botkyrka,Kommunal,"105,1",.,"105,1","48,0","86,8","2,9","12,0","2,6","483,5","81,7",2018
Furubygg,29324709,Bromölla,1272,2220001222,Bromölla,Kommunal,"4,4","0,1","4,3","17,8","76,2",.,"11,4","0,1","490,0","100,0",2018
"Jämtlands Gymn, Bräcke 4A",26864271,Bräcke,2305,2220001636,Bräcke,Kommunal,"11,9","0,3","11,6","23,8","32,6",.,"7,1","0,2","482,4","49,1",2018
"Jämtlands Gymn, Bräcke 4B",64411379,Bräcke,2305,2220001636,Bräcke,Kommunal,"3,9","0,2","3,7","54,8","86,3",.,"14,5","0,2","294,4","86,3",2018
Gymnasieutbildningen i Burlöv,73416853,Burlöv,1231,2120001025,Burlöv,Kommunal,"7,1",.,"7,1","60,6","80,3","14,1","12,8","1,0","91,0","94,4",2018
Akademi Båstad Gymnasium,59483268,Båstad,1278,2120000944,Båstad,Kommunal,"20,8","1,0","19,8","59,8","92,2",.,"11,0","1,0","217,0","80,8",2018
Apelrydsskolan,33685428,Båstad,1278,8024247234,Stiftelsen Apelrydsskolan,Enskild,"12,7","0,5","12,2","68,0","70,5",.,"9,2","0,3","448,0","88,5",2018
Apelrydsskolan i Båstad,32879845,Båstad,1278,8024778402,Stiftelsen Apelryd International,Enskild,"4,6","0,5","4,1","75,3","90,1",.,"14,6","0,2","393,3","100,0",2018
"Utsikten, Dals-Eds gymnasium",88573795,Dals-Ed,1438,2120001413,Dals-Ed,Kommunal,"19,0","0,6","18,4","48,4","84,8",.,"5,2","0,5","192,0","92,4",2018
Danderyds Gymnasium Ekonomi,20699742,Danderyd,0162,2120000126,Danderyd,Kommunal,"27,1","1,0","26,1","41,9","90,4","3,8","19,1","1,0","499,0","87,4",2018
Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Danderyd,0162,2120000126,Danderyd,Kommunal,"29,9","1,0","28,9","49,6","94,0","2,8","14,7","1,0","424,0","94,6",2018
"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Danderyd,0162,2120000126,Danderyd,Kommunal,"20,0",.,"20,0","45,4","97,0","4,0","17,2","0,5","688,0","94,7",2018
Marina läroverket i Danderyd,82814120,Danderyd,0162,5565160669,Klart Skepp Marinteknik AB,Enskild,"30,7","1,0","29,7","51,3","79,7",.,"16,7","0,3","1 992,0","91,6",2018
Viktor Rydberg gy. Djursholm,45164827,Danderyd,0162,8120005650,Stiftelsen Viktor Rydbergs Skola,Enskild,"33,3","1,0","32,3","55,6","80,8",.,"16,6","0,3","1 621,2","76,1",2018
Möckelngymnasiet Degerfors,10924758,Degerfors,1862,2120001991,Degerfors,Kommunal,"30,9","1,0","29,9","59,1","76,0","6,7","10,3","1,0","308,0","80,1",2018
Individuella Gymnasiet,55711881,Ekerö,0125,2120000050,Ekerö,Kommunal,"2,6","1,0","1,6","75,0","100,0","50,0","20,0",.,.,"100,0",2018
Eksjö Gymnasium 2,88259298,Eksjö,0686,2120000589,Eksjö,Kommunal,"27,7","0,5","27,2","49,7","72,4",.,"10,1","1,0","274,0","85,3",2018
