skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Eksjö Gymnasium 3,73098153,Eksjö,0686,2120000589,Eksjö,Kommunal,"34,8","1,0","33,8","48,4","61,5","4,1","10,0","0,8","449,3","86,0",2018
Nifsarpsskolan fri,44240250,Eksjö,0686,5565848537,Eksjö Fordonsutbildning AB,Enskild,"25,4","1,0","24,4","16,4","54,5",.,"9,6",.,.,"61,1",2018
Vilhelm Mobergsgymnasiet,17846181,Emmaboda,0862,2120000738,Emmaboda,Kommunal,"21,7","0,4","21,3","43,0","72,5",.,"10,5","0,5","446,0","78,2",2018
Westerlundska gymnasiet,75082798,Enköping,0381,2120000282,Enköping,Kommunal,"103,9",.,"103,9","46,5","82,8","1,7","12,1","4,3","294,8","93,5",2018
Grillska Gymnasiet Eskilstuna,23555409,Eskilstuna,0484,8020170794,Stadsmissionens Skolstiftelse,Enskild,"35,5","1,0","34,5","49,7","79,3","0,6","18,7","1,3","515,2","84,5",2018
Kunskapscompaniets Gymnasium i Eskilstuna,91333138,Eskilstuna,0484,5561383885,Kunskapscompaniet Gymnasium KCGY AB,Enskild,"14,5","1,0","13,5","37,0","29,6",.,"11,8",.,.,"85,8",2018
NTI Gymnasiet Eskilstuna,30341162,Eskilstuna,0484,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"11,6","1,0","10,6","52,6","39,3","1,4","16,3","0,2","860,0","48,8",2018
Realgymnasiet Eskilstuna,39936461,Eskilstuna,0484,5565715892,Lärande i Sverige AB,Enskild,"11,9","1,0","10,9","78,0","40,8",.,"12,2","0,3","532,0","85,3",2018
Rekarnegymnasiet 1,72266906,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"48,3","1,0","47,3","31,3","76,2",.,"13,2",.,.,"98,3",2018
Rekarnegymnasiet 2,27030026,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"63,9","1,0","62,9","54,0","85,4","2,9","11,7","0,2","3 680,0","96,0",2018
Rinmangymnasiet RI 1,16950252,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"51,5","0,9","50,6","64,1","88,3","2,9","13,5",.,.,"98,2",2018
Rinmangymnasiet RI 2,34637764,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"50,0","1,0","49,0","55,0","88,2","5,7","11,7","2,0","286,0","94,5",2018
S:t Eskils gymnasium 1,19912478,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"48,3","1,0","47,3","51,5","91,4",.,"11,8",.,.,"88,4",2018
S:t Eskils gymnasium 2,73255276,Eskilstuna,0484,2120000357,Eskilstuna,Kommunal,"34,1","1,0","33,1","71,6","90,2","6,1","11,1","3,6","102,2","99,2",2018
Bergagymnasiet,15077883,Eslöv,1285,2120001173,Eslöv,Kommunal,"60,5","1,0","59,5","52,2","67,7","3,4","11,0","2,0","328,0","83,4",2018
"NVU, Brinellskolan 1",32420077,Fagersta,1982,2220000927,Fagersta,Kommunal,"32,3","1,6","30,7","61,6","79,1","1,6","5,0","0,8","191,3","92,5",2018
"NVU, Brinellskolan 2",48434184,Fagersta,1982,2220000927,Fagersta,Kommunal,"19,4","1,0","18,4","45,7","83,7","4,4","21,8",.,.,"100,0",2018
Drottning Blankas Gymnasieskola Falkenberg,58724424,Falkenberg,1382,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"12,6","1,0","11,6","77,6","81,9",.,"12,8","0,1","2 960,0","91,8",2018
Falkenbergs Gymnasieskola 1,95684185,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"44,3",.,"44,3","57,6","92,0","7,0","8,1","2,5","142,8","93,3",2018
Falkenbergs Gymnasieskola 2,51138448,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"20,1","0,8","19,3","69,3","98,4","3,1","13,2","0,5","531,3","89,5",2018
Falkenbergs Gymnasieskola 3,19647256,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"23,4","1,0","22,4","32,8","85,3","2,7","8,4","0,4","482,1","89,3",2018
Falkenbergs Gymnasieskola 4,56421429,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"21,2","1,0","20,2","31,3","89,6","3,0","10,8","0,4","547,5","94,5",2018
Falkenbergs Gymnasieskola 5,39911065,Falkenberg,1382,2120001231,Falkenberg,Kommunal,"17,5","0,6","16,9","43,7","92,1","3,5","13,7","0,6","400,0","91,5",2018
Ållebergsgymnasiet A,17008320,Falköping,1499,2120001744,Falköping,Kommunal,"24,1","0,8","23,3","45,4","80,2",.,"10,3","0,5","535,6","93,4",2018
Ållebergsgymnasiet B,56737496,Falköping,1499,2120001744,Falköping,Kommunal,"25,3","1,0","24,3","54,3","75,4","3,1","10,8","0,4","657,5","91,0",2018
Ållebergsgymnasiet C,88850910,Falköping,1499,2120001744,Falköping,Kommunal,"32,9","1,0","31,9","67,3","71,6","7,2","7,8","0,8","308,8","79,2",2018
Ållebergsgymnasiet E,93939982,Falköping,1499,2120001744,Falköping,Kommunal,"34,3","1,0","33,3","49,6","81,6","3,0","8,6","0,5","572,0","92,6",2018
Falu Frigymnasium,25720752,Falun,2080,5566112834,Falu Frigymnasium Aktiebolag,Enskild,"32,3","1,0","31,3","53,8","87,7","3,2","12,7","0,8","497,5","92,3",2018
Hagströmska gymnasiet Falun,55155562,Falun,2080,5567550461,Hagströmska Gymnasiet AB,Enskild,"65,4","1,0","64,4","38,5","43,2","1,6","11,1","1,0","718,0","59,6",2018
Kristinegymnasiet RO1,31533003,Falun,2080,2120002221,Falun,Kommunal,"23,7","1,0","22,7","55,4","95,6","7,9","12,3","0,7","414,9","95,6",2018
Kristinegymnasiet RO2,31429031,Falun,2080,2120002221,Falun,Kommunal,"13,1","0,5","12,6","68,1","91,9",.,"11,2","0,3","440,6","91,9",2018
Kristinegymnasiet RO3,16361868,Falun,2080,2120002221,Falun,Kommunal,"21,8","1,0","20,8","74,1","95,2",.,"12,8","1,0","273,2","95,2",2018
Lugnetgymnasiet RO1,23164911,Falun,2080,2120002221,Falun,Kommunal,"39,4","1,0","38,4","38,0","91,8",.,"11,3",.,.,"96,9",2018
Lugnetgymnasiet RO2,24008049,Falun,2080,2120002221,Falun,Kommunal,"25,5","1,0","24,5","17,8","67,9","3,3","8,0","0,5","402,0","98,4",2018
Lugnetgymnasiet RO3,72661886,Falun,2080,2120002221,Falun,Kommunal,"32,4","1,0","31,4","59,8","83,5","0,8","11,8","1,4","263,1","86,6",2018
"Mikael Elias Gymnasium, Falun",19981611,Falun,2080,5565583282,Mikael Elias Gymnasium AB,Enskild,"7,1","0,4","6,8","34,1","74,1",.,"13,6",.,.,"69,6",2018
NTI Gymnasiet Falun,36680097,Falun,2080,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"8,5","0,9","7,6","26,3","55,9",.,"11,2",.,.,"78,9",2018
Plusgymnasiet Falun,87756916,Falun,2080,5565789129,Plusgymnasiet AB,Enskild,"10,0","0,4","9,6","68,8","48,0",.,"15,8","0,5","323,4","65,6",2018
Praktiska Falun,59734510,Falun,2080,5562575786,Praktiska Sverige AB,Enskild,"15,3","1,0","14,3","42,0","37,8",.,"9,0","0,4","322,5","90,2",2018
Spångbergsgymnasiet,19586169,Filipstad,1782,2120001876,Filipstad,Kommunal,"48,7","1,0","47,7","58,3","68,5",.,"8,5","1,0","407,0","87,3",2018
Bergska gymnasiet Bergska skolan,17643936,Finspång,0562,2120000423,Finspång,Kommunal,"13,8","1,0","12,8","65,5","92,2","23,5","10,1","0,5","258,0","96,9",2018
Bergska gymnasiet Bildningen,24273261,Finspång,0562,2120000423,Finspång,Kommunal,"26,2","1,0","25,2","59,4","80,3",.,"10,4","0,5","522,0","89,7",2018
Curt Nicolin-gymnasiet,95683850,Finspång,0562,5566431044,Curt Nicolin Gymnasiet AB,Enskild,"37,1","0,7","36,4","34,3","25,0","1,6","14,0","0,3","1 700,0","89,6",2018
Prins Wilhelm gymnasiet,59455288,Flen,0482,2120000332,Flen,Kommunal,"28,4","1,0","27,4","72,1","82,7",.,"10,4","0,8","356,3","84,2",2018
ForshagaAkademin,82163292,Forshaga,1763,5566205737,ForshagaAkademin AB,Enskild,"22,7","1,0","21,7","38,9","69,4",.,"12,1","0,2","1 315,0","92,2",2018
Gymnasieutbildningen i Gagnef,19599583,Gagnef,2026,2120002155,Gagnef,Kommunal,"1,9","0,3","1,6","68,8","100,0","12,5","10,6","0,5","34,0","100,0",2018
Gislaveds gymnasium Ekonomisk sektor,25679488,Gislaved,0662,2120000514,Gislaved,Kommunal,"33,5","1,0","32,5","42,0","85,5","4,5","10,8","0,3","1 412,0","87,7",2018
Gislaveds gymnasium NEO sektor,25677996,Gislaved,0662,2120000514,Gislaved,Kommunal,"41,3","1,0","40,3","63,9","62,9","1,7","9,3","0,6","593,7","60,5",2018
Gislaveds gymnasium Teknisk sektor,89888648,Gislaved,0662,2120000514,Gislaved,Kommunal,"33,3","1,0","32,3","37,4","75,0","4,1","9,9","0,8","426,7","86,4",2018
Motorsportsgymnasiet i Anderstorp,90003262,Gislaved,0662,5563836757,"Värmdö Tekniska Utbildningar Aktiebolag, Vtu",Enskild,"7,7","0,6","7,1","28,3","54,7",.,"10,3",.,.,"61,8",2018
Introduktionsprogram Gnesta kommun,35191755,Gnesta,0461,2120002965,Gnesta,Kommunal,"2,3","1,0","1,3","100,0","38,5",.,"19,2",.,.,.,2018
Gnosjöandans kunskapsc. gy,35063170,Gnosjö,0617,2120000506,Gnosjö,Kommunal,"32,5","0,8","31,7","56,5","73,1",.,"8,1","1,0","256,0","87,4",2018
Gutegymnasiet,31279294,Gotland,0980,5567044267,Guteskolan AB,Enskild,"25,7","1,0","24,7","40,7","51,8",.,"11,0","0,4","632,6","68,6",2018
Wisbygymnasiet,36782335,Gotland,0980,2120000803,Gotland,Kommunal,"123,1","1,0","122,1","53,9","85,6","3,1","12,4",.,.,"90,4",2018
Introduktionsprogrammet Språkintroduktion,42892954,Gullspång,1447,2120001637,Gullspång,Kommunal,"2,5",.,"2,5","32,0","32,0",.,"7,2","0,6","30,0","8,0",2018
Välkommaskolan enhet 1,20666515,Gällivare,2523,2220000760,Gällivare,Kommunal,"16,1","1,0","15,1","48,8","68,2",.,"12,3","1,0","185,0","69,2",2018
Välkommaskolan enhet 2,37906565,Gällivare,2523,2220000760,Gällivare,Kommunal,"14,2","1,0","13,2","78,1","72,4","15,1","13,9","1,0","184,0","84,9",2018
Välkommaskolan enhet 3,23063954,Gällivare,2523,2220000760,Gällivare,Kommunal,"19,2","0,9","18,3","9,3","56,3",.,"9,9","1,0","182,0","79,8",2018
Borgarskolan,21648755,Gävle,2180,2120002338,Gävle,Kommunal,"66,7","1,0","65,7","51,9","86,1","0,4","13,4","1,9","462,6","94,7",2018
Drottning Blankas Gymnasieskola Gävle,11111710,Gävle,2180,5565789129,Plusgymnasiet AB,Enskild,"13,4","1,0","12,4","78,9","50,3",.,"15,6","1,0","193,0","35,2",2018
NTI Gymnasiet Gävle,86547467,Gävle,2180,5561203679,Nordens Teknikerinstitut Aktiebolag (Nti),Enskild,"2,4","0,7","1,7","56,5","89,9",.,"11,9","0,1","400,0","17,9",2018
Polhemsskolan,90551279,Gävle,2180,2120002338,Gävle,Kommunal,"131,6",.,"131,6","52,7","69,3","0,8","11,6","5,6","272,5","82,2",2018
Praktiska Gävle,93062368,Gävle,2180,5562575786,Praktiska Sverige AB,Enskild,"12,2","1,0","11,2","37,5","44,6","8,9","9,6","0,4","251,2","67,9",2018
Realgymnasiet Gävle,69686851,Gävle,2180,5565715892,Lärande i Sverige AB,Enskild,"31,5","1,0","30,5","63,2","64,7","3,3","13,9","0,5","848,0","88,0",2018
Thoren Business School Gävle,49616977,Gävle,2180,5566139290,Thorengruppen AB,Enskild,"13,6","1,0","12,6","63,5","60,3",.,"19,5","0,2","1 230,0","73,0",2018
