skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_helttj_larare_tcv105,skolverket_helttj_larare_leg_tcv105,skolverket_and_helttj_larare_leg_tcv105,skolverket_helttj_forstelarare_tcv105,skolverket_ant_larare_tcv105,skolverket_ant_larare_pedex_tcv105,skolverket_and_larare_pedex_tcv105,skolverket_ant_behoriga_tcv105,skolverket_and_behoriga_tcv105,skolverket_ant_forstelarare_tcv105,year
Avesta,Karlfeldtgymnasiet ro 1,82840198,Kommunal,Avesta,"13,7","9,8","71,3","4,0",44,38,"86,4",30,"68,2",8,2017
Avesta,Karlfeldtgymnasiet ro 2,18208087,Kommunal,Avesta,"14,4","10,7","74,2","4,5",43,35,"81,4",30,"69,8",10,2017
Avesta,Karlfeldtgymnasiet ro 3,89982804,Kommunal,Avesta,"7,8","4,5","57,2","1,4",36,30,"83,3",24,"66,7",7,2017
Bengtsfors,Strömkullegymnasiet,19464342,Kommunal,Bengtsfors,"17,3","9,9","57,4","3,8",23,17,"73,9",16,"69,6",5,2017
Berg,Fjällgymnasiet,60743463,Kommunal,Berg,"4,2","1,4","32,1","1,6",10,6,"60,0",4,"40,0",2,2017
Bjuv,Gymnasieutbildningen i Bjuv,70011480,Kommunal,Bjuv,"0,3","0,1","25,0",.,1,1,"100,0",1,"100,0",.,2017
Boden,Björknäsgymnasiet sektor 1,32960825,Kommunal,Boden,"17,3","13,7","78,9","3,0",20,18,"90,0",17,"85,0",3,2017
Boden,Björknäsgymnasiet sektor 2,43609520,Kommunal,Boden,"11,0","7,9","71,8","5,0",13,11,"84,6",9,"69,2",5,2017
Boden,Björknäsgymnasiet sektor 3,41416934,Kommunal,Boden,"4,2","4,0","96,2","1,0",5,5,"100,0",4,"80,0",1,2017
Boden,Björknäsgymnasiet sektor 4,97968599,Kommunal,Boden,"11,7","11,3","96,6","2,0",14,14,"100,0",14,"100,0",2,2017
Boden,Björknäsgymnasiet Sektor 5,64685315,Kommunal,Boden,"15,6","6,9","44,3",.,17,14,"82,4",10,"58,8",.,2017
Bollnäs,Friskolan Nytorp,21567982,Enskild,Friskolan Nytorp AB,"1,5","0,4","27,4",.,6,5,"83,3",1,"16,7",.,2017
Bollnäs,Hälsingegymnasiet,91748148,Enskild,Hälsingegymnasiet AB,"16,1","10,1","63,0","3,0",19,13,"68,4",12,"63,2",3,2017
Bollnäs,Naturlära i Hälsingland,49379603,Enskild,NaturLära i Hälsingland AB,"1,7","0,6","38,6",.,4,3,"75,0",3,"75,0",.,2017
Bollnäs,Nytorps Hästgymnasium,80167319,Enskild,Nytorps Hästgymnasium AB,"1,1","0,0","0,0",.,3,0,"0,0",0,"0,0",.,2017
Borlänge,Erikslundsgymnasiet,21866405,Kommunal,Borlänge,"7,1","5,0","70,1","2,4",21,14,"66,7",12,"57,1",4,2017
Borlänge,Hagagymnasiet,74434644,Kommunal,Borlänge,"32,2","24,6","76,2","6,0",41,35,"85,4",33,"80,5",6,2017
Borlänge,Helixgymnasiet Borlänge,42022406,Enskild,Helixutbildningar AB,"11,8","5,5","46,9","1,0",18,9,"50,0",8,"44,4",1,2017
Borlänge,Hushagsgymnasiet,88445871,Kommunal,Borlänge,"14,4","8,8","60,9","4,6",23,17,"73,9",14,"60,9",6,2017
Borlänge,Introduktionsprogrammen,19100658,Kommunal,Borlänge,"33,1","10,7","32,3","1,0",34,27,"79,4",13,"38,2",1,2017
Borlänge,Rytmus Borlänge,31322470,Enskild,Rytmus AB,"5,3","4,3","80,7",.,9,6,"66,7",8,"88,9",.,2017
Borlänge,Soltorgsgymnasiet,65192707,Kommunal,Borlänge,"30,5","27,9","91,4","4,0",36,35,"97,2",36,"100,0",4,2017
Borås,Almåsgymnasiet A,18425335,Kommunal,Borås,"7,8","7,4","94,9","2,7",9,9,"100,0",9,"100,0",3,2017
Borås,Almåsgymnasiet B,93281974,Kommunal,Borås,"13,9","11,3","81,2","2,7",16,16,"100,0",14,"87,5",3,2017
Borås,Almåsgymnasiet C,23424275,Kommunal,Borås,"6,8","6,8","100,0","2,0",7,7,"100,0",7,"100,0",2,2017
Borås,Bäckängsgymnasiet A,43634528,Kommunal,Borås,"25,9","25,4","98,0","7,4",32,31,"96,9",31,"96,9",8,2017
Borås,Bäckängsgymnasiet B,36263479,Kommunal,Borås,"23,9","23,4","97,7","2,0",31,30,"96,8",31,"100,0",2,2017
Borås,Bäckängsgymnasiet C,56679384,Kommunal,Borås,"11,3","11,1","98,5","3,0",15,14,"93,3",15,"100,0",3,2017
Borås,Bäckängsgymnasiet D,30538202,Kommunal,Borås,"13,1","12,4","94,6",.,16,16,"100,0",16,"100,0",.,2017
Borås,Drottning Blankas Gymn. Borås,19150273,Enskild,Drottning Blankas Gymnasieskola AB,"5,2","1,8","34,6",.,9,5,"55,6",4,"44,4",.,2017
Borås,LBS Ljud & Bildskolan Borås,69018222,Enskild,Ljud & Bildskolan Lbs AB,"9,6","5,5","57,2","1,0",14,10,"71,4",7,"50,0",1,2017
Borås,Praktiska Borås,25624692,Enskild,Praktiska Sverige AB,"3,9","1,2","29,7","1,0",5,3,"60,0",2,"40,0",1,2017
Borås,Realgymnasiet Borås,88534520,Enskild,Lärande i Sverige AB,"4,9","3,1","62,4","1,0",9,7,"77,8",6,"66,7",1,2017
Borås,Sven Eriksonsgymnasiet A,12889940,Kommunal,Borås,"18,7","13,9","74,5","2,6",24,18,"75,0",18,"75,0",3,2017
Borås,Sven Eriksonsgymnasiet B,16554575,Kommunal,Borås,"21,5","17,1","79,5","2,0",25,23,"92,0",20,"80,0",2,2017
Borås,Sven Eriksonsgymnasiet C,34076477,Kommunal,Borås,"22,9","18,4","80,1","3,0",29,24,"82,8",24,"82,8",3,2017
Borås,Sven Eriksonsgymnasiet D,54896448,Kommunal,Borås,"3,8","3,6","96,4","1,7",5,5,"100,0",5,"100,0",2,2017
Borås,Viskastrandsgymnasiet A,25356960,Kommunal,Borås,"7,8","6,8","87,4","2,0",12,10,"83,3",10,"83,3",2,2017
Borås,Viskastrandsgymnasiet B,64284020,Kommunal,Borås,"9,5","8,0","84,7","3,8",15,14,"93,3",12,"80,0",4,2017
Borås,Viskastrandsgymnasiet C,98132436,Kommunal,Borås,"8,3","6,9","83,1","3,0",13,12,"92,3",10,"76,9",3,2017
Botkyrka,Gullviva gymnasiet,53400472,Enskild,STEG för framtiden Aktiebolag,"9,6","7,3","75,7",.,13,12,"92,3",11,"84,6",.,2017
Botkyrka,Skyttbrinks gymnasium,60096875,Kommunal,Botkyrka,"6,8","3,1","45,6",.,8,5,"62,5",4,"50,0",.,2017
Botkyrka,S:t Botvids gymnasium,97758137,Kommunal,Botkyrka,"33,1","18,3","55,2","5,3",38,31,"81,6",30,"78,9",6,2017
Botkyrka,Tullinge gymnasium,26334561,Kommunal,Botkyrka,"37,1","33,6","90,5","4,0",45,42,"93,3",42,"93,3",5,2017
Botkyrka,Tumba gymnasium,40386043,Kommunal,Botkyrka,"73,4","59,9","81,6","10,0",88,73,"83,0",70,"79,5",10,2017
Burlöv,Gymnasieutbildningen i Burlöv,73416853,Kommunal,Burlöv,"0,1","0,1","100,0",.,1,1,"100,0",1,"100,0",.,2017
Båstad,Akademi Båstad Gymnasium,59483268,Kommunal,Båstad,"16,8","10,8","64,2","1,0",26,23,"88,5",17,"65,4",1,2017
Båstad,Apelrydsskolan,33685428,Enskild,Stiftelsen Apelrydsskolan,"4,9","3,7","75,6","0,5",13,11,"84,6",11,"84,6",1,2017
Båstad,Apelrydsskolan i Båstad,32879845,Enskild,Stiftelsen Apelryd International,"3,7","3,6","96,6","0,1",11,11,"100,0",10,"90,9",1,2017
Dals-Ed,"Utsikten, Dals-Eds gymnasium",88573795,Kommunal,Dals-Ed,"8,7","3,7","42,3",.,13,11,"84,6",8,"61,5",.,2017
Danderyd,Danderyds Gymnasium Ekonomi,20699742,Kommunal,Danderyd,"21,7","21,2","97,7","5,0",26,24,"92,3",25,"96,2",5,2017
Danderyd,Danderyds Gymnasium Naturvetenskap och Teknik,21663998,Kommunal,Danderyd,"23,6","23,5","99,4","6,4",27,27,"100,0",27,"100,0",7,2017
Danderyd,"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",20595770,Kommunal,Danderyd,"24,5","22,4","91,4","4,0",30,27,"90,0",28,"93,3",4,2017
Danderyd,Marina läroverket i Danderyd,82814120,Enskild,Klart Skepp Marinteknik AB,"18,1","13,5","74,4","2,8",30,23,"76,7",23,"76,7",5,2017
Danderyd,Viktor Rydberg gy. Djursholm,45164827,Enskild,Stiftelsen Viktor Rydbergs Skola,"27,9","22,4","80,5","3,5",37,30,"81,1",30,"81,1",4,2017
Degerfors,Möckelngymnasiet Degerfors,10924758,Kommunal,Degerfors,"10,8","7,8","72,8","0,4",17,15,"88,2",12,"70,6",2,2017
Eda,Eda gymnasieskola,10200794,Kommunal,Eda,"1,6","1,0","60,0",.,5,5,"100,0",4,"80,0",.,2017
Ekerö,Individuella Gymnasiet,55711881,Kommunal,Ekerö,"1,0","0,0","0,0",.,1,1,"100,0",0,"0,0",.,2017
Eksjö,Eksjö Gymnasium 1,34153869,Kommunal,Eksjö,"21,3","18,8","88,5","2,0",25,23,"92,0",23,"92,0",2,2017
Eksjö,Eksjö Gymnasium 2,88259298,Kommunal,Eksjö,"3,5","2,6","75,4","1,0",6,5,"83,3",4,"66,7",1,2017
Eksjö,Eksjö Gymnasium 3,73098153,Kommunal,Eksjö,"1,4","0,3","24,2",.,3,2,"66,7",1,"33,3",.,2017
Eksjö,Nifsarpsskolan fri,44240250,Enskild,Eksjö Fordonsutbildning AB,"5,8","3,8","66,2",.,6,5,"83,3",5,"83,3",.,2017
Emmaboda,Vilhelm Mobergsgymnasiet,17846181,Kommunal,Emmaboda,"9,5","7,7","81,0","1,9",12,9,"75,0",10,"83,3",2,2017
Enköping,Westerlundska gymnasiet,75082798,Kommunal,Enköping,"46,7","40,5","86,7","11,8",63,55,"87,3",53,"84,1",13,2017
Eskilstuna,Grillska Gymnasiet Eskilstuna,23555409,Enskild,Stadsmissionens Skolstiftelse,"18,4","10,9","59,1","4,0",26,19,"73,1",16,"61,5",4,2017
Eskilstuna,Interkulturella enheten,87554242,Kommunal,Eskilstuna,"1,5","0,0","0,0","1,0",3,3,"100,0",0,"0,0",1,2017
Eskilstuna,Kunskapscompaniets Gymnasium i Eskilstuna,91333138,Enskild,Kunskapscompaniet Gymnasium KCGY AB,"4,3","1,9","43,5","1,0",5,4,"80,0",3,"60,0",1,2017
Eskilstuna,NTI-gymnasiet Eskilstuna,30341162,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"4,4","2,2","49,7","2,0",6,4,"66,7",4,"66,7",2,2017
Eskilstuna,Realgymnasiet Eskilstuna,39936461,Enskild,Lärande i Sverige AB,"4,8","3,1","65,4","2,9",5,4,"80,0",4,"80,0",3,2017
Eskilstuna,Rekarnegymnasiet 1,72266906,Kommunal,Eskilstuna,"21,7","20,7","95,1","5,0",26,25,"96,2",25,"96,2",5,2017
Eskilstuna,Rekarnegymnasiet 2,27030026,Kommunal,Eskilstuna,"17,0","16,3","96,0","6,6",20,19,"95,0",19,"95,0",7,2017
Eskilstuna,Rekarnegymnasiet 3,12154972,Kommunal,Eskilstuna,"15,9","10,7","67,3","2,0",17,17,"100,0",11,"64,7",2,2017
Eskilstuna,Rinmangymnasiet RI 1,16950252,Kommunal,Eskilstuna,"26,7","18,0","67,3","4,0",31,28,"90,3",22,"71,0",4,2017
Eskilstuna,Rinmangymnasiet RI 2,34637764,Kommunal,Eskilstuna,"34,5","24,7","71,5","6,0",48,41,"85,4",37,"77,1",7,2017
Eskilstuna,S:t Eskils gymnasium 1,19912478,Kommunal,Eskilstuna,"42,5","38,8","91,3","5,8",50,45,"90,0",45,"90,0",6,2017
Eskilstuna,S:t Eskils gymnasium 2,73255276,Kommunal,Eskilstuna,"7,4","6,2","83,5","2,0",10,9,"90,0",8,"80,0",2,2017
Eslöv,Bergagymnasiet,15077883,Kommunal,Eslöv,"21,6","18,2","84,2","6,0",30,26,"86,7",25,"83,3",6,2017
Falkenberg,Drottning Blankas Gymn. Falkenberg,58724424,Enskild,Drottning Blankas Gymnasieskola AB,"5,9","3,2","54,8","1,0",13,9,"69,2",7,"53,8",1,2017
Falkenberg,Falkenbergs Gymnasieskola 1,95684185,Kommunal,Falkenberg,"13,2","12,6","94,9","2,6",42,39,"92,9",36,"85,7",6,2017
Falkenberg,Falkenbergs Gymnasieskola 2,51138448,Kommunal,Falkenberg,"11,3","9,8","86,7","3,3",34,32,"94,1",31,"91,2",6,2017
Falkenberg,Falkenbergs Gymnasieskola 3,19647256,Kommunal,Falkenberg,"5,2","5,1","98,3","2,8",23,22,"95,7",21,"91,3",5,2017
Falkenberg,Falkenbergs Gymnasieskola 4,56421429,Kommunal,Falkenberg,"9,8","9,0","92,4","2,0",37,34,"91,9",30,"81,1",7,2017
Falkenberg,Falkenbergs Gymnasieskola 5,39911065,Kommunal,Falkenberg,"8,2","7,7","94,2","4,0",32,30,"93,8",26,"81,3",7,2017
Falköping,Ållebergsgymnasiet A,17008320,Kommunal,Falköping,"14,2","12,7","89,0","2,7",48,43,"89,6",40,"83,3",8,2017
Falköping,Ållebergsgymnasiet B,56737496,Kommunal,Falköping,"12,1","10,2","84,2","2,1",42,37,"88,1",35,"83,3",9,2017
Falköping,Ållebergsgymnasiet C,88850910,Kommunal,Falköping,"1,7","1,1","63,2","0,2",15,14,"93,3",11,"73,3",2,2017
Falköping,Ållebergsgymnasiet E,93939982,Kommunal,Falköping,"18,1","14,8","81,6","5,0",54,48,"88,9",45,"83,3",10,2017
Falun,Falu Frigymnasium,25720752,Enskild,Falu Frigymnasium Aktiebolag,"23,9","20,9","87,6","4,0",30,27,"90,0",25,"83,3",4,2017
Falun,Hagströmska gymnasiet Falun,55155562,Enskild,Hagströmska Gymnasiet AB,"23,9","18,9","79,1","3,5",31,28,"90,3",26,"83,9",4,2017
Falun,Kristinegymnasiet RO1,31533003,Kommunal,Falun,"14,1","12,9","91,5","2,0",16,15,"93,8",15,"93,8",2,2017
Falun,Kristinegymnasiet RO2,31429031,Kommunal,Falun,"4,4","4,4","100,0",.,7,7,"100,0",7,"100,0",.,2017
Falun,Kristinegymnasiet RO3,16361868,Kommunal,Falun,"11,2","8,9","79,9","4,1",15,15,"100,0",12,"80,0",5,2017
Falun,Lugnetgymnasiet RO1,23164911,Kommunal,Falun,"24,9","23,9","96,0","6,8",29,28,"96,6",28,"96,6",7,2017
Falun,Lugnetgymnasiet RO2,24008049,Kommunal,Falun,"18,1","16,1","88,8","5,3",23,21,"91,3",19,"82,6",6,2017
Falun,"Mikael Elias Gymnasium, Falun",19981611,Enskild,Mikael Elias Gymnasium AB,"7,3","5,7","77,4","2,0",13,8,"61,5",7,"53,8",2,2017
Falun,Musikkonservatoriet Falun,54481243,Landsting,Landstinget Dalarna,"11,4","4,7","41,1",.,33,16,"48,5",12,"36,4",.,2017
Falun,NTI-gymnasiet Falun,36680097,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"4,1","2,6","63,0","1,0",5,5,"100,0",3,"60,0",1,2017
Falun,Plusgymnasiet Falun,87756916,Enskild,Plusgymnasiet AB,"5,0","3,0","59,0","1,0",7,4,"57,1",4,"57,1",1,2017
Falun,Praktiska Falun,59734510,Enskild,Praktiska Sverige AB,"4,3","0,9","20,9",.,7,2,"28,6",1,"14,3",.,2017
Filipstad,"Frivilliga skolformer, Spångbergsgymnasiet",19586169,Kommunal,Filipstad,"17,0","14,8","87,3","1,2",25,21,"84,0",21,"84,0",2,2017
Finspång,Curt Nicolin-gymnasiet,95683850,Enskild,Curt Nicolin Gymnasiet AB,"20,9","3,9","18,9","0,6",27,7,"25,9",7,"25,9",2,2017
Finspång,Nya Bergska Öst,24273261,Kommunal,Finspång,"15,0","12,8","85,5","2,0",16,16,"100,0",15,"93,8",2,2017
Flen,Prins Wilhelm gymnasiet,59455288,Kommunal,Flen,"8,6","6,1","70,7","2,2",20,14,"70,0",14,"70,0",3,2017
Forshaga,ForshagaAkademin,82163292,Enskild,ForshagaAkademin AB,"15,3","9,4","61,2","2,8",24,21,"87,5",19,"79,2",3,2017
Gislaved,Gislaveds gymnasium Ekonomisk sektor,25679488,Kommunal,Gislaved,"15,5","14,2","91,5","3,5",18,15,"83,3",16,"88,9",5,2017
Gislaved,Gislaveds gymnasium NEO sektor,25677996,Kommunal,Gislaved,"15,3","11,7","76,5","4,3",24,20,"83,3",20,"83,3",6,2017
Gislaved,Gislaveds gymnasium Teknisk sektor,89888648,Kommunal,Gislaved,"13,7","11,1","80,9","2,0",20,16,"80,0",16,"80,0",2,2017
Gislaved,Motorsportsgymnasiet i Anderstorp,90003262,Enskild,"Värmdö Tekniska Utbildningar Aktiebolag, Vtu","2,0","1,7","85,2","1,0",4,4,"100,0",4,"100,0",1,2017
Gislaved,Stora Segerstad Naturbrukscentrum,88163512,Landsting,Jönköpings Läns Landsting,"5,2","3,8","72,6","1,3",9,7,"77,8",7,"77,8",2,2017
Gnosjö,Gnosjöandans kunskapsc. gy,35063170,Kommunal,Gnosjö,"13,4","12,1","90,1","0,8",25,22,"88,0",20,"80,0",2,2017
Gotland,Gutegymnasiet,31279294,Enskild,Guteskolan AB,"12,5","6,7","53,1",.,19,12,"63,2",11,"57,9",.,2017
Gotland,Wisbygymnasiet,36782335,Kommunal,Gotland,"58,8","53,4","90,7","11,9",70,67,"95,7",66,"94,3",12,2017
Gävle,Borgarskolan,21648755,Kommunal,Gävle,"42,4","34,2","80,5","10,9",48,45,"93,8",41,"85,4",12,2017
Gävle,Plusgymnasiet Gävle,11111710,Enskild,Plusgymnasiet AB,"5,1","3,2","62,7","2,0",9,6,"66,7",5,"55,6",2,2017
Gävle,Polhemsskolan,90551279,Kommunal,Gävle,"44,0","31,8","72,3","12,8",59,39,"66,1",39,"66,1",14,2017
Gävle,Praktiska Gävle,93062368,Enskild,Praktiska Sverige AB,"4,1","2,5","60,7","1,0",7,4,"57,1",3,"42,9",1,2017
Gävle,Realgymnasiet Gävle,69686851,Enskild,Lärande i Sverige AB,"12,5","9,2","73,8","3,0",14,9,"64,3",11,"78,6",3,2017
Gävle,Thoren Business School Gävle,49616977,Enskild,Thorengruppen AB,"9,0","5,3","58,9","4,3",10,6,"60,0",6,"60,0",5,2017
Gävle,Vasaskolan,54965510,Kommunal,Gävle,"61,4","56,9","92,8","10,7",74,66,"89,2",71,"95,9",11,2017
Gävle,Yrkesgymnasiet Gävle,90267145,Enskild,Thorengruppen AB,"4,8","3,3","68,4","2,8",5,4,"80,0",4,"80,0",3,2017
Göteborg,Angeredsgymnasiet 1,72998905,Kommunal,Göteborg,"6,6","2,7","40,9",.,9,7,"77,8",7,"77,8",.,2017
Göteborg,Angeredsgymnasiet 3,24685151,Kommunal,Göteborg,"27,5","13,6","49,4","1,0",28,21,"75,0",14,"50,0",1,2017
Göteborg,Angeredsgymnasiet 4,25872338,Kommunal,Göteborg,"9,4","4,2","44,1","1,7",12,8,"66,7",6,"50,0",2,2017
Göteborg,Angeredsgymnasiet 5,54164490,Kommunal,Göteborg,"11,8","10,9","92,4",.,15,14,"93,3",14,"93,3",.,2017
Göteborg,Aniaragymnasiet,69481650,Enskild,AF Affärseffekt Framtidsskola AB,"7,5","3,7","49,5","2,0",10,7,"70,0",6,"60,0",2,2017
Göteborg,Aspero Idrottsgymn. Göteborg,20319353,Enskild,Aspero Friskolor AB,"9,7","6,1","63,0","1,8",19,11,"57,9",9,"47,4",2,2017
Göteborg,Bernadottegymnasiet,92194545,Kommunal,Göteborg,"8,1","7,5","92,0","1,5",11,11,"100,0",11,"100,0",2,2017
Göteborg,Bräckegymnasiet 1,88153340,Kommunal,Göteborg,"5,7","4,2","73,2","3,9",6,6,"100,0",6,"100,0",4,2017
Göteborg,Bräckegymnasiet 2,94353434,Kommunal,Göteborg,"8,8","6,8","77,3","2,0",10,10,"100,0",8,"80,0",2,2017
Göteborg,Bräckegymnasiet 4,84978846,Kommunal,Göteborg,"1,0","0,5","50,0",.,1,1,"100,0",1,"100,0",.,2017
Göteborg,Burgården Utbildningscentrum 1,59396229,Kommunal,Göteborg,"3,5","3,5","100,0","2,0",4,4,"100,0",4,"100,0",2,2017
Göteborg,Burgården Utbildningscentrum 2,95165649,Kommunal,Göteborg,"6,2","4,9","78,5","2,8",7,6,"85,7",6,"85,7",3,2017
Göteborg,Burgården Utbildningscentrum 3,64740897,Kommunal,Göteborg,"11,7","10,7","91,9","1,7",18,15,"83,3",16,"88,9",2,2017
Göteborg,Burgården Utbildningscentrum 4,78979604,Kommunal,Göteborg,"11,8","6,9","58,3","0,9",13,12,"92,3",9,"69,2",1,2017
Göteborg,Burgården Utbildningscentrum 5,69626109,Kommunal,Göteborg,"10,5","9,7","91,9","2,0",23,21,"91,3",20,"87,0",2,2017
Göteborg,Center för språkintroduktion Lindholmen 1,53432700,Kommunal,Göteborg,"16,0","8,2","51,3","1,0",16,16,"100,0",9,"56,3",1,2017
Göteborg,Center för Språkintroduktion Lindholmen 2,22601648,Kommunal,Göteborg,"19,1","2,2","11,5","2,0",20,20,"100,0",3,"15,0",2,2017
Göteborg,Cybergymnasiet Göteborg,85068812,Enskild,Cybergymnasiet Göteborg AB,"13,7","11,5","84,0","1,8",18,16,"88,9",16,"88,9",3,2017
Göteborg,Donnergymnasiet,78397312,Enskild,Donnergymnasiet AB,"34,0","32,0","94,0","5,6",43,42,"97,7",40,"93,0",6,2017
Göteborg,Drottning Blankas Gymn. Göteborg,36444853,Enskild,Drottning Blankas Gymnasieskola AB,"12,2","12,2","100,0","3,3",15,15,"100,0",15,"100,0",4,2017
Göteborg,Ester Mosessons gymnasium 1,15414001,Kommunal,Göteborg,"4,8","4,8","100,0",.,5,5,"100,0",5,"100,0",.,2017
Göteborg,Ester Mosessons gymnasium 2,38311488,Kommunal,Göteborg,"10,2","7,4","72,4",.,12,11,"91,7",10,"83,3",.,2017
Göteborg,Framtidsgymnasiet i Göteborg,16819383,Enskild,Framtidsgymnasiet i Göteborg Aktiebolag,"10,4","3,5","33,4","2,0",13,7,"53,8",5,"38,5",2,2017
Göteborg,GTI:s gymnasieskola,89837629,Enskild,Göteborgs Tekniska Institut Aktiebolag,"20,8","14,8","71,2","4,5",30,21,"70,0",22,"73,3",5,2017
Göteborg,Gymnasieakademin,12994441,Enskild,IEAB International Education AB,"10,8","7,4","68,8","1,8",13,10,"76,9",11,"84,6",2,2017
Göteborg,Göteborgregionens tekniska gy,53660780,Enskild,Göteborgs Tekniska College Aktiebolag,"20,8","17,9","86,4","2,8",32,26,"81,3",28,"87,5",4,2017
Göteborg,Göteborgs Högre Samskola gy.,88774402,Enskild,Stiftelsen Göteborgs Högre Samskola,"29,7","27,2","91,3","6,7",52,50,"96,2",47,"90,4",11,2017
Göteborg,Hermods Gymnasium Göteborg,75141151,Enskild,Hermods Gymnasium AB,"14,4","11,3","78,4","3,8",19,14,"73,7",13,"68,4",4,2017
Göteborg,Hvitfeldtska gymnasiet 1,61701709,Kommunal,Göteborg,"15,7","14,8","94,1","1,3",18,18,"100,0",17,"94,4",2,2017
Göteborg,Hvitfeldtska gymnasiet 2,61469192,Kommunal,Göteborg,"16,1","15,2","94,4","1,0",24,22,"91,7",22,"91,7",1,2017
Göteborg,Hvitfeldtska gymnasiet 3,84306392,Kommunal,Göteborg,"30,0","30,0","100,0","3,7",32,32,"100,0",32,"100,0",4,2017
Göteborg,Hvitfeldtska gymnasiet 4,28627819,Kommunal,Göteborg,"24,9","24,2","97,2","5,0",27,27,"100,0",27,"100,0",5,2017
Göteborg,Hvitfeldtska gymnasiet 5,30086854,Kommunal,Göteborg,"18,3","13,9","75,9","4,7",26,21,"80,8",21,"80,8",5,2017
Göteborg,IHGR-gymnasiet,26627862,Kommunal,Göteborg,"26,8","12,4","46,2","2,0",41,20,"48,8",17,"41,5",2,2017
Göteborg,Ingrid Segerstedts gymnasium,48847282,Enskild,Stiftelsen Ingrid Segerstedts Gymnasium,"15,2","13,9","91,4","4,0",19,19,"100,0",19,"100,0",4,2017
Göteborg,International IT College of Sweden Gothenburg,72517762,Enskild,Edinit AB,"7,7","7,7","100,0","1,0",8,7,"87,5",8,"100,0",1,2017
Göteborg,IT-Gymnasiet Göteborg,79094701,Enskild,IT Gymnasiet Sverige AB,"18,0","14,7","81,5","2,4",26,20,"76,9",21,"80,8",3,2017
Göteborg,JENSEN Gymnasium Göteborg,38684438,Enskild,Jensen Education College AB,"15,7","12,8","81,5","3,5",23,19,"82,6",19,"82,6",4,2017
Göteborg,Katrinelundsgymnasiet 1,31251822,Kommunal,Göteborg,"13,5","13,5","100,0","4,0",21,21,"100,0",21,"100,0",5,2017
Göteborg,Katrinelundsgymnasiet 2,90099336,Kommunal,Göteborg,"3,2","3,2","100,0",.,7,7,"100,0",7,"100,0",.,2017
Göteborg,Katrinelundsgymnasiet 3,96590873,Kommunal,Göteborg,"12,6","11,2","89,2","2,0",15,14,"93,3",15,"100,0",2,2017
