skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_helttj_larare_tcv105,skolverket_helttj_larare_leg_tcv105,skolverket_and_helttj_larare_leg_tcv105,skolverket_helttj_forstelarare_tcv105,skolverket_ant_larare_tcv105,skolverket_ant_larare_pedex_tcv105,skolverket_and_larare_pedex_tcv105,skolverket_ant_behoriga_tcv105,skolverket_and_behoriga_tcv105,skolverket_ant_forstelarare_tcv105,year
Ale,Lärlingsgymnasiet i Ale,93221031,Enskild,Lärlingsgymnasiet i Sverige AB,"8,0","2,4","29,7",.,11,5,"45,5",4,"36,4",.,2017
Alingsås,Alingsås Yrkesgymnasium,17474377,Enskild,Alingsås Yrkesgymnasium AB,"1,7","0,2","11,8",.,6,4,"66,7",2,"33,3",.,2017
Alingsås,Alströmergymnasiet sektor 1,74776778,Kommunal,Alingsås,"7,5","7,5","100,0","2,2",15,15,"100,0",15,"100,0",5,2017
Alingsås,Alströmergymnasiet sektor 2,18345915,Kommunal,Alingsås,"14,4","11,2","78,0","1,6",24,20,"83,3",16,"66,7",3,2017
Alingsås,Alströmergymnasiet sektor 3,68229719,Kommunal,Alingsås,"15,1","14,2","93,9","3,1",25,25,"100,0",23,"92,0",4,2017
Alingsås,Alströmergymnasiet sektor 4,61004230,Kommunal,Alingsås,"17,2","14,8","86,1","3,5",31,27,"87,1",28,"90,3",5,2017
Alingsås,Alströmergymnasiet sektor 5,67768292,Kommunal,Alingsås,"0,4","0,4","100,0",.,1,1,"100,0",1,"100,0",.,2017
Arboga,Vasagymnasiet,71262305,Kommunal,Arboga,"26,6","18,9","71,0","4,0",31,23,"74,2",22,"71,0",4,2017
Arjeplog,Hornavanskolan,55795961,Kommunal,Arjeplog,"5,8","4,1","70,2",.,13,10,"76,9",9,"69,2",.,2017
Arvidsjaur,Sandbackaskolan,84947634,Kommunal,Arvidsjaur,"11,4","7,9","69,8","2,6",20,15,"75,0",14,"70,0",3,2017
Arvika,"Estetiska skolan, gymnasiet",23517336,Enskild,Estetiska Skolan Arvika,"6,7","5,0","74,6",.,29,16,"55,2",13,"44,8",.,2017
Arvika,Solbergagymnasiet,48009865,Kommunal,Arvika,"24,0","19,1","79,6","3,9",38,33,"86,8",31,"81,6",5,2017
Arvika,Taserudsgymnasiet 1,97870412,Kommunal,Arvika,"5,0","3,8","76,0","2,0",9,8,"88,9",7,"77,8",2,2017
Arvika,Taserudsgymnasiet 2,68564903,Kommunal,Arvika,"6,3","5,0","79,6","3,0",10,10,"100,0",8,"80,0",3,2017
