skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_fli_tcv140,skolverket_andel_fli_tcv140,skolverket_and_uppn_alla_amnen_fli_tcv140,skolverket_and_behorig_fli_tcv140,skolverket_gmv_fli_tcv140,skolverket_antal_poj_tcv140,skolverket_andel_poj_tcv140,skolverket_and_uppn_alla_amnen_poj_tcv140,skolverket_and_behorig_poj_tcv140,skolverket_gmv_poj_tcv140,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ek. För.,71387206,11,"47,8","100,0","100,0","225,2",12,"52,2","83,3",~100,"211,0",2014
Ale,Aroseniusskolan,Kommunal,Ale,48529699,53,"46,1","67,9","83,0","218,3",62,"53,9","50,0","82,3","179,9",2014
Ale,Bohusskolan 7-9,Kommunal,Ale,70878576,21,"43,8","66,7",~100,"212,4",27,"56,3","74,1",~100,"207,2",2014
Ale,Himlaskolan 4-9,Kommunal,Ale,31104888,20,"46,5","80,0",~100,"217,4",23,"53,5","43,5","73,9","169,9",2014
Ale,Kyrkbyskolan,Kommunal,Ale,54087001,37,"55,2","56,8","67,6","177,2",30,"44,8","46,7","66,7","164,6",2014
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,36,"47,4","94,4","100,0","238,8",40,"52,6","87,5",~100,"212,8",2014
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,47,"54,7","87,2",~100,"243,8",39,"45,3","82,1",~100,"224,1",2014
Alingsås,Sollebrunns skola 6-9,Kommunal,Alingsås,76908037,26,"55,3","84,6",~100,"235,2",21,"44,7","61,9",~100,"186,0",2014
Alingsås,Östlyckeskolan 6-7,Kommunal,Alingsås,63889771,..,..,.,.,.,..,..,..,..,..,2014
Alingsås,Östlyckeskolan 8-9,Kommunal,Alingsås,20234335,52,"46,0","78,8","82,7","215,2",61,"54,0","68,9","85,2","193,2",2014
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,22,"45,8","95,5","100,0","268,6",26,"54,2","96,2",~100,"235,4",2014
Alingsås,Linnéskolan,Enskild,Alingsås Waldorfskoleförening,32478204,..,..,.,..,..,..,..,..,..,..,2014
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,15,"40,5","93,3","100,0","233,3",22,"59,5","86,4",~100,"230,7",2014
Alvesta,Grönkullaskolan,Kommunal,Alvesta,94191518,31,"31,3","77,4","83,9","213,0",68,"68,7","54,4","72,1","174,4",2014
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,25,"51,0","88,0","100,0","236,8",24,"49,0","83,3",~100,"226,3",2014
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,24,"49,0","79,2",~100,"216,3",25,"51,0","68,0",~100,"201,8",2014
Aneby,Furulidskolan,Kommunal,Aneby,88669294,23,"39,7","91,3",~100,"229,0",35,"60,3","77,1",~100,"213,4",2014
Aneby,Oasens skola,Enskild,Oasen Utbildningscenter AB,48000763,..,..,.,.,.,..,..,.,.,..,2014
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,46,"64,8","76,1","87,0","214,2",25,"35,2","68,0",~100,"192,1",2014
Arboga,Stureskolan,Kommunal,Arboga,13854755,33,"47,8","78,8",~100,"212,7",36,"52,2","91,7",~100,"236,3",2014
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,15,"42,9","73,3",~100,"204,3",20,"57,1","70,0",~100,"198,8",2014
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,29,"49,2","62,1","69,0","207,1",30,"50,8","60,0","80,0","195,9",2014
Arvika,Centralskolan,Kommunal,Arvika,60318692,61,"40,7","77,0","88,5","212,7",89,"59,3","67,4","83,1","195,6",2014
Arvika,Järvenskolan,Kommunal,Arvika,96316449,10,"41,7","100,0","100,0","285,5",14,"58,3","92,9","100,0","227,0",2014
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,33,"49,3","72,7","81,8","210,5",34,"50,7","58,8","85,3","193,8",2014
Arvika,"Estetiska skolan, högstadiet",Enskild,Ideella Föreningen Estetiska skolan,99375199,..,..,"95,5",~100,"232,6",..,..,..,..,..,2014
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,56,"48,3","69,6","85,7","211,0",60,"51,7","71,7","85,0","199,4",2014
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,57,"48,3","68,4","73,7","206,1",61,"51,7","60,7","78,7","181,2",2014
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,15,"42,9",..,"66,7","179,6",20,"57,1","80,0",~100,"201,8",2014
Avesta,Åvestadalskolan,Kommunal,Avesta,62023955,28,"44,4","75,0",~100,"214,2",35,"55,6","60,0","65,7","180,9",2014
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,40,"45,5","80,0","82,5","223,4",48,"54,5","62,5","77,1","194,9",2014
Berg,Myrvikens skola,Kommunal,Berg,56709330,14,"50,0","85,7",~100,"257,1",14,"50,0","85,7","100,0","214,6",2014
Berg,Svenstavik åk 7-9,Kommunal,Berg,39932052,19,"46,3","78,9",~100,"219,1",22,"53,7","54,5","63,6","156,1",2014
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,11,"35,5","90,9",~100,"228,4",20,"64,5","70,0",~100,"185,8",2014
Bjuv,Ekeby skola,Kommunal,Bjuv,47546433,14,"56,0","85,7",~100,"240,7",11,"44,0",..,"100,0","232,3",2014
Bjuv,Jens Billeskolan  F - 6,Kommunal,Bjuv,19344516,12,"35,3",..,~100,"216,0",22,"64,7","63,6",~100,"182,0",2014
Bjuv,Varagårdsskolan Bjuv Östra  F - 6,Kommunal,Bjuv,43688189,27,"42,9","74,1",~100,"198,8",36,"57,1","75,0",~100,"198,7",2014
Bjuv,Forsärlans Miljöskola,Enskild,Palmlunds Helsingborg AB,18213876,..,..,"89,5",~100,"247,6",..,..,..,..,..,2014
Boden,Brönjaskolan,Kommunal,Boden,60633912,25,"46,3","100,0","100,0","241,8",29,"53,7","100,0","100,0","236,2",2014
Boden,Stureskolan 1,Kommunal,Boden,75627171,36,"56,3","86,1",~100,"232,4",28,"43,8","75,0",~100,"203,5",2014
Boden,Stureskolan 2,Kommunal,Boden,89885803,25,"43,1","84,0",~100,"227,6",33,"56,9","69,7","81,8","200,8",2014
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden Ek. För.,98998541,11,"45,8","90,9",~100,"255,3",13,"54,2","100,0","100,0","221,7",2014
Boden,Norrskenets Friskola i Boden,Enskild,Pysslingen Förskolor och Skolor AB,40708452,24,"36,9","91,7",~100,"232,1",41,"63,1","87,8",~100,"217,5",2014
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,39,"45,3","74,4","76,9","215,3",47,"54,7","72,3",~100,"203,7",2014
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,18,"51,4","77,8",~100,"213,8",17,"48,6",..,..,"156,9",2014
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,36,"42,4","61,1","61,1","182,5",49,"57,6","46,9","63,3","163,5",2014
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,22,"56,4","90,9",~100,"237,5",17,"43,6","64,7","70,6","157,9",2014
