skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_fli_tcv140,skolverket_andel_fli_tcv140,skolverket_and_uppn_alla_amnen_fli_tcv140,skolverket_and_behorig_fli_tcv140,skolverket_gmv_fli_tcv140,skolverket_antal_poj_tcv140,skolverket_andel_poj_tcv140,skolverket_and_uppn_alla_amnen_poj_tcv140,skolverket_and_behorig_poj_tcv140,skolverket_gmv_poj_tcv140,year
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,42,"39,3","100,0","100,0","241,9",65,"60,7","95,4",~100,"210,8",2014
Borgholm,Köpings skola,Kommunal,Borgholm,64896318,..,..,.,.,.,..,..,.,.,..,2014
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,36,"51,4","75,0","77,8","216,9",34,"48,6","76,5",~100,"210,4",2014
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,..,..,..,..,..,..,..,"100,0","100,0","235,2",2014
Borlänge,Lanternan,Enskild,Adventum Specialpedagogik AB,59137023,..,..,.,.,..,..,..,.,.,.,2014
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,38,"55,9","71,1","73,7","195,8",30,"44,1","80,0",~100,"207,7",2014
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,87,"54,0","69,0","90,8","224,0",74,"46,0","71,6","90,5","205,0",2014
Borlänge,Gylle skola 7-9,Kommunal,Borlänge,11406792,41,"38,3","75,6","87,8","213,5",66,"61,7","81,8","92,4","198,7",2014
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,49,"43,8","46,9","71,4","194,1",63,"56,3","52,4","66,7","174,1",2014
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,18,"50,0","88,9",~100,"236,9",18,"50,0","77,8",~100,"200,4",2014
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige AB,70510891,..,..,"86,4",~100,"216,6",..,..,..,..,..,2014
Borlänge,Immanuelskolan,Enskild,Stiftelsen Immanuel,24147931,..,..,.,.,..,..,..,..,..,..,2014
Borås,Bodaskolan,Kommunal,Borås,67454907,58,"51,3","69,0","77,6","204,0",55,"48,7","69,1","85,5","203,1",2014
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,57,"49,6","86,0",~100,"225,1",58,"50,4","75,9","87,9","205,2",2014
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,56,"39,2","83,9",~100,"223,9",87,"60,8","75,9","87,4","205,9",2014
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,62,"54,9","91,9",~100,"260,7",51,"45,1","82,4",~100,"218,2",2014
Borås,Erikslundskolan,Kommunal,Borås,50870189,22,"42,3","63,6","68,2","204,9",30,"57,7","60,0","80,0","200,3",2014
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,43,"46,2","86,0",~100,"227,9",50,"53,8","80,0","90,0","201,7",2014
Borås,Sandgärdskolan,Kommunal,Borås,98081621,46,"46,9","91,3",~100,"236,7",52,"53,1","76,9",~100,"196,8",2014
Borås,Särlaskolan 7-9,Kommunal,Borås,23108037,33,"44,6","66,7",~100,"222,6",41,"55,4","68,3","80,5","192,5",2014
Borås,Viskaforsskolan 7-9,Kommunal,Borås,50756758,28,"45,2","60,7","71,4","199,3",34,"54,8","76,5","82,4","194,3",2014
Borås,Engelska Skolan i Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,32,"45,1","96,9",~100,"277,3",39,"54,9","92,3",~100,"257,7",2014
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige AB,10257640,57,"57,6","86,0","87,7","227,2",42,"42,4","83,3","85,7","214,7",2014
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,..,..,"100,0","100,0","249,8",..,..,..,..,..,2014
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,..,..,..,..,..,..,..,..,..,..,2014
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,49,"49,0","77,6","83,7","220,1",51,"51,0","72,5","86,3","215,7",2014
Botkyrka,Björkhaga Skola 1GR,Kommunal,Botkyrka,30755074,..,..,.,.,.,..,..,.,..,..,2014
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,58,"56,9","94,8","100,0","242,8",44,"43,1","93,2","100,0","215,1",2014
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,24,"42,9","66,7","70,8","197,2",32,"57,1","43,8","53,1","182,9",2014
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,47,"43,9","78,7",~100,"235,2",60,"56,1","73,3","91,7","212,6",2014
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,..,.,.,.,..,..,.,..,..,2014
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,36,"44,4","61,1","80,6","210,6",45,"55,6","22,2","57,8","137,0",2014
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,25,"39,7",..,"68,0","154,7",38,"60,3",..,"42,1","113,6",2014
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,32,"64,0","65,6",~100,"220,2",18,"36,0","66,7","72,2","183,1",2014
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,38,"51,4","39,5","63,2","193,8",36,"48,6","36,1","52,8","156,7",2014
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,14,"35,9","92,9",~100,"240,7",25,"64,1","88,0",~100,"218,3",2014
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,27,"48,2","92,6",~100,"231,9",29,"51,8","86,2",~100,"225,2",2014
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,.,.,.,..,..,..,..,..,2014
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,21,"35,6","95,2","100,0","242,6",38,"64,4","76,3",~100,"205,7",2014
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,30,"57,7","53,3","60,0","177,1",22,"42,3","54,5","68,2","152,5",2014
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ek. För.,29524966,..,..,..,..,..,..,..,..,..,"206,8",2014
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,18,"45,0","94,4",~100,"260,1",22,"55,0","100,0","100,0","228,4",2014
Botkyrka,Kunskapsskolan Botkyrka,Enskild,Kunskapsskolan i Sverige AB,84411355,25,"49,0","56,0","60,0","204,9",26,"51,0","92,3",~100,"245,1",2014
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,Sverigefinska Skolan i Botkyrka AB,57850353,..,..,..,..,..,..,..,..,..,..,2014
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,22,"43,1","54,5","72,7","188,3",29,"56,9","69,0",~100,"186,7",2014
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,27,"54,0","77,8",~100,"210,5",23,"46,0","52,2","65,2","165,9",2014
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,42,"48,8","95,2",~100,"228,6",44,"51,2","77,3","88,6","196,7",2014
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,15,"46,9","80,0",~100,"200,8",17,"53,1","82,4",~100,"187,4",2014
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,10,"40,0",..,..,"243,0",15,"60,0","80,0",~100,"203,2",2014
Bräcke,Kälarne skola,Kommunal,Bräcke,82223639,..,..,..,..,..,..,..,..,~100,"206,6",2014
Burlöv,Stora Dalslundskolan,Kommunal,Burlöv,58712142,38,"44,7","86,8",~100,"222,7",47,"55,3","100,0","100,0","234,0",2014
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,49,"50,0","77,6","81,6","210,5",49,"50,0","46,9","61,2","165,5",2014
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,20,"37,0","90,0",~100,"224,6",34,"63,0","97,1",~100,"220,1",2014
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,39,"48,8","79,5",~100,"227,3",41,"51,3","85,4",~100,"217,6",2014
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,24,"54,5","79,2",~100,"222,9",20,"45,5","65,0",~100,"203,3",2014
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,70,"43,8","98,6",~100,"264,5",90,"56,3","92,2",~100,"233,5",2014
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,61,"47,3","93,4",~100,"257,7",68,"52,7","83,8",~100,"230,6",2014
Danderyd,Snitz Mörby,Enskild,PPS Power Planning System AB,13475641,..,..,..,..,..,..,..,..,..,..,2014
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,101,"56,4","98,0","100,0","260,5",78,"43,6","94,9",~100,"232,2",2014
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,40,"43,0","60,0","77,5","214,7",53,"57,0","64,2","79,2","190,2",2014
Dorotea,Strandenskolan,Kommunal,Dorotea,56595678,14,"56,0","100,0","100,0","223,0",11,"44,0","90,9",~100,"214,8",2014
Eda,Gunnarsbyskolan 7-9,Kommunal,Eda,95519589,20,"48,8","75,0",~100,"203,4",21,"51,2","85,7","100,0","205,6",2014
Eda,Hierneskolan  5-9,Kommunal,Eda,85815904,10,"38,5",..,..,..,16,"61,5","75,0",~100,"204,1",2014
Ekerö,Drottningholmskolan,Enskild,"Drottningholmskolan, Mälaröarnas Waldorfskola",28231215,..,..,..,..,..,..,..,..,..,..,2014
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,..,..,..,..,..,..,..,"92,3","100,0","241,0",2014
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,42,"41,2","90,5",~100,"251,1",60,"58,8","80,0","83,3","216,5",2014
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,24,"53,3","87,5","100,0","241,7",21,"46,7","81,0","100,0","208,1",2014
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,30,"38,0","93,3",~100,"235,1",49,"62,0","91,8",~100,"213,3",2014
Ekerö,Sundsgården skola,Enskild,Frälsningsarmén,14571770,..,..,.,.,.,..,..,.,..,..,2014
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,16,"53,3","93,8",~100,"267,0",14,"46,7","92,9","100,0","257,3",2014
Eksjö,Broarps skola,Enskild,Attendo Individ och Familj AB,30452569,..,..,.,.,..,..,..,.,..,..,2014
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,15,"44,1","86,7",~100,"204,3",19,"55,9","73,7",~100,"196,7",2014
Eksjö,Hunsnässkolan,Kommunal,Eksjö,56054655,..,..,.,.,.,..,..,.,.,.,2014
Eksjö,Prästängsskolan,Kommunal,Eksjö,48457931,70,"50,4","71,4","84,3","229,6",69,"49,6","63,8","87,0","193,7",2014
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,48,"47,1","85,4","85,4","218,8",54,"52,9","59,3","64,8","177,1",2014
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,22,"44,0","95,5","100,0","228,4",28,"56,0","85,7",~100,"202,7",2014
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,11,"47,8",..,~100,"217,5",12,"52,2",..,~100,"166,0",2014
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,24,"45,3","75,0","100,0","226,6",29,"54,7","89,7",~100,"209,5",2014
Enköping,S:t Iliansskolan/Västerledsskolan,Kommunal,Enköping,18143807,77,"48,1","64,9","75,3","192,4",83,"51,9","66,3","79,5","190,4",2014
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,20,"46,5","80,0",~100,"233,0",23,"53,5","69,6",~100,"191,4",2014
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige AB,67723630,61,"64,9","95,1",~100,"237,2",33,"35,1","87,9","100,0","216,6",2014
Enköping,Bergtallens skola,Enskild,Villberga Familjecenter AB,73178642,..,..,.,.,..,..,..,..,..,..,2014
Eskilstuna,"British Junior Sec, Eskilstuna",Enskild,British Schools AB,50048111,..,..,..,..,..,..,..,..,..,..,2014
Eskilstuna,Djurgårdsskolan1 7-9,Kommunal,Eskilstuna,34148803,45,"62,5","82,2","86,7","228,8",27,"37,5","66,7","77,8","196,2",2014
Eskilstuna,Djurgårdsskolan2 7-9,Kommunal,Eskilstuna,54605092,21,"42,0","85,7",~100,"233,1",29,"58,0","75,9","75,9","190,7",2014
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,57,"49,1","87,7",~100,"224,2",59,"50,9","86,4","89,8","197,6",2014
Eskilstuna,Skiftingehus 7-9,Kommunal,Eskilstuna,73348838,29,"45,3","58,6","65,5","170,1",35,"54,7","60,0","68,6","175,9",2014
Eskilstuna,Skogstorpsskolan1 6-9,Kommunal,Eskilstuna,80168622,20,"37,7","95,0","100,0","252,8",33,"62,3","81,8",~100,"213,1",2014
Eskilstuna,Skogstorpsskolan2 7-9,Kommunal,Eskilstuna,25219509,17,"34,7","70,6",~100,"194,0",32,"65,3","62,5","78,1","174,0",2014
Eskilstuna,Stålforsskolan 1 7-9,Kommunal,Eskilstuna,73039560,49,"38,9","63,3","71,4","196,9",77,"61,1","54,5","62,3","168,2",2014
Eskilstuna,Stålforsskolan 2 7-9,Kommunal,Eskilstuna,76124360,83,"61,0","63,9","72,3","204,1",53,"39,0","62,3","71,7","191,1",2014
Eskilstuna,Stålforsskolan 3 7-9,Kommunal,Eskilstuna,64275635,43,"51,2","60,5","67,4","201,0",41,"48,8","53,7","70,7","183,3",2014
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,18,"47,4","100,0","100,0","263,2",20,"52,6","100,0","100,0","229,3",2014
Eskilstuna,Årbyskolan 7-9,Kommunal,Eskilstuna,60791109,37,"47,4","75,7","81,1","210,9",41,"52,6","51,2","68,3","190,7",2014
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,120,"53,6","92,5","100,0","271,6",104,"46,4","96,2","100,0","253,0",2014
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,53,"44,2","84,9",~100,"235,5",67,"55,8","74,6","80,6","201,9",2014
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,39,"44,8","69,2",~100,"215,3",48,"55,2","66,7",~100,"202,1",2014
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,46,"47,9","73,9","87,0","211,7",50,"52,1","84,0",~100,"206,2",2014
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,31,"53,4","90,3",~100,"231,1",27,"46,6","63,0","70,4","186,7",2014
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,30,"48,4","90,0",~100,"223,6",32,"51,6","81,3",~100,"195,2",2014
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,55,"40,7","69,1","72,7","215,9",80,"59,3","63,8","70,0","168,0",2014
Fagersta,Lindgårdsskolan,Enskild,Västanfors-Västervåla Församling,50128489,10,"43,5",..,"100,0","215,3",13,"56,5","76,9","100,0","195,6",2014
Falkenberg,Apelskolan 1,Kommunal,Falkenberg,31158776,21,"42,0","95,2",~100,"249,9",29,"58,0","86,2",~100,"202,0",2014
Falkenberg,Apelskolan 2,Kommunal,Falkenberg,58501067,..,..,..,..,..,..,..,..,..,"173,8",2014
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,..,..,"100,0","100,0","264,3",..,..,..,..,..,2014
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,31,"44,9","80,6","80,6","217,3",38,"55,1","76,3","78,9","182,6",2014
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,31,"47,7","83,9",~100,"225,7",34,"52,3","70,6","82,4","188,6",2014
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,27,"50,9","66,7",~100,"196,1",26,"49,1","46,2",~100,"182,4",2014
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,27,"46,6","92,6",~100,"243,9",31,"53,4","74,2","80,6","176,4",2014
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,32,"46,4","75,0","84,4","227,4",37,"53,6","56,8","81,1","198,9",2014
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,18,"35,3","94,4",~100,"270,3",33,"64,7","97,0","100,0","246,5",2014
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,22,"37,9","59,1","77,3","202,5",36,"62,1","63,9","72,2","189,1",2014
Falköping,Flobyskolan,Kommunal,Falköping,19044601,18,"46,2","77,8",~100,"218,1",21,"53,8","47,6","76,2","173,3",2014
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,15,"51,7",..,..,"167,0",14,"48,3","71,4",~100,"203,8",2014
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,11,"28,9","100,0","100,0","253,2",27,"71,1","70,4","77,8","179,7",2014
Falköping,Kyrkerörsskolan,Kommunal,Falköping,78444521,50,"47,2","72,0","78,0","208,1",56,"52,8","69,6","82,1","195,8",2014
Falköping,Passagen,Kommunal,Falköping,45692007,..,..,.,.,.,..,..,.,.,.,2014
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,23,"52,3","73,9","73,9","191,2",21,"47,7",..,"52,4","129,0",2014
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,11,"45,8","90,9",~100,"238,2",13,"54,2","92,3","100,0","229,4",2014
Falköping,Vårkullens skolveckohem,Enskild,Vårkullen AB,43911053,..,..,.,.,.,..,..,.,.,..,2014
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,42,"56,8","85,7",~100,"247,7",32,"43,2","81,3",~100,"209,5",2014
Falun,Britsarvsskolan,Kommunal,Falun,17033155,70,"53,8","67,1","82,9","206,6",60,"46,2","70,0","80,0","203,3",2014
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,68,"52,3","83,8","91,2","211,4",62,"47,7","72,6","74,2","183,9",2014
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,..,..,"92,9",~100,"257,9",..,..,..,..,..,2014
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,44,"50,6","90,9",~100,"230,1",43,"49,4","79,1","83,7","185,8",2014
Falun,Västra Skolan,Kommunal,Falun,27153243,49,"55,7","59,2","83,7","214,6",39,"44,3","84,6",~100,"205,9",2014
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun Ek. För.,65494903,..,..,"78,6",~100,"250,4",..,..,..,..,..,2014
Falun,Backafors Resursskola,Enskild,Närsjögläntans Hvb-Hem AB,27560810,..,..,..,..,"98,8",..,..,.,..,..,2014
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor och Skolor AB,72625090,25,"56,8","96,0","100,0","255,1",19,"43,2","89,5",~100,"217,6",2014
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,58,"62,4","79,3","84,5","206,7",35,"37,6","85,7",~100,"208,9",2014
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,..,..,..,..,..,..,..,..,"100,0","214,3",2014
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,42,"41,6","69,0","76,2","214,7",59,"58,4","71,2","74,6","213,2",2014
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,53,"48,2","84,9",~100,"200,9",57,"51,8","77,2","89,5","188,8",2014
Flen,Bruksskolan,Kommunal,Flen,59846075,..,..,"66,7",~100,"202,7",..,..,..,..,..,2014
Flen,Malmaskolan,Kommunal,Flen,41621337,16,"40,0","62,5","62,5","192,9",24,"60,0","70,8","100,0","203,6",2014
Flen,Stenhammarskolan,Kommunal,Flen,81546814,50,"50,5","54,0","68,0","171,8",49,"49,5","57,1","79,6","182,4",2014
Flen,Flens kristna skola,Enskild,Flens Kristna Skola AB,52287808,..,..,..,..,..,..,..,..,..,..,2014
Forshaga,Dejeskolan L-H-stadiet,Kommunal,Forshaga,48228294,19,"50,0","63,2","73,7","180,9",19,"50,0","84,2",~100,"215,4",2014
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,62,"59,0","79,0","88,7","212,4",43,"41,0","62,8","86,0","183,5",2014
