skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ek. För.,71387206,23,"91,3",~100,"217,8",2014
Ale,Aroseniusskolan,Kommunal,Ale,48529699,115,"58,3","82,6","197,6",2014
Ale,Bohusskolan 7-9,Kommunal,Ale,70878576,48,"70,8",~100,"209,5",2014
Ale,Himlaskolan 4-9,Kommunal,Ale,31104888,43,"60,5","83,7","192,5",2014
Ale,Kyrkbyskolan,Kommunal,Ale,54087001,67,"52,2","67,2","171,6",2014
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,76,"90,8",~100,"225,1",2014
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,86,"84,9",~100,"234,6",2014
Alingsås,Sollebrunns skola 6-9,Kommunal,Alingsås,76908037,47,"74,5","85,1","213,3",2014
Alingsås,Östlyckeskolan 6-7,Kommunal,Alingsås,63889771,..,..,..,..,2014
Alingsås,Östlyckeskolan 8-9,Kommunal,Alingsås,20234335,113,"73,5","84,1","203,4",2014
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,48,"95,8",~100,"250,6",2014
Alingsås,Linnéskolan,Enskild,Alingsås Waldorfskoleförening,32478204,..,..,..,..,2014
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,37,"89,2",~100,"231,8",2014
Alvesta,Grönkullaskolan,Kommunal,Alvesta,94191518,99,"61,6","75,8","186,3",2014
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,49,"85,7",~100,"231,6",2014
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,49,"73,5","87,8","208,9",2014
Aneby,Furulidskolan,Kommunal,Aneby,88669294,58,"82,8",~100,"219,6",2014
Aneby,Oasens skola,Enskild,Oasen Utbildningscenter AB,48000763,..,.,.,..,2014
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,71,"73,2","87,3","206,4",2014
Arboga,Stureskolan,Kommunal,Arboga,13854755,69,"85,5",~100,"225,0",2014
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,35,"71,4","85,7","201,1",2014
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,59,"61,0","74,6","201,4",2014
Arvika,Centralskolan,Kommunal,Arvika,60318692,150,"71,3","85,3","202,7",2014
