skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,year
Arvika,Järvenskolan,Kommunal,Arvika,96316449,24,"95,8","100,0","251,4",2014
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,67,"65,7","83,6","201,9",2014
Arvika,"Estetiska skolan, högstadiet",Enskild,Ideella Föreningen Estetiska skolan,99375199,30,"96,7",~100,"235,9",2014
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,116,"70,7","85,3","205,0",2014
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,118,"64,4","76,3","193,3",2014
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,35,"68,6","80,0","192,6",2014
Avesta,Åvestadalskolan,Kommunal,Avesta,62023955,63,"66,7","74,6","195,6",2014
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,88,"70,5","79,5","208,4",2014
Berg,Myrvikens skola,Kommunal,Berg,56709330,28,"85,7",~100,"235,9",2014
Berg,Svenstavik åk 7-9,Kommunal,Berg,39932052,41,"65,9","75,6","186,8",2014
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,31,"77,4","83,9","200,9",2014
Bjuv,Ekeby skola,Kommunal,Bjuv,47546433,25,"84,0",~100,"237,0",2014
Bjuv,Jens Billeskolan  F - 6,Kommunal,Bjuv,19344516,34,"67,6","82,4","194,4",2014
Bjuv,Varagårdsskolan Bjuv Östra  F - 6,Kommunal,Bjuv,43688189,63,"74,6","90,5","198,8",2014
Bjuv,Forsärlans Miljöskola,Enskild,Palmlunds Helsingborg AB,18213876,21,"85,7",~100,"244,0",2014
Boden,Brönjaskolan,Kommunal,Boden,60633912,54,"100,0","100,0","238,8",2014
Boden,Stureskolan 1,Kommunal,Boden,75627171,64,"81,3","92,2","219,8",2014
Boden,Stureskolan 2,Kommunal,Boden,89885803,58,"75,9","87,9","212,4",2014
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden Ek. För.,98998541,24,"95,8",~100,"236,3",2014
Boden,Norrskenets Friskola i Boden,Enskild,Pysslingen Förskolor och Skolor AB,40708452,65,"89,2",~100,"223,0",2014
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,86,"73,3","84,9","209,0",2014
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,35,"65,7","68,6","185,4",2014
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,85,"52,9","62,4","171,5",2014
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,39,"79,5","84,6","202,8",2014
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,107,"97,2",~100,"223,0",2014
Borgholm,Köpings skola,Kommunal,Borgholm,64896318,..,.,.,..,2014
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,70,"75,7","85,7","213,8",2014
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,20,"95,0","100,0","236,6",2014
Borlänge,Lanternan,Enskild,Adventum Specialpedagogik AB,59137023,..,.,.,..,2014
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,68,"75,0","82,4","201,0",2014
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,161,"70,2","90,7","215,3",2014
Borlänge,Gylle skola 7-9,Kommunal,Borlänge,11406792,107,"79,4","90,7","204,4",2014
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,112,"50,0","68,8","182,9",2014
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,36,"83,3",~100,"218,7",2014
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige AB,70510891,29,"86,2",~100,"213,4",2014
Borlänge,Immanuelskolan,Enskild,Stiftelsen Immanuel,24147931,..,..,..,..,2014
Borås,Bodaskolan,Kommunal,Borås,67454907,113,"69,0","81,4","203,6",2014
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,115,"80,9","90,4","215,0",2014
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,143,"79,0","89,5","213,1",2014
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,113,"87,6","92,9","241,2",2014
Borås,Erikslundskolan,Kommunal,Borås,50870189,52,"61,5","75,0","202,3",2014
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,93,"82,8","91,4","213,8",2014
Borås,Sandgärdskolan,Kommunal,Borås,98081621,98,"83,7","94,9","215,5",2014
Borås,Särlaskolan 7-9,Kommunal,Borås,23108037,74,"67,6","85,1","206,3",2014
Borås,Viskaforsskolan 7-9,Kommunal,Borås,50756758,62,"69,4","77,4","196,5",2014
Borås,Engelska Skolan i Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,71,"94,4",~100,"266,5",2014
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige AB,10257640,99,"84,8","86,9","221,9",2014
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,17,"100,0","100,0","247,5",2014
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,..,..,..,..,2014
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,100,"75,0","85,0","217,8",2014
Botkyrka,Björkhaga Skola 1GR,Kommunal,Botkyrka,30755074,..,.,..,..,2014
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,102,"94,1","100,0","230,8",2014
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,56,"53,6","60,7","189,5",2014
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,107,"75,7","91,6","222,6",2014
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,.,..,..,2014
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,81,"39,5","67,9","170,1",2014
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,63,"19,0","52,4","129,9",2014
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,50,"66,0","82,0","206,8",2014
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,74,"37,8","58,1","175,2",2014
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,39,"89,7",~100,"226,3",2014
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,56,"89,3",~100,"228,4",2014
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,..,..,2014
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,59,"83,1",~100,"218,8",2014
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,52,"53,8","63,5","166,3",2014
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ek. För.,29524966,17,"76,5",~100,"219,7",2014
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,40,"97,5",~100,"242,7",2014
Botkyrka,Kunskapsskolan Botkyrka,Enskild,Kunskapsskolan i Sverige AB,84411355,51,"74,5","78,4","225,4",2014
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,Sverigefinska Skolan i Botkyrka AB,57850353,..,..,..,..,2014
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,51,"62,7","84,3","187,4",2014
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,50,"66,0","78,0","190,5",2014
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,86,"86,0","91,9","212,3",2014
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,32,"81,3",~100,"193,7",2014
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,25,"72,0",~100,"219,1",2014
Bräcke,Kälarne skola,Kommunal,Bräcke,82223639,17,"82,4",~100,"216,6",2014
Burlöv,Stora Dalslundskolan,Kommunal,Burlöv,58712142,85,"94,1",~100,"229,0",2014
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,98,"62,2","71,4","188,0",2014
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,54,"94,4",~100,"221,8",2014
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,80,"82,5","93,8","222,3",2014
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,44,"72,7","84,1","214,0",2014
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,160,"95,0",~100,"247,1",2014
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,129,"88,4",~100,"243,4",2014
Danderyd,Snitz Mörby,Enskild,PPS Power Planning System AB,13475641,..,..,..,..,2014
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,179,"96,6",~100,"248,2",2014
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,93,"62,4","78,5","200,6",2014
Dorotea,Strandenskolan,Kommunal,Dorotea,56595678,25,"96,0",~100,"219,4",2014
Eda,Gunnarsbyskolan 7-9,Kommunal,Eda,95519589,41,"80,5",~100,"204,6",2014
Eda,Hierneskolan  5-9,Kommunal,Eda,85815904,26,"73,1",~100,"208,9",2014
Ekerö,Drottningholmskolan,Enskild,"Drottningholmskolan, Mälaröarnas Waldorfskola",28231215,12,"91,7","100,0","253,8",2014
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,22,"86,4",~100,"249,9",2014
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,102,"84,3","89,2","231,2",2014
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,45,"84,4","100,0","226,0",2014
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,79,"92,4",~100,"221,6",2014
Ekerö,Sundsgården skola,Enskild,Frälsningsarmén,14571770,..,.,..,..,2014
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,30,"93,3",~100,"262,5",2014
Eksjö,Broarps skola,Enskild,Attendo Individ och Familj AB,30452569,12,.,..,"93,3",2014
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,34,"79,4","82,4","200,2",2014
Eksjö,Hunsnässkolan,Kommunal,Eksjö,56054655,..,.,.,.,2014
Eksjö,Prästängsskolan,Kommunal,Eksjö,48457931,139,"67,6","85,6","211,5",2014
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,102,"71,6","74,5","196,9",2014
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,50,"90,0",~100,"214,0",2014
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,23,"69,6",~100,"190,7",2014
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,53,"83,0",~100,"217,2",2014
Enköping,S:t Iliansskolan/Västerledsskolan,Kommunal,Enköping,18143807,160,"65,6","77,5","191,4",2014
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,43,"74,4","88,4","210,8",2014
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige AB,67723630,94,"92,6",~100,"229,9",2014
Enköping,Bergtallens skola,Enskild,Villberga Familjecenter AB,73178642,11,..,..,"106,1",2014
Eskilstuna,"British Junior Sec, Eskilstuna",Enskild,British Schools AB,50048111,..,..,..,..,2014
Eskilstuna,Djurgårdsskolan1 7-9,Kommunal,Eskilstuna,34148803,72,"76,4","83,3","216,4",2014
Eskilstuna,Djurgårdsskolan2 7-9,Kommunal,Eskilstuna,54605092,50,"80,0","80,0","208,5",2014
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,116,"87,1","92,2","210,9",2014
Eskilstuna,Skiftingehus 7-9,Kommunal,Eskilstuna,73348838,64,"59,4","67,2","173,1",2014
Eskilstuna,Skogstorpsskolan1 6-9,Kommunal,Eskilstuna,80168622,53,"86,8",~100,"228,4",2014
Eskilstuna,Skogstorpsskolan2 7-9,Kommunal,Eskilstuna,25219509,49,"65,3","81,6","180,9",2014
Eskilstuna,Stålforsskolan 1 7-9,Kommunal,Eskilstuna,73039560,126,"57,9","65,9","179,5",2014
Eskilstuna,Stålforsskolan 2 7-9,Kommunal,Eskilstuna,76124360,136,"63,2","72,1","199,2",2014
Eskilstuna,Stålforsskolan 3 7-9,Kommunal,Eskilstuna,64275635,84,"57,1","69,0","192,6",2014
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,38,"100,0","100,0","245,3",2014
Eskilstuna,Årbyskolan 7-9,Kommunal,Eskilstuna,60791109,78,"62,8","74,4","200,6",2014
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,224,"94,2","100,0","263,0",2014
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,120,"79,2","86,7","216,7",2014
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,87,"67,8","92,0","208,1",2014
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,96,"79,2","89,6","208,8",2014
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,58,"77,6","81,0","210,0",2014
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,62,"85,5",~100,"209,0",2014
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,135,"65,9","71,1","186,5",2014
Fagersta,Lindgårdsskolan,Enskild,Västanfors-Västervåla Församling,50128489,23,"82,6","100,0","204,1",2014
Falkenberg,Apelskolan 1,Kommunal,Falkenberg,31158776,50,"90,0","90,0","222,1",2014
Falkenberg,Apelskolan 2,Kommunal,Falkenberg,58501067,21,"61,9","61,9","191,3",2014
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,17,"94,1",~100,"240,3",2014
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,69,"78,3","79,7","197,9",2014
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,65,"76,9","84,6","206,3",2014
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,53,"56,6","86,8","189,5",2014
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,58,"82,8","87,9","207,8",2014
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,69,"65,2","82,6","212,1",2014
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,51,"96,1",~100,"254,9",2014
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,58,"62,1","74,1","194,3",2014
Falköping,Flobyskolan,Kommunal,Falköping,19044601,39,"61,5","82,1","193,4",2014
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,29,"62,1","72,4","184,7",2014
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,38,"78,9","84,2","201,0",2014
Falköping,Kyrkerörsskolan,Kommunal,Falköping,78444521,106,"70,8","80,2","201,7",2014
Falköping,Passagen,Kommunal,Falköping,45692007,..,.,.,.,2014
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,44,"59,1","63,6","161,5",2014
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,24,"91,7",~100,"233,4",2014
Falköping,Vårkullens skolveckohem,Enskild,Vårkullen AB,43911053,..,.,.,..,2014
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,74,"83,8",~100,"231,2",2014
Falun,Britsarvsskolan,Kommunal,Falun,17033155,130,"68,5","81,5","205,1",2014
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,130,"78,5","83,1","198,5",2014
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,20,"90,0",~100,"244,6",2014
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,87,"85,1","87,4","208,2",2014
Falun,Västra Skolan,Kommunal,Falun,27153243,88,"70,5","88,6","210,7",2014
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun Ek. För.,65494903,21,"85,7",~100,"248,7",2014
Falun,Backafors Resursskola,Enskild,Närsjögläntans Hvb-Hem AB,27560810,13,..,..,"105,5",2014
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor och Skolor AB,72625090,44,"93,2",~100,"238,9",2014
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,93,"81,7","88,2","207,5",2014
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,14,"71,4",~100,"214,1",2014
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,101,"70,3","75,2","213,8",2014
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,110,"80,9","90,9","194,6",2014
Flen,Bruksskolan,Kommunal,Flen,59846075,24,"75,0",~100,"211,1",2014
Flen,Malmaskolan,Kommunal,Flen,41621337,40,"67,5","85,0","199,7",2014
Flen,Stenhammarskolan,Kommunal,Flen,81546814,99,"55,6","73,7","177,1",2014
Flen,Flens kristna skola,Enskild,Flens Kristna Skola AB,52287808,..,..,..,..,2014
Forshaga,Dejeskolan L-H-stadiet,Kommunal,Forshaga,48228294,38,"73,7","78,9","197,7",2014
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,105,"72,4","87,6","200,6",2014
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,70,"68,6","78,6","194,9",2014
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,63,"87,3","92,1","219,1",2014
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,51,"92,2",~100,"213,8",2014
Gislaved,Lundåkerskolan,Kommunal,Gislaved,47236914,131,"61,8","70,2","182,5",2014
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,86,"72,1","88,4","202,8",2014
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,68,"73,5","80,9","200,6",2014
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,43,"72,1","83,7","216,1",2014
Gislaved,Montessorifriskolan i Gislaved,Enskild,Montessorifriskolan i Gislaved Ek. För.,93436580,12,"83,3",~100,"234,0",2014
Gnesta,Frejaskolan 6-9,Kommunal,Gnesta,71986467,84,"84,5","90,5","211,3",2014
Gnesta,Gnesta Waldorfskola,Enskild,Gnesta Waldorfskoleförening,35159342,..,..,..,..,2014
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,86,"68,6","77,9","195,6",2014
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,40,"85,0",~100,"207,1",2014
Gotland,Fårösundsskolan,Kommunal,Gotland,68188627,12,..,~100,"223,1",2014
Gotland,Högby skola,Kommunal,Gotland,94163432,77,"74,0","80,5","206,2",2014
Gotland,Klinteskolan,Kommunal,Gotland,24429776,29,"82,8",~100,"226,7",2014
Gotland,Romaskolan,Kommunal,Gotland,60700608,38,"65,8","78,9","202,0",2014
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,138,"81,2","89,9","221,6",2014
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,22,"63,6","77,3","201,5",2014
Gotland,Södervärnsskolans 7-9,Kommunal,Gotland,80013231,101,"84,2","90,1","213,5",2014
Gotland,"Guteskolan, grundskola",Enskild,Guteskolan AB,42518434,25,"60,0","76,0","188,5",2014
Gotland,Atheneskolan,Enskild,Pysslingen Förskolor och Skolor AB,52229866,45,"86,7",~100,"247,4",2014
Grums,Jättestenskolan,Kommunal,Grums,16891307,75,"77,3","82,7","202,8",2014
Grästorp,Centralskolan 4-9 Norr,Kommunal,Grästorp,24376988,40,"77,5","87,5","199,8",2014
Grästorp,Centralskolan Söder 4-9,Kommunal,Grästorp,31381375,23,"78,3",~100,"219,8",2014
Gullspång,Gullstensskolan åk 7-9,Kommunal,Gullspång,89624871,62,"64,5","69,4","189,0",2014
Gällivare,Hakkas Centralskola,Kommunal,Gällivare,73575145,..,..,..,..,2014
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,46,"91,3",~100,"221,3",2014
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,18,"83,3",~100,"221,9",2014
Gällivare,Sjöparksskolan LMH,Kommunal,Gällivare,24426745,34,"82,4",~100,"209,9",2014
Gällivare,Tallbackaskolan MH,Kommunal,Gällivare,68699648,30,"90,0",~100,"237,7",2014
Gällivare,Malmens friskola,Enskild,Malmens Friskola AB,37140962,21,"85,7",~100,"238,3",2014
Gävle,Friskolan Lyftet,Enskild,Friskolan Lyftet AB,11476454,17,"64,7",~100,"178,4",2014
Gävle,Trädgårdsskolan GKS,Enskild,Föreningen för Gefle Kristna Skola,87088456,11,..,..,"191,8",2014
Gävle,Bergby Centralskola 1-9,Kommunal,Gävle,55373417,40,"60,0","77,5","195,0",2014
Gävle,Lillhagsskolan,Kommunal,Gävle,51387807,86,"73,3","90,7","195,3",2014
Gävle,Milboskolan,Kommunal,Gävle,93378411,58,"77,6","84,5","207,1",2014
Gävle,Sofiedalskolan,Kommunal,Gävle,80177526,108,"77,8","88,9","202,9",2014
Gävle,Solängsskolan,Kommunal,Gävle,58984764,144,"87,5","93,8","227,4",2014
Gävle,Stenebergsskolan,Kommunal,Gävle,17248313,55,"49,1","76,4","167,7",2014
Gävle,Stigslunds skola,Kommunal,Gävle,91652716,61,"95,1",~100,"229,9",2014
Gävle,Stora Sätraskolan,Kommunal,Gävle,49779956,76,"50,0","71,1","181,7",2014
Gävle,Sörbyskolan,Kommunal,Gävle,23223141,84,"51,2","64,3","165,4",2014
Gävle,Engelska Skolan i Gävle,Enskild,Internationella Engelska Skolan i Sverige AB,53952728,198,"79,8","97,5","241,1",2014
Gävle,MBC skolan Gävle,Enskild,Magelungen Utveckling AB,64745639,..,.,..,..,2014
Gävle,"Prolympia, Gävle",Enskild,ULNO AB,57578095,100,"89,0","95,0","210,4",2014
Göteborg,Assaredsskolan,Enskild,Assareds Skolkooperativ Ek. För.,25852980,24,"70,8",~100,"233,8",2014
Göteborg,Freinetskolan Bild & Form,Enskild,Bildoch Form i Gbg AB     556666-6102,31872640,25,"92,0",~100,"249,2",2014
Göteborg,Böskolans friskola,Enskild,Böskolans Friskola Ek.För.,83071620,44,"97,7",~100,"245,3",2014
Göteborg,Centrina Kviberg,Enskild,Centrina Utbildning AB,17517182,36,"61,1","80,6","198,6",2014
Göteborg,Centrina Lindholmen,Enskild,Centrina Utbildning AB,79866556,69,"89,9",~100,"244,8",2014
Göteborg,Ebba Petterssons Grundskola,Enskild,Ebba Petterssons Privatskolas Stiftelse,88247874,98,"99,0",~100,"244,6",2014
Göteborg,Römosseskolan,Enskild,Föreningen Islamiska Skolan i Göteborg,72408586,28,"64,3",~100,"238,8",2014
Göteborg,Sverigefinska skolan i Gbg,Enskild,Föreningen Sverigefinska Skolan i Göteborg Ek. För.,56289245,..,..,..,..,2014
Göteborg,Prolympia Göteborg,Enskild,Gothenburg Association AB,54367867,20,"80,0",~100,"197,0",2014
Göteborg,Änglagårdskolan,Enskild,Gothenburg Association AB,87427999,43,"74,4","88,4","221,7",2014
Göteborg,Bergsjöskolan 7-9,Kommunal,Göteborg,35416997,76,"34,2","53,9","159,7",2014
Göteborg,Bergums skola 4-9,Kommunal,Göteborg,98771543,57,"68,4",~100,"215,5",2014
Göteborg,Brunnsboskolan 6-9,Kommunal,Göteborg,47880725,72,"68,1","77,8","210,0",2014
Göteborg,Bräckeskolan,Kommunal,Göteborg,85329103,47,"44,7","78,7","194,2",2014
Göteborg,Ekåsa skola och internat,Kommunal,Göteborg,93540606,..,..,..,..,2014
Göteborg,Fiskebäcksskolan 6-9,Kommunal,Göteborg,99641533,55,"87,3",~100,"230,5",2014
Göteborg,Fjällskolan,Kommunal,Göteborg,53332364,77,"64,9","87,0","208,5",2014
Göteborg,Flatåsskolan 3,Kommunal,Göteborg,98780126,..,..,..,..,2014
Göteborg,Frölundaskolan 7-9,Kommunal,Göteborg,97820269,76,"59,2","71,1","175,0",2014
Göteborg,Gamlestadsskolan H,Kommunal,Göteborg,90710178,72,"66,7","86,1","209,1",2014
Göteborg,Gathenhielmsskolan,Kommunal,Göteborg,22061272,..,..,..,..,2014
Göteborg,Glöstorpsskolan 7-9,Kommunal,Göteborg,85656343,72,"68,1","79,2","193,0",2014
Göteborg,Guldhedsskolan 7-9,Kommunal,Göteborg,98423378,75,"66,7","81,3","207,3",2014
Göteborg,Gårdstensskolan 4-9,Kommunal,Göteborg,55886598,55,"45,5","60,0","183,7",2014
Göteborg,Herrgårdsskolan,Kommunal,Göteborg,54775782,28,"85,7",~100,"211,1",2014
Göteborg,Hjällboskolan 6-9,Kommunal,Göteborg,63925456,100,"24,0","45,0","162,6",2014
Göteborg,Hovåsskolan 7-9,Kommunal,Göteborg,32603156,112,"80,4","92,9","225,8",2014
Göteborg,Johannebergsskolan 3-9,Kommunal,Göteborg,69180213,12,"83,3","100,0","235,2",2014
Göteborg,Jättestensskolan 4-9,Kommunal,Göteborg,89438692,45,"66,7","80,0","212,2",2014
Göteborg,Kannebäcksskolan döva och hörsel,Kommunal,Göteborg,61201931,..,..,..,..,2014
Göteborg,Klarebergsskolan 7-9,Kommunal,Göteborg,20429308,84,"77,4","91,7","210,5",2014
Göteborg,Kärralundsskolan 7-9,Kommunal,Göteborg,77176658,73,"89,0",~100,"251,7",2014
