skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_foraldr_utb_tcv95,skolverket_and_utl_bakgr_tcv95,skolverket_andel_pojkar_tcv95,skolverket_ver_and_uppn_malen_tcv95,skolverket_ber_and_uppn_malen_tcv95,skolverket_sal_and_uppn_malen_tcv95,skolverket_ver_meritvarde_tcv95,skolverket_ber_meritvarde_tcv95,skolverket_sal_meritvarde_tcv95,year
Ale,Ahlafors Fria skola,Enskild,,71387206,"2,3",0,44,89,83,6,220,223,-3,2013
Ale,Aroseniusskolan,Kommunal,Ale,48529699,"2,15",0,59,61,77,-16,198,209,-11,2013
Ale,Bohusskolan 7-9,Kommunal,Ale,70878576,"2,02",0,56,56,73,-17,184,201,-17,2013
Ale,Himlaskolan,Kommunal,Ale,54807007,"2,15",0,48,69,77,-8,210,212,-2,2013
Ale,Kyrkbyskolan,Kommunal,Ale,54087001,"2,14",5,58,56,72,-16,191,203,-12,2013
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,"2,43",0,52,89,87,2,226,229,-3,2013
Alingsås,Montessoriskolan Globen,Enskild,,87109819,"2,61",0,39,96,93,3,251,244,6,2013
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,"2,28",0,55,83,81,2,220,218,2,2013
Alingsås,Sollebrunns skola 6-9,Kommunal,Alingsås,76908037,"2,2",0,60,91,79,12,229,212,17,2013
Alingsås,Vittra Gerdsken,Enskild,,98272016,"2,42",0,41,82,87,-5,230,231,-1,2013
Alingsås,Östlyckeskolan,Kommunal,Alingsås,63889771,"2,22",11,59,73,68,5,210,202,8,2013
Alvesta,Grönkullaskolan,Kommunal,Alvesta,94191518,"2,09",6,49,67,69,-2,195,201,-5,2013
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,"2,26",3,54,76,78,-2,210,214,-4,2013
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,"2,06",2,44,88,73,15,216,205,11,2013
Aneby,Furulidskolan,Kommunal,Aneby,88669294,"2,08",1,57,91,73,18,221,203,17,2013
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,"2,29",3,55,80,79,1,214,216,-2,2013
Arboga,Stureskolan,Kommunal,Arboga,13854755,"2,18",0,51,74,78,-4,214,213,2,2013
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,"2,19",0,56,63,78,-15,197,212,-15,2013
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,"2,18",2,54,84,76,8,214,210,4,2013
Arvika,Centralskolan 1,Kommunal,Arvika,60318692,"2,24",5,50,77,75,2,204,212,-8,2013
Arvika,"Estetiska skolan, Arvika",Enskild,,99375199,"2,5",0,36,92,90,2,226,238,-12,2013
Arvika,Järvenskolan,Kommunal,Arvika,96316449,"2,2",0,60,90,79,11,232,212,20,2013
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,"2,17",2,53,51,76,-25,186,210,-24,2013
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,"2,12",0,56,65,76,-11,199,207,-8,2013
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,"2,03",8,45,66,66,0,201,197,5,2013
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,"2,18",4,57,91,74,17,228,207,21,2013
Avesta,Åvestadalskolan,Kommunal,Avesta,62023955,"2,12",0,58,86,76,10,221,207,14,2013
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,"2,14",7,47,73,70,3,210,205,6,2013
Berg,Myrvikens skola,Kommunal,Berg,56709330,"2,27",0,50,100,81,19,232,219,13,2013
Berg,Svenstavik åk 1-9,Kommunal,Berg,24753562,"2,02",18,49,64,55,9,182,184,-2,2013
