skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_foraldr_utb_tcv95,skolverket_and_utl_bakgr_tcv95,skolverket_andel_pojkar_tcv95,skolverket_ver_and_uppn_malen_tcv95,skolverket_ber_and_uppn_malen_tcv95,skolverket_sal_and_uppn_malen_tcv95,skolverket_ver_meritvarde_tcv95,skolverket_ber_meritvarde_tcv95,skolverket_sal_meritvarde_tcv95,year
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,"2,04",16,52,76,57,19,212,187,25,2013
Bjuv,Ekeby skola,Kommunal,Bjuv,47546433,"1,95",0,40,70,71,-1,198,201,-3,2013
Bjuv,Forsärlans Miljöskola,Enskild,,18213876,"2,13",0,56,89,77,12,208,208,0,2013
Bjuv,Jens Billeskolan,Kommunal,Bjuv,19344516,"1,93",2,52,68,68,0,200,194,6,2013
Bjuv,Varagårdsskolan Bjuv Östra,Kommunal,Bjuv,43688189,"1,92",6,55,64,63,1,194,189,6,2013
Boden,Brönjaskolan,Kommunal,Boden,60633912,"2,52",0,60,100,90,10,242,233,9,2013
Boden,Fria Emilia,Enskild,,98998541,"2,62",0,41,86,93,-7,244,244,0,2013
Boden,Harads skola,Kommunal,Boden,82094905,"2,21",0,67,86,79,7,223,211,12,2013
Boden,Norrskenets Friskola i Boden,Enskild,,40708452,"2,43",2,79,88,84,4,212,219,-7,2013
Boden,Stureskolan 1,Kommunal,Boden,75627171,"2,36",2,45,84,82,2,222,224,-2,2013
Boden,Stureskolan 2,Kommunal,Boden,89885803,"2,33",2,49,89,82,7,227,222,5,2013
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,"2,31",3,54,82,79,3,214,217,-3,2013
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,"1,99",0,35,76,72,4,204,205,0,2013
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,"1,9",12,60,47,56,-9,178,180,-1,2013
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,"2,22",0,48,80,80,0,207,216,-9,2013
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,"2,21",0,44,75,79,-4,211,216,-5,2013
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,"2,13",0,62,86,76,10,217,206,11,2013
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,"2,19",1,52,68,77,-9,206,212,-6,2013
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,"2,18",2,39,82,77,5,214,214,0,2013
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,"1,78",10,55,54,54,0,188,175,13,2013
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,"2,1",5,49,73,70,3,211,202,8,2013
Borås,Bodaskolan,Kommunal,Borås,67454907,"2,02",5,53,65,68,-3,200,197,3,2013
Borås,Borås Kristna skola,Enskild,,64720166,"2,13",0,25,80,78,2,230,217,13,2013
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,"2,17",1,41,73,77,-4,210,214,-3,2013
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,"2,14",0,70,66,76,-10,198,205,-7,2013
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,"2,3",2,52,87,81,6,225,219,6,2013
Borås,Engelska Skolan i Borås,Enskild,,58354320,"2,5",5,53,93,83,10,264,227,36,2013
Borås,Erikslundskolan,Kommunal,Borås,50870189,"2,03",5,67,73,68,5,196,194,2,2013
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,"2,13",1,49,82,76,6,210,209,1,2013
Borås,Kunskapsskolan Borås,Enskild,,10257640,"2,33",0,36,94,84,10,245,227,18,2013
Borås,Malmen Montessori,Enskild,,10132939,"2,06",0,56,78,74,4,201,204,-3,2013
Borås,Sandgärdskolan,Kommunal,Borås,98081621,"2,32",0,49,86,83,3,225,222,2,2013
Borås,Särlaskolan 7-9,Kommunal,Borås,23108037,"2,02",9,55,69,63,6,205,192,14,2013
Borås,Viskaforsskolan 6-9,Kommunal,Borås,50756758,"2,08",0,60,68,75,-7,195,204,-9,2013
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,"2,12",13,57,63,63,0,187,194,-7,2013
Botkyrka,Botkyrka Friskola F-9,Enskild,,80378022,"2,08",0,50,89,75,14,232,206,26,2013
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,"2,21",0,44,89,80,9,227,217,11,2013
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,"1,81",2,54,65,64,1,191,186,5,2013
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,"2,1",0,37,91,76,15,199,211,-12,2013
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,"1,54",22,46,57,34,23,185,149,36,2013
Botkyrka,Freinetskolan Kastanjen,Enskild,,29524966,"2,31",0,57,76,83,-7,220,220,1,2013
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,"1,7",31,41,29,31,-2,143,152,-9,2013
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,"1,88",4,38,70,64,6,208,193,16,2013
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,"1,89",20,58,54,47,7,183,170,12,2013
Botkyrka,Kunskapsskolan Botkyrka,Enskild,,84411355,"2,36",1,52,90,83,7,241,223,18,2013
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,"1,71",0,60,68,62,6,199,180,19,2013
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,"2,1",0,56,69,75,-6,216,206,10,2013
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,"2,35",0,45,89,84,5,228,226,3,2013
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,"1,96",7,56,49,64,-15,191,190,1,2013
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,"2,04",3,45,69,71,-2,194,202,-8,2013
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,"2,03",0,49,67,74,-7,193,204,-11,2013
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,"2,11",1,58,86,75,11,214,205,9,2013
Burlöv,Stora Dalslundskolan,Kommunal,Burlöv,58712142,"2,39",0,44,80,86,-6,221,229,-8,2013
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,"1,95",7,59,68,63,5,197,188,9,2013
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,"2,05",5,44,92,69,23,222,201,21,2013
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,"2,26",4,52,78,77,1,209,214,-4,2013
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,"2,12",0,58,74,76,-2,226,207,19,2013
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,"2,73",1,44,92,95,-3,250,249,1,2013
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,"2,69",0,54,91,95,-4,242,245,-3,2013
Danderyd,Viktor Rydbergs Samskola,Enskild,,13493243,"2,78",0,51,94,99,-5,249,252,-4,2013
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,"2,19",5,57,68,73,-5,195,207,-12,2013
Dorotea,Strandenskolan,Kommunal,Dorotea,56595678,"2,09",0,59,77,75,2,213,205,8,2013
Eda,Gunnarsbyskolan 7-9,Kommunal,Eda,95519589,"2,1",0,56,75,76,-1,209,206,2,2013
Eda,Hierneskolan,Kommunal,Eda,85815904,"2,01",5,50,76,67,9,207,197,10,2013
Ekerö,Birkaskolan,Enskild,,27595656,"2,53",0,61,97,90,7,245,233,12,2013
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,"2,36",0,54,87,84,3,224,224,1,2013
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,"2,39",5,53,86,81,5,231,221,9,2013
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,"2,5",0,50,87,89,-2,239,234,5,2013
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,"2,22",0,51,85,80,5,218,216,2,2013
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,"2,14",3,60,70,73,-3,194,204,-10,2013
Eksjö,Prästängsskolan,Kommunal,Eksjö,48457931,"2,3",3,58,74,79,-5,207,216,-8,2013
Emmaboda,Bjurbäcksskolan 13-16 år,Kommunal,Emmaboda,37716305,"2,05",4,60,69,70,-1,203,198,5,2013
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,"2,34",0,61,76,83,-7,212,221,-9,2013
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,"2,15",0,56,81,77,4,200,209,-9,2013
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,"2,23",0,47,72,80,-8,200,217,-18,2013
Enköping,Kunskapsskolan Enköping,Enskild,,67723630,"2,48",0,41,90,89,1,225,235,-10,2013
Enköping,S:t Iliansskolan,Kommunal,Enköping,83592480,"2,09",5,58,80,70,10,217,199,17,2013
Enköping,Västerledsskolan,Kommunal,Enköping,76759877,"2,08",4,61,80,70,10,192,199,-7,2013
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,"2,12",0,46,78,77,1,206,211,-4,2013
Eskilstuna,"British Junior Sec, Eskilstuna",Enskild,,50048111,"2,07",13,60,67,60,7,202,189,13,2013
Eskilstuna,Djurgårdsskolan hög 1,Kommunal,Eskilstuna,34148803,"2,36",0,50,73,84,-11,208,225,-17,2013
Eskilstuna,Djurgårdsskolan hög 2,Kommunal,Eskilstuna,54605092,"2,33",2,58,85,81,4,220,218,2,2013
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,,36759013,"2,37",2,50,95,83,12,273,224,49,2013
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,"2,17",0,58,76,78,-2,195,210,-15,2013
Eskilstuna,Skiftingehus hög A- och B-lag,Kommunal,Eskilstuna,73348838,"2,05",16,54,63,58,5,177,187,-10,2013
Eskilstuna,Skiftingehus hög E-lag,Kommunal,Eskilstuna,47926452,"1,95",0,66,69,70,-1,210,194,16,2013
Eskilstuna,Skogstorpsskolan hög 6-9 AB,Kommunal,Eskilstuna,80168622,"2,2",0,49,73,79,-6,205,215,-9,2013
Eskilstuna,Skogstorpsskolan hög 7-9 CD,Kommunal,Eskilstuna,25219509,"2,09",0,53,71,75,-4,192,207,-15,2013
Eskilstuna,Stålforsskolan arbetslag A,Kommunal,Eskilstuna,73039560,2,2,75,66,70,-4,198,192,6,2013
Eskilstuna,Stålforsskolan arbetslag B,Kommunal,Eskilstuna,18528290,"2,03",8,52,63,65,-2,193,195,-1,2013
Eskilstuna,Stålforsskolan arbetslag C,Kommunal,Eskilstuna,76124360,"1,94",11,60,47,58,-11,207,183,24,2013
Eskilstuna,Stålforsskolan arbetslag D,Kommunal,Eskilstuna,62261827,"2,13",10,37,82,67,15,228,204,25,2013
Eskilstuna,Stålforsskolan Faktoriet,Kommunal,Eskilstuna,64275635,"2,03",12,61,64,60,4,166,187,-21,2013
Eskilstuna,Tegelviken Byn,Kommunal,Eskilstuna,78673553,"2,57",0,47,100,92,8,259,239,20,2013
Eskilstuna,Tegelviken Sundet,Kommunal,Eskilstuna,83485208,"2,17",0,53,87,78,9,212,211,0,2013
Eskilstuna,Årbyskolan hög,Kommunal,Eskilstuna,60791109,"2,08",6,31,48,69,-21,175,206,-30,2013
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,"2,3",5,52,78,77,1,218,215,2,2013
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,"2,12",0,61,77,76,1,210,206,4,2013
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,"2,06",2,50,75,72,3,212,203,9,2013
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,"2,15",0,49,72,77,-5,200,212,-11,2013
Essunga,Nossebro skola år 0-9,Kommunal,Essunga,57353499,"1,94",2,39,71,69,2,200,199,1,2013
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,"2,07",12,48,66,63,3,191,194,-4,2013
Falkenberg,Apelskolan 1,Kommunal,Falkenberg,31158776,"2,03",1,59,88,72,16,217,199,17,2013
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,"2,29",0,76,94,81,13,244,213,31,2013
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,"2,1",0,66,88,75,13,218,203,15,2013
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,"2,12",2,49,70,74,-4,199,207,-8,2013
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,"2,07",0,55,73,75,-2,208,205,3,2013
Falkenberg,Vesterhavsskolan,Enskild,,35136963,"2,25",0,60,95,81,14,243,215,28,2013
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,"1,9",17,54,54,51,3,173,176,-3,2013
Falköping,Flobyskolan,Kommunal,Falköping,19044601,"2,16",3,56,92,75,17,219,207,12,2013
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,"2,21",0,49,71,80,-9,203,216,-13,2013
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,"1,84",11,50,67,55,12,202,179,23,2013
Falköping,Kyrkerörsskolan A + C,Kommunal,Falköping,20272897,"2,21",3,53,85,76,9,217,211,6,2013
Falköping,Kyrkerörsskolan B + D + E,Kommunal,Falköping,78444521,"2,19",6,52,69,73,-4,195,207,-13,2013
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,"2,24",5,54,78,75,3,194,210,-16,2013
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,"2,12",0,63,80,76,4,203,205,-2,2013
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,"2,21",0,48,85,79,6,213,216,-3,2013
Falun,Britsarvsskolan,Kommunal,Falun,17033155,"2,31",5,57,78,78,0,197,214,-18,2013
Falun,Friskolan Mosaik,Enskild,,65494903,"2,43",0,52,76,87,-11,241,229,13,2013
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,"2,38",7,50,79,78,1,202,219,-17,2013
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,"2,75",0,55,90,97,-7,239,249,-9,2013
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,"2,21",1,56,84,78,6,200,212,-12,2013
Falun,Söderbaumska skolan,Enskild,,72625090,"2,61",0,45,87,93,-6,230,242,-12,2013
Falun,Västra Skolan,Kommunal,Falun,27153243,"2,22",1,53,79,78,1,202,214,-12,2013
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,"2,12",2,54,84,74,10,204,206,-2,2013
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,"1,89",0,50,63,69,-6,214,194,20,2013
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,"2,22",3,51,66,76,-10,193,212,-19,2013
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,"2,15",0,40,79,78,1,200,214,-14,2013
Flen,Bruksskolan,Kommunal,Flen,59846075,"2,03",0,58,85,73,12,213,201,12,2013
Flen,Malmaskolan,Kommunal,Flen,41621337,"2,09",3,59,68,72,-4,208,201,7,2013
Flen,Stenhammarskolan,Kommunal,Flen,81546814,"1,93",4,49,56,66,-10,189,193,-4,2013
Forshaga,Dejeskolan MH-stadiet,Kommunal,Forshaga,43553761,"2,2",2,37,67,77,-10,195,215,-21,2013
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,"2,29",0,53,83,82,1,212,219,-7,2013
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,"2,07",5,52,68,70,-2,191,200,-9,2013
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,"2,29",0,47,77,82,-5,220,221,-1,2013
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,"2,16",3,55,88,74,14,214,207,7,2013
Gislaved,Lundåkerskolans högstadium,Kommunal,Gislaved,47236914,"2,05",7,50,74,67,7,202,197,5,2013
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,"1,94",0,48,70,71,-1,195,198,-3,2013
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,"2,09",1,53,74,74,0,201,205,-4,2013
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,"1,95",0,56,64,70,-6,205,196,8,2013
Gnesta,Frejaskolan 6-9,Kommunal,Gnesta,71986467,"2,1",1,44,72,74,-2,201,208,-7,2013
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,"1,87",2,48,79,65,14,201,191,10,2013
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,"1,91",0,57,81,69,12,207,194,13,2013
Gotland,Atheneskolan,Enskild,,52229866,"2,21",0,37,96,80,16,223,218,4,2013
Gotland,Fårösundsskolan,Kommunal,Gotland,68188627,"1,95",0,39,89,71,18,223,201,22,2013
Gotland,"Guteskolan, grundskola",Enskild,,42518434,"2,41",3,36,85,83,2,226,229,-2,2013
Gotland,Högby skola,Kommunal,Gotland,94163432,"2,02",0,45,76,73,3,202,204,-3,2013
Gotland,Klinteskolan,Kommunal,Gotland,24429776,"2,09",2,51,73,73,0,202,204,-2,2013
Gotland,Romaskolan,Kommunal,Gotland,60700608,"2,14",0,66,85,76,9,205,206,-1,2013
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,"2,32",6,53,80,76,4,218,214,3,2013
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,"1,84",0,50,75,67,8,202,191,11,2013
Gotland,Södervärnsskolans 7-9,Kommunal,Gotland,80013231,"2,24",0,62,82,80,2,212,214,-2,2013
Grums,Jättestenskolan 6-9,Kommunal,Grums,16891307,"2,11",12,58,74,64,10,210,194,16,2013
Grästorp,Centralskolan 4-9 Norr,Kommunal,Grästorp,24376988,"2,09",0,51,74,75,-1,195,207,-12,2013
Grästorp,Centralskolan Söder 4-9,Kommunal,Grästorp,31381375,"2,09",6,44,83,70,13,196,203,-6,2013
Gullspång,Gullstensskolan åk 7-9,Kommunal,Gullspång,89624871,"2,08",9,45,63,66,-3,194,199,-5,2013
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,"2,29",9,53,91,72,19,218,209,8,2013
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,"2,07",0,55,82,75,7,213,205,8,2013
Gällivare,Sjöparksskolan MH,Kommunal,Gällivare,24426745,"2,12",0,51,86,76,10,226,209,17,2013
Gällivare,Tallbackaskolan MH,Kommunal,Gällivare,68699648,"1,99",3,51,67,69,-2,189,197,-8,2013
Gävle,Bergby Centralskola 1-9,Kommunal,Gävle,55373417,"2,06",0,58,45,74,-29,168,203,-35,2013
Gävle,Engelska Skolan i Gävle,Enskild,,53952728,"2,43",0,49,84,87,-3,247,230,17,2013
Gävle,Friskolan Lyftet,Enskild,,11476454,"2,09",0,55,59,75,-16,177,206,-29,2013
Gävle,Lillhagsskolan,Kommunal,Gävle,51387807,"2,23",0,50,65,80,-15,187,216,-29,2013
Gävle,Milboskolan,Kommunal,Gävle,93378411,"2,2",0,43,83,79,4,204,217,-12,2013
Gävle,"Prolympia, Gävle",Enskild,,57578095,"2,32",0,70,89,83,6,212,217,-4,2013
Gävle,Sofiedalskolan,Kommunal,Gävle,80177526,"2,13",1,42,69,76,-7,186,211,-25,2013
Gävle,Solängsskolan,Kommunal,Gävle,58984764,"2,45",2,50,86,86,0,224,229,-4,2013
Gävle,Stenebergsskolan,Kommunal,Gävle,17248313,"1,83",36,60,24,29,-5,143,150,-7,2013
Gävle,Stigslunds skola,Kommunal,Gävle,91652716,"2,18",0,55,77,78,-1,213,212,1,2013
Gävle,Stora Sätraskolan,Kommunal,Gävle,49779956,"1,82",17,57,47,49,-2,160,170,-10,2013
Gävle,Sörbyskolan,Kommunal,Gävle,23223141,"2,01",16,49,49,56,-7,166,185,-19,2013
Göteborg,Assaredsskolan,Enskild,,25852980,"2,17",0,44,60,78,-18,210,214,-4,2013
Göteborg,Bergsjöskolan 7-9,Kommunal,Göteborg,35416997,"1,73",8,52,18,55,-37,145,176,-30,2013
Göteborg,Bergums skola 4-9,Kommunal,Göteborg,98771543,"2,08",0,63,51,75,-24,187,203,-16,2013
Göteborg,Brandströmska skolan Nylöse,Enskild,,11295861,"1,93",2,56,44,67,-23,197,193,4,2013
Göteborg,Brunnsboskolan,Kommunal,Göteborg,20519865,"2,3",7,51,71,75,-4,229,213,16,2013
Göteborg,Bräckeskolan,Kommunal,Göteborg,85329103,"2,11",5,59,49,70,-21,166,200,-35,2013
Göteborg,Böskolans friskola,Enskild,,83071620,"2,67",2,68,91,92,-1,234,237,-3,2013
Göteborg,Centrina Lindholmen,Enskild,,79866556,"2,46",0,44,83,88,-5,250,233,17,2013
Göteborg,Drakbergsskolan,Enskild,,60526603,"2,35",4,43,83,80,3,230,221,9,2013
Göteborg,Ebba Petterssons Grundskola,Enskild,,88247874,"2,52",0,47,94,90,4,233,236,-3,2013
Göteborg,Fenestra Centrum,Enskild,,87139814,"2,3",0,47,74,83,-9,214,222,-8,2013
Göteborg,Fenestra S:t Jörgen,Enskild,,27265374,"2,34",0,67,70,83,-13,217,219,-2,2013
Göteborg,Fiskebäcksskolan 6-9,Kommunal,Göteborg,99641533,"2,58",0,57,80,92,-12,235,238,-3,2013
Göteborg,Fjällskolan,Kommunal,Göteborg,53332364,"2,39",8,67,71,77,-6,214,214,0,2013
Göteborg,Franska skolan Göteborg,Enskild,,55860193,"2,64",0,47,95,94,1,259,244,16,2013
Göteborg,Freinetskolan Bild & Form,Enskild,,31872640,"2,48",0,41,83,89,-6,243,235,8,2013
Göteborg,Frölundaskolan 6-9,Kommunal,Göteborg,97820269,"1,95",9,49,65,61,4,209,189,21,2013
Göteborg,Gamlestadsskolan H,Kommunal,Göteborg,90710178,"2,04",3,45,66,71,-5,198,202,-4,2013
Göteborg,Glöstorpsskolan 7-9,Kommunal,Göteborg,85656343,"2,07",3,41,76,71,5,210,205,6,2013
Göteborg,Guldhedsskolan 7-9,Kommunal,Göteborg,98423378,"2,3",4,42,66,79,-13,198,219,-22,2013
Göteborg,Gårdstensskolan 4-9,Kommunal,Göteborg,55886598,"1,65",27,60,21,31,-10,171,146,24,2013
Göteborg,Göteborgs Högre Samskola gr.,Enskild,,52538248,"2,7",0,50,95,96,-1,259,247,12,2013
Göteborg,Herrgårdsskolan,Kommunal,Göteborg,54775782,"2,3",0,44,67,83,-16,208,222,-14,2013
Göteborg,Hjällboskolan 6-9,Kommunal,Göteborg,63925456,"1,74",9,60,37,54,-17,153,172,-19,2013
Göteborg,Hovåsskolan 7-9,Kommunal,Göteborg,32603156,"2,53",1,48,81,89,-8,233,236,-3,2013
Göteborg,Int Engelska Skolan i Göteborg,Enskild,,45124936,"2,28",2,32,69,80,-11,226,223,3,2013
Göteborg,ISGR/Swedish-English,Enskild,,80498460,"2,54",0,63,81,90,-9,241,233,9,2013
Göteborg,Jättestensskolan F-9,Kommunal,Göteborg,55124975,"1,63",14,39,43,46,-3,175,166,9,2013
Göteborg,Karl Johansskolan,Kommunal,Göteborg,61374247,"2,12",3,50,71,73,-2,220,206,14,2013
Göteborg,Katolska skolan av Notre Dame,Enskild,,45045293,"2,15",2,55,66,75,-9,203,207,-4,2013
Göteborg,Klarebergsskolan 7-9,Kommunal,Göteborg,20429308,"2,18",0,49,83,79,4,213,214,-1,2013
Göteborg,Kristinaskolan,Enskild,,46512685,"2,07",5,32,64,70,-6,220,206,14,2013
Göteborg,Kunskapsskolan Krokslätt,Enskild,,83045482,"2,43",2,60,83,85,-2,227,225,2,2013
Göteborg,Kärralundsskolan 7-9,Kommunal,Göteborg,77176658,"2,63",0,57,91,93,-2,254,241,14,2013
Göteborg,Kärraskolan 4-9,Kommunal,Göteborg,85930744,"2,09",0,49,68,76,-8,204,208,-4,2013
Göteborg,Lindåsskolan 4-9,Kommunal,Göteborg,61845870,"2,63",0,45,83,94,-11,223,244,-21,2013
