skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_school_subject,skolverket_tot_m_betyg_tcv200,skolverket_fli_m_betyg_tcv200,skolverket_poj_m_betyg_tcv200,skolverket_tot_andel_ae_tcv200,skolverket_fli_andel_ae_tcv200,skolverket_poj_andel_ae_tcv200,skolverket_tot_gbp_tcv200,skolverket_fli_gbp_tcv200,skolverket_poj_gbp_tcv200,year
Ale,Himlaskolan 4-9,31104888,Kommunal,Geografi,41,20,21,"73,2","75,0","71,4","9,5","9,0","10,0",2014
Alingsås,Montessoriskolan Globen,87109819,Enskild,Geografi,47,21,26,"100,0","100,0","100,0","16,2","17,5","15,2",2014
Alingsås,Sollebrunns skola 6-9,76908037,Kommunal,Geografi,42,23,19,"88,1",~100,~100,"11,7","13,2","9,9",2014
Alingsås,Östlyckeskolan 8-9,20234335,Kommunal,Geografi,98,44,54,"91,8",~100,"90,7","12,4","12,8","12,1",2014
Alvesta,Vislandaskolan,88176175,Kommunal,Geografi,48,24,24,"100,0","100,0","100,0","13,8","13,4","14,1",2014
Arboga,Stureskolan,13854755,Kommunal,Geografi,68,32,36,~100,~100,"100,0","13,9","12,3","15,2",2014
Arjeplog,Kyrkholmsskolan,96277636,Kommunal,Geografi,27,14,13,"66,7",..,..,"8,1","7,3","8,8",2014
Arvika,"Estetiska skolan, högstadiet",99375199,Enskild,Geografi,29,..,..,"100,0","100,0",..,"15,3","15,2",..,2014
Arvika,Järvenskolan,96316449,Kommunal,Geografi,24,10,14,~100,"100,0",~100,"14,9","18,0","12,7",2014
Avesta,Domarhagsskolan,87516620,Kommunal,Geografi,106,50,56,"93,4",~100,~100,"12,7","13,4","12,1",2014
Berg,Svenstavik åk 7-9,39932052,Kommunal,Geografi,33,18,15,~100,"100,0",~100,"13,9","14,6","13,2",2014
Bjuv,Jens Billeskolan  F - 6,19344516,Kommunal,Geografi,30,10,20,"60,0",..,..,"7,7","12,0","5,5",2014
Bollnäs,Friskolan Lust & Lära,91187921,Enskild,Geografi,100,38,62,"83,0",~100,"77,4","10,3","11,7","9,4",2014
Bollnäs,Granbergsskolan 7-9,55545825,Kommunal,Geografi,79,34,45,"77,2","70,6","82,2","9,9","8,5","10,9",2014
Borlänge,Domnarvets skola,91219337,Kommunal,Geografi,55,29,26,"89,1",~100,~100,"12,1","12,1","12,2",2014
Borlänge,Forssaklackskolan,84601215,Kommunal,Geografi,141,75,66,"95,0",~100,~100,"13,2","13,4","12,9",2014
Borås,Bodaskolan,67454907,Kommunal,Geografi,95,49,46,"81,1","71,4",~100,"11,0","9,6","12,4",2014
Borås,Erikslundskolan,50870189,Kommunal,Geografi,50,21,29,"88,0",~100,~100,"12,3","12,0","12,5",2014
Borås,Fristadskolan 7-9,86708639,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2014
Borås,Sandgärdskolan,98081621,Kommunal,Geografi,95,46,49,"89,5",~100,"83,7","12,3","13,4","11,2",2014
Botkyrka,Falkbergsskolan,85558618,Kommunal,Geografi,92,42,50,"89,1",~100,"88,0","12,8","13,0","12,7",2014
Botkyrka,Falkbergsskolan 1GR,23477041,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2014
Botkyrka,Hammerstaskolan,25918983,Kommunal,Geografi,50,32,18,"84,0",~100,~100,"11,4","12,2","9,9",2014
Botkyrka,Storvretskolan 1GR,16223141,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2014
Båstad,Förslövs skola 7-9,94453321,Kommunal,Geografi,52,19,33,"100,0","100,0","100,0","14,1","14,6","13,9",2014
Båstad,Strandängsskolan 7-9,16148785,Kommunal,Geografi,76,36,40,~100,~100,"100,0","15,0","14,8","15,1",2014
Danderyd,Mörbyskolan,97174070,Kommunal,Geografi,121,57,64,"100,0","100,0","100,0","16,3","16,9","15,8",2014
Eda,Gunnarsbyskolan 7-9,95519589,Kommunal,Geografi,35,15,20,"100,0","100,0","100,0","12,6","12,5","12,6",2014
Ekerö,Drottningholmskolan,28231215,Enskild,Geografi,11,..,..,"100,0",..,..,"16,4",..,..,2014
Ekerö,Tappströmsskolan,52217632,Kommunal,Geografi,93,39,54,"100,0","100,0","100,0","14,9","14,9","15,0",2014
Ekerö,Träkvista skola,66475520,Kommunal,Geografi,44,24,20,~100,~100,"100,0","13,5","13,8","13,1",2014
Ekerö,Uppgårdskolan,95057356,Kommunal,Geografi,71,26,45,~100,"100,0",~100,"12,6","13,4","12,2",2014
Eskilstuna,Djurgårdsskolan2 7-9,54605092,Kommunal,Geografi,41,17,24,~100,~100,~100,"14,0","14,7","13,4",2014
Eskilstuna,Skogstorpsskolan2 7-9,25219509,Kommunal,Geografi,42,15,27,~100,"100,0",~100,"13,4","13,7","13,2",2014
Eskilstuna,Stålforsskolan 3 7-9,64275635,Kommunal,Geografi,54,27,27,"87,0",~100,~100,"11,7","12,3","11,1",2014
Eslöv,Ekenässkolan,83526311,Kommunal,Geografi,..,.,..,.,.,.,..,.,..,2014
Eslöv,Norrevångsskolan 7-9,37995642,Kommunal,Geografi,86,40,46,"83,7","85,0","82,6","11,8","12,1","11,5",2014
Falkenberg,Söderskolan 6-9,49385052,Kommunal,Geografi,62,30,32,"87,1",~100,~100,"12,2","13,2","11,3",2014
Falkenberg,Tullbroskolan 1,56615270,Kommunal,Geografi,50,26,24,"84,0","80,8",~100,"11,0","10,2","11,8",2014
Falköping,Kinnarpsskolan,15357005,Kommunal,Geografi,32,11,21,~100,"100,0",~100,"14,1","16,4","13,0",2014
Falköping,Vartoftaskolan,93035626,Kommunal,Geografi,24,11,13,"100,0","100,0","100,0","13,9","13,6","14,0",2014
Falun,Svärdsjöskolan 7-9,27506076,Kommunal,Geografi,87,44,43,"88,5",~100,"83,7","11,9","13,0","10,7",2014
Falun,Söderbaumska skolan,72625090,Enskild,Geografi,44,25,19,~100,"100,0",~100,"15,4","16,2","14,3",2014
Flen,Flens kristna skola,52287808,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2014
Flen,Malmaskolan,41621337,Kommunal,Geografi,35,11,24,"100,0","100,0","100,0","13,4","14,1","13,1",2014
Forshaga,Dejeskolan L-H-stadiet,48228294,Kommunal,Geografi,31,15,16,~100,~100,"100,0","12,6","10,8","14,2",2014
Färgelanda,Valboskolan 7-9,17089857,Kommunal,Geografi,60,29,31,"83,3","82,8","83,9","10,8","11,0","10,6",2014
Gislaved,Lundåkerskolan,47236914,Kommunal,Geografi,110,56,54,"82,7","80,4","85,2","10,5","10,2","10,9",2014
Gislaved,Montessorifriskolan i Gislaved,93436580,Enskild,Geografi,12,..,..,"100,0",..,..,"14,4",..,..,2014
Gislaved,Åsenskolan,70954223,Kommunal,Geografi,63,32,31,"92,1",~100,~100,"11,8","11,4","12,3",2014
Gnesta,Gnesta Waldorfskola,35159342,Enskild,Geografi,..,..,.,..,..,.,..,..,.,2014
Gotland,Högby skola,94163432,Kommunal,Geografi,68,31,37,"83,8","80,6","86,5","11,6","11,5","11,7",2014
Gotland,Klinteskolan,24429776,Kommunal,Geografi,28,10,18,"100,0","100,0","100,0","16,4","16,8","16,3",2014
Gotland,Solklintsskolan,10979668,Kommunal,Geografi,21,..,..,~100,..,~100,"12,4",..,"13,0",2014
Grums,Jättestenskolan,16891307,Kommunal,Geografi,69,28,41,"91,3",~100,~100,"12,0","12,0","12,0",2014
Grästorp,Centralskolan Söder 4-9,31381375,Kommunal,Geografi,23,10,13,~100,"100,0",~100,"12,3","14,5","10,6",2014
Gävle,Sofiedalskolan,80177526,Kommunal,Geografi,96,38,58,"88,5",~100,"86,2","11,8","13,2","10,9",2014
