skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_school_subject,skolverket_tot_m_betyg_tcv200,skolverket_fli_m_betyg_tcv200,skolverket_poj_m_betyg_tcv200,skolverket_tot_andel_ae_tcv200,skolverket_fli_andel_ae_tcv200,skolverket_poj_andel_ae_tcv200,skolverket_tot_gbp_tcv200,skolverket_fli_gbp_tcv200,skolverket_poj_gbp_tcv200,year
Gävle,Stenebergsskolan,17248313,Kommunal,Geografi,44,21,23,"61,4","52,4","69,6","7,0","6,1","7,9",2014
Göteborg,Bergums skola 4-9,98771543,Kommunal,Geografi,53,20,33,"84,9",~100,"81,8","12,2","13,3","11,5",2014
Göteborg,Brandströmska skolan Nylöse,11295861,Enskild,Geografi,18,..,..,~100,~100,..,"9,6","10,5",..,2014
Göteborg,Böskolans friskola,83071620,Enskild,Geografi,44,18,26,~100,"100,0",~100,"14,4","14,9","14,0",2014
Göteborg,Centrina Lindholmen,79866556,Enskild,Geografi,69,35,34,~100,"100,0",~100,"14,5","14,9","14,2",2014
Göteborg,Drakbergsskolan,60526603,Enskild,Geografi,23,12,11,~100,~100,..,"12,2","14,4","9,8",2014
Göteborg,Fenestra S:t Jörgen,27265374,Enskild,Geografi,66,30,36,~100,"100,0",~100,"14,2","14,0","14,3",2014
Göteborg,Guldhedsskolan 7-9,98423378,Kommunal,Geografi,65,27,38,"89,2","81,5",~100,"12,8","10,4","14,6",2014
Göteborg,Herrgårdsskolan,54775782,Kommunal,Geografi,26,14,12,~100,~100,"100,0","13,7","13,2","14,2",2014
Göteborg,Hovåsskolan 7-9,32603156,Kommunal,Geografi,101,47,54,~100,~100,~100,"14,3","14,8","13,9",2014
Göteborg,Johannebergsskolan 3-9,69180213,Kommunal,Geografi,12,..,..,"100,0",..,..,"15,0",..,..,2014
Göteborg,Kannebäcksskolan döva och hörsel,61201931,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2014
Göteborg,Klarebergsskolan 7-9,20429308,Kommunal,Geografi,83,37,46,"94,0",~100,~100,"12,6","12,8","12,4",2014
Göteborg,Kärraskolan 4-9,85930744,Kommunal,Geografi,51,28,23,~100,"100,0",~100,"14,5","14,6","14,3",2014
Göteborg,Lövgärdesskolan 4-9,31928894,Kommunal,Geografi,49,22,27,"85,7",~100,~100,"10,8","10,6","10,9",2014
Göteborg,Magelungen Karlaskolan,97205555,Enskild,Geografi,..,.,..,.,.,.,..,.,..,2014
Göteborg,Martinaskolan,47927698,Enskild,Geografi,10,..,..,..,..,..,"11,5",..,..,2014
Göteborg,Montessoriskolan Casa,76938537,Enskild,Geografi,29,15,14,~100,"100,0",~100,"16,6","17,8","15,2",2014
Göteborg,Nordhemsskolan,19560147,Kommunal,Geografi,102,58,44,~100,~100,~100,"14,7","15,2","14,0",2014
Göteborg,Nya Påvelundsskolan 1,33511119,Kommunal,Geografi,87,39,48,~100,~100,"100,0","15,5","14,9","16,0",2014
Göteborg,Nya Påvelundsskolan 2,43441529,Kommunal,Geografi,88,47,41,~100,"100,0",~100,"14,1","14,6","13,5",2014
Göteborg,Sandeklevsskolan 7-9,91683255,Kommunal,Geografi,50,26,24,"76,0","76,9","75,0","9,4","9,5","9,3",2014
Göteborg,Svartedalsskolan F-9,12974290,Kommunal,Geografi,..,.,..,.,.,.,..,.,..,2014
Göteborg,Sverigefinska skolan i Gbg,56289245,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2014
Göteborg,The English School Gothenburg,66890810,Enskild,Geografi,27,15,12,~100,~100,~100,"15,1","15,7","14,4",2014
Göteborg,Trulsegårdsskolan 6-9,84103533,Kommunal,Geografi,120,60,60,~100,~100,~100,"13,7","13,8","13,7",2014
Göteborg,Utmarksskolan,39000072,Kommunal,Geografi,51,23,28,"78,4",~100,"75,0","10,9","11,2","10,7",2014
Göteborg,Vetenskapsskolan,71259819,Enskild,Geografi,10,..,..,..,..,..,"13,0",..,..,2014
Göteborg,Waldorfskolan Grenkvist,36158006,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2014
Göteborg,Änglagårdskolan,87427999,Enskild,Geografi,38,17,21,~100,~100,"100,0","14,3","15,9","13,1",2014
Götene,Fornängsskolan,34900938,Kommunal,Geografi,59,24,35,"91,5",~100,~100,"12,3","12,8","12,0",2014
Habo,Hagabodaskolan 6-9,38553494,Kommunal,Geografi,126,59,67,"96,0","100,0","92,5","14,0","14,5","13,5",2014
Hallsberg,Folkasboskolan,99707554,Kommunal,Geografi,49,22,27,"79,6","68,2",~100,"10,8","9,2","12,1",2014
Hallstahammar,Lindboskolan,88403889,Kommunal,Geografi,117,50,67,"92,3",~100,"89,6","12,5","13,0","12,2",2014
Halmstad,Brunnsåkersskolan 2,87737594,Kommunal,Geografi,81,32,49,~100,"100,0",~100,"13,4","13,3","13,5",2014
Halmstad,Furulundsskolan 1,84189577,Kommunal,Geografi,51,28,23,~100,~100,~100,"12,3","12,1","12,6",2014
Halmstad,Fyllingeskolan 1,65388353,Kommunal,Geografi,40,23,17,~100,"100,0",~100,"14,0","14,6","13,2",2014
Halmstad,Östergårdsskolan 1,74243509,Kommunal,Geografi,60,22,38,~100,~100,~100,"12,5","13,2","12,1",2014
Halmstad,Östergårdsskolan 2,24668709,Kommunal,Geografi,45,29,16,"88,9",~100,~100,"12,1","11,9","12,5",2014
Haninge,Dalarö skola,74610376,Kommunal,Geografi,16,..,..,"100,0",..,..,"13,9",..,..,2014
Haninge,Funkis skola,14845171,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2014
Haninge,Rudanskolan,17957898,Enskild,Geografi,95,53,42,~100,~100,~100,"13,3","13,4","13,2",2014
Haninge,Söderbymalmsskolan,10035236,Kommunal,Geografi,157,62,95,"87,3","83,9","89,5","10,6","9,8","11,1",2014
Heby,Östervåla skola 7-9,88091927,Kommunal,Geografi,57,33,24,"100,0","100,0","100,0","13,7","14,2","12,9",2014
Hedemora,Annaskolan,95227669,Enskild,Geografi,..,..,.,..,..,.,..,..,.,2014
Helsingborg,Maria Parkskolan,42164778,Kommunal,Geografi,57,23,34,~100,~100,~100,"13,6","14,0","13,2",2014
Helsingborg,Svensgårdsskolan,89693828,Kommunal,Geografi,19,..,..,"100,0","100,0",..,"14,5","14,0",..,2014
Helsingborg,Vittra Adolfsberg,71069736,Enskild,Geografi,20,..,..,~100,..,~100,"12,4",..,"12,5",2014
Huddinge,Edboskolan,98477278,Kommunal,Geografi,84,42,42,~100,"100,0",~100,"15,1","15,5","14,7",2014
Huddinge,Kungsklippeskolan,89510449,Kommunal,Geografi,..,.,..,.,.,.,..,.,..,2014
Huddinge,Kvarnbergsskolan,54516737,Kommunal,Geografi,168,84,84,~100,~100,~100,"13,7","13,6","13,8",2014
Huddinge,Källbrinksskolan,41213404,Kommunal,Geografi,115,69,46,"93,9","91,3",~100,"13,2","12,7","13,9",2014
Huddinge,Tomtbergaskolan,28313791,Kommunal,Geografi,41,19,22,~100,~100,~100,"12,3","13,2","11,5",2014
Huddinge,Trångsundsskolan,42601396,Kommunal,Geografi,..,.,..,.,.,.,..,.,..,2014
Huddinge,Östra grundskolan,39229061,Kommunal,Geografi,95,50,45,~100,~100,~100,"15,1","16,1","13,9",2014
Håbo,Läraskolan,28306495,Enskild,Geografi,19,..,..,~100,"100,0",..,"12,8","14,5",..,2014
Håbo,Potentia Education,15081255,Enskild,Geografi,21,..,..,~100,..,"100,0","14,2",..,"14,0",2014
Härnösand,Kastellskolan,69454219,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2014
Härryda,"Fridaskolan, Härryda",27274628,Enskild,Geografi,70,35,35,"100,0","100,0","100,0","16,3","16,9","15,8",2014
Härryda,Önnerödsskolan,28698437,Kommunal,Geografi,63,27,36,~100,~100,"100,0","15,0","15,3","14,9",2014
Höganäs,Bruksskolan,95635160,Kommunal,Geografi,31,13,18,~100,"100,0",~100,"13,3","15,2","11,9",2014
Höör,Ringsjöskolan,82942801,Kommunal,Geografi,81,36,45,"81,5","83,3","80,0","11,1","11,4","10,9",2014
Jokkmokk,Vuollerims Friskola,33468088,Enskild,Geografi,14,..,..,~100,..,..,"12,3",..,"11,0",2014
Järfälla,Källtorpskolan,17287315,Kommunal,Geografi,94,55,39,"90,4",~100,"87,2","13,3","13,6","12,8",2014
Jönköping,Bergaskolan,79427132,Enskild,Geografi,..,..,.,..,..,.,..,..,.,2014
Jönköping,Herrgårdsskolan,92212933,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2014
Jönköping,Junedalsskolan,20696736,Kommunal,Geografi,252,125,127,"95,6","96,0","95,3","13,8","14,3","13,2",2014
Jönköping,Kunskapsskolan Jönköping,86562542,Enskild,Geografi,23,..,..,"73,9",~100,..,"10,5","9,3",..,2014
Jönköping,Rosenlundsskolan 7-9,96558008,Kommunal,Geografi,120,53,67,"86,7","83,0","89,6","11,4","11,5","11,4",2014
Kalmar,Falkenbergsskolan,99856371,Kommunal,Geografi,69,29,40,"92,8",~100,~100,"13,0","13,8","12,4",2014
Kalmar,Kalmar waldorfskola,16517618,Enskild,Geografi,14,..,..,~100,..,..,"12,0",..,"10,3",2014
Kalmar,Lindsdalsskolorna,51848797,Kommunal,Geografi,98,45,53,"93,9",~100,"90,6","13,3","13,7","13,0",2014
Kalmar,Södermöreskolan,79012102,Kommunal,Geografi,62,34,28,~100,~100,~100,"14,1","13,6","14,6",2014
Karlsborg,Carl Johanskolan,34231336,Kommunal,Geografi,56,28,28,~100,~100,"100,0","13,8","13,8","13,7",2014
Karlskoga,Bregårdsskolan åk 7-9,71762216,Kommunal,Geografi,106,59,47,"87,7","91,5","83,0","11,8","12,7","10,7",2014
Karlskrona,"Galären, grundskola",10662754,Enskild,Geografi,30,..,..,~100,~100,..,"13,4","14,3",..,2014
Karlskrona,Musikugglan,93919365,Enskild,Geografi,26,13,13,~100,"100,0",~100,"14,4","16,0","12,9",2014
Karlskrona,Rosenholmskolan Sport College 7-9,89523926,Kommunal,Geografi,49,21,28,"100,0","100,0","100,0","14,4","14,3","14,6",2014
Karlskrona,Rödebyskolan 7-9,32421136,Kommunal,Geografi,83,42,41,"92,8",~100,~100,"13,0","13,0","12,9",2014
Karlskrona,Wämöskolan 7-9,63323984,Kommunal,Geografi,87,42,45,~100,~100,~100,"14,3","13,9","14,7",2014
Karlstad,Frödingskolan 7-9,29058107,Kommunal,Geografi,52,24,28,"86,5",~100,~100,"11,5","11,1","11,9",2014
Karlstad,Mariebergsskolan,81424988,Kommunal,Geografi,84,33,51,"82,1",~100,"74,5","10,2","11,4","9,5",2014
Karlstad,Norrstrandsskolan Terra Ignis,83999935,Kommunal,Geografi,92,41,51,~100,~100,~100,"15,1","15,4","15,0",2014
Kil,Sannerudsskolan 7-9,17665080,Kommunal,Geografi,130,65,65,"92,3","92,3","92,3","12,6","12,5","12,7",2014
Kinda,Värgårdsskolan,75296593,Kommunal,Geografi,91,41,50,"87,9","87,8","88,0","12,2","12,0","12,4",2014
Kiruna,Vittangi skola,76314428,Kommunal,Geografi,11,..,..,..,..,..,"7,5",..,..,2014
Kramfors,Gudmundråskolan,11159060,Kommunal,Geografi,83,45,38,"85,5","82,2",~100,"11,1","10,3","12,1",2014
Kramfors,Högakustenskolan,75515918,Kommunal,Geografi,49,27,22,"100,0","100,0","100,0","15,9","16,3","15,3",2014
Kristianstad,Antonskolan,14555807,Enskild,Geografi,21,10,11,~100,..,"100,0","12,3","11,0","13,4",2014
Kristianstad,Fjälkinge skola MH,13867770,Kommunal,Geografi,39,18,21,~100,"100,0",~100,"14,2","15,3","13,3",2014
Kristianstad,Rönnowskolan H,13756290,Kommunal,Geografi,49,25,24,~100,~100,"100,0","15,1","14,1","16,1",2014
Kristianstad,Slättängsskolan H,63356940,Kommunal,Geografi,59,31,28,"89,8",~100,~100,"11,8","11,9","11,6",2014
Kristianstad,Tollarps skola MH,45430802,Kommunal,Geografi,49,31,18,~100,~100,~100,"11,1","10,7","11,8",2014
Kristianstad,Väskolan MH,75922665,Kommunal,Geografi,41,18,23,~100,~100,~100,"13,3","12,9","13,6",2014
Kristinehamn,Stenstalidskolan 7-9,14885908,Kommunal,Geografi,71,26,45,~100,"100,0",~100,"12,7","13,9","11,9",2014
Krokom,Nyhedens skola,40025257,Kommunal,Geografi,70,35,35,"92,9",~100,~100,"12,3","12,9","11,7",2014
Kumla,Kumlaby skola 6-9,75692870,Kommunal,Geografi,56,34,22,"85,7",~100,"77,3","10,9","11,5","10,1",2014
Kumla,Skogstorpsskolan 6-9,44243725,Kommunal,Geografi,81,41,40,~100,"100,0",~100,"14,1","14,0","14,3",2014
Kungsbacka,Fullriggaren Malevik 4-9,33170625,Kommunal,Geografi,25,13,12,"100,0","100,0","100,0","16,7","16,7","16,7",2014
Kungsbacka,Kullaviksskolan 7-9,75835202,Kommunal,Geografi,58,27,31,"100,0","100,0","100,0","14,7","15,6","14,0",2014
Kungsbacka,Onsala Montessoriskola,90784555,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2014
Kungsbacka,Särö skola 4-9,72090315,Kommunal,Geografi,51,18,33,"100,0","100,0","100,0","14,8","14,9","14,7",2014
Kungsbacka,Vittra Forsgläntan,42568760,Enskild,Geografi,49,28,21,"100,0","100,0","100,0","15,6","15,8","15,4",2014
Kungsör,Kung Karls skola,46834580,Kommunal,Geografi,70,36,34,~100,~100,~100,"12,5","12,9","12,0",2014
Kungälv,Montessoriskolan Älvkullen,49323438,Enskild,Geografi,11,..,..,~100,..,..,"13,0",..,..,2014
Kungälv,Ytterbyskolan 1,63621283,Kommunal,Geografi,143,79,64,~100,"100,0",~100,"13,8","14,3","13,3",2014
Kävlinge,Björkenässkolan,19504051,Enskild,Geografi,59,33,26,~100,~100,~100,"12,8","13,0","12,4",2014
Landskrona,Asmundtorps skola 7-9,70803452,Kommunal,Geografi,36,13,23,"86,1",~100,~100,"11,9","12,5","11,5",2014
Landskrona,Glumslövs skola,30917121,Kommunal,Geografi,41,18,23,"100,0","100,0","100,0","14,9","15,3","14,6",2014
Landskrona,Kunskapsskolan Landskrona,60956248,Enskild,Geografi,37,21,16,"100,0","100,0","100,0","14,3","15,0","13,3",2014
Lerum,Alléskolan skolenhet Ask,51403955,Kommunal,Geografi,70,38,32,~100,~100,~100,"13,6","14,1","13,0",2014
Lerum,Röselidsskolan skolenhet B,38539206,Kommunal,Geografi,43,15,28,~100,~100,~100,"12,6","12,0","12,9",2014
Lerum,Stenkulan 4-9,49419497,Kommunal,Geografi,37,15,22,"100,0","100,0","100,0","14,5","12,7","15,7",2014
Lerum,Torpskolan skolenhet 1,21176313,Kommunal,Geografi,76,27,49,"100,0","100,0","100,0","15,4","15,6","15,3",2014
Lessebo,Bikupan,74218950,Kommunal,Geografi,79,28,51,"86,1",~100,"80,4","10,9","12,5","10,0",2014
Lidingö,Käppala skola 5-9,20137688,Kommunal,Geografi,56,27,29,"100,0","100,0","100,0","15,7","15,6","15,9",2014
Lidingö,Vittra på Lidingö,46585145,Enskild,Geografi,17,..,..,~100,"100,0",..,"12,8","13,7",..,2014
Lidköping,Broholmskolan,98083121,Enskild,Geografi,33,15,18,~100,~100,"100,0","13,7","13,8","13,6",2014
Lidköping,Rudenschöldskolan,52152242,Kommunal,Geografi,124,68,56,~100,~100,"100,0","13,6","13,9","13,3",2014
Lindesberg,Storåskolan,88486410,Kommunal,Geografi,30,15,15,~100,"100,0",~100,"13,2","14,0","12,3",2014
Linköping,Folkungaskolan grundskola,65857121,Kommunal,Geografi,98,64,34,"100,0","100,0","100,0","16,6","16,9","16,2",2014
Linköping,Kungsbergsskolan 7-9,69901106,Kommunal,Geografi,116,37,79,~100,~100,~100,"13,4","13,1","13,5",2014
Linköping,Kunskapsskolan Linköping,67505597,Enskild,Geografi,17,..,..,~100,..,..,"11,5","12,8",..,2014
Linköping,Nya Rydsskolan 7-9,28438233,Kommunal,Geografi,28,..,..,~100,~100,..,"12,1","12,4",..,2014
Linköping,Pandionskolan,16928929,Enskild,Geografi,..,..,..,..,.,..,..,..,..,2014
Linköping,Tinnerbäcksskolan,24877681,Kommunal,Geografi,..,..,.,.,.,.,..,..,.,2014
Linköping,Vittra Lambohov,26255239,Enskild,Geografi,25,10,15,"100,0","100,0","100,0","16,2","16,3","16,2",2014
Ljungby,Kungshögsskolan 2,87262274,Kommunal,Geografi,23,13,10,~100,~100,..,"11,1","11,3","10,8",2014
Ljungby,Åbyskolan 2,75853223,Kommunal,Geografi,57,27,30,~100,~100,~100,"13,3","13,1","13,5",2014
Ljusdal,Los skola,87366152,Kommunal,Geografi,..,..,..,..,..,..,..,..,..,2014
Ljusdal,Öjeskolan,47378558,Kommunal,Geografi,39,18,21,"87,2",~100,~100,"11,7","13,1","10,6",2014
Lomma,Bjärehovskolan,41254600,Kommunal,Geografi,76,30,46,"100,0","100,0","100,0","14,6","15,1","14,3",2014
Lomma,Pilängskolan,15610637,Kommunal,Geografi,114,45,69,"100,0","100,0","100,0","15,0","15,3","14,9",2014
Luleå,Hertsöskolan 7-9,15579589,Kommunal,Geografi,61,32,29,~100,~100,~100,"13,2","12,8","13,6",2014
Luleå,Montessori,35085794,Kommunal,Geografi,29,14,15,~100,~100,"100,0","13,2","10,9","15,3",2014
Luleå,Nya Läroverket,82183259,Enskild,Geografi,43,19,24,~100,~100,~100,"14,2","14,3","14,2",2014
Lund,Kunskapsskolan Lund,52037312,Enskild,Geografi,75,36,39,"100,0","100,0","100,0","16,1","16,6","15,6",2014
Lund,Nya Almelundsskolan,92834089,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2014
Lund,Vikingaskolan,68201054,Kommunal,Geografi,32,19,13,~100,"100,0",~100,"13,8","15,0","11,9",2014
Malmö,Boukefs Privatskola,68849385,Enskild,Geografi,12,..,..,~100,..,..,"10,8",..,..,2014
Malmö,Bäckagårdsskolan,12636945,Kommunal,Geografi,51,22,29,~100,"100,0",~100,"14,9","15,2","14,7",2014
Malmö,Dammfriskolan,48874671,Kommunal,Geografi,96,49,47,"75,0","79,6","70,2","9,5","10,1","8,9",2014
Malmö,Gottorpskolan,56363473,Kommunal,Geografi,68,26,42,"86,8","76,9",~100,"12,7","10,3","14,2",2014
Malmö,Humfryskolan,91823719,Enskild,Geografi,27,..,..,"77,8",~100,..,"10,5","11,2",..,2014
Malmö,Lindeborgsskolan,22509001,Kommunal,Geografi,107,45,62,"90,7",~100,"88,7","12,1","12,2","12,1",2014
Malmö,Olympen,87991089,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2014
Malmö,Oxievångsskolan,64402572,Kommunal,Geografi,103,46,57,"82,5","89,1","77,2","10,6","11,6","9,7",2014
Malmö,Resursskolan UngArt,89498184,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2014
Malmö,Slottsstadens skola,92862757,Kommunal,Geografi,132,57,75,~100,~100,~100,"14,7","15,0","14,5",2014
Malmö,Sorgenfriskolan,67130748,Kommunal,Geografi,31,21,10,~100,~100,"100,0","11,3","11,2","11,5",2014
Malmö,Sveaskolan,54725950,Enskild,Geografi,48,21,27,"100,0","100,0","100,0","15,2","15,6","14,8",2014
Malmö,Videdalsskolan,37324136,Kommunal,Geografi,74,33,41,~100,~100,~100,"12,6","12,7","12,6",2014
Malmö,Ängsdals skola,34314029,Enskild,Geografi,24,..,..,"100,0","100,0",..,"14,8","14,8",..,2014
Mark,Leteboskolan,79844557,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2014
Mark,Örbyskolan 6-9,76300443,Kommunal,Geografi,45,20,25,"100,0","100,0","100,0","15,1","16,1","14,2",2014
Markaryd,Strömsnässkolan,59001324,Kommunal,Geografi,37,19,18,"86,5",~100,~100,"12,2","11,6","12,8",2014
Nacka,Alphyddeskolan,30066063,Kommunal,Geografi,..,..,.,.,.,.,..,..,.,2014
Nacka,Björknässkolan,75834458,Kommunal,Geografi,123,52,71,~100,~100,~100,"14,5","13,8","14,9",2014
Nacka,Centrumskolan,35986188,Kommunal,Geografi,..,..,..,..,..,..,..,..,..,2014
Nacka,Eklidens skola,47243834,Kommunal,Geografi,188,99,89,~100,~100,~100,"15,0","14,9","15,1",2014
