skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_fli_tcv140,skolverket_andel_fli_tcv140,skolverket_and_uppn_alla_amnen_fli_tcv140,skolverket_and_behorig_fli_tcv140,skolverket_gmv_fli_tcv140,skolverket_antal_poj_tcv140,skolverket_andel_poj_tcv140,skolverket_and_uppn_alla_amnen_poj_tcv140,skolverket_and_behorig_poj_tcv140,skolverket_gmv_poj_tcv140,year
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,25,"61,0","68,0","76,0","190,4",16,"39,0","81,3",~100,"186,2",2015
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,58,"46,4","91,4",~100,"252,8",67,"53,6","89,6",~100,"216,9",2015
Bollnäs,Edenskolan,Enskild,Stiftelsen Bollnäs Bibelcenter,69498258,..,..,..,..,..,..,..,.,.,.,2015
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,27,"42,9","85,2",~100,"253,8",36,"57,1","72,2","77,8","202,3",2015
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,..,..,..,..,..,..,..,"87,5",~100,"206,6",2015
Borlänge,Lanternan,Enskild,Adventum Specialpedagogik AB,59137023,..,..,.,.,..,..,..,.,.,.,2015
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,54,"55,7","81,5","90,7","241,1",43,"44,3","67,4","76,7","191,7",2015
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,91,"59,1","76,9","85,7","221,6",63,"40,9","63,5","77,8","175,7",2015
Borlänge,Gylle skola 6-9,Kommunal,Borlänge,11406792,60,"45,1","70,0","76,7","228,6",73,"54,9","74,0","82,2","201,0",2015
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,36,"30,5","55,6","66,7","200,6",82,"69,5","47,6","61,0","197,1",2015
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,17,"44,7",..,"64,7","191,0",21,"55,3",..,"47,6","174,3",2015
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige Aktiebolag,70510891,23,"56,1","82,6",~100,"241,3",18,"43,9","72,2",~100,"210,4",2015
Borlänge,Immanuelskolan,Enskild,Stiftelsen Immanuel,24147931,..,..,..,..,..,..,..,..,..,..,2015
Borås,Bodaskolan,Kommunal,Borås,67454907,63,"53,8","68,3","81,0","218,7",54,"46,2","63,0","70,4","183,1",2015
Borås,Dalsjöskolan 4-9,Kommunal,Borås,95015820,53,"42,7","90,6",~100,"254,1",71,"57,3","66,2","87,3","206,5",2015
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,61,"46,6","75,4","85,2","242,3",70,"53,4","81,4","87,1","206,7",2015
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,53,"52,0","90,6","90,6","260,8",49,"48,0","89,8",~100,"239,1",2015
Borås,Erikslundskolan,Kommunal,Borås,50870189,23,"48,9",..,"47,8","194,6",24,"51,1","58,3","70,8","196,9",2015
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,43,"41,7","79,1",~100,"234,4",60,"58,3","83,3","90,0","215,1",2015
Borås,Sandgärdskolan,Kommunal,Borås,98081621,46,"49,5","100,0","100,0","255,5",47,"50,5","87,2",~100,"225,0",2015
Borås,Särlaskolan F-9,Kommunal,Borås,23108037,42,"62,7","61,9","71,4","197,2",25,"37,3","52,0","60,0","176,5",2015
Borås,Viskaforsskolan F-9,Kommunal,Borås,50756758,27,"36,5","74,1","74,1","213,8",47,"63,5","59,6","70,2","207,0",2015
Borås,Engelska Skolan i Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,65,"57,5","96,9","100,0","287,2",48,"42,5","95,8","100,0","263,8",2015
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige Aktiebolag,10257640,56,"57,7","87,5",~100,"258,3",41,"42,3","92,7",~100,"244,3",2015
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,..,..,"91,7",~100,"253,1",..,..,..,..,..,2015
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,..,..,..,..,..,..,..,"100,0","100,0","243,6",2015
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,36,"53,7","75,0","80,6","230,3",31,"46,3","71,0","77,4","211,4",2015
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,39,"45,3","84,6",~100,"227,9",47,"54,7","93,6",~100,"240,1",2015
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,21,"56,8","66,7",~100,"220,2",16,"43,2","75,0",~100,"218,4",2015
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,37,"46,8","64,9","73,0","236,8",42,"53,2","83,3",~100,"229,2",2015
Botkyrka,Falkbergsskolan 1GR,Kommunal,Botkyrka,23477041,..,..,.,.,.,..,..,.,.,..,2015
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,34,"50,7","50,0","61,8","163,7",33,"49,3","39,4","66,7","152,5",2015
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,22,"48,9","54,5","68,2","199,3",23,"51,1","47,8","60,9","156,2",2015
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,29,"67,4","65,5",~100,"247,9",14,"32,6","71,4",~100,"203,0",2015
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,24,"45,3","41,7","58,3","205,3",29,"54,7","51,7","69,0","180,6",2015
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,21,"55,3","76,2",~100,"233,3",17,"44,7","82,4",~100,"214,1",2015
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,27,"52,9","96,3",~100,"253,1",24,"47,1","70,8","75,0","179,8",2015
Botkyrka,Storvretskolan 1GR,Kommunal,Botkyrka,16223141,..,..,.,.,.,..,..,..,..,..,2015
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,38,"47,5","84,2",~100,"244,4",42,"52,5","95,2","100,0","217,6",2015
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,39,"52,7","56,4","79,5","211,8",35,"47,3","48,6","60,0","181,5",2015
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ekonomisk Förening,29524966,..,..,..,..,..,..,..,..,..,..,2015
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,30,"73,2","83,3",~100,"258,6",11,"26,8",..,"100,0","235,7",2015
Botkyrka,Kunskapsskolan Botkyrka,Enskild,Kunskapsskolan i Sverige Aktiebolag,84411355,27,"49,1","81,5",~100,"228,0",28,"50,9","85,7",~100,"240,9",2015
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,Sverigefinska Skolan i Botkyrka Aktiebolag,57850353,..,..,..,..,..,..,..,..,..,..,2015
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,32,"64,0","71,9",~100,"208,0",18,"36,0","72,2",~100,"191,0",2015
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,16,"42,1",..,"68,8","169,4",22,"57,9","63,6","72,7","192,8",2015
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,40,"48,8","85,0",~100,"235,9",42,"51,2","78,6","88,1","211,3",2015
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,13,"40,6",..,~100,"227,7",19,"59,4","78,9",~100,"197,9",2015
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,17,"45,9","88,2",~100,"237,6",20,"54,1","90,0",~100,"239,1",2015
Bräcke,Kälarne skola,Kommunal,Bräcke,82223639,..,..,..,..,..,..,..,..,~100,"203,1",2015
Burlöv,Stora Dalslundskolan,Kommunal,Burlöv,58712142,39,"52,0","84,6",~100,"248,2",36,"48,0","88,9",~100,"228,1",2015
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,50,"50,0","76,0","80,0","236,6",50,"50,0","54,0","66,0","187,9",2015
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,19,"37,3","94,7",~100,"250,0",32,"62,7","87,5",~100,"215,8",2015
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,34,"50,7","88,2",~100,"249,8",33,"49,3","66,7","84,8","209,6",2015
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,25,"52,1","80,0","80,0","231,8",23,"47,9","47,8","60,9","160,8",2015
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,74,"45,7","97,3","100,0","280,1",88,"54,3","89,8",~100,"251,7",2015
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,74,"51,7","86,5","93,2","268,4",69,"48,3","89,9","92,8","234,2",2015
Danderyd,Snitz Mörby,Enskild,PPS Power Planning System Aktiebolag,13475641,..,..,..,..,..,..,..,..,..,..,2015
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,76,"42,7","97,4","100,0","271,8",102,"57,3","95,1",~100,"257,5",2015
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,61,"48,4","72,1","80,3","225,6",65,"51,6","52,3","73,8","189,9",2015
Dorotea,Strandenskolan,Kommunal,Dorotea,56595678,..,..,..,..,"168,3",..,..,..,..,..,2015
Eda,Gunnarsbyskolan 6-9,Kommunal,Eda,95519589,20,"51,3","85,0",~100,"208,3",19,"48,7","84,2",~100,"216,1",2015
Eda,Hierneskolan  6-9,Kommunal,Eda,85815904,13,"48,1","76,9",~100,"254,8",14,"51,9",..,..,"185,4",2015
Ekerö,Ekebyhovskolan,Kommunal,Ekerö,99373839,19,"42,2","78,9",~100,"274,2",26,"57,8","92,3","100,0","245,6",2015
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,32,"35,6","90,6",~100,"255,2",58,"64,4","91,4",~100,"243,4",2015
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,..,..,..,..,..,..,..,"100,0","100,0","257,9",2015
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,45,"47,9","88,9",~100,"248,7",49,"52,1","89,8",~100,"212,2",2015
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,11,"35,5","100,0","100,0","307,3",20,"64,5","95,0","100,0","270,4",2015
Eksjö,Broarps skola,Enskild,Attendo Individ och familj AB,30452569,..,..,.,.,..,..,..,.,..,..,2015
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,..,..,"90,9","100,0","237,3",..,..,..,..,..,2015
Eksjö,Hunsnässkolan,Kommunal,Eksjö,56054655,..,..,.,.,..,..,..,.,.,..,2015
Eksjö,Prästängsskolan,Kommunal,Eksjö,48457931,68,"51,5","77,9","79,4","239,1",64,"48,5","68,8","73,4","201,6",2015
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,46,"50,5","84,8","89,1","228,3",45,"49,5","57,8","77,8","173,5",2015
Enköping,Entréskolan Enköping,Enskild,AmiSgo AB,97000303,..,..,"84,6",~100,"223,1",..,..,..,..,..,2015
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,26,"41,9","80,8",~100,"221,7",36,"58,1","88,9",~100,"215,6",2015
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,..,..,..,..,..,..,..,..,~100,"200,7",2015
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,23,"43,4","60,9",~100,"219,0",30,"56,6","80,0",~100,"204,3",2015
Enköping,S:t Iliansskolan,Kommunal,Enköping,34699165,82,"52,2","79,3","86,6","226,6",75,"47,8","68,0","76,0","196,5",2015
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,19,"50,0","78,9",~100,"217,6",19,"50,0","94,7","100,0","217,5",2015
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,67723630,33,"43,4","87,9",~100,"252,2",43,"56,6","83,7",~100,"238,4",2015
Enköping,Bergtallens skola,Enskild,Villberga Familjecenter Aktiebolag,73178642,..,..,.,..,..,..,..,.,.,..,2015
Eskilstuna,"Entréskolan, Eskilstuna",Enskild,AmiSgo AB,10443922,..,..,..,..,..,..,..,..,..,..,2015
Eskilstuna,"British Junior Sec, Eskilstuna",Enskild,British Schools AB,50048111,..,..,..,..,"230,8",..,..,..,..,..,2015
Eskilstuna,Djurgårdsskolan1 7-9,Kommunal,Eskilstuna,34148803,35,"67,3","94,3",~100,"257,4",17,"32,7","64,7",~100,"202,3",2015
Eskilstuna,Djurgårdsskolan2 7-9,Kommunal,Eskilstuna,54605092,28,"47,5","82,1",~100,"229,9",31,"52,5","71,0",~100,"206,3",2015
Eskilstuna,Faktoriet 7-9,Kommunal,Eskilstuna,64275635,41,"45,6","87,8",~100,"243,0",49,"54,4","69,4","75,5","194,4",2015
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,65,"56,0","92,3",~100,"239,7",51,"44,0","80,4","86,3","202,1",2015
Eskilstuna,Skiftingehus F-9,Kommunal,Eskilstuna,65025285,42,"46,7","40,5","57,1","165,5",48,"53,3","58,3","64,6","168,5",2015
Eskilstuna,Skogstorpsskolan 7-9,Kommunal,Eskilstuna,30622727,57,"51,4","70,2","80,7","215,9",54,"48,6","70,4","77,8","196,5",2015
Eskilstuna,Stålforsskolan 7-9,Kommunal,Eskilstuna,14327803,146,"55,5","66,4","78,1","225,2",117,"44,5","66,7","81,2","191,3",2015
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,21,"50,0","100,0","100,0","280,5",21,"50,0","85,7",~100,"219,2",2015
Eskilstuna,Årbyskolan F-9,Kommunal,Eskilstuna,63315515,33,"42,9","69,7","81,8","210,2",44,"57,1","38,6","68,2","179,0",2015
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,106,"54,1","96,2","100,0","289,9",90,"45,9","97,8","100,0","260,3",2015
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,53,"55,2","67,9","77,4","226,6",43,"44,8","79,1","83,7","217,2",2015
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,24,"44,4","79,2",~100,"248,4",30,"55,6","66,7",~100,"217,3",2015
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,66,"59,5","75,8","81,8","204,0",45,"40,5","68,9","82,2","192,6",2015
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,17,"37,0","82,4",~100,"239,8",29,"63,0","86,2",~100,"228,1",2015
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,36,"51,4","83,3",~100,"230,2",34,"48,6","73,5",~100,"195,6",2015
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,68,"50,7","58,8","70,6","201,4",66,"49,3","60,6","65,2","180,5",2015
Fagersta,Lindgårdsskolan,Enskild,Västanfors-Västervåla Församling,50128489,..,..,"91,7",~100,"217,9",..,..,..,..,..,2015
Falkenberg,Apelskolan 1,Kommunal,Falkenberg,31158776,19,"43,2","57,9","73,7","205,7",25,"56,8","88,0",~100,"224,0",2015
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,..,..,..,..,..,..,..,..,..,..,2015
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,35,"54,7","71,4","85,7","225,2",29,"45,3","55,2","75,9","186,6",2015
Falkenberg,Söderskolan 6-9,Kommunal,Falkenberg,49385052,28,"42,4","71,4",~100,"235,5",38,"57,6","68,4",~100,"213,9",2015
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,36,"44,4","75,0",~100,"214,2",45,"55,6","77,8","84,4","204,6",2015
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,24,"45,3","75,0",~100,"221,6",29,"54,7","82,8",~100,"190,4",2015
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,60510073,43,"56,6","74,4","86,0","219,2",33,"43,4","51,5","75,8","192,7",2015
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,25,"49,0","100,0","100,0","286,1",26,"51,0","92,3",~100,"233,7",2015
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,37,"50,0","67,6","70,3","209,4",37,"50,0","54,1","67,6","183,4",2015
Falköping,Flobyskolan,Kommunal,Falköping,19044601,23,"41,8","56,5","78,3","187,6",32,"58,2","59,4","78,1","187,3",2015
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,..,..,..,..,..,..,..,"81,8",~100,"205,8",2015
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,..,..,..,..,..,..,..,"78,9",~100,"209,6",2015
Falköping,Kyrkerörsskolan,Kommunal,Falköping,78444521,49,"51,6","73,5","79,6","211,2",46,"48,4","73,9","80,4","208,6",2015
Falköping,Passagen,Kommunal,Falköping,45692007,..,..,.,.,.,..,..,.,.,.,2015
Falköping,Stenstorpsskolan,Kommunal,Falköping,48923792,11,"34,4",..,..,"176,6",21,"65,6","76,2","76,2","181,5",2015
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,..,..,..,..,..,..,..,..,..,"202,0",2015
Falköping,Karl-Oskarskolan i Falköping,Enskild,Karl-Oskar Utbildning AB,48252217,..,..,"85,7",~100,"220,4",..,..,..,..,..,2015
Falköping,Vårkullens skolveckohem,Enskild,Vårkullen AB,43911053,..,..,.,.,.,..,..,.,.,.,2015
Falun,Backafors Resursskola,Enskild,Attendo Närsjögläntans HVB-hem AB,27560810,..,..,..,..,..,..,..,.,..,..,2015
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,32,"55,2","75,0",~100,"250,0",26,"44,8","61,5",~100,"203,7",2015
Falun,Britsarvsskolan,Kommunal,Falun,17033155,27,"39,1","74,1","81,5","213,4",42,"60,9","85,7",~100,"217,1",2015
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,66,"51,6","69,7","75,8","216,4",62,"48,4","67,7","75,8","195,4",2015
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,..,..,"100,0","100,0","260,5",..,..,..,..,..,2015
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,48,"55,2","89,6",~100,"217,5",39,"44,8","74,4","84,6","195,8",2015
Falun,Västra Skolan,Kommunal,Falun,27153243,67,"45,6","80,6","85,1","223,4",80,"54,4","72,5","82,5","200,8",2015
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun ekonomisk förening,65494903,..,..,"92,3",~100,"265,6",..,..,..,..,..,2015
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor och Skolor AB,72625090,26,"55,3","96,2","100,0","269,9",21,"44,7","95,2","100,0","227,3",2015
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,33,"45,8","90,9",~100,"241,7",39,"54,2","74,4",~100,"216,1",2015
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,..,..,"100,0","100,0","239,8",..,..,..,..,..,2015
Finspång,Grosvadskolan,Kommunal,Finspång,40732962,43,"42,6","62,8","74,4","199,2",58,"57,4","43,1","62,1","164,0",2015
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,38,"48,1","89,5",~100,"236,7",41,"51,9","65,9","78,0","200,6",2015
Flen,Bruksskolan,Kommunal,Flen,59846075,..,..,..,..,..,..,..,"66,7",~100,"184,3",2015
Flen,Malmaskolan,Kommunal,Flen,41621337,18,"56,3",..,"55,6","172,4",14,"43,8","78,6",~100,"225,8",2015
Flen,Stenhammarskolan,Kommunal,Flen,81546814,53,"46,1","56,6","69,8","191,4",62,"53,9","38,7","61,3","163,3",2015
Flen,Flens kristna skola,Enskild,Flens Kristna Skola AB,52287808,..,..,..,..,..,..,..,..,..,..,2015
Forshaga,Dejeskolan L-H-stadiet,Kommunal,Forshaga,48228294,20,"44,4","70,0",~100,"213,0",25,"55,6","64,0",~100,"187,0",2015
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,41,"45,1","92,7","100,0","248,0",50,"54,9","80,0",~100,"210,3",2015
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,31,"50,0","51,6","54,8","196,4",31,"50,0","41,9","48,4","161,9",2015
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,45,"60,0","80,0",~100,"232,0",30,"40,0","80,0",~100,"221,3",2015
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,27,"52,9","74,1",~100,"232,1",24,"47,1","62,5","75,0","179,7",2015
Gislaved,Lundåkerskolan,Kommunal,Gislaved,47236914,63,"50,4","71,4","76,2","208,8",62,"49,6","53,2","67,7","181,3",2015
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,56,"61,5","87,5",~100,"233,2",35,"38,5","68,6","80,0","190,5",2015
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,38,"49,4","86,8","86,8","230,7",39,"50,6","76,9","84,6","203,4",2015
