skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_fli_tcv140,skolverket_andel_fli_tcv140,skolverket_and_uppn_alla_amnen_fli_tcv140,skolverket_and_behorig_fli_tcv140,skolverket_gmv_fli_tcv140,skolverket_antal_poj_tcv140,skolverket_andel_poj_tcv140,skolverket_and_uppn_alla_amnen_poj_tcv140,skolverket_and_behorig_poj_tcv140,skolverket_gmv_poj_tcv140,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ekonomisk förening,71387206,23,"54,8","91,3",~100,"247,3",19,"45,2","78,9",~100,"200,9",2015
Ale,Aroseniusskolan,Kommunal,Ale,48529699,56,"48,7","55,4","73,2","200,6",59,"51,3","66,1","79,7","192,5",2015
Ale,Bohusskolan,Kommunal,Ale,11043800,12,"30,8","83,3","100,0","224,0",27,"69,2","81,5",~100,"214,9",2015
Ale,Da Vinciskolan,Kommunal,Ale,61084420,63,"48,1","66,7","84,1","204,5",68,"51,9","61,8","77,9","187,3",2015
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,40,"43,5","82,5",~100,"232,4",52,"56,5","88,5",~100,"222,0",2015
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,36,"47,4","91,7",~100,"250,3",40,"52,6","82,5","100,0","220,1",2015
Alingsås,Sollebrunns skola 6-9,Kommunal,Alingsås,76908037,24,"57,1","95,8","100,0","245,0",18,"42,9","83,3",~100,"224,3",2015
Alingsås,Östlyckeskolan 6-7,Kommunal,Alingsås,63889771,..,..,.,..,..,..,..,.,..,"47,0",2015
Alingsås,Östlyckeskolan 8-9,Kommunal,Alingsås,20234335,61,"47,3","80,3","85,2","229,6",68,"52,7","55,9","70,6","180,5",2015
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,30,"61,2","100,0","100,0","275,0",19,"38,8","94,7","100,0","245,7",2015
Alingsås,Linnéskolan,Enskild,Alingsås Waldorfskoleförening,32478204,..,..,..,..,..,..,..,..,..,..,2015
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,20,"44,4","100,0","100,0","252,5",25,"55,6","92,0","100,0","246,1",2015
Alvesta,Hagaskolan,Kommunal,Alvesta,67183147,51,"47,2","74,5","78,4","236,3",57,"52,8","56,1","68,4","174,5",2015
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,15,"50,0","93,3",~100,"266,7",15,"50,0","73,3",~100,"212,7",2015
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,34,"50,0","70,6",~100,"241,5",34,"50,0","64,7","79,4","211,5",2015
Aneby,Furulidskolan,Kommunal,Aneby,88669294,40,"51,9","80,0","82,5","233,1",37,"48,1","83,8",~100,"214,8",2015
Aneby,Oasens skola,Enskild,Oasen Utbildningscenter AB,48000763,..,..,.,.,..,..,..,.,.,.,2015
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,44,"54,3","77,3","86,4","227,8",37,"45,7","73,0",~100,"206,1",2015
Arboga,Stureskolan,Kommunal,Arboga,13854755,25,"37,3","88,0",~100,"255,5",42,"62,7","69,0","88,1","210,4",2015
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,..,..,..,~100,"250,0",..,..,..,..,..,2015
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,32,"45,7","75,0","81,3","214,5",38,"54,3","60,5","68,4","176,9",2015
Arvika,Centralskolan,Kommunal,Arvika,60318692,62,"40,0","91,9",~100,"247,4",93,"60,0","64,5","86,0","192,7",2015
Arvika,Järvenskolan,Kommunal,Arvika,96316449,..,..,..,..,"251,5",..,..,..,..,..,2015
Arvika,Kyrkebyskolan åk 7-9,Kommunal,Arvika,64771195,33,"53,2","78,8",~100,"232,9",29,"46,8","72,4",~100,"198,2",2015
Arvika,"Estetiska skolan, högstadiet",Enskild,Ideella Föreningen Klässbols Högstadium,99375199,31,"75,6","83,9",~100,"235,2",10,"24,4",..,..,"199,8",2015
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,49,"49,0","79,6","83,7","230,2",51,"51,0","43,1","72,5","165,6",2015
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,61,"53,5","75,4","85,2","237,9",53,"46,5","58,5","77,4","195,7",2015
Avesta,Johan Olovsskolan,Kommunal,Avesta,48240990,16,"51,6","81,3",~100,"234,1",15,"48,4","80,0",~100,"222,5",2015
Avesta,Åvestadalskolan,Kommunal,Avesta,30454178,28,"40,6","53,6","67,9","202,8",41,"59,4","68,3","85,4","204,9",2015
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,47,"48,5","63,8","72,3","200,7",50,"51,5","54,0","64,0","184,9",2015
Berg,Myrvikens skola,Kommunal,Berg,56709330,18,"62,1","83,3",~100,"221,0",11,"37,9",..,..,"167,7",2015
Berg,Svenstavik åk 7-9,Kommunal,Berg,39932052,16,"39,0","62,5","68,8","212,8",25,"61,0","56,0","64,0","183,0",2015
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,18,"58,1","72,2",~100,"201,8",13,"41,9","76,9",~100,"199,2",2015
Bjuv,Ekeby skola,Kommunal,Bjuv,47546433,..,..,..,..,..,..,..,"83,3",~100,"213,1",2015
Bjuv,Jens Billeskolan  7 - 9,Kommunal,Bjuv,63778499,22,"51,2","81,8",~100,"211,6",21,"48,8","76,2",~100,"214,5",2015
Bjuv,Varagårdsskolan Bjuv Östra   7 - 9,Kommunal,Bjuv,45883916,27,"40,3","77,8",~100,"226,9",40,"59,7","72,5",~100,"195,9",2015
Boden,Brönjaskolan,Kommunal,Boden,60633912,37,"66,1","97,3",~100,"248,3",19,"33,9","100,0","100,0","228,9",2015
Boden,Stureskolan 1,Kommunal,Boden,75627171,51,"49,5","78,4","84,3","229,5",52,"50,5","55,8","65,4","185,3",2015
Boden,Stureskolan 2,Kommunal,Boden,89885803,33,"49,3","75,8",~100,"237,5",34,"50,7","73,5","79,4","210,2",2015
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden ekonomisk förening,98998541,..,..,..,..,..,..,..,"92,9","100,0","249,8",2015
Boden,Norrskenets Friskola i Boden,Enskild,Pysslingen Förskolor och Skolor AB,40708452,26,"55,3","92,3",~100,"261,7",21,"44,7","95,2","100,0","222,3",2015
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,27,"40,9","85,2",~100,"240,1",39,"59,1","84,6",~100,"216,8",2015
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,..,..,..,..,..,..,..,"60,0","65,0","189,9",2015
Bollnäs,Granbergsskolan 7-9,Kommunal,Bollnäs,55545825,43,"55,1","41,9","48,8","160,6",35,"44,9","40,0","48,6","145,3",2015
