skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_foraldr_utb_tcv95,skolverket_and_utl_bakgr_tcv95,skolverket_andel_pojkar_tcv95,skolverket_ver_and_uppn_malen_tcv95,skolverket_ber_and_uppn_malen_tcv95,skolverket_sal_and_uppn_malen_tcv95,skolverket_ver_meritvarde_tcv95,skolverket_ber_meritvarde_tcv95,skolverket_sal_meritvarde_tcv95,year
Aneby,Furulidskolan,Kommunal,Aneby,88669294,"2,1",11,51,77,67,9,206,213,-7,2018
Arboga,Gäddgårdsskolan 5-9,Kommunal,Arboga,65483259,"2,24",8,44,74,75,-1,221,228,-8,2018
Arboga,Stureskolan,Kommunal,Arboga,13854755,"2,32",5,45,86,79,7,238,236,2,2018
Arjeplog,Kyrkholmsskolan,Kommunal,Arjeplog,96277636,"1,95",16,62,68,58,10,201,192,9,2018
Arvidsjaur,Fridhemsskolan,Kommunal,Arvidsjaur,48373752,"2,19",2,48,87,77,10,226,229,-2,2018
Arvika,Centralskolan,Kommunal,Arvika,60318692,"2,16",10,51,71,69,2,203,217,-14,2018
Arvika,"Estetiska skolan, högstadiet",Enskild,Estetiska Skolan Arvika,99375199,"2,45",0,29,90,88,2,251,256,-5,2018
Arvika,Kyrkebyskolan 7-9,Kommunal,Arvika,64771195,"2,18",2,59,84,75,9,228,223,5,2018
Askersund,Sjöängsskolan,Kommunal,Askersund,15766661,"2,13",7,49,77,71,6,224,219,6,2018
Avesta,Domarhagsskolan,Kommunal,Avesta,87516620,"2,2",12,53,62,69,-7,217,217,0,2018
Avesta,Åvestadalskolan,Kommunal,Avesta,30454178,"2,15",22,66,49,59,-9,189,199,-10,2018
Bengtsfors,Bengtsgården,Kommunal,Bengtsfors,28484259,"2,2",15,39,67,68,-1,224,219,5,2018
Berg,Myrvikens skola,Kommunal,Berg,56709330,"2,24",0,52,82,80,2,231,233,-3,2018
Berg,Svenstavik åk 7-9,Kommunal,Berg,39932052,"2,11",19,54,73,61,12,219,204,15,2018
Bjurholm,Castorskolan,Kommunal,Bjurholm,81730469,"2,32",4,46,71,80,-9,208,237,-29,2018
Bjuv,Ekeby skola åk 4-9,Kommunal,Bjuv,61795800,2,10,57,78,64,14,208,204,4,2018
Bjuv,Jens Billeskolan  7 - 9,Kommunal,Bjuv,63778499,"1,86",11,40,60,60,0,209,199,10,2018
Bjuv,Varagårdsskolan Bjuv Östra   7 - 9,Kommunal,Bjuv,45883916,"2,03",14,57,65,62,3,213,202,11,2018
Boden,Brönjaskolan,Kommunal,Boden,60633912,"2,43",11,46,78,78,0,229,237,-8,2018
Boden,Fria Emilia,Enskild,Friskola Fria Emilia Boden ekonomisk förening,98998541,"2,62",0,59,93,91,2,253,257,-5,2018
Boden,Norrskenet Boden,Enskild,Norrskenets Friskola Boden AB,40708452,"2,19",0,56,71,78,-7,233,228,4,2018
Boden,Stureskolan,Kommunal,Boden,83862028,"2,28",14,46,67,71,-4,210,224,-14,2018
Bollebygd,Bollebygdskolan 7-9,Kommunal,Bollebygd,60372258,"2,35",5,53,87,80,7,248,236,12,2018
Bollnäs,Alirskolan 7-9,Kommunal,Bollnäs,65024773,"1,92",20,47,51,55,-4,176,192,-15,2018
Bollnäs,Arbråskolan F-9,Kommunal,Bollnäs,75662206,"2,12",30,51,49,53,-4,200,194,6,2018
Bollnäs,Friskolan Lust & Lära,Enskild,Friskolan Lust & Lära i Bollnäs AB,91187921,"2,33",0,58,96,82,14,235,237,-3,2018
Bollnäs,Kilafors skola F-9,Kommunal,Bollnäs,41793797,"2,13",11,55,47,68,-21,184,213,-29,2018
Borgholm,Slottsskolan,Kommunal,Borgholm,80852248,"2,11",17,59,67,62,5,219,204,15,2018
Borgholm,Åkerboskolan,Kommunal,Borgholm,82520504,"2,08",5,68,95,69,25,255,210,45,2018
Borlänge,Domnarvets skola,Kommunal,Borlänge,91219337,"2,11",9,53,68,69,0,217,214,3,2018
Borlänge,Forssaklackskolan,Kommunal,Borlänge,84601215,"2,04",12,45,56,65,-9,200,209,-9,2018
Borlänge,Gylle skola 7-9,Kommunal,Borlänge,11406792,"2,22",10,53,64,72,-7,204,221,-17,2018
Borlänge,Kunskapsskolan Borlänge,Enskild,Kunskapsskolan i Sverige Aktiebolag,70510891,"2,46",0,47,88,87,1,249,250,-2,2018
Borlänge,Maserskolan,Kommunal,Borlänge,56442130,"1,95",15,50,50,60,-10,197,198,-1,2018
Borlänge,Ornäs skola,Kommunal,Borlänge,33944118,"2,2",8,55,62,72,-10,192,221,-29,2018
Borås,Bodaskolan 7-9,Kommunal,Borås,67454907,2,19,48,57,58,-1,208,198,9,2018
Borås,Borås Kristna skola,Enskild,Stiftelsen Anden O Ordet,64720166,"2,44",12,65,76,76,0,226,230,-4,2018
Borås,Dalsjöskolan 7-9,Kommunal,Borås,60557814,"2,19",7,63,73,72,1,225,218,7,2018
Borås,Daltorpskolan 7-9,Kommunal,Borås,97706771,"2,07",8,65,59,67,-9,211,208,3,2018
Borås,Engelbrektskolan 7-9,Kommunal,Borås,86215855,"2,28",7,37,89,77,12,250,234,16,2018
Borås,Erikslundskolan 7-9,Kommunal,Borås,73269899,"2,07",14,53,73,64,9,226,206,20,2018
Borås,Fristadskolan 7-9,Kommunal,Borås,86708639,"2,26",6,48,78,76,2,229,229,0,2018
Borås,Internationella Engelska Skolan Borås,Enskild,Internationella Engelska Skolan i Sverige AB,58354320,"2,45",0,40,94,87,6,288,252,36,2018
Borås,Kunskapsskolan Borås,Enskild,Kunskapsskolan i Sverige Aktiebolag,10257640,"2,47",0,45,90,88,2,255,252,3,2018
Borås,Malmen Montessori,Enskild,Malmen Montessori,10132939,"2,45",0,60,80,86,-6,240,245,-5,2018
Borås,Sandgärdskolan,Kommunal,Borås,98081621,"2,42",2,55,90,84,6,243,242,0,2018
Borås,Särlaskolan 7-9,Kommunal,Borås,23108037,"2,06",14,51,57,63,-6,206,206,0,2018
Borås,Viskaforsskolan 7-9,Kommunal,Borås,50756758,"2,05",16,53,53,62,-9,200,203,-4,2018
Botkyrka,Björkhaga Skola,Kommunal,Botkyrka,43238662,"2,11",10,55,65,68,-3,219,213,6,2018
Botkyrka,Botkyrka Friskola F-9,Enskild,JPK Education AB,80378022,"2,04",0,62,65,73,-8,231,215,16,2018
Botkyrka,Broängsskolan,Kommunal,Botkyrka,38661388,"2,25",1,54,96,79,17,244,232,12,2018
Botkyrka,Brunnaskolan,Kommunal,Botkyrka,53426548,"1,94",6,44,72,66,6,221,209,12,2018
Botkyrka,Falkbergsskolan,Kommunal,Botkyrka,85558618,"2,29",7,56,81,76,5,238,228,10,2018
Botkyrka,Fittjaskolan Botkyrka Norra,Kommunal,Botkyrka,40631085,"1,76",28,57,43,43,0,168,169,-1,2018
Botkyrka,Freinetskolan Kastanjen,Enskild,Freinetskolan Kastanjen Ekonomisk Förening,29524966,"1,92",5,47,63,66,-3,208,207,2,2018
Botkyrka,Grindtorpsskolan,Kommunal,Botkyrka,57228484,"1,85",26,55,28,48,-20,153,178,-25,2018
Botkyrka,Hammerstaskolan,Kommunal,Botkyrka,25918983,"1,72",3,44,67,62,5,204,196,8,2018
Botkyrka,Karsby International School,Kommunal,Botkyrka,67742754,"1,88",37,51,40,41,-1,180,171,9,2018
Botkyrka,Kunskapsskolan Tumba,Enskild,Kunskapsskolan i Sverige Aktiebolag,84411355,"2,26",0,34,83,82,1,244,241,4,2018
Botkyrka,Kvarnhagsskolan,Kommunal,Botkyrka,56417100,"1,73",3,64,64,61,3,224,190,34,2018
Botkyrka,Malmsjö skola,Kommunal,Botkyrka,86985859,"2,12",0,54,85,76,9,229,224,5,2018
Botkyrka,Storvretskolan,Kommunal,Botkyrka,18534178,"1,83",22,44,36,51,-15,185,184,0,2018
Botkyrka,Trädgårdsstadsskolan,Kommunal,Botkyrka,58310322,"2,56",0,57,93,90,3,266,254,12,2018
Botkyrka,Tunaskolan,Kommunal,Botkyrka,36350546,"1,99",5,49,67,68,-1,220,211,9,2018
Boxholm,Stenbockskolan MH,Kommunal,Boxholm,71843145,"2,12",8,48,65,70,-6,210,218,-7,2018
Bromölla,Dalaskolan Södra,Kommunal,Bromölla,79707757,"2,01",16,59,75,60,15,221,198,23,2018
Bromölla,Humleskolan,Kommunal,Bromölla,18195751,"2,15",9,48,70,71,0,211,219,-8,2018
Bräcke,Bräcke skola,Kommunal,Bräcke,63287550,"1,98",18,62,56,58,-2,189,193,-4,2018
Bräcke,Gällö skola,Kommunal,Bräcke,34671510,"2,27",6,63,69,76,-7,200,225,-26,2018
Burlöv,Dalslundskolan 7-9,Kommunal,Burlöv,58712142,"2,39",6,57,85,79,6,239,235,4,2018
Burlöv,Vårboskolan,Kommunal,Burlöv,95748172,"1,84",32,53,43,43,0,186,172,14,2018
Båstad,Förslövs skola 7-9,Kommunal,Båstad,94453321,"2,16",4,63,91,74,17,241,220,21,2018
Båstad,Strandängsskolan 7-9,Kommunal,Båstad,16148785,"2,28",9,54,79,75,5,235,227,8,2018
Dals-Ed,Hagaskolan,Kommunal,Dals-Ed,93081338,"2,14",7,46,76,72,4,221,221,1,2018
Danderyd,Fribergaskolan,Kommunal,Danderyd,42986451,"2,74",2,52,95,94,1,274,267,7,2018
Danderyd,Mörbyskolan,Kommunal,Danderyd,97174070,"2,79",8,62,88,90,-2,261,260,1,2018
Danderyd,Viktor Rydbergs Samskola,Enskild,Stiftelsen Viktor Rydbergs Skola,13493243,"2,77",0,51,94,97,-3,281,271,10,2018
Degerfors,Stora Vallaskolan,Kommunal,Degerfors,96969231,"2,14",8,43,70,71,-1,206,221,-15,2018
Dorotea,Strandenskolan 4-9,Kommunal,Dorotea,17181067,"2,22",22,52,70,62,8,203,209,-6,2018
Eda,Gunnarsbyskolan F-9,Kommunal,Eda,69352527,"2,1",16,57,71,63,8,209,205,4,2018
Eda,Hierneskolan F-9,Kommunal,Eda,55674136,"2,17",3,55,55,75,-20,211,224,-13,2018
Ekerö,Birkaskolan,Enskild,"Mälaröarnas Montessori, Ek. För.",27595656,"2,77",0,63,94,96,-2,280,266,14,2018
Ekerö,Tappströmsskolan,Kommunal,Ekerö,52217632,"2,51",9,53,82,81,1,256,242,14,2018
Ekerö,Träkvista skola,Kommunal,Ekerö,66475520,"2,41",2,51,91,84,7,251,244,7,2018
Ekerö,Uppgårdskolan,Kommunal,Ekerö,95057356,"2,25",4,50,77,77,0,227,230,-3,2018
Eksjö,Furulundsskolan,Kommunal,Eksjö,48108874,"2,07",19,60,62,59,3,208,199,9,2018
Eksjö,Prästängsskolan A,Kommunal,Eksjö,48457931,"2,3",6,51,76,77,-1,233,231,1,2018
Eksjö,Prästängsskolan B,Kommunal,Eksjö,98124174,"2,38",8,55,81,78,3,233,234,-2,2018
Emmaboda,Bjurbäcksskolan 7-9,Kommunal,Emmaboda,37716305,"2,11",17,56,58,62,-5,190,205,-15,2018
Enköping,Bergvretenskolan,Kommunal,Enköping,56521117,"2,35",0,53,78,83,-5,211,241,-30,2018
Enköping,Entréskolan Enköping,Enskild,AmiSgo AB,97000303,"2,09",0,43,80,76,4,207,226,-19,2018
Enköping,Fjärdhundraskolan,Kommunal,Enköping,94821900,"2,09",23,50,70,57,13,200,199,1,2018
Enköping,Korsängsskolan,Kommunal,Enköping,96757645,"2,2",11,56,67,70,-3,214,217,-3,2018
Enköping,Kunskapsskolan Enköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,67723630,"2,41",0,35,93,87,6,256,251,4,2018
Enköping,Robinson Vårfru,Enskild,Aktiebolaget Fria Skolor i Enköping,83519502,"2,48",0,74,74,86,-12,229,242,-13,2018
Enköping,S:t Iliansskolan,Kommunal,Enköping,34699165,"2,05",13,61,61,63,-3,207,203,3,2018
Enköping,Örsundsbroskolan,Kommunal,Enköping,98587494,"2,14",0,51,82,77,5,213,227,-14,2018
Eskilstuna,"British Junior Secondary, Eskilstuna",Enskild,British Schools AB,50048111,"2,22",2,39,86,78,8,254,234,20,2018
Eskilstuna,Djurgårdsskolan 4-9,Kommunal,Eskilstuna,54605092,"2,37",4,51,80,81,-1,234,239,-5,2018
Eskilstuna,"Entréskolan, Eskilstuna",Enskild,AmiSgo AB,10443922,"2,16",0,51,61,77,-16,201,228,-27,2018
Eskilstuna,Faktoriet 7-9,Kommunal,Eskilstuna,64275635,"2,23",2,63,89,77,12,238,226,12,2018
Eskilstuna,Gökstensskolan 7-9,Kommunal,Eskilstuna,40577236,"2,27",5,55,84,76,7,241,229,12,2018
Eskilstuna,Internationella Engelska Skolan Eskilstuna,Enskild,Internationella Engelska Skolan i Sverige AB,36759013,"2,37",2,54,89,83,6,265,240,25,2018
Eskilstuna,Skiftingehus F-9,Kommunal,Eskilstuna,65025285,"1,96",19,58,66,56,10,212,192,20,2018
Eskilstuna,Skogstorpsskolan F-9,Kommunal,Eskilstuna,30622727,"2,22",10,54,71,72,0,208,221,-13,2018
Eskilstuna,Stålforsskolan 7-9,Kommunal,Eskilstuna,14327803,2,19,55,51,58,-7,185,196,-10,2018
Eskilstuna,Tegelviken F-9,Kommunal,Eskilstuna,78673553,"2,42",6,61,85,81,5,247,237,10,2018
Eskilstuna,Årbyskolan F-9,Kommunal,Eskilstuna,63315515,"2,09",16,65,53,62,-9,202,201,0,2018
Eslöv,Ekenässkolan,Kommunal,Eslöv,83526311,"2,17",10,45,78,71,8,238,221,17,2018
Eslöv,Källebergsskolan,Kommunal,Eslöv,26645758,"2,25",1,53,67,79,-12,223,232,-9,2018
Eslöv,Norrevångsskolan 7-9,Kommunal,Eslöv,37995642,"2,09",15,52,60,64,-3,195,207,-13,2018
Eslöv,Ölyckeskolan,Kommunal,Eslöv,96788188,"2,38",12,58,81,74,6,229,228,1,2018
Essunga,Nossebro skola år 6-9,Kommunal,Essunga,26531220,"2,11",3,44,83,74,9,231,224,7,2018
Fagersta,Lindgårdsskolan 7-9,Enskild,Västanfors-Västervåla Församling,95382478,"2,13",0,40,65,77,-12,232,229,3,2018
Fagersta,Risbroskolan,Kommunal,Fagersta,88657987,"2,07",9,52,57,68,-11,204,212,-8,2018
Falkenberg,Apelskolan 2,Kommunal,Falkenberg,58501067,"2,12",11,45,70,68,2,218,215,3,2018
Falkenberg,Falkenbergs Montessoriskola,Kommunal,Falkenberg,78647439,"2,44",0,56,67,86,-19,251,246,6,2018
Falkenberg,Skogstorpsskolan 1,Kommunal,Falkenberg,34104887,"2,09",10,59,68,67,1,203,210,-7,2018
Falkenberg,Söderskolan,Kommunal,Falkenberg,59144575,"2,21",10,55,51,71,-20,211,219,-8,2018
Falkenberg,Tullbroskolan 1,Kommunal,Falkenberg,56615270,"2,11",17,63,63,62,1,201,203,-2,2018
Falkenberg,Tullbroskolan 2,Kommunal,Falkenberg,59799831,"2,2",9,48,78,72,6,215,222,-7,2018
Falkenberg,Tångaskolan 6-9,Kommunal,Falkenberg,98733120,"2,06",15,57,60,62,-3,203,203,0,2018
Falkenberg,Vesterhavsskolan,Enskild,Vesterhavet AB,35136963,"2,28",0,53,90,81,9,247,236,11,2018
Falköping,Centralskolan 6-9,Kommunal,Falköping,17911537,"2,27",5,36,77,78,-1,229,236,-7,2018
Falköping,Flobyskolan 7-9,Kommunal,Falköping,54765026,"2,01",2,41,59,72,-13,206,219,-13,2018
Falköping,Gudhemsskolan,Kommunal,Falköping,48695990,"2,32",0,42,73,83,-10,215,242,-27,2018
Falköping,Kinnarpsskolan,Kommunal,Falköping,15357005,"2,08",3,54,79,73,7,225,218,7,2018
Falköping,Kyrkerörsskolan AC,Kommunal,Falköping,39777812,"1,93",10,59,59,62,-3,191,198,-8,2018
Falköping,Kyrkerörsskolan BD,Kommunal,Falköping,39933770,"2,22",17,53,49,66,-17,177,214,-37,2018
Falköping,Stenstorpsskolan B,Kommunal,Falköping,43269172,"2,16",9,49,83,70,13,221,219,2,2018
Falköping,Thoren Framtid i Falköping,Enskild,Thoren Framtid AB,48252217,"2,13",10,50,45,69,-24,167,215,-48,2018
Falköping,Vartoftaskolan,Kommunal,Falköping,93035626,"2,14",0,57,89,76,13,236,224,11,2018
Falun,Bjursåsskolan 7-9,Kommunal,Falun,55126250,"2,21",0,49,94,79,15,247,232,14,2018
Falun,Britsarvsskolan,Kommunal,Falun,17033155,"2,31",1,41,83,82,1,241,241,0,2018
Falun,Erlaskolan Falun,Enskild,Lärande i Sverige AB,41444691,"2,18",0,29,87,80,7,224,237,-14,2018
Falun,Friskolan Mosaik,Enskild,Friskolan Mosaik i Falun ekonomisk förening,65494903,"2,8",4,52,91,94,-3,267,268,-1,2018
Falun,Hälsinggårdsskolan 7-9,Kommunal,Falun,28599917,"2,33",2,56,75,81,-5,215,236,-21,2018
Falun,Internationella Engelska Skolan Falun,Enskild,Internationella Engelska Skolan i Sverige AB,34401115,"2,54",2,32,90,89,1,276,259,16,2018
Falun,Montessoriskolan i Falun,Kommunal,Falun,57444890,"2,59",0,68,91,90,1,262,252,10,2018
Falun,Svärdsjöskolan 7-9,Kommunal,Falun,27506076,"2,14",0,49,85,77,8,217,227,-10,2018
Falun,Söderbaumska skolan,Enskild,Pysslingen Förskolor och Skolor AB,72625090,"2,65",0,52,98,93,5,259,262,-3,2018
Falun,Västra Skolan,Kommunal,Falun,27153243,"2,29",12,60,69,72,-3,206,222,-15,2018
Filipstad,Ferlinskolan,Kommunal,Filipstad,76981284,"1,99",10,50,78,64,14,219,206,13,2018
Filipstad,Stålvallaskolan,Kommunal,Filipstad,37648787,"1,85",5,62,76,63,13,218,197,21,2018
Finspång,Grosvadskolan Syd,Kommunal,Finspång,40732962,"2,17",10,48,76,70,6,225,220,6,2018
Finspång,Nyhemsskolan 7-9,Kommunal,Finspång,65487720,"2,18",12,50,71,69,1,213,218,-5,2018
Flen,Europaskolan Malma,Enskild,Europaskolan Grundskola AB,38215460,"2,04",0,55,58,73,-16,211,218,-7,2018
Flen,Stenhammarskolan 7-9,Kommunal,Flen,81546814,2,11,50,59,64,-5,206,205,1,2018
Forshaga,Dejeskolan H-stadiet,Kommunal,Forshaga,48228294,"2,06",9,49,63,67,-5,206,212,-6,2018
Forshaga,Forshaga lärcenter H-stadiet,Kommunal,Forshaga,68533503,"2,35",5,45,85,80,5,228,238,-10,2018
Färgelanda,Valboskolan 7-9,Kommunal,Färgelanda,17089857,"2,13",11,52,70,68,1,212,215,-3,2018
Gagnef,Djuråsskolan F-9,Kommunal,Gagnef,36819574,"2,28",0,50,83,81,2,220,237,-17,2018
Gagnef,Mockfjärdsskolan,Kommunal,Gagnef,95610127,"2,2",7,48,63,74,-11,224,225,-1,2018
Gislaved,Lundåkerskolan,Kommunal,Gislaved,47236914,"1,98",11,53,59,63,-4,198,203,-5,2018
Gislaved,Nordinskolan,Kommunal,Gislaved,40991541,"2,12",9,48,80,70,10,222,217,5,2018
Gislaved,Åsenskolan,Kommunal,Gislaved,70954223,"2,02",15,51,68,61,7,208,202,5,2018
Gislaved,Ölmestadskolan,Kommunal,Gislaved,85013151,"2,05",20,46,51,60,-8,191,202,-11,2018
Gnesta,Frejaskolan 7-9,Kommunal,Gnesta,71986467,"2,15",6,49,69,73,-4,209,222,-13,2018
Gnosjö,Bäckaskolan 7-9,Kommunal,Gnosjö,43172419,"1,95",6,45,68,67,1,207,209,-2,2018
Gnosjö,Hillerstorpsskolan 7-9,Kommunal,Gnosjö,33877675,"1,94",17,50,67,58,9,209,196,13,2018
Gotland,Atheneskolan,Enskild,Pysslingen Förskolor och Skolor AB,52229866,"2,42",3,43,90,84,6,241,247,-5,2018
Gotland,"Guteskolan, grundskola",Enskild,Guteskolan AB,42518434,"2,21",0,66,83,78,5,232,226,6,2018
Gotland,Högbyskolan,Kommunal,Gotland,94163432,"2,18",14,52,78,67,11,217,214,3,2018
Gotland,Klinteskolan,Kommunal,Gotland,24429776,"1,9",24,56,51,50,1,190,183,7,2018
Gotland,Romaskolan,Kommunal,Gotland,60700608,"2,29",0,39,95,82,13,240,241,-2,2018
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,"2,42",3,51,84,83,1,247,243,4,2018
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,"2,27",18,68,68,66,1,211,212,-1,2018
Gotland,Södervärnsskolan,Kommunal,Gotland,80013231,"2,21",6,57,74,74,0,222,223,-1,2018
Grums,Jättestenskolan,Kommunal,Grums,16891307,"2,14",16,58,69,64,5,210,207,2,2018
Grästorp,Centralskolan 4-9,Kommunal,Grästorp,31381375,"2,24",18,68,80,65,15,230,209,20,2018
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,"2,31",0,59,81,81,0,241,235,6,2018
Gällivare,Malmens friskola,Enskild,Malmens Friskola AB,37140962,"2,45",0,35,95,88,7,279,254,25,2018
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,"2,07",0,80,53,72,-19,206,211,-5,2018
Gällivare,Sjöparksskolan LMH,Kommunal,Gällivare,24426745,"2,06",17,50,66,61,4,201,204,-2,2018
Gällivare,Tallbackaskolan MH,Kommunal,Gällivare,68699648,"2,21",0,48,91,79,12,250,232,17,2018
Gävle,Bergby Centralskola 1-9,Kommunal,Gävle,55373417,"2,02",23,42,69,56,13,228,198,30,2018
Gävle,Internationella Engelska Skolan Gävle,Enskild,Internationella Engelska Skolan i Sverige AB,53952728,"2,53",0,49,74,89,-16,252,255,-2,2018
Gävle,Kunskapsskolan Gävle,Enskild,Kunskapsskolan i Sverige Aktiebolag,21423670,"2,37",0,52,73,84,-11,238,242,-5,2018
Gävle,Lillhagsskolan,Kommunal,Gävle,51387807,"2,28",3,48,78,79,-1,218,235,-17,2018
Gävle,Nynässkolan 7-9,Kommunal,Gävle,40944032,"2,25",17,53,65,67,-2,210,216,-6,2018
Gävle,"Prolympia, Gävle",Enskild,Ulno AB,57578095,"2,38",0,63,82,83,-2,229,239,-10,2018
Gävle,Sofiedalskolan,Kommunal,Gävle,80177526,"2,38",2,59,78,82,-4,217,238,-21,2018
Gävle,Stigslunds skola,Kommunal,Gävle,91652716,"2,35",0,48,83,84,0,229,242,-13,2018
Gävle,Stora Sätraskolan,Kommunal,Gävle,49779956,"1,89",18,55,49,55,-6,196,189,7,2018
Gävle,Vallbacksskolan,Kommunal,Gävle,54990077,"2,11",19,56,49,61,-12,188,203,-15,2018
Göteborg,Assaredsskolan,Enskild,Assareds Skolkooperativ Ek För.,25852980,"2,04",8,38,71,68,2,219,216,3,2018
Göteborg,Bergums skola 4-9,Kommunal,Göteborg,98771543,"2,31",2,46,79,81,-2,220,238,-18,2018
Göteborg,Brandströmska skolan Nylöse,Enskild,Stiftelsen För Kristen Skolverksamhet,11295861,"2,01",6,33,58,70,-12,198,218,-20,2018
Göteborg,Brunnsboskolan 7-9,Kommunal,Göteborg,13180797,"2,18",20,55,45,63,-18,194,208,-13,2018
Göteborg,Böskolans friskola,Enskild,Böskolans Friskola Ek.För.,83071620,"2,66",0,57,91,93,-2,262,261,1,2018
Göteborg,Centrina Kviberg,Enskild,Vindseglet AB,17517182,"2,43",0,59,96,85,11,253,244,9,2018
Göteborg,Centrina Lindholmen,Enskild,Vindseglet AB,79866556,"2,76",0,53,94,96,-2,275,269,5,2018
Göteborg,Drakbergsskolan,Enskild,Kannebäcks Friskoleförening,60526603,2,0,48,68,73,-5,223,218,6,2018
Göteborg,Ebba Petterssons Grundskola,Enskild,Ebba Petterssons Privatskolas Stiftelse,88247874,"2,57",0,46,95,91,4,266,259,7,2018
Göteborg,Fenestra Centrum,Enskild,Pysslingen Förskolor och Skolor AB,87139814,"2,44",1,51,71,85,-14,247,246,1,2018
Göteborg,Fenestra Nya Hovås,Enskild,Pysslingen Förskolor och Skolor AB,21497343,"2,73",0,51,96,95,1,270,268,3,2018
Göteborg,Fenestra S:t Jörgen,Enskild,Pysslingen Förskolor och Skolor AB,27265374,"2,36",6,52,76,79,-3,241,235,6,2018
Göteborg,Fiskebäcksskolan 6-9,Kommunal,Göteborg,99641533,"2,49",0,65,88,87,2,249,246,3,2018
Göteborg,Franska skolan Göteborg 6-9,Enskild,Medborgarskolan Region Väst,51565567,"2,75",0,41,91,97,-6,269,273,-4,2018
Göteborg,Freinetskolan Bild & Form,Enskild,Bild och Form i Göteborg Aktiebolag,31872640,"2,6",0,44,88,92,-4,223,261,-38,2018
Göteborg,Frejaskolan 7-9,Kommunal,Göteborg,51782099,"1,84",22,41,37,51,-14,169,186,-17,2018
Göteborg,Fridaskolan Kvillebäcken,Enskild,Fridaskolorna AB,56328727,"2,37",0,59,93,83,10,242,240,3,2018
Göteborg,Frölundaskolan 7-9,Kommunal,Göteborg,97820269,"1,78",9,47,53,59,-6,193,193,0,2018
Göteborg,Gamlestadsskolan H,Kommunal,Göteborg,90710178,"1,8",8,36,59,61,-2,196,199,-4,2018
Göteborg,Glöstorpsskolan 7-9,Kommunal,Göteborg,85656343,"2,06",26,44,54,55,-2,188,197,-9,2018
Göteborg,Guldhedsskolan 7-9,Kommunal,Göteborg,98423378,"2,33",16,51,61,70,-10,208,223,-15,2018
Göteborg,Gårdstensskolan 4-9,Kommunal,Göteborg,55886598,"1,78",20,63,47,49,-2,182,176,6,2018
Göteborg,Göteborgs Högre Samskola gr.,Enskild,Stiftelsen Göteborgs Högre Samskola,52538248,"2,7",0,54,96,94,2,277,265,12,2018
Göteborg,Hjällboskolan 6-9,Kommunal,Göteborg,63925456,"1,69",28,50,33,42,-9,174,167,7,2018
Göteborg,Hovåsskolan 7-9,Kommunal,Göteborg,32603156,"2,42",16,53,62,73,-11,215,229,-14,2018
Göteborg,Internationella Engelska Skolan Johanneberg,Enskild,Internationella Engelska Skolan i Sverige AB,41921747,"2,36",3,44,73,82,-8,236,241,-4,2018
