skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_foraldr_utb_tcv95,skolverket_and_utl_bakgr_tcv95,skolverket_andel_pojkar_tcv95,skolverket_ver_and_uppn_malen_tcv95,skolverket_ber_and_uppn_malen_tcv95,skolverket_sal_and_uppn_malen_tcv95,skolverket_ver_meritvarde_tcv95,skolverket_ber_meritvarde_tcv95,skolverket_sal_meritvarde_tcv95,year
Ale,Ahlafors Fria skola,Enskild,Ahlafors Fria Skola Ekonomisk förening,71387206,"2,29",0,53,93,81,12,241,236,5,2018
Ale,Aroseniusskolan,Kommunal,Ale,48529699,"2,24",5,54,75,76,-1,226,227,-1,2018
Ale,Bohusskolan,Kommunal,Ale,11043800,"2,18",3,58,83,75,8,233,224,9,2018
Ale,Da Vinciskolan,Kommunal,Ale,61084420,"2,16",8,54,74,71,3,213,218,-5,2018
Alingsås,Gustav Adolfsskolan,Kommunal,Alingsås,74064638,"2,43",7,53,70,80,-10,216,239,-23,2018
Alingsås,Montessoriskolan Globen,Enskild,Alingsås Montessori Skola Globen,87109819,"2,51",2,39,82,88,-5,241,255,-13,2018
Alingsås,Nolhagaskolan,Kommunal,Alingsås,84581048,"2,34",7,51,89,78,12,242,233,9,2018
Alingsås,Sollebrunns skola F-9,Kommunal,Alingsås,76908037,"2,28",7,61,90,75,16,242,225,17,2018
Alingsås,Vittra Gerdsken,Enskild,Vittraskolorna AB,98272016,"2,48",0,57,87,87,0,244,248,-3,2018
Alingsås,Östlyckeskolan 7-9,Kommunal,Alingsås,63399058,"2,27",14,57,71,70,1,216,220,-4,2018
Alvesta,Hagaskolan,Kommunal,Alvesta,67183147,"2,06",18,55,54,61,-6,184,201,-18,2018
Alvesta,Mohedaskolan,Kommunal,Alvesta,69699568,"2,16",6,50,54,73,-19,199,222,-23,2018
Alvesta,Vislandaskolan,Kommunal,Alvesta,88176175,"2,11",5,48,65,72,-7,195,220,-25,2018
