name              date       exptime           blue           cent            red            sample
!--------------------------------------------------------------------------------------------------
J000322-260318    1993-11-13    3000    5107.036355    6357.106703    7607.177052    HIRES_murphy_C
J000322-260318    1993-11-13    3000    5107.041768    6357.112689    7607.183610    HIRES_murphy_C
J000322-260318    1993-11-13    2969    5145.917092    6402.671780    7659.426468    HIRES_murphy_C
J000322-260318    1993-11-13    3000    5145.921665    6402.676785    7659.431905    HIRES_murphy_C
J000520+052410    1999-10-12    4000    3306.060111    4077.092651    4848.125192    HIRES_murphy_C
J000520+052410    1999-10-12    4000    3306.060289    4077.093494    4848.126698    HIRES_murphy_C
J000520+052410    1999-10-13    4000    3339.324962    4128.301680    4917.278397    HIRES_murphy_C
J000520+052410    1999-10-13    4000    3339.330482    4128.306066    4917.281650    HIRES_murphy_C
J005758-264314    1994-10-09     600    4897.879530    6099.894789    7301.910048    HIRES_murphy_C
J005758-264314    1994-10-09    3000    4897.879133    6099.894295    7301.909457    HIRES_murphy_C
J005758-264314    1994-10-09    3000    4897.877368    6099.892096    7301.906824    HIRES_murphy_C
J005758-264314    1994-10-09    3000    4897.878802    6099.893560    7301.908318    HIRES_murphy_C
J005758-264314    1998-12-22    3000    4305.106522    5531.197378    6757.288234    HIRES_murphy_C
J005758-264314    1994-10-10    3000    4932.952081    6141.029803    7349.107526    HIRES_murphy_C
J005758-264314    1994-10-10    3000    4932.950329    6141.027622    7349.104915    HIRES_murphy_C
J005758-264314    1994-10-10    3000    4932.950108    6141.027166    7349.104223    HIRES_murphy_C
J010054+021136    1999-10-12    4000    3306.055427    4077.089298    4848.123169    HIRES_murphy_C
J010054+021136    1999-10-12    4000    3306.056936    4077.090998    4848.125060    HIRES_murphy_C
J010054+021136    1999-10-13    4000    3339.330912    4128.306089    4917.281266    HIRES_murphy_C
J010054+021136    1999-10-13    4000    3339.327463    4128.305727    4917.283992    HIRES_murphy_C
J012227-042127    1996-07-22    2575    3570.770703    4824.215878    6077.661054    HIRES_murphy_C
J012227-042127    1996-07-22    3600    3570.769395    4824.214138    6077.658882    HIRES_murphy_C
J012227-042127    1999-10-14    4000    3306.071495    4077.112931    4848.154366    HIRES_murphy_C
J012227-042127    1999-10-14    4000    3306.072981    4077.115005    4848.157029    HIRES_murphy_C
J012227-042127    1999-10-14    4000    3339.353529    4128.339291    4917.325053    HIRES_murphy_C
J015734+744243    1998-10-22    3000    3402.227036    4193.057653    4983.888269    HIRES_murphy_C
J015734+744243    1998-10-22    3000    3402.227657    4193.057462    4983.887266    HIRES_murphy_C
J015734+744243    1998-10-22    2000    3402.229400    4193.058884    4983.888368    HIRES_murphy_C
J015734+744243    1998-10-23    3000    3402.224867    4193.056021    4983.887176    HIRES_murphy_C
J015734+744243    1998-10-23    3000    3402.225314    4193.054151    4983.882988    HIRES_murphy_C
J015734+744243    1998-10-23    3000    3402.227332    4193.053447    4983.879561    HIRES_murphy_C
J015734+744243    1998-10-24    3000    3405.693809    4197.088812    4988.483814    HIRES_murphy_C
J015734+744243    1998-10-24    3000    3405.693622    4197.087915    4988.482208    HIRES_murphy_C
J015734+744243    1998-10-24    3000    3405.688354    4197.084875    4988.481397    HIRES_murphy_C
J015734+744243    1998-10-24    3000    3405.689640    4197.085396    4988.481153    HIRES_murphy_C
J015734+744243    1998-10-24    3000    3405.688148    4197.084607    4988.481066    HIRES_murphy_C
J020945+051714    1998-12-18    3000    5680.801526    6901.688174    8122.574823    HIRES_murphy_C
J020945+051714    1998-12-18    3000    5680.803065    6901.689684    8122.576304    HIRES_murphy_C
J020945+051714    1998-12-18    3000    5680.798185    6901.683988    8122.569791    HIRES_murphy_C
J020945+051714    1998-12-18    3000    5680.796538    6901.678850    8122.561162    HIRES_murphy_C
J020945+051714    1998-12-18    3000    5553.246985    6780.247422    8007.247860    HIRES_murphy_C
J020945+051714    1998-12-18    3000    5553.248650    6780.250476    8007.252302    HIRES_murphy_C
J020945+051714    1998-12-19    3000    5191.973181    6406.312041    7620.650901    HIRES_murphy_C
J020945+051714    1998-12-19    3000    5191.970847    6406.312657    7620.654466    HIRES_murphy_C
J020945+051714    1998-12-19    3000    5191.966570    6406.307603    7620.648636    HIRES_murphy_C
J020945+051714    1998-12-19    3000    5191.962177    6406.303200    7620.644223    HIRES_murphy_C
J020945+051714    1998-12-19    3000    5191.961640    6406.302412    7620.643184    HIRES_murphy_C
J020945+051714    1998-12-19    3000    5191.959842    6406.300206    7620.640569    HIRES_murphy_C
J020945+051714    1998-12-20    3000    5217.046452    6435.478682    7653.910911    HIRES_murphy_C
J020945+051714    1998-12-20    3000    5217.042622    6435.474161    7653.905700    HIRES_murphy_C
J020945+051714    1998-12-20    3000    5217.036324    6435.466844    7653.897363    HIRES_murphy_C
J020945+051714    1998-12-20    3000    5553.320696    6780.338160    8007.355625    HIRES_murphy_C
J020945+051714    1998-12-20    3000    5553.322644    6780.332542    8007.342440    HIRES_murphy_C
J021857+081727    1995-10-17    3000    5230.478058    6451.065990    7671.653922    HIRES_murphy_C
J021857+081727    1995-10-17    3000    5230.480045    6451.066957    7671.653868    HIRES_murphy_C
J021857+081727    1995-08-22    3300    5152.883196    6411.080435    7669.277674    HIRES_murphy_C
J021857+081727    1995-08-22    3300    5152.889404    6411.087266    7669.285128    HIRES_murphy_C
J021857+081727    1994-12-27    3000    4223.110735    5442.202917    6661.295099    HIRES_murphy_C
J021857+081727    1994-12-27    3000    4223.109174    5442.200906    6661.292637    HIRES_murphy_C
J021857+081727    1994-10-11    3000    4202.820395    5417.630043    6632.439691    HIRES_murphy_C
J021857+081727    1994-10-11    3000    4202.818170    5417.627247    6632.436323    HIRES_murphy_C
J024008-230915    1997-12-28    3000    3503.373774    4278.782622    5054.191471    HIRES_murphy_C
J024008-230915    1996-12-12    2249    3607.212092    4842.412695    6077.613298    HIRES_murphy_C
J024008-230915    1996-12-12    3000    3607.209826    4842.409764    6077.609702    HIRES_murphy_C
J024008-230915    1996-12-12    3000    3607.210189    4842.410052    6077.609915    HIRES_murphy_C
J024008-230915    1996-12-12    3000    3614.727566    4851.886699    6089.045832    HIRES_murphy_C
J024008-230915    1997-12-31    3000    3503.571693    4279.005755    5054.439817    HIRES_murphy_C
J024008-230915    1997-12-31    3000    3503.577105    4279.010615    5054.444125    HIRES_murphy_C
J024008-230915    1997-12-31    3000    3503.346323    4278.744049    5054.141775    HIRES_murphy_C
J024401-013403    1993-11-14    3000    5107.392092    6357.539627    7607.687162    HIRES_murphy_C
J024401-013403    1993-11-14    3000    5107.389488    6357.536459    7607.683431    HIRES_murphy_C
J024401-013403    1993-11-14    3000    5107.389328    6357.536057    7607.682786    HIRES_murphy_C
J024401-013403    1995-08-20    2400    4468.494359    5677.825432    6887.156505    HIRES_murphy_C
J024401-013403    1993-11-15    3000    5107.385745    6357.530205    7607.674664    HIRES_murphy_C
J024401-013403    1995-08-20    2400    4468.494211    5677.825121    6887.156031    HIRES_murphy_C
J024401-013403    1995-08-21    3000    4492.313537    5706.318292    6920.323047    HIRES_murphy_C
J024401-013403    1995-08-21    3600    4492.317373    5706.322579    6920.327785    HIRES_murphy_C
J024401-013403    1993-11-13    3000    5146.228464    6403.057850    7659.887237    HIRES_murphy_C
J024401-013403    1993-11-13    3000    5146.228840    6403.058047    7659.887255    HIRES_murphy_C
J024401-013403    1993-11-13    3000    5146.230999    6403.060306    7659.889612    HIRES_murphy_C
J024401-013403    1993-11-15    3000    5107.383920    6357.528323    7607.672727    HIRES_murphy_C
J030449-221151    1996-11-06    3000    3503.990983    4743.188370    5982.385758    HIRES_murphy_C
J030449-221151    1996-11-07    3000    3504.014986    4743.217603    5982.420220    HIRES_murphy_C
J045142-132033    1997-12-28    3000    3647.986428    4424.438622    5200.890815    HIRES_murphy_C
J045142-132033    1996-12-11    3000    3721.079429    4951.712005    6182.344580    HIRES_murphy_C
J045142-132033    1996-12-11    3000    3721.081821    4951.714737    6182.347654    HIRES_murphy_C
J045142-132033    1996-12-12    2546    3729.304860    4962.010680    6194.716501    HIRES_murphy_C
J045142-132033    1997-12-29    3000    3647.982236    4424.436374    5200.890513    HIRES_murphy_C
J045142-132033    1994-12-26    3000    4202.424775    5417.112881    6631.800987    HIRES_murphy_C
J045142-132033    1994-12-26    3000    4202.423355    5417.111050    6631.798745    HIRES_murphy_C
J045142-132033    1994-12-26    2000    4202.421834    5417.109090    6631.796345    HIRES_murphy_C
J045142-132033    1994-12-26    3000    4223.344208    5442.501918    6661.659628    HIRES_murphy_C
J045142-132033    1994-12-26    3000    4223.342781    5442.500080    6661.657378    HIRES_murphy_C
J045142-132033    1997-12-30    3000    3648.202959    4424.682118    5201.161277    HIRES_murphy_C
J045142-132033    1998-12-22    3000    3720.590162    4951.144148    6181.698134    HIRES_murphy_C
J045142-132033    1998-12-22    3000    3720.584764    4951.138318    6181.691873    HIRES_murphy_C
J045142-132033    1998-12-22    3000    3730.280115    4963.239430    6196.198745    HIRES_murphy_C
J045142-132033    1998-12-22    3000    3730.265058    4963.230790    6196.196522    HIRES_murphy_C
J045142-132033    1997-12-31    3000    3648.177628    4424.655713    5201.133797    HIRES_murphy_C
J045142-132033    1994-12-26    2000    4223.341515    5442.498447    6661.655380    HIRES_murphy_C
J053007-250329    1998-01-03    3000    4067.456451    5296.588733    6525.721016    HIRES_murphy_C
J053007-250329    1997-12-28    3000    3503.574610    4279.028911    5054.483213    HIRES_murphy_C
J053007-250329    1998-01-03    3000    4067.456901    5296.589114    6525.721328    HIRES_murphy_C
J053007-250329    1997-12-28    3000    3503.575860    4279.030173    5054.484485    HIRES_murphy_C
J053007-250329    1997-12-29    3000    3503.574769    4279.027080    5054.479390    HIRES_murphy_C
J053007-250329    1995-02-23    3000    4539.623719    5790.540126    7041.456532    HIRES_murphy_C
J053007-250329    1995-02-23    3000    4539.622313    5790.538332    7041.454350    HIRES_murphy_C
J053007-250329    1995-02-23    3000    6385.433321    7539.819784    8694.206247    HIRES_murphy_C
J053007-250329    1997-12-30    3000    3503.785948    4279.264406    5054.742864    HIRES_murphy_C
J053007-250329    1997-12-30    3000    3503.783481    4279.262868    5054.742255    HIRES_murphy_C
J053007-250329    1997-12-31    3000    3503.763571    4279.239291    5054.715011    HIRES_murphy_C
J053007-250329    1998-01-04    3000    4067.432110    5296.559319    6525.686528    HIRES_murphy_C
J053007-250329    1998-01-04    3000    4067.429016    5296.555490    6525.681963    HIRES_murphy_C
J053007-250329    1994-12-27    3000    4540.669539    5791.801029    7042.932519    HIRES_murphy_C
J053007-250329    1994-12-27    3000    4540.668064    5791.799148    7042.930231    HIRES_murphy_C
J053007-250329    1994-12-27    3000    6272.935315    7484.497945    8696.060575    HIRES_murphy_C
J053007-250329    1994-12-27    3000    6272.933187    7484.495406    8696.057625    HIRES_murphy_C
J053007-250329    1994-12-27    3000    6272.931143    7484.492967    8696.054790    HIRES_murphy_C
J064204+675835    1999-11-10    900    4304.079289    5529.956688    6755.834087    HIRES_murphy_C
J064204+675835    1999-11-10    3000    4304.074363    5529.954565    6755.834767    HIRES_murphy_C
J064204+675835    1999-11-10    3000    4304.077328    5529.957037    6755.836745    HIRES_murphy_C
J064204+675835    1999-11-10    3000    4304.081824    5529.961240    6755.840657    HIRES_murphy_C
J064204+675835    1999-11-11    3000    4381.516888    5585.711442    6789.905996    HIRES_murphy_C
J064204+675835    1999-11-12    3000    4381.511416    5585.704331    6789.897246    HIRES_murphy_C
J064204+675835    1999-11-12    3000    4381.516051    5585.709758    6789.903465    HIRES_murphy_C
J074521+473436    1998-01-29    3000    4420.096767    5658.874743    6897.652719    HIRES_murphy_C
J074521+473436    1998-01-29    3000    4420.099719    5658.877404    6897.655090    HIRES_murphy_C
J074521+473436    1998-01-30    3000    4420.067013    5658.833288    6897.599563    HIRES_murphy_C
J074521+473436    1998-01-30    3000    4420.061058    5658.827383    6897.593708    HIRES_murphy_C
J074521+473436    1998-01-31    3000    5903.818300    7129.227814    8354.637327    HIRES_murphy_C
J074521+473436    1998-01-31    3000    5903.823425    7129.232593    8354.641760    HIRES_murphy_C
