system                                  model
J000150-015940/2.09510/HIRES_prochaska     03
J000150-015940/2.15390/HIRES_prochaska     03
J000322-260318/1.43264/HIRES_sargent     00
J000322-260318/1.43420/HIRES_sargent     02
J000322-260318/1.43444/HIRES_sargent     02
J000322-260318/3.38970/HIRES_sargent     03
J000344-232354/0.45210/UVES_squader     02
J000344-232354/0.94910/UVES_squader     01
J000344-232354/1.58640/UVES_squader     01
J000344-232354/1.65148/UVES_squader     00
J000344-232354/2.18486/UVES_squader     00
J000344-232354/2.18500/UVES_squader     01
J000344-232354/2.18700/UVES_squader     01
J000448-415728/1.54190/UVES_squader     01
J000448-415728/1.98860/UVES_squader     01
J000448-415728/2.16790/UVES_squader     03
J000448-415728/2.30200/UVES_squader     00
J000448-415728/2.46201/UVES_squader     00
J000520+052410/0.29804/HIRES_sargent     00
J000520+052410/0.59137/HIRES_sargent     02
J000520+052410/0.85118/HIRES_sargent     03
J000520+052410/0.85118/HIRES_churchill     02
J000520+052410/1.61102/HIRES_sargent     00
J000520+052410/1.74401/HIRES_sargent     00
J001210-012207/0.59805/UVES_squader     00
J001210-012207/1.20300/UVES_squader     01
J001602-001225/0.63510/UVES_squader     01
J001602-001225/0.63630/UVES_squader     00
J001602-001225/0.85750/UVES_squader     01
J001602-001225/1.14680/UVES_squader     01
J001602-001225/1.96594/UVES_squader     00
J001602-001225/1.97650/UVES_squader     00
J001602-001225/2.02920/UVES_squader     01
J002208-150539/3.43880/HIRES_prochaska     02
J004131-493611/1.49731/UVES_squader     00
J004131-493611/2.10950/UVES_squader     01
J004131-493611/2.24850/UVES_squader     01
J005758-264314/1.26790/UVES_squader     01
J005758-264314/1.26790/HIRES_sargent     02
J005758-264314/1.31920/UVES_squader     00
J005758-264314/1.31920/HIRES_sargent     02
J005758-264314/1.53360/UVES_squader     01
J005758-264314/1.53360/HIRES_sargent     02
J005758-264314/3.19040/HIRES_sargent     00
J010054+021136/0.34666/HIRES_sargent     00
J010054+021136/0.61256/HIRES_sargent     02
J010054+021136/0.72508/HIRES_sargent     02
J010054+021136/1.46305/HIRES_sargent     00
J010311+131617/1.75888/UVES_squader     00
J010311+131617/1.79750/HIRES_sargent     00
J010311+131617/1.79750/UVES_squader     01
J010311+131617/1.79860/HIRES_sargent     00
J010311+131617/2.29835/HIRES_sargent     00
J010311+131617/2.30920/UVES_squader     01
J010311+131617/2.30920/HIRES_prochaska     02
J010311+131617/2.30920/HIRES_sargent     00
J010821+062327/1.93280/UVES_squader     01
J011143-350300/1.18270/UVES_squader     02
J011143-350300/1.34990/UVES_squader     02
J011143-350300/2.04523/UVES_squader     01
J012017+213346/0.72913/HIRES_churchill     02
J012017+213346/1.04790/HIRES_churchill     02
J012017+213346/1.32460/HIRES_churchill     02
J012017+213346/1.34280/HIRES_churchill     02
J012031-270124/0.55797/UVES_squader     00
J012156+144824/2.66172/HIRES_sargent     00
J012227-042127/0.65741/HIRES_sargent     02
J012227-042127/0.71949/HIRES_sargent     00
J012227-042127/1.96315/HIRES_sargent     00
J012227-042127/1.96700/HIRES_sargent     00
J012227-042127/1.97117/HIRES_sargent     00
J012417-374423/0.82210/UVES_squader     02
J012417-374423/0.85930/UVES_squader     02
J012417-374423/1.24330/UVES_squader     02
J012417-374423/1.91020/UVES_squader     01
J012642+255901/0.77184/HIRES_sargent     00
J012642+255901/2.30084/HIRES_sargent     00
J013105-213446/1.85660/UVES_squader     01
J014333-391700/0.34000/UVES_squader     01
J014333-391700/1.71010/UVES_squader     01
J015234+335033/2.14080/HIRES_prochaska     02
J015327-431137/2.44990/UVES_squader     01
J015733-004824/0.76930/UVES_squader     01
J015734+744243/0.74550/HIRES_sargent     02
J020456+364918/1.47610/HIRES_prochaska     02
J020456+364918/1.95500/HIRES_prochaska     02
J020456+364918/2.32400/HIRES_prochaska     02
J020456+364918/2.45630/HIRES_prochaska     02
J020456+364918/2.46280/HIRES_prochaska     02
J020945+051714/1.28221/HIRES_sargent     00
J020945+051714/1.53224/HIRES_sargent     00
J020945+051714/3.66630/HIRES_sargent     02
J021857+081727/1.76800/HIRES_sargent     02
J021857+081727/2.29290/HIRES_sargent     00
J024008-230915/1.18460/UVES_squader     01
J024008-230915/1.36500/HIRES_sargent     02
J024008-230915/1.63590/UVES_squader     02
J024008-230915/1.63730/UVES_squader     02
J024008-230915/1.65740/UVES_squader     02
J024008-230915/1.65740/HIRES_sargent     00
J024008-230915/1.67166/HIRES_sargent     00
J024401-013403/2.09940/HIRES_sargent     02
J025518+004847/3.25340/HIRES_prochaska     01
J030449-221151/1.00920/HIRES_sargent     02
J033106-382404/0.76270/UVES_squader     00
J033106-382404/0.97090/UVES_squader     01
J033106-382404/1.43800/UVES_squader     01
J033108-252443/0.99250/UVES_squader     01
J033108-252443/2.45470/UVES_squader     01
J033244-445557/2.41120/UVES_squader     01
J033244-445557/2.65630/UVES_squader     01
J034943-381031/1.45625/UVES_squader     00
J034943-381031/3.02470/HIRES_prochaska     02
J035405-272421/2.57822/UVES_squader     00
J040718-441014/2.41260/UVES_squader     01
J040718-441014/2.54990/UVES_squader     01
J040718-441014/2.59480/UVES_squader     00
J040718-441014/2.62140/UVES_squader     00
J040718-441014/2.74279/UVES_squader     00
J042315-012033/0.63308/HIRES_churchill     02
J042707-130253/1.40800/UVES_squader     01
J042707-130253/1.56320/UVES_squader     01
J042707-130253/2.03510/UVES_squader     01
J043037-485523/1.35560/UVES_squader     01
J043037-485523/1.56492/UVES_squader     00
J043037-485523/1.68046/UVES_squader     00
J044017-433308/1.43350/UVES_squader     00
J044017-433308/2.04820/UVES_squader     01
J045142-132033/1.26670/HIRES_sargent     02
J045312-130546/1.17430/HIRES_churchill     02
J045312-130546/1.22940/HIRES_churchill     02
J045312-130546/1.23240/HIRES_churchill     02
J045523-421617/0.90800/UVES_squader     00
J045523-421617/1.85800/UVES_squader     00
J045647+040052/0.85929/HIRES_churchill     02
J045647+040052/1.15340/HIRES_churchill     02
J051707-441055/0.22230/UVES_squader     01
J051707-441055/0.42910/UVES_squader     01
J053007-250329/0.94398/HIRES_sargent     02
J053007-250329/2.14060/HIRES_sargent     02
J053007-250329/2.14120/UVES_squader     02
J053007-250329/2.81140/HIRES_sargent     02
J055246-363727/1.22520/UVES_squader     01
J055246-363727/1.74750/UVES_squader     01
J055246-363727/1.95650/UVES_squader     01
J064204+675835/1.29380/HIRES_sargent     02
J064326-504112/2.65920/UVES_squader     01
J074521+473436/1.61110/HIRES_prochaska     01
J074521+473436/1.61120/HIRES_sargent     02
J074521+473436/3.01730/HIRES_prochaska     01
J074521+473436/3.01730/HIRES_sargent     02
J080117+521034/2.60210/HIRES_sargent     02
J080117+521034/2.86770/HIRES_sargent     02
J082601-223027/0.91059/HIRES_churchill     02
J083943+104321/2.46730/HIRES_prochaska     01
J084424+124546/1.09810/HIRES_sargent     02
J084424+124546/1.13140/HIRES_sargent     02
J084424+124546/1.21890/HIRES_sargent     02
J084424+124546/2.37420/HIRES_sargent     02
J084424+124546/2.37420/HIRES_prochaska     02
J084424+124546/2.47610/HIRES_prochaska     02
J091613+070224/1.33240/UVES_squader     01
J093337+284532/3.23510/HIRES_sargent     02
J094253-110426/1.05950/UVES_squader     01
J094253-110426/1.05980/HIRES_sargent     02
J094253-110426/1.78910/UVES_squader     01
J095500-013006/2.62380/HIRES_prochaska     01
J095744+330820/4.17980/HIRES_prochaska     01
J095852+120245/2.31030/HIRES_sargent     02
J101155+294141/1.11170/HIRES_sargent     02
J101447+430030/1.41620/HIRES_sargent     02
J101447+430030/2.95870/HIRES_sargent     02
J103909-231326/1.44290/UVES_squader     01
J103909-231326/2.77780/UVES_squader     01
J103909-231326/2.82123/UVES_squader     00
J103921-271916/0.87710/UVES_squader     01
J103921-271916/1.00930/UVES_squader     01
J103921-271916/1.97210/UVES_squader     02
J103921-271916/2.12741/UVES_squader     00
J104032-272749/1.38610/UVES_squader     01
J104032-272749/1.77610/UVES_squader     01
J105756+455552/3.31720/HIRES_sargent     02
J110325-264515/1.18680/UVES_squader     01
J110325-264515/1.20223/UVES_squader     00
J110325-264515/1.20290/UVES_squader     01
J110325-264515/1.55150/UVES_squader     01
J110325-264515/1.83890/UVES_squader     00
J111038+483115/0.80757/HIRES_sargent     02
J111038+483115/0.86182/HIRES_sargent     02
J111038+483115/1.01580/HIRES_sargent     02
J111113-080402/1.97460/HIRES_prochaska     01
J111113-080402/3.60610/HIRES_prochaska     01
J111113-080402/3.60770/UVES_squader     00
J111113-080402/3.81216/UVES_squader     00
J112010-134625/1.62830/UVES_squader     01
J112010-134625/3.46740/UVES_squader     00
J112442-170517/0.80620/UVES_squader     01
J112442-170517/1.23420/UVES_squader     01
J113508+222715/2.10530/HIRES_sargent     02
J115129+382552/0.55339/HIRES_churchill     02
J115411+063426/1.77390/UVES_squader     02
J115411+063426/1.81970/UVES_squader     01
J115411+063426/2.33557/UVES_squader     00
J115411+063426/2.36600/UVES_squader     01
J115944+011206/0.79080/UVES_squader     01
J115944+011206/1.33050/UVES_squader     01
J115944+011206/1.94380/UVES_squader     01
J120342+102831/1.32240/UVES_squader     01
J120342+102831/1.34220/UVES_squader     01
J120342+102831/1.57890/UVES_squader     01
J120523-074232/1.75490/HIRES_sargent     02
J120523-074232/4.07314/UVES_squader     00
J120523-074232/4.41324/UVES_squader     00
J120858+454035/0.92741/HIRES_churchill     02
J120858+454035/0.92741/HIRES_sargent     02
J121140+103002/1.04960/UVES_squader     01
J121303+171423/0.69404/HIRES_prochaska     01
J121303+171423/0.84142/HIRES_prochaska     01
J121303+171423/1.89180/HIRES_prochaska     01
J121549-003432/1.31960/HIRES_churchill     02
J121549-003432/1.55410/HIRES_churchill     02
J121732+330538/1.99900/HIRES_prochaska     02
J122527+223513/0.66802/HIRES_churchill     02
J122607+173650/2.46530/HIRES_prochaska     01
J122607+173650/2.46530/HIRES_sargent     02
J122607+173650/2.55653/HIRES_sargent     00
J122607+173650/2.55770/HIRES_prochaska     01
J122607+173650/2.55770/HIRES_sargent     02
J122824+312837/1.79540/HIRES_sargent     02
J122824+312837/1.79540/HIRES_churchill     02
J123200-022404/0.75690/UVES_squader     01
J123200-022404/0.83080/UVES_squader     01
J123437+075843/1.02010/UVES_squader     01
J123437+075843/1.71940/UVES_squader     01
J124714+312641/0.85048/HIRES_sargent     02
J124714+312641/2.75040/HIRES_sargent     02
J125048+395139/0.77292/HIRES_churchill     02
J125048+395139/0.85452/HIRES_churchill     02
J125659+042734/0.51934/HIRES_churchill     02
J125659+042734/0.93426/HIRES_churchill     02
J131011+460124/0.22909/HIRES_sargent     02
J131956+272808/0.66004/HIRES_churchill     02
J133335+164903/0.74460/UVES_squader     01
J133335+164903/1.32530/UVES_squader     01
J133335+164903/1.32783/UVES_squader     00
J133335+164903/1.77650/UVES_squader     02
J133335+164903/1.78630/UVES_squader     00
J134002+110630/2.79550/HIRES_sargent     02
J134427-103541/0.87300/UVES_squader     00
J134427-103541/1.27800/UVES_squader     00
J134427-103541/1.91550/UVES_squader     02
J134427-103541/2.14740/UVES_squader     01
J135038-251216/1.43930/UVES_squader     02
J135038-251216/1.75290/UVES_squader     01
J141217+091624/1.41870/UVES_squader     01
J141217+091624/2.01880/UVES_squader     01
J141217+091624/2.45640/UVES_squader     01
J141217+091624/2.66820/UVES_squader     00
J142326+325220/0.84324/HIRES_churchill     02
J142326+325220/0.90301/HIRES_churchill     02
J142326+325220/1.17260/HIRES_churchill     02
J142656+602550/2.76980/HIRES_sargent     02
J142656+602550/2.82680/HIRES_sargent     02
J143040+014939/0.48780/UVES_squader     01
J143040+014939/1.20300/UVES_squader     01
J143040+014939/1.24110/UVES_squader     00
J143912+295448/1.22590/HIRES_sargent     02
J144453+291905/2.43890/HIRES_sargent     02
J144653+011356/0.50970/UVES_squader     01
J144653+011356/0.66020/UVES_squader     01
J144653+011356/1.10200/UVES_squader     01
J144653+011356/1.12920/UVES_squader     01
J144653+011356/1.15950/UVES_squader     01
J145102-232930/1.58550/UVES_squader     01
J155152+191104/1.14250/HIRES_sargent     02
J155152+191104/1.34220/HIRES_sargent     02
J155152+191104/1.80240/HIRES_sargent     02
J162645+642655/0.58596/HIRES_sargent     02
J162645+642655/1.92652/HIRES_sargent     00
J162645+642655/2.11020/HIRES_sargent     02
J163428+703132/0.99010/HIRES_sargent     02
J163428+703132/0.99010/HIRES_churchill     02
J175746+753916/2.62530/HIRES_prochaska     02
J175746+753916/2.62530/HIRES_outram     02
J185230+401906/1.99000/HIRES_sargent     02
J194454+770552/1.73850/HIRES_sargent     02
J194454+770552/2.84330/HIRES_sargent     02
J200324-325145/2.03290/UVES_squader     01
J200324-325145/3.18780/UVES_squader     01
J200324-325145/3.19170/UVES_squader     01
J200324-325145/3.54679/UVES_squader     00
J212912-153841/1.73800/UVES_squader     01
J212912-153841/2.02250/UVES_squader     02
